S5,S2,S1,ITTH
TCGA.OR.A5LC.01,0.466430338330989,0.382159275227546,0.151410386441465,0.918571553042582
TCGA.OR.A5JJ.01,0.54164822632481,0.157142023116506,0.301209750558684,0.895993444881969
TCGA.OR.A5K3.01,0.00390770331227037,0.18959535650035,0.806496940187379,0.464567835594268
TCGA.PK.A5HA.01,0.581198042375873,0.223995939196556,0.194806018427571,0.882181720908686
TCGA.OR.A5LN.01,0.0885456096363685,0.530071736428515,0.381382653935117,0.83628180845831
TCGA.OR.A5JA.01,0.103884633965343,0.119206613656457,0.7769087523782,0.623423933879473
TCGA.OR.A5K0.01,0.694726911084667,0.0849003466437063,0.220372742271627,0.724306538120175
TCGA.OR.A5JY.01,0.923189321148321,0.00098331748541736,0.075827361366262,0.251382991275607
TCGA.OR.A5J9.01,0.58477862728823,0.188176971407318,0.227044401304452,0.878099044997244
TCGA.OR.A5K4.01,0.20731320864952,0.257056335907269,0.535630455443211,0.9191714550215
TCGA.OR.A5L9.01,0.00115048705567014,0.997824638886738,0.00102487405759205,0.0154862578356873
TCGA.OR.A5KV.01,0.413683988254144,0.397634189909598,0.188681821836258,0.952574529070246
TCGA.OR.A5KY.01,0.355413962410757,0.259890266937269,0.384695770651973,0.987944235121316
TCGA.OR.A5K9.01,0.59903800283753,0.0967427613915156,0.304219235770954,0.814618733460543
TCGA.OR.A5J2.01,0.985310367301819,0.0146758524057756,1.37802924052156e-05,0.0698065304368637
TCGA.OR.A5JD.01,0.316610331886575,0.140774315807994,0.542615352305431,0.884625495903469
TCGA.OR.A5JX.01,0.309409012412769,0.262427205695197,0.428163781892034,0.980532428891634
TCGA.OR.A5KZ.01,0.466111442219199,0.379260606900751,0.15462795088005,0.921299931357123
TCGA.OR.A5LB.01,0.246174303359769,0.095407077740176,0.658418618900055,0.768603838690475
TCGA.OR.A5JR.01,0.00436321917074383,0.000567089593745281,0.995069691235511,0.0299188690922681
TCGA.OR.A5J6.01,2.4703446558085e-05,0.0786396999357817,0.92133559661766,0.250970393642876
TCGA.OR.A5J1.01,0.444476947970501,0.325714578880334,0.229808473149164,0.968228542324295
TCGA.OR.A5LD.01,1.42533172676814e-05,0.999981271515843,4.47516688932752e-06,0.000211989918678744
TCGA.OR.A5JK.01,0.35453488228121,0.249990108860813,0.395475008857977,0.984035581628794
TCGA.OR.A5LH.01,0.000143685305340618,0.000239164164664958,0.999617150529994,0.00332084782207355
TCGA.OR.A5JG.01,0.101709303905754,0.275430495687953,0.622860200406293,0.803284993033892
TCGA.OR.A5LS.01,0.386826785606337,0.0385834589603235,0.57458975543334,0.7385369619619
TCGA.OR.A5L8.01,0.699071479303096,0.125542469869125,0.175386050827778,0.742836942873132
TCGA.OR.A5LJ.01,0.519020506724519,0.264481260992709,0.216498232282772,0.931553043604277
TCGA.OR.A5KT.01,1.75368913238384e-05,4.71541646023422e-05,0.999935308944074,0.000661282410698262
TCGA.OR.A5JC.01,0.173199021714171,0.296377880926041,0.530423097359789,0.910634419626594
TCGA.OR.A5JI.01,0.158218740565939,0.442097814315953,0.399683445118108,0.927637179407191
TCGA.OR.A5LP.01,0.363667538979927,0.000408339530654062,0.635924121489419,0.599765077550851
TCGA.OR.A5J5.01,5.13755653196524e-05,0.613650367661332,0.386298256773349,0.607673078392271
TCGA.OR.A5JO.01,0.245883906089906,0.753602375539605,0.000513718370488554,0.511579197388307
TCGA.OR.A5LM.01,1.53855571883045e-06,4.99815748980893e-05,0.999948479869383,0.000516216859144014
TCGA.OR.A5LL.01,0.190689879795616,2.01290064474936e-06,0.80930810730374,0.443513827116404
TCGA.OR.A5K1.01,5.79876687225249e-06,0.334566324973559,0.665427876259568,0.580221756671539
TCGA.OR.A5J7.01,0.24270685899611,0.218029441704807,0.539263699299082,0.918210744703257
