S5,S2,S1
ADH4,8.7317509309542e-38,1.82763551628479e-16,8.89416958328403e-42
FIBIN,4.38224973168613e-19,4.36327744998567e-21,5.84497059055807e-20
AREG,2.7165254440114e-29,3.54356954215358e-23,9.87746674602685e-47
GYLTL1B,825.380530291204,521.267843903309,1.50646846437846e-20
IGF2BP1,739.602489180743,1.50501588838952e-39,1.15989234524924e-29
MT1M,3.19090506095908e-31,1.9460430308302e-26,9.29951140168049e-39
SCTR,1.98351240089497e-28,1.49296534934501e-21,2.76718246362009e-17
KCNIP4,130.608584670744,6.77069092840248e-08,8.06187865410413e-13
SPINT1,1.24118377418118e-09,1.8364179180175e-24,7.24315535891569e-26
PLEKHA6,3.10399206072731e-16,2.87101962942587e-24,0.000197918565104938
ARHGAP22,1.02917792234158e-13,0.0706108393418398,1.37340293511042e-16
DDC,8.51575387069703e-20,1.45371568396277e-17,4.37684708370076e-08
SMOC1,2.61845552234742e-35,1.14658774867284e-30,427.221558656319
REG3A,6.88316332084203e-12,2.15778631397549e-61,242.191766826302
FOSL1,1.84904437953837e-12,192.736910226484,4.68658527170174e-12
FIGF,4.95212802214194e-12,5.25834743566036e-13,157.583933468884
RHOV,2.44083362358932e-86,2.03494143858662e-81,1.02922431530979e-79
FREM2,115.387184903725,3.04274800502668e-19,1.17942980821037e-18
SPHK1,3.0589567417574e-17,4.75824901609069e-06,7.68588899292441e-18
IGFBP6,6.59371591348119e-11,60.8453803922926,5.26263531690875e-14
COL22A1,949.306884641085,9.81641810969015e-20,2.8524009667795e-25
PHLDA2,6.90583152338166e-11,1.5572862085569e-17,4.27049949395074e-21
PADI2,41.4159420859415,1.55559745017114e-15,117.876151299851
CXCL1,1.04286903262831e-41,1.93811188215919e-31,7.82204062265738e-68
IL1B,1.03891570892134e-44,1.68014481673248e-49,1.65230343799794e-40
ADCY5,1.03028719973315e-19,5.16966992338462e-21,187.859097191503
VSNL1,1723.11692116076,4.9511629692737e-14,4.54008829082469e-18
FAM65C,3.87855750837402e-16,4.61284416308994e-18,262.440309404326
ARSE,1.65152621094337e-18,3.85517898382273e-21,1.6601022773561
COLEC12,1.80478907830583e-19,1.80500003610824e-18,8.02103866542291e-15
MGC21881,0.882411414009025,955.670882810997,352.025057810278
LOC284233,5.07468811412725e-29,2224.58919940494,4.84542010161294e-47
PDPN,347.126729718458,3.02876805625718e-11,121.755983160586
LMO3,553.04769776659,193.532254257279,506.669024918862
CRLF1,93.4505771393022,556.704209958251,1.00254501127384e-15
FABP6,8.23750632044872e-15,4.3187005218992e-08,309.567172102374
CHRFAM7A,0.0358784892989082,2.98618452007628e-11,4.98186829518333e-16
SLC30A10,1408.95761300758,6.38401684576486e-12,3.58674423197188e-16
CACNA1E,546.702787195885,1.22458234830593e-68,3.48610685074149e-43
SOD3,0.0088213789490866,404.699250884787,7.25265835410507e-10
SPTBN4,3.75494849782837e-07,339.465204600494,1080.47165277695
PHYHIP,2.60988166951177e-17,1.54217266306074e-22,289.645721883743
ANGPTL1,161.101100394933,4.02324952781552e-13,101.442472779177
C5AR1,123.516509286489,6.99907497460751e-13,2.71615890861712
PTPRD,2.16928855013994e-05,2.76390271463586e-06,235.512541583399
SSC5D,3.5132909080853e-11,760.435644766588,1.29147620117263e-14
HGD,3.23700630784668e-19,1.31493207861562e-19,59.4636114181818
CHST8,2.00499813798894e-21,9.56103688850126e-16,564.783060714776
CDH12,1036.63492085197,1.98848858240012e-16,8.64411555484818e-19
HIST2H4A,267.296291644112,4.27880352935353e-09,103.414052195562
C1QTNF8,4.00768972992216e-32,3.81071772678844e-20,5.42645672776758e-38
CIDEC,1.36975097130133e-19,109.910381444918,9.07375406811747e-29
SNCB,3.16656934015648e-16,1.26053521307549e-05,601.640181737728
CACNA2D1,965.80768451985,9.35745559406628e-31,4.09159849924774e-15
WNT5B,3.8336154791937e-25,4.44050076080835e-16,1.55128296946563e-30
FMNL1,6.58328249018393e-10,5.05483924961322e-10,124.421710187741
SKA1,106.080571211918,1003.66574607338,1.79212507961027e-06
CPLX3,7.87807551547803e-18,2.18609793916008e-15,396.862078106514
KCNK2,1104.08569773038,0.459707762175577,1.41839076642476e-10
CABLES1,240.548102571377,0.000563801884264146,3.41833748720459e-10
MAPK12,209.411832069944,701.262710548857,1.01783991440893e-09
PLD5,334.659281403703,399.40575375724,1.23145184295457e-15
QRFPR,853.945767801125,3.41192525923445e-18,5.84865422632803e-16
FAP,1.75804446191118e-12,1073.94082927285,2.37266713250195e-21
LYPD6B,4.93179122455228e-20,815.186292816532,3.42841510881402e-14
S100A2,4.5337429871718e-45,2.14021124804939e-36,2.97136740120038e-52
MT1A,1.04154089910518e-30,2.10948691355708e-26,9.18729128848881e-34
PVALB,1.57923622374328e-22,1.42076962760398e-20,471.903726289771
UGT1A6,2.89409253131504e-29,2.26729318191663e-14,2.61137276558913e-21
ACOX2,1277.98228895648,1.41292476506488e-15,11.3506010017483
BMP6,923.745681906864,627.196752247555,7.1994669308633e-10
SCGN,4.99203583402143e-36,2.00475639226064e-43,419.831929803068
GIPC2,641.925271749749,2.33197575535804e-15,9.24014719141284e-07
SCARA3,956.600609294706,286.448063324814,0.001324614226104
GRIN2D,1.78284689183865e-15,1007.05936342634,0.647189758771605
PDZK1IP1,1.11223458257802e-16,7.23287975987846e-24,474.409968649559
CCL18,1.84913192037979e-22,2.69383893061484e-17,1.58296771901096e-41
MEIS3,0.000432419200669807,1637.70705673876,0.0241851596712431
PCDH17,212.651732875793,2.60765250576637e-18,9.66892038556335e-05
PRR15,716.381312188779,5.63346083521697e-21,193.379158711486
CDHR5,907.485197196746,164.773774686038,1.53280503352377e-27
FGL2,93.803565777979,4.03753976793385e-10,5.15739191807381e-05
EFR3B,1.63700232154166,0.00245478537110162,186.559444956873
NCAM2,232.614930310525,585.044577317527,38.8061267978934
LCN2,99.4902723485052,2.48961920210436e-05,0.0246943449315472
ALPK3,398.939842079466,2.65683427131197e-11,107.163846747736
