S10,S12,S6,S11,S4,S9,S2,S8,ITTH
TCGA.AR.A5QQ.01,0.529199419851713,2.46601304166849e-07,0.301947818733368,4.60387297862576e-06,0.168825023089305,5.34029046447468e-06,7.6859715496086e-06,9.86158931716443e-06,0.480422703811353
TCGA.D8.A1JA.01,0.02591863494014,0.0413695344626097,0.443643903420743,0.193907108975319,0.000384713311290402,0.280879592250993,0.0138640330460994,3.24795928057253e-05,0.636919656597158
TCGA.BH.A0BQ.01,0.0119036917914259,0.0142138573969658,0.483102445547547,0.0291010711690472,0.273894919032588,0.0416286368343022,0.0330002348684197,0.113155143359704,0.67988076585071
TCGA.BH.A0BT.01,0.161540976427009,0.00948901593257489,0.282040797940581,0.0381524394072477,0.225834074006961,0.106284078701309,0.110150826239259,0.066507791345059,0.874179866800129
TCGA.A8.A06X.01,0.452122446809707,2.00643939050079e-05,0.133438515712671,0.0432442148083506,0.114198250315491,0.0604919021617663,0.0976590631913194,0.0988255426067906,0.78727208628945
TCGA.A8.A096.01,0.0719263127942487,0.0599686345114977,0.677405018576557,3.24819797994746e-05,0.130668103038946,0.0242060765328315,0.0357552352720405,3.81372940796598e-05,0.527895878593075
TCGA.BH.A0C7.01,0.719966548706903,1.05253317605139e-08,0.122109778518063,0.0316108538079261,2.61541508663168e-07,0.0470635091527761,0.0763823768012536,0.00286666094623761,0.461467781622949
TCGA.AC.A5XU.01,0.450698787155109,0.037356826321541,0.0450359896749351,0.121022612954662,0.236104672382935,0.0105554943286165,0.00085031893170566,0.0983752982504953,0.721433022296265
TCGA.PE.A5DE.01,0.0456180593684325,0.109831092985145,0.341353035810134,5.67270973808927e-05,0.386454257599228,0.0442640816964065,0.0724135720368481,9.17340642477102e-06,0.695632402534077
TCGA.AR.A0TV.01,0.371247191386846,0.0287749114716128,0.192670072207789,0.269831475832365,0.0887777913472456,7.49697551724217e-05,0.0485444941146227,7.90938843459677e-05,0.72328192116195
TCGA.BH.A18J.01,0.204344712769255,0.00660574369575101,0.37141474412497,0.0661304053922213,0.151916898100116,0.0477030369977354,0.022428510251717,0.129455948668234,0.810980141113667
TCGA.BH.A0W7.01,0.197731464878801,0.000523065817798715,0.217373296517524,0.0857425455197915,0.315995075481283,0.0377083060119683,0.12748378194477,0.0174424638280639,0.811588995648298
TCGA.E9.A3QA.01,4.65352429747196e-06,1.83019950692627e-05,2.79199449018332e-05,0.164864143933603,0.206129554941681,2.47935819993828e-05,0.0841515676347595,0.544779064443688,0.559142438238931
TCGA.A7.A4SD.01,0.10885908668295,2.38752592013642e-06,0.00298227790680258,0.121388612141579,0.0428103027395411,0.0310126823769793,0.0809955496894371,0.611949100936791,0.606645893868721
TCGA.BH.A0HA.01,0.293200643702855,0.0600288020997187,0.152438099187429,0.00118318620080642,0.282486097169989,0.0368191265360424,0.144441909494019,0.0294021356091407,0.810375555140533
TCGA.AR.A5QN.01,0.737471749157552,1.75187670371734e-06,1.66925833114205e-05,2.18427179242541e-05,0.0892272811477258,4.29625743514834e-06,0.173239495205158,1.68910541894953e-05,0.358070638437755
TCGA.A7.A0CE.01,0.0753726416993278,0.016312970292003,0.0654622267597902,0.181852374356054,0.0115407135274482,0.0464424781695852,0.0309562852106627,0.572060309985129,0.659590630525525
TCGA.AR.A0U1.01,0.0201504116727782,0.0113332378388613,0.140455901900113,0.0713264723107752,0.281170918521754,0.0588733513147333,0.00685333544796007,0.409836370993024,0.729380875635989
TCGA.EW.A1OZ.01,0.274732112015839,0.00017690946152799,0.0337849379823172,0.0531599711506,0.210352014862072,0.421844046751231,0.00594481467713913,5.19309927375821e-06,0.648966360487934
TCGA.A2.A0EY.01,0.196802928652957,0.0087570888739594,0.253701387558706,0.181948500120049,0.107429760054914,0.243833914652176,5.51991051476228e-05,0.00747122098209132,0.788833546670303
TCGA.A8.A09R.01,0.55602281654234,0.15664625585234,0.114145612615757,0.0598249750816603,1.61321265363741e-05,0.0740157790387702,0.039317936397807,1.04923447890854e-05,0.650745939394395
TCGA.LL.A440.01,0.317276332468133,0.00364552144570203,0.000167856813246738,0.05830502746481,0.424543462171387,0.000576026445396015,0.0136641836878989,0.181821589503426,0.619636315704819
TCGA.BH.A8FY.01,0.162818226811154,0.11883437884554,0.342172354000184,0.00304518631711507,0.316325317369097,0.02898553311555,0.00242335460189347,0.0253956489394666,0.725126646345212
TCGA.E2.A1II.01,0.00212533662032465,0.002237332926379,0.00489400162683839,0.283363830353416,0.258986365493831,0.00118808823654233,0.0302286233191533,0.416976421423515,0.595588767694572
TCGA.A7.A6VX.01,0.144626419862845,0.0156735358658737,0.382072835250715,0.193586288321591,0.120781734322093,0.0666765949562272,0.0493961402643228,0.0271864511563324,0.823641337280217
TCGA.C8.A273.01,0.583000106426613,1.14993011948473e-09,0.0694918428716281,0.0425443003016419,0.158729805701036,0.0357751909436813,0.0737995558132277,0.0366591967922415,0.653561219670496
TCGA.BH.A1EO.01,0.115518769336687,9.91179381588325e-05,0.532400890654803,0.350423541719493,0.000315831522360885,0.000183046558303963,0.000727550000652495,0.000331252269541137,0.464227934801742
TCGA.OL.A5RX.01,0.148283477863134,0.017293022297497,0.392930083811074,0.002343520428949,0.202712577678851,0.0182400029054902,0.000227423992560262,0.217969891022444,0.704488353840291
TCGA.BH.A0B9.01,0.000142464266875338,4.88479796962097e-06,0.000608674961260792,0.124379317505097,0.243332571694196,8.5756339876898e-06,2.99140422430876e-05,0.63149359709837,0.432656506891311
TCGA.EW.A1P5.01,0.254919144242871,0.0451340825614399,0.471446350840924,5.36027539727633e-07,0.0118064590751256,0.00924476491064924,0.200042209181128,0.0074064531603218,0.623591962837784
TCGA.AO.A03P.01,0.313733780879607,0.00492215355393844,0.298030634170677,0.0837451042668594,0.204094139605453,0.0132472766149892,0.0184324775119448,0.0637944333965317,0.764201336333533
TCGA.AN.A0AS.01,2.07053204307786e-06,0.0130508437194274,0.383974815660793,0.347312463667696,0.233608418292826,0.00779066399999949,0.0142522963441712,8.42778304349733e-06,0.591349352649953
TCGA.A2.A1G0.01,0.279128803170908,5.56435553019664e-07,0.720853120108956,1.27349215804381e-06,1.13499933942274e-05,3.02763233747333e-06,2.97823746610573e-07,1.57134294657979e-06,0.284864591076964
TCGA.A7.A4SA.01,0.405241798102372,2.23380341388948e-06,0.2017617844423,0.0132394979832747,0.198350303591591,0.0400945770095977,0.0563540423250607,0.0849557627423904,0.753889863227095
TCGA.AR.A24S.01,0.0951437121259796,0.000378126471342086,0.497291741963666,0.329524305670029,0.0320559112749616,0.00019323673567798,0.0453424078762715,7.05578820719242e-05,0.573650137737329
TCGA.LD.A74U.01,0.152280733411568,0.0231131005358594,0.279203079618222,0.0186143258984125,0.288449982161167,0.0678096750592936,0.0133398521219937,0.157189251193485,0.814433155616449
TCGA.D8.A1XA.01,0.27077572234258,0.0222057135695979,0.570577431038526,0.0152374392174435,0.0614833689002777,2.1833399950261e-05,0.0596856517585239,1.28397731006772e-05,0.558949209671818
TCGA.D8.A1XR.01,0.0594587704493845,0.0972260785496963,0.653961874800885,0.0150507657114366,0.0546888497947518,0.0470959495854503,0.000160079846646933,0.0723576312617487,0.591304227111041
TCGA.A8.A07Z.01,0.357588048155909,0.134513812386039,0.21125857177675,0.000141349201043586,0.131840248114423,0.016530137139523,0.148107798152323,2.00350739885254e-05,0.76236470537583
TCGA.E2.A1IJ.01,0.0741019420128172,0.0104397436590483,0.594427815220617,0.000517946554225934,0.19631384601296,0.0821423340991483,0.0111009387528991,0.0309554336882841,0.594400939695996
TCGA.GM.A2DH.01,0.226490940253752,0.000356825462604074,0.225838157890871,0.196448656641954,0.0606012244180321,0.0918618275776225,0.0384038028984519,0.159998564856712,0.866823839471503
TCGA.BH.A0AY.01,0.197618746909906,0.000504781078219423,0.266864121343679,0.242906893362821,0.25196362215752,0.0124970859995364,0.0192851139380076,0.00835963521031025,0.739981747532422
TCGA.BH.A42V.01,0.263570274634411,2.42911554772229e-06,0.179021637913862,0.0982527499315955,0.339956749454116,2.89382393056535e-06,6.65717384407757e-06,0.119186607952693,0.725117769271072
TCGA.B6.A0IH.01,0.176711419727874,0.0151338440908799,0.474210718736834,0.083294871835308,0.104224799193724,0.0111592254673648,0.0114075547869022,0.123857566161114,0.733897923217313
TCGA.A1.A0SH.01,0.125792546981297,0.00810471222324133,0.613376648630952,0.033451161335673,0.0592960963010157,0.158829846192688,0.00100341527273953,0.000145573062393356,0.568057455141569
TCGA.AR.A1AQ.01,4.34062036760064e-08,1.82454798848051e-08,0.0201006302812392,0.251783256825514,0.156173101253885,1.1482662605107e-05,0.0898388877995059,0.482092579525567,0.617537822039163
TCGA.A8.A07P.01,0.504334641254991,3.35136858209453e-05,0.199489998691224,0.0394741299964683,0.152776451965697,0.0968014886618989,0.00688664708643236,0.000203128657466446,0.646238164700948
TCGA.A1.A0SN.01,0.278265498152369,0.000401804202669309,0.110939615965274,0.0836295241470239,0.0497378869864494,0.466945938514278,0.0100510427682486,2.86892636876048e-05,0.65495288894503
TCGA.BH.A18T.01,0.0753125701345927,6.01522264303983e-05,0.0362919779177199,0.332299283520493,0.0483015808144956,0.044447484527397,7.02118071314648e-05,0.46321673905174,0.636564629925097
TCGA.E9.A22B.01,0.592505498965242,0.00566271300233244,1.0964327370781e-05,0.139109696830114,0.148133775879615,0.0733068944910847,0.0412699289550081,5.27549233866321e-07,0.586663046588893
TCGA.S3.AA10.01,3.11750650370186e-05,0.000262943889849518,0.000226298115592984,0.100264990832106,0.0817730730181408,0.000148277495119952,0.104031962440703,0.71326127914345,0.441220264441217
TCGA.AO.A0J9.01,0.00693272254437327,5.8768913793359e-06,0.146024277838959,6.6058718819254e-06,0.671869479475346,1.35439221622266e-05,0.0108118216422746,0.164335671813624,0.446573327629104
TCGA.A1.A0SE.01,0.269735776297948,0.0335880443722977,0.388386915347041,0.0449382532648228,0.120665757461898,0.0220288003064056,0.000576428945174167,0.120080024004412,0.756070603386323
TCGA.OL.A5RV.01,0.259430836912021,0.0313557141120745,0.371424753001604,2.91898893233465e-05,0.13085408925417,0.0585680683273706,0.000228434125423533,0.148108914378014,0.742436237672368
TCGA.A2.A04U.01,0.0596470174923626,0.00543132331659516,0.0305760310848516,0.108710371330456,0.311045451860133,0.0277714817791207,0.00117035855593256,0.455647964580548,0.660363460410141
TCGA.A2.A3XV.01,1.65477684724379e-05,0.000946819960434357,0.000727340177334445,0.00104305327948076,0.752982441243192,0.244133689565758,0.000148627231350399,1.48077397751272e-06,0.278147046169581
TCGA.A7.A3IZ.01,0.602647595106458,0.0741758501564479,0.248447814666824,5.08450921626783e-08,0.0646618350755069,1.0840822017897e-06,1.75018949350314e-06,0.0100640198779755,0.513369353477981
TCGA.D8.A1Y2.01,0.138540746508107,1.63011929833212e-05,0.200107167399325,0.311790017000711,0.292504738809469,6.38161273482114e-06,0.0568989570564009,0.000135690420269378,0.713312583878679
