S10,S12,S6,S11,S4,S9,S2,S8
NEB,62.485685651987,3.14540959561638e-19,251.509141193589,444.655664162345,6.02434097483043,4.20596143008784e-10,7.39417390560463e-17,2.53825001790011e-07
FGL1,126.047399844979,4.74388522018648e-25,1.37400876174947e-17,657.688550542632,2.77912426273121e-11,5.46934429661317,3.08202758261425e-15,2.19253142597908e-30
LALBA,1.53303770785953e-26,299.567054579064,1.67171462888206e-18,0.00997082796646036,1.2300816032845e-16,6.553184230103e-17,1.72909277296342e-13,770.822297846211
ACTA1,11.6389598520305,1.18692146122175e-12,277.918953167039,541.087251564425,60.6199142971207,8.8908331020591e-15,9.26693839004907e-09,374.315258492163
FMO3,2.87810629957782e-13,6.94370529875766e-13,4.08497183662533e-14,415.162300035394,171.650922229604,223.744173994357,234.325155531605,920.535151320626
NDUFA4L2,0.00344424580836851,212.935411882079,7.72317334420908e-11,458.447942495696,1278.79716335119,460.452331867206,20.7937665917944,632.917450949315
CYP4F8,9.64928902980061,5.52826743749405e-06,613.567566824595,3.89721484557105e-13,18.9737280804107,444.507571240873,0.000237159013804843,8.33530169761982e-13
AKR1C1,10.6539819302484,5.09711236683889e-12,9.54490837496147e-07,190.484582198688,1032.4373970911,834.908791151334,0.00023714499591548,54.2055263690857
MIA,2.91749767431673e-16,2.07325401551163e-14,1.16606401914807e-16,2.38547157598511,81.8221482610849,2.86926815541793e-16,3.08132833671401e-05,3817.73361217054
CASP14,6.23089642132678e-19,1.55840751688453e-19,1.86043144140286e-11,1076.27061424873,1.33957200889243e-16,5.16171996111571e-11,1.3463440953994e-08,3.82558470769401e-16
SNCG,15.3136191009822,2.56258065314172e-09,0.026038739278904,234.89381058853,2526.21868928266,1544.35886027052,3736.23270525819,7.67537840887807e-08
SNPH,310.920128809179,922.19141541827,179.147637557791,0.824367482079041,355.640009392803,1231.06754376953,0.00537586380595475,1.03882876489457e-07
SLC16A6,1952.14577499798,13.8342708464448,1099.08890435549,9.68077566023482e-08,0.000337068895547737,310.427782013629,0.0021197557848535,2.40778240818313e-11
CST9,1666.76578647011,6.19592107466506e-10,132.628113912345,4.10447922065096e-13,0.683515403735836,1.15727931500406e-15,157.691034698473,4.94841760771473e-16
PCTP,635.246207531722,286.861374934075,142.225892827054,486.389892516353,14.6244817970589,3610.22668405036,580.281148961483,670.962916433266
SRCIN1,382.066510312147,295.756925416418,702.891273996574,299.626446426819,265.032639249413,3948.7075918782,0.0693069633729245,0.25654712455216
TTYH1,1.70415421467922e-15,3.40558968232729e-15,1.32841498527974e-17,1.94453960659561,7.66943992115885,4.54275699589931e-15,5.48985025884283e-13,4099.22254955027
UCHL1,1.54963861537004e-05,5.88556950063217e-13,2.6160038784978e-10,876.335394031751,616.827264306426,2.6298569796689e-08,0.0977531887291225,2592.71843290642
ANXA8,0.00271939796525146,0.000552756362686614,0.643089834872918,0.00320073024175257,41.6497994437816,2.17993645652635e-06,8.96871670948096e-06,2611.11005062255
KCNK5,9.22953421265049e-06,1.08758799985988e-09,1.44476125847213,776.445738847017,0.0315667663168345,4.44694486910147e-08,312.971813258686,3443.08053894947
MYOM2,1.92236764808554e-15,3.23574562320899e-13,6.90376326643999e-14,5.67342253086544e-13,239.188665991416,1658.15951497061,2.41381420291558e-21,5.91560560954857e-16
HAPLN3,4.41597802198064e-07,2.89021471918056e-09,7.49372017925541e-09,0.0255850596111214,38.0659152476789,0.000388643776133411,1231.80533084792,4743.00035721049
SLC6A4,323.172707520979,7.55884054833359e-10,1181.22385582278,1.14087451842406e-05,0.941761820195321,27.7011615254291,5.91293631693441e-07,1.71700657957378e-14
C8orf84,1.06611898777185e-13,2422.29585975358,1514.29938639431,1149.8585510463,204.21410275278,0.592586407152097,585.612413119853,226.938460013359
MT1G,192.449687712466,846.850785068106,0.000227520785089658,625.568915550932,955.1072283098,12.056058078278,715.386483739752,131.991269329238
