S8,S3,S5,S7,S1,S9,S2,ITTH
TCGA.EA.A3HT.01,0.119278311325316,5.57272990513459e-06,5.57368484882225e-06,0.000112492956677745,0.0350191615601405,0.800962656777894,0.044616230965218,0.353904114097485
TCGA.FU.A3HZ.01,1.59760504978443e-06,0.0283944949694745,0.951293375368321,0.00342940732384432,0.0168792921190023,8.67812878410209e-07,9.64801429142489e-07,0.121811905017608
TCGA.FU.A3TQ.01,0.235427098368598,0.0125000251649471,0.022444017758578,0.00972010085637907,2.94485956803464e-08,0.674896368308264,0.0450123600946384,0.478172744265081
TCGA.DS.A0VK.01,0.226638775881835,0.394889782874804,0.0242599516555412,0.019545177556884,0.000122314881617632,0.253363237862701,0.0811807592866164,0.731415341928885
TCGA.UC.A7PG.01,3.19245726582308e-06,2.77154741018015e-06,0.211861212453543,0.0314659319147281,5.3348017797001e-06,0.756656200345183,5.3564800897188e-06,0.333419117274539
TCGA.C5.A7UE.01,0.00499820396747038,0.105681061110043,0.512592506398751,0.0943474120339927,8.08438653363698e-05,0.282183555273306,0.000116417351100201,0.610564303410612
TCGA.C5.A1MJ.01,0.363629116934728,0.000294523158067039,0.592490506075479,0.0292372381765724,0.0143198972290311,4.82893930084656e-06,2.38894868213639e-05,0.434122373322539
TCGA.UC.A7PI.01,0.826476928513561,2.15481525675663e-05,0.0184486973689736,0.0476968280056201,0.0915701791727359,1.97164821066376e-05,0.0157661023044353,0.339735702063271
TCGA.C5.A1MF.01,2.32113559638878e-06,1.71642405800451e-06,0.415442740151781,0.562025082655722,0.0148387064591042,7.0342736733797e-07,0.00768872974637023,0.405333858571269
TCGA.EA.A5ZF.01,0.637643565174169,0.0487553487546863,0.223437942332731,0.0200081341106471,0.0435815023746758,0.0265731269833457,3.80269745570564e-07,0.555153849169518
TCGA.EK.A3GJ.01,0.100768529447002,0.000733771664070212,0.205363743301796,0.0538003807987057,0.00110087113551102,0.409012120383507,0.229220583269409,0.734713198220722
TCGA.JW.A5VG.01,0.13818870130288,0.000190709783734477,0.253188434380447,0.0317259421289585,0.00106311097939248,0.0950770194185677,0.48056608200602,0.676055015977044
TCGA.C5.A1MH.01,1.59455236951791e-06,0.0296486887577099,0.0894053351488789,0.0657784545209765,5.30358594984921e-05,0.718160865246045,0.0969520259145218,0.495266381154794
TCGA.LP.A5U2.01,0.000583435813164365,0.00287260173209757,0.743941423801665,0.104425557872684,0.000545728127970136,0.147090612376173,0.000540640276246184,0.394279674250926
TCGA.EK.A2PI.01,0.064038851407255,0.413146285434247,0.0969918969284177,0.00886947991603161,0.000117922865690768,0.338533782835185,0.0783017806131724,0.707429504438589
