S8,S3,S5,S7,S1,S9,S2
HP,4.51468817861129e-09,302.756304895242,381.040773539876,1.9839811011142,6786.07996645704,1.21940894799214e-06,8.85463528926732e-06
SPINK6,7.26807521005405e-13,3.58348235047057e-19,0.00381749150043709,0.000506674705989465,5.257179241911e-11,0.04941012767711,2658.7779300505
PGR,6.18184113116031e-09,4.9760659671697e-17,714.114214280858,7.4122010667e-14,1.47264508941155e-05,1.87296171466581e-17,2.22615623636869e-20
KRT24,4.08171033879697e-13,3.91129689136286e-17,3.51918730680729e-15,9.27672355030325e-10,7.82748728432286e-13,242.91871303786,2.76708022462672e-11
FOLR1,934.529899143982,5.32739199216116e-19,258.540243610812,3947.97864223611,3479.06049067057,9.51723387603885e-24,2.46898664784545e-08
NPTX2,368.074299002806,8.91738466767856e-20,664.784139756422,3.10574550888276e-14,9.70081386341838e-16,3.43377355823802e-19,2.29425492290076e-11
SYNPO2,56.6111053237543,7.11620027802196e-08,618.726689788756,0.161278408549953,2.11639802725582e-08,116.82941085826,3.64152177337374e-13
FST,5.54166708745992e-15,434.911474073625,141.780293301492,212.906243824936,4.79072728322203e-22,0.00193428647223687,3939.94712902332
KLK6,737.583179085977,3.88274781661116e-13,108.481463803495,1229.09913465769,215.225432922127,2.33041870255346e-06,0.325131628290969
S100A3,2.25048469293957e-19,0.0911690144206167,1780.15681190772,1.24581400886192e-10,1.03957821006695e-16,9.2425699744459e-11,2.56075219135689e-12
SLC7A11,0.0536456055517232,10740.5477598125,930.298001500522,7.82704393445781e-14,828.584311277777,6.11196799628307e-08,391.342691948434
SP6,118.728914370961,0.000104346973257466,1140.16518224558,38.64362623452,768.509250630642,0.00176401597401736,1817.53406153808
KRT75,1.541158364969e-06,0.0198521366971478,486.365570884408,0.0028610893285014,2.70351943124142e-23,357.549300136812,545.192124484668
COL2A1,3.26104530165138,2.26122412255464e-24,567.174593355491,5.8481161771504e-18,3.91300224614169e-29,4.32512316995256e-21,1.10211431373875e-21
MOXD1,182.314470634979,6.25950681341366e-06,862.56434646074,0.114796891507735,1.45374464266965e-10,0.00100330206281048,2.10133705544843e-15
TFPI2,3.51287177403745e-07,3.97980203440266e-10,0.534192377570578,0.000560655461364013,768.202931839237,5.82876171587721e-17,3811.1595203568
FAM3D,1389.72285312487,5.31751574028909e-13,0.0046641817374784,2568.6555841591,2917.75197086512,4.27364624326203e-13,6.45635451285123e-21
NKD1,2.44644379320817e-27,1.54176825375562e-17,1765.11699143826,2.40401302558602e-28,9.42955122703495e-21,3.35890623700885e-27,5.9231230610484e-28
APOD,267.591196448938,486.399476265447,171.018703263189,4075.41055937987,0.0148123719098445,0.00136802726406324,1.55587979771335e-16
CHIT1,1.92047070318989e-16,3.76426673863068e-14,4.541040093735e-14,1.39968137719329e-06,5.09146594457297e-16,9.49942896186668e-15,6.47528746737649e-17
HAUS8,272.788874665164,503.107915682744,489.135070227149,1234.74224641681,28.7305282451027,624.622647395035,1028.50556472234
VSIG8,5.91489235577789e-29,4.55328514516516e-12,1455.3337901238,6.75690069312582e-28,2.52958352963749e-20,4.03713596589167e-25,6.67465844865234e-28
UPK1B,1261.42658609214,1889.87554607185,0.000686409069788702,3.39977761056022e-15,1.56073217451672e-17,0.0270299813044309,0.165873178119591
ALDH1A2,1882.73976196118,5.70511354791822e-19,2.8756579177413,359.071662848395,1062.45271711412,1.03318888957659e-18,1.09412719786415e-16
ATP6V1B1,889.622744573845,2.94650965868278e-17,5.80152164374585,3738.35156878359,0.558847501785545,9.99965193175914e-11,2.37001924297104e-11
IL33,0.789613212386415,2.61829460539939e-13,388.800338383782,1.21669379189296e-09,0.0344341741667726,195.250226659234,2646.94570331496
IGF1,0.000707872107038443,1.67495720610713e-17,1051.28084177383,1.75273279740737e-06,1.89235640028977e-11,1.17531751191696e-11,1.46854344954307e-18
