S3,S1,S8,S10,S9,S12,S4,ITTH
TCGA.4G.AAZT.01,0.999925840018713,4.76789527671715e-06,7.67976695969546e-06,8.729436849847e-06,1.02086569800271e-05,2.63574097107471e-05,1.64168155096549e-05,0.000462923240406143
TCGA.W5.AA2U.01,0.0792081314868208,0.543195895280428,0.0564538633459491,7.57899075269939e-07,3.43378693519912e-07,0.133243306155223,0.187897702453811,0.656419867403916
TCGA.W5.AA2T.01,0.143124809917114,0.756744402105634,0.0254488078667444,0.00510155531036837,0.00314410430915985,6.3848427901648e-05,0.0663724720630781,0.415377040349465
TCGA.W5.AA2I.01,0.539695778451346,0.230335401186,0.000137608534243121,0.0458011975382377,6.5284922680042e-05,0.000128641875256483,0.183836087492237,0.578976190886938
TCGA.W5.AA2H.01,0,0.337449684846542,0.27453252399829,0,0.24293092610005,0,0.145086865055118,0.691342223125922
TCGA.3X.AAVA.01,0.302693886772425,0.294100628411214,0.0664845896420437,0.00465023679365268,0.000158750879749653,0.245873339198997,0.0860385683019186,0.76275035301588
TCGA.ZH.A8Y8.01,9.42318722190223e-07,0.488423486974941,1.19771664774103e-06,1.41734374948846e-06,2.577543274897e-05,0.413557927440901,0.0979892527722897,0.484649709876784
TCGA.3X.AAVB.01,0.031578117250542,9.50982338388553e-05,0.0423349486371597,0.267461078986423,0.0838401383044698,6.19960835624629e-05,0.574628622504004,0.577299781247863
TCGA.W5.AA2Q.01,0.0221010908927351,0.961590927589153,3.59201968139098e-05,0.00282111597279455,0.0108680158801019,0.00257166953078386,1.12599376180225e-05,0.104553352002547
TCGA.W5.AA30.01,0.120778903605859,0.778556519286548,0.020210256549966,0.068306855204017,1.80349573143062e-05,8.06666051170493e-05,0.0120487637911777,0.393930392766294
TCGA.W5.AA2G.01,0.000116178510289872,7.07855268981543e-07,0.0527111105860881,0.0615484118790216,0.103774889201746,0.241823321696926,0.540025380270659,0.636666733175354
TCGA.YR.A95A.01,0.431214205109803,0.0749846917078925,0.0456979848958756,0.000120746134170738,0.00457146002354995,0.0211191147987454,0.422291797329963,0.6008504259387
TCGA.ZH.A8Y6.01,0.00493306804677366,0.0264239745818575,0.962994342889042,0.00412751317073247,0.000764047420519333,0.000732894366289885,2.41595247850098e-05,0.0987804894251457
TCGA.3X.AAV9.01,0.000121705630459885,0.675677169656836,0.00402840620363447,0.0941243826790677,0.000350165404073507,0.225466048933176,0.000232121492752308,0.437436585453615
TCGA.W5.AA2O.01,0.262333813147832,1.78536559890212e-06,0.00321944852016252,0.0715739327019731,0.0178993525752526,0.366522639556705,0.278449028132476,0.695904733631657
TCGA.ZH.A8Y1.01,7.17988545329079e-06,0.868442072498012,6.25595260199628e-06,0.0238344268984902,0.0133638723242305,0.0710649766002829,0.0232812158409291,0.279988653951949
TCGA.W5.AA38.01,0.493479064782027,0.000160963547749456,6.75402043493395e-05,7.14875636624269e-05,0.0710574413358658,8.15391068887116e-05,0.435081963459457,0.463544270340007
TCGA.WD.A7RX.01,0.666190029055998,8.80980241530909e-05,0.0382171910598581,0.139929667594484,0.154724412821852,7.46153099869793e-05,0.00077598613366767,0.496611572064854
TCGA.W5.AA2X.01,0.000103606374703949,0.0524287133877211,0.00485220766972542,0.939448436848037,0.00282160475002064,0.00013801008607559,0.000207420883716599,0.133413307864218
TCGA.W6.AA0S.01,1.35979898427938e-06,7.78311690463818e-07,0.010842123592496,1.49344519873392e-06,1.44185153186294e-07,0.989151485771083,2.61489539458484e-06,0.0307968415353448
TCGA.ZH.A8Y4.01,0.0952585783555553,0.0833490877364181,5.15410413184624e-06,0.312113803454057,0.00266956122843605,0.374877653221571,0.131726161899831,0.742684260481182
