S3,S1,S8,S10,S9,S12,S4
ACAP1,3.68110616427253e-46,2.50193012530199e-45,6.45874276617498e-62,3.52514658747709e-21,2.75087070715672e-62,2.29466332925262e-39,1.49907762085577e-58
LPA,2.38630037253435e-41,2.43028404260089e-44,11592.6066672074,7.71317518976477e-42,337.056265835926,2.10712326443225e-54,8.6616928434096e-56
SELL,8.80716164859732e-33,2.98589987308027e-27,6.11037311575911e-48,1.18377907968167e-32,3.12323337531528e-38,0.828563992462015,2.40031607857986e-06
FAIM3,8.05399955135644e-61,1.42400299588597e-41,4.11429134981881e-35,8.99484793955266e-56,3.81523847806894e-54,2.3076591832658e-42,9.00184357722254e-66
ATP7B,2.1027421663791e-20,3.50181544556074e-20,5238.93002261748,391.434677906816,1.73885817922587e-20,9.45366774209047e-18,4.45383831900627e-14
POU2AF1,8.12172737744112e-72,3.11560018582321e-46,1.62767601230472e-67,5.12609030658456e-54,4.23122550615951e-74,6.71459908738957e-58,9.06532917439589e-83
CCR7,3.33149294346672e-78,9.66714392456328e-60,1.66144534547633e-69,1.45669514703835e-75,1.06939542767246e-74,2.23683237691811e-55,4.14041321167714e-84
C4BPB,3.7009012028125e-06,584.317583358061,1893.88522330878,2.44465525094892e-10,11574.118926684,0.0138067808978321,0.000207829213687018
KCNJ13,2588.33918779995,7.31984698740594e-84,9.00525371626085e-44,2.21828352901941e-60,8.0056738967639e-140,3.14572971798452e-71,1.11820363246744e-18
ITGB6,2.76459010129552e-38,2.20432971769306e-10,280.027773915688,1150.65752436922,2.74826424714479e-32,1.42703065658274e-14,9.59374104811789e-31
CD53,5.61707275955037e-26,3.13620763606015e-13,1.85046276123745e-16,1.03405934550282e-17,1.21172214871152e-22,711.828645849345,1.10614995936002e-06
GPRC5A,1.17743062708566e-42,2.31424267732065e-16,1.4008980270681e-34,2902.39698396887,1.85158475574974e-35,160.65916894428,7.81096701879946e-25
MYOM3,0.666771734731567,7.73244084571789e-47,675.058706217634,2.18341544917438e-41,4.07689540258089e-115,5.16009223362835e-75,7163.92697545398
CXCL13,1.92154941184238e-65,1.40089360676399e-44,8.72646819683267e-70,2.39112612436082e-75,2.16642042153335e-73,3.3072190188968e-16,1.05244246700609e-57
