S3,S8,S6,S4,S9
MUC6,4.89181985045197e-15,1.10644549471492e-13,2.61073445925168e-15,5404.947618474,0.0212994654485098
PCSK1,691.755309553612,0.00287925326079146,4.0423519167e-13,5984.62027601285,1.01895274934431e-08
IDO1,5.14732019654284e-16,2.73245955839243e-15,1.11272031967399e-14,0.00012418165169037,3.20930501756906e-15
CST1,1.23432282807185e-11,4034.30845807006,684.389002150563,0.0665003430221283,7.64466037718821e-12
KLK6,2.51379823747817e-12,6.07949978968715e-11,0.000349484085900159,7.41241991697754e-13,826.4938795763
SERPINA3,3.77171330775336,0.250648660640662,4.9608493777391e-13,2258.32784849349,1258.67736480793
SYNM,4.7943757897286e-10,3.45257280422621e-11,0.0914692866113412,3.60585240316199e-12,1.24569622090455e-08
PCCA,4392.07854145232,2769.47848366553,0.053951158948514,2713.48187937572,1508.84944728974
TCN1,75.8590130211946,0.020844402409606,2.13878268316613e-13,5164.9057196577,623.382237107478
FLNC,0.0561863921136594,5.9950257506289e-08,0.384272559768832,687.077481554738,1601.46389697225
MMP9,37.6694521171481,663.795347415148,486.052978724551,535.102550026525,143.124703679072
TNFRSF6B,102.272243221181,1.3667716570696e-09,369.956642572367,0.925292502281859,613.934609786444
L1TD1,3559.09122224671,6.14554834989446e-12,8.43290001621423e-14,4037.38556814489,1.14914471897956e-08
CALCB,1.22524776703895e-15,2.67006644257992e-11,293.428508923939,4.20056143696619e-16,4176.38895943512
ALDOB,0.0089135653275815,0.159369598928092,669.361178011674,1.02214811035568e-06,15796.6648907165
SMOC2,2707.16257655683,2867.86965343123,1712.25913291284,423.065091582501,3.00942695787912e-12
AQP3,6.70419754354437e-06,7.00691488335268e-07,3.85655324117294e-14,4650.01637745841,391.565508963604
KRT23,7.00052934559531e-12,2588.01002144668,3810.26686450965,1.87232246547985e-12,1.65434758526914e-10
SERPINB5,2.17635784272992e-06,44.5858603575966,1.76516104966027e-05,2981.23865664115,12408.8803036308
S100A9,7.02250951373872e-12,2.08066845113779e-11,1.55935869554692e-12,1.6126861162746e-12,9.04758111098325e-13
PPP1R12B,836.015779223615,0.0603812201935376,260.095642108091,858.626728510502,1393.66178167182
CLU,1571.36823065882,145.189414206735,292.039063634957,1191.82594819732,791.355059229123
PLAU,32.872400721429,941.953885253472,419.794382480476,0.0187768002670289,6.43555299320434
HLA-DQA1,4.89282210991543e-12,1.6807826766605e-11,7.01384182900502e-12,294.480172915654,1.58841047943946e-12
SFRP4,0.049768848245686,506.542253453834,0.702921970663005,7.01023885516371e-07,2.44342986277801e-08
PXDN,328.075648807107,238.253036159675,55.4482112566418,592.711834813525,583.169774935889
COL11A1,0.0468385462967423,121.312826462878,1.61583162104235e-07,2.94282391514687e-08,0.00998069126043073
TACSTD2,1.28611346962161e-08,316.179040188419,0.138987633394519,2284.23050448431,3409.37741310453
