S2,S10,S11,S6,S9,S4,S5,S3,S7,S12,ITTH
TCGA.FF.8043.01,1.12307129542563e-05,0.843445822906733,2.2775628619802e-05,0.028245801942642,0.0345889558662275,2.07213407443901e-05,0.0864247742916359,0.00398021755294399,0.00324999941677736,9.70034072230028e-06,0.266504503564034
TCGA.GR.A4D4.01,0.0754953693402675,0.0172086880814531,0.064964984626636,6.27335525533364e-05,8.12059614827447e-05,0.0154423721446804,0.287221020479344,0.509905927046128,0.0295370417468439,8.06570206104864e-05,0.571048144927571
TCGA.G8.6909.01,0.0187597065706683,0.363005411579904,0.0647725511460313,0.285455180690782,2.22981229710908e-06,3.12435187770353e-07,3.23473020851965e-06,0.0859329528438632,0.0676588631428006,0.114409557048257,0.703039462273029
TCGA.FF.A7CR.01,6.69482957892406e-06,0,0,4.78880256843149e-10,0.0287111722114343,0.725139492775591,0,0.0731672612880223,0,0.172975378416493,0.360424436407021
TCGA.FF.8062.01,0.13968588960634,0.0293124745211028,0.0886968297577503,0.198653542286965,0.10499960653485,7.81497122230995e-08,0.122298100561507,0.0585607312613053,0.242972370871963,0.0148203764485045,0.860050902522436
TCGA.GR.7351.01,0.0798584719960894,0.0582825862482249,0.0716009768248563,0.247544150289821,7.68872713942697e-06,0.0791653914365044,0.0768534243947847,0.00858225460912736,0.378099379307818,5.67616563489325e-06,0.742042071544844
TCGA.GS.A9TW.01,8.10602236867082e-06,0.0460869562238248,0.0721492757821386,0.0952768429801973,0.000219532613075703,0.259324437603843,0.422592107635222,0.0893631019706739,0.0149264693756239,5.31697930311439e-05,0.673391431033101
TCGA.GR.A4D5.01,6.87782016111174e-08,6.14696972398356e-08,0.0317285189893758,0.001686845473146,2.08761745997451e-07,0.263850722764732,0.406914992043038,0.129788651032439,0.116444471911912,0.0495854587757118,0.652328999052937
TCGA.G8.6907.01,0.650127565492775,3.35919777507296e-05,0.236084727670577,0.0505747833338641,1.70456507812092e-05,0.0629690476417056,3.45812492498887e-06,9.057705947956e-06,0.000146114120832778,3.46082808400307e-05,0.411760850049998
TCGA.RQ.AAAT.01,0.0543249481943345,2.53619531638727e-06,3.06083024886206e-06,0.833033588405929,0.0202882501293474,0.0131792602179147,0.0450654064385023,0.0268086076778722,1.90814804990888e-05,0.00727526043003549,0.312410988023019
TCGA.FM.8000.01,0.0674395537585195,9.28100988669782e-06,0.77852900186244,0.0397411887133466,0.0105671678400859,8.97709928529703e-06,1.52612037827534e-05,0.0273558660272906,0.0555050950927593,0.0208286073926028,0.387809435005482
TCGA.GS.A9TZ.01,6.89523367345317e-05,0.15940718665905,0.091531592013168,0.115315443543927,0.000263613325357793,0.00542748255790353,0.0573019498999047,0.566883455266355,0.0032364330830328,0.000563891314566554,0.564669829343287
TCGA.FF.8047.01,0.0671371911972524,0.0829000829082067,3.3512482787298e-07,0.212236191623697,0.547132212672155,1.86271921493246e-05,3.85035814788254e-05,0.0766134558021915,0.0139049814640257,1.84184340159358e-05,0.56622158725097
TCGA.FA.A4XK.01,0.00568023983717841,3.32416786606667e-06,3.12578778454097e-06,0.0613837124174035,0.15438396931709,2.50521481185758e-06,0.777416580263569,1.66080918492887e-05,0.00107610360216842,3.38313002788822e-05,0.300898008594838
TCGA.GS.A9TV.01,0.0244026616474421,2.43794365145526e-05,1.97085168537917e-05,3.02404038707649e-06,0.0149954428625888,0.268258650436113,1.27774320254987e-05,0.268351652439309,0.0740003593003334,0.349931343888433,0.616842892612004
TCGA.RQ.A6JB.01,0.0182848691962067,0.0229069160505522,0.149029362208565,2.86554891929816e-05,0.000943090950695539,0.025809948831227,0.432120817668974,0.25137388098331,0.0846686885075976,0.0148337701136797,0.6626494099476
TCGA.FF.A7CW.01,1.23429592178736e-05,1.48837998538261e-05,0.0577411633960051,0.19803915130337,0.313418802970537,0.362754372844164,0.000116565978173984,7.75807727021784e-05,0.0476660297284147,0.0201591062475616,0.626555097928995
