S2,S10,S11,S6,S9,S4,S5,S3,S7,S12
PPM1N,3.94151352780339e-08,4225.9996834097,3.76255433317628e-12,1.99070541169687e-13,3.84231978782209e-14,3.13161215739459e-14,1.86903511508194e-10,9.15681207262807e-15,3.56934689695773e-14,0.346399426068054
KRT17,0.00120983985771135,2.12414560355873e-10,914.314972151759,8.29408418016449e-08,520.023510261322,1.48543135885618e-14,2.35625084708567e-11,1.16216192468828e-16,0.00113580519713754,3.99691115042711e-15
AGR2,1.11838356614942e-18,2.2388571621723e-22,419.990652566891,510.314196587759,1.97699032769975e-16,15.9863210139875,0.00479328881904285,1.20566027830409e-08,5.0168591327995e-11,1.99130435231906e-18
COL11A1,1.05217984252482e-11,11.8436908904306,465.409594944372,9.13626885592989e-06,5.31743083909922,4.16477950725616e-12,2847.63106650555,3.75904253121531,1.50493615905457e-10,9.16616078001699e-13
KCNIP2,58.9559596511715,8.9405193154999e-12,4381.13275443387,0.000202596154768876,0.00382674550935338,344.586502892173,3.01495604371148e-12,1.0083038912508e-11,0.0422150122346808,4.67834792367143e-13
NTRK2,32.2410219216006,4.7112212363281e-09,1.44965990403473e-11,123.685783571971,1.70169891238807e-13,4.81292974705223e-14,3.02959064382213,0.00841995399056737,3.5607527514724e-14,8.32333763089069e-15
MMP3,1.40307972458384e-18,3003.12672737479,1.37036643000106e-18,1.17768617327009e-13,1.50654890720997e-13,7.32483296671788e-15,1499.60058147156,1.57040016148974e-16,1.24218899165646e-12,2.5058655979266e-13
ROBO2,9.6185914769333e-15,1387.21995017323,4.64667628029793e-11,454.801787348014,6.90569885726794e-16,6.76382084398867e-14,0.413403836091925,9.60406912094911e-06,1.01365183778209e-12,321.114807606052
SPINK2,1452.6130665177,69.7683000618588,3564.7983232382,3.19092277669165e-12,1.13635600532988e-08,1.43176814510395e-13,3.08409666945874,1.75432095786163e-12,83.8492824839423,9.64267585047863e-10
EPHB1,1.4592066715101e-13,1725.25380345767,1.07419092491386e-13,1.09398739229535e-10,4.20180964049268e-12,541.852822092194,4.11111234036448e-13,432.314546174799,1.01771576458341,0.284185781026275
TCTEX1D2,14.1621588263763,544.666741660757,1097.40684367362,1202.94816328888,19.9352474366554,5.62172946516307e-07,141.378119744736,1.77716806281517,8.59435400179245e-06,84.8720792460046
RYR1,0.263870721707859,334.132365497911,2614.56431162048,687.820321840833,7.94531038340932e-07,6.24340597847386e-13,1.49236413802375e-12,1.84607694022435e-12,182.678632857483,1328.47050960032
FCAMR,159.17178722632,1.09164872203579e-13,8.03470328038008e-07,2.47261578782768e-11,0.017301626199384,119.048429004292,6.40894920483391e-13,1.10938661034556e-11,124.613113960947,3.34849286288615e-14
CCNI2,8.80836896979217e-14,3800.4928530847,2.09482356174236e-16,3.76210900270806e-13,2.26392632481787e-13,1.45853818844601e-06,0.0392372599488811,4.23753027839455e-13,1.67258942374832e-14,2.02484579045952e-12
ATP4B,2.51087402296319e-26,7.93167980918297e-26,467.093250110771,44.6528186900116,2.2675258776183e-15,231.404714447897,0.0544555240299918,1.30560572425547e-08,2.91439344256632e-11,1.77992069630601e-24
CCL8,7.59230142289718e-14,4.70998300528845e-11,1.68052926025123e-13,1.75948000122611e-07,3.50229980191826e-13,574.261026668208,823.881243151563,6.20770851993752e-14,1.27253062782808e-12,1290.36564728682
RTN2,2257.99785368161,2690.2529055543,2.66284899342468e-09,0.123094517203634,1.36613913846014e-07,8.99899434961924e-13,305.425821513689,142.847638711548,146.258733751364,328.719350707469
TFF1,1.20059920888285e-18,2.99350252148301e-28,340.083135651559,338.454907267696,1.19186378029585e-17,155.345816877638,0.0343395356722383,1.58689722755234e-09,6.98320858559847e-05,4.39955962725987e-18
AQP9,3.28465829010829e-13,5.04368995599832e-05,3.815822639238e-12,138.583394982381,4.31935140852715e-14,493.719321924828,1165.05870150185,1.35814333869849e-12,197.271898850529,2483.67498731191
RSAD2,69.8530208435468,0.0274675987760152,3.49573887200627e-12,104.056604667999,3.46621400791269e-14,144.868775177605,1135.65977220535,4.03737189081362e-09,2.93725354499884e-13,609.250134220599
C11orf41,387.154206626741,476.069695417866,0.000122887978210758,0.0306403649276556,7.27781633866946e-15,2.38028507664682e-14,2.40742532562462,1648.45387074226,2.2249863808715e-15,2.61950235488177e-14
SSTR2,1074.39949325623,893.466476593948,840.19303758886,50.9706031220578,1.37529960728011e-13,3.40515663158096e-13,2.92506324131376e-13,1.29983674653956e-13,336.703657523874,60.300560253863
IL10,3.97869938713361e-10,0.0501457068416546,1.45519371049329e-05,131.643142421886,2.77774295013411e-06,1909.85811857389,125.253296453969,7.34955590823223e-07,0.872993942750006,805.290780414552
SCN4A,2.56075709662302e-15,3541.60304525927,2.83385708031082e-14,3.53377339122072e-14,8.3351476021176e-12,1.47896683565033e-14,0.000232760855728221,85.9509039225097,3.9966853563236e-15,6.99239663567226e-15
CCR6,1.91677610335986e-11,3.7935770902755e-13,93.5051106188063,8.69264260759364e-12,1824.91911133718,0.0865929578064949,3.27636596064108e-11,661.678834535805,1.25831414775942e-12,22.5075119798403
CDHR3,7.26834555492301e-13,1.41234732904387e-14,5.75441047984226e-14,5.92915822804066e-12,1663.32857086626,2.97401800815361e-11,1.90852058790704e-16,393.35823187689,3.59711999689459e-13,6.70018690003552e-08
FIGF,5.51444373979672e-16,2.89580209318512e-21,1.19371537290812e-24,6.83960248468404e-14,24.0288446741735,3.46786057814263e-22,2115.48932563987,5.05366119930272e-23,2.79748651953441e-18,1.18789876791553e-19
LILRA3,1.75103048693401e-13,31.7339632423573,1.16798835303238e-12,0.28001713449803,6.49133154017638e-14,1220.80356556277,20.9936155562838,2.49843529524529e-13,4.78364685998307e-14,878.353714025688
SFRP4,10.7151082757026,191.433225021736,377.999429966593,735.423312780488,371.304048646827,45.358910364451,9.38408872051239e-07,1031.89326827831,589.382244252779,0.00023076989110136
CHN2,0.00244180052271647,2859.53793418768,3.39131676190047e-13,0.0109021745285045,200.329579348825,282.198388091275,1083.65891745122,173.530213392917,2.44363087539558e-13,3.38646917655822e-05
LYPD1,2934.48123755782,7.41103979985288e-15,1.90294926605542,1.00802031854093,2.91482666341614e-13,50.140513618852,1.47256792040051,2.52163560769233e-13,367.627904824996,1.36391054006175e-12
RASSF6,203.176517478888,486.453112107889,373.118846350025,0.0417133793254597,824.167832790746,887.780573645982,0.000923931554611726,992.619918095404,170.957356546433,0.0324313720092764
WASF3,0.00177590303819871,1.01837203144334,2.05940024831798e-08,76.4650023862805,1.17551574789474e-12,995.077181762085,3.61892364543012e-13,320.761451007792,1.82330331219085e-09,72.6488848316211
CHDH,48.8155394395311,920.572208674807,718.04991726624,3.31615624518506,2597.46244707185,408.641085126921,1.28622772214357e-10,585.460055030927,60.1036703559843,4.14947456547903e-05
MMP11,841.816893231489,87.727212786836,191.818354999951,8.98675979524625e-09,756.757578264391,3.03014359964204e-12,1268.17710253233,305.061629835374,1111.00217026808,9.70272780123485
PDE9A,1331.5575654181,2963.16443613397,7.69206525267971e-10,213.922760854781,0.0500834897447497,5.75045201601011e-10,395.542018564877,20.9278394816748,3.29488843947001e-12,0.0145917191187291
C11orf9,5.73663193456291e-14,6.80354069854838e-13,6.82285639228584,216.37541969382,1739.61431662367,2.09743197314636e-12,3.81882510880438e-13,1.08695801808359e-12,401.457963382725,1.08791501962736
HOMER2,5.73144635158753e-10,1285.91775142249,75.7498594705747,289.159257614079,9.71437641219543e-14,3.86696171576079e-12,3.18259470611198e-06,610.077671004992,3.54258334904139e-13,9.26172983000003e-11
KIF26B,0.00231584302765215,3164.64585437119,863.274210686933,9.47958634377493e-05,0.0114980712310032,477.994466724996,773.503715734837,254.936035557131,4.44393327519923e-08,2.45617364323156
KIAA1199,2.33264582802879e-12,20.9125378962098,8.77602565671955,21.4640906956912,53.1405614104723,304.554509383621,2918.62634299107,49.0194941501529,74.4767840889566,184.89857746993
GLDC,6.00649555042655e-14,1604.99467000782,57.4413971200199,157.431346736864,7.06926546806048e-10,793.394270893401,927.303308976336,1.50150865161557e-12,3.07478346430367e-12,1.72433179442804
JAG1,7.79711225193806,0.0932184464969272,3.87752828995502e-06,269.953590636311,7.49612486646967e-09,186.535237054908,1436.46085712218,123.972474435074,0.064175536891461,432.920865032826
C18orf1,188.986293024111,0.000331406060648411,0.00721320705616405,1.23766411485326e-08,740.124340123829,516.156365628714,67.7816593347016,1164.87525830517,255.24985759102,44.8006616982595
GZMM,436.633971359829,153.994268570509,213.818132596802,434.02116050768,504.784530985467,3.68545325484722e-05,3.10179945170105e-09,212.356576623388,12.1177200084557,3724.98401842927
GNAZ,143.916249386494,0.010775042315557,2.1101145818033e-10,1053.72595696265,1659.04691818257,1339.9351318367,7.98095377383548e-06,128.425206119407,3.21060797244631e-11,42.5659111858138
C7orf68,45.8754567824999,1169.55039824503,688.354140658761,862.559059413868,0.000305454497828823,652.173593109105,337.440256477431,18.6233498838232,1046.59661608415,0.117069480341979
SDK1,10.3453054752134,237.906060599518,3405.61486415277,1.34813548203135e-12,1.04054165408106e-11,5.01077229809334e-07,337.971472896226,312.378045764714,6.40719131251008,249.732253956247
MYO6,391.404788104304,2377.98662481318,5.86647343900956e-07,1.86265940162133e-12,847.937944288834,405.895479693862,343.061774719705,211.632825524728,728.910780629161,227.614993193247
KSR1,0.000614703312538455,1.68589626671911e-12,24.3263375443171,6.38040371924072e-08,170.558677001531,438.755269030531,894.280449950186,32.0262991599269,5.70226050306883e-08,1063.28766362743
CXCL11,0.000268445675327598,0.000181471654837689,0.0299647024370791,2.37573582118023,146.73912165415,1036.46233801654,267.321550147097,6.39698154867006,382.119053820515,1609.77710537966
KREMEN2,1275.32835653289,1433.98567966786,1387.14727313149,564.219958669328,648.988370098839,139.642433062004,637.754390820579,195.521837867627,0.0125869096328528,3.50415940558365
NLRP7,767.849476443692,8.82178266192491e-13,4.23714641030825e-14,576.426461347186,70.5495875688337,207.308810071829,1581.54699592216,9.61448544315826e-09,14.1772682764618,48.1873339630492
TCTN1,5.87152424384006,768.854114365517,791.013373720585,116.15267694296,468.686073312944,5.92508057610343e-12,3.10708187557,1276.04718550275,206.183527307537,1.60549461554864e-06
GSTM2,3.31036765664545,175.988512387304,263.596124664082,1121.13719801478,0.330937015921398,115.466156170684,80.9075967490959,134.794681086165,1.37699648182942,1742.64092517376
PTPRM,1.61400635457827,9.30549398743423e-07,494.731774581073,0.000884040390303457,588.023454635709,82.2958586373668,794.990427989189,220.663703520816,0.000103745746564031,109.783673151519
MYH11,0.739402272381679,1956.62598390183,223.431972048382,15.4108357374052,4.26963273986121e-05,392.049042211453,727.550325459713,258.982415458641,0.130551625910727,0.00023593789359136
ANGPTL4,1.88528834016278e-05,379.45193302213,1.38097409449587e-05,1978.88422687761,2.04941611290191e-13,73.6215516655626,526.488797909319,1.61624801766877e-06,441.373876949724,105.442990390877
FAM81A,645.836390777662,4.62730708617798e-07,2543.82452688283,16.5605889965333,427.329244595488,286.076612800025,1.13281978657592e-12,383.040009768355,177.379953146012,3.19528010957372e-13
NRN1,1418.10192749734,339.321070689563,125.711564129052,106.369067581509,600.343928464705,374.780183203818,0.400586759703156,482.032043707714,9.74363728658057e-08,112.072702932684
JSRP1,216.592791367141,2.80415160253788e-08,2270.86550048998,3.7089385761604,1568.00331153088,6.16049664435267e-13,93.9098377295724,190.193885109697,0.00613683821864767,2.11918859195278
PTPRF,11.13552695427,6.77950790208146e-09,753.600022184659,0.0437116853404136,778.153493698788,0.0574997127340485,444.588691890047,650.504235889298,2.23887586886643,182.825536789036
C5orf33,1613.74206056472,266.574823218205,61.0658012857361,266.126388710801,917.563783621868,174.250646924397,390.929355207734,1465.21755911509,117.505543570195,228.325437615482
NEIL1,779.797061680675,123.924494687732,1518.40702899873,1036.32803557626,213.121743878573,2.08832103144002e-08,119.912532349972,547.373368726486,829.780394840002,3.51650555416737e-13
SULT1A1,107.427708001409,131.521873543752,2035.71204778612,220.451211744818,116.525901398356,33.3765819903297,1.99164493448485e-10,0.0828921153329969,2196.10636509121,696.431249500419
ADAM12,262.103044330671,196.041321034469,670.911857752991,0.000511004743534465,0.00113445196490904,3.24274647099937,2046.98894425133,1383.42442869443,13.8438812521169,409.983978146857
KANK2,437.157797947479,403.096971727707,309.293783915944,231.858371416644,783.994373003212,41.5580231862034,814.73594964177,1983.32699076097,18.8043214093813,311.201182426591
PILRA,2.87316312351552e-05,169.645673340957,3.52992790888747e-06,26.3662305462971,7.370537713009,222.21402207105,282.622586753519,134.067269792256,1625.04906513787,2892.80172217522
GAB2,2.3916554254031,8.52026912996732e-05,53.8773098091862,0.000300240901360175,824.03710944955,525.96890518877,1280.34574237107,499.885922358622,121.558278297071,486.99394547634
HLA-G,1092.80709062715,78.3311746194358,0.000374124191196738,0.000984012386251894,1516.29764427446,145.106550449036,615.583319916422,121.107106346803,1175.46403334358,2001.01275088793
