S9,S6,S2,S5,S3,S7,ITTH
TCGA.L5.A4OF.01,0.110272848550975,0.390502493417503,1.63593908540838e-05,0.432932854035304,0.0061707132037906,0.0601047314015733,0.654852126034167
TCGA.LN.A49R.01,0.038120435391903,0.085281427949105,0.642861769188181,4.09315089237965e-05,0.0964087894551977,0.137286646506689,0.623440247825266
TCGA.Z6.A9VB.01,0.0189610729218478,0.317698631902378,0.409004107587354,0.0175819279988184,0.0422131334021139,0.194541126187488,0.74132552648449
TCGA.L5.A8NF.01,2.98707564439433e-06,0.311840455589312,6.41444008734101e-06,0.652661244709346,3.34770460947199e-06,0.0354855504810004,0.424440324034239
TCGA.VR.AA7B.01,0.171996342436424,0.21442476566964,3.35988978361777e-05,8.79736670314165e-06,0.00182351590945113,0.611712979719946,0.527712600437658
TCGA.2H.A9GN.01,0.25604488005029,0.397143027966318,3.37614111993738e-06,0.28399379062751,0.00100094539504951,0.0618139798197121,0.698808352810862
TCGA.IG.A4QS.01,0.166867283452582,0.221382787068979,3.56016711309251e-06,0.516500508879199,0.0951910841089714,5.47763231559238e-05,0.668784040369248
TCGA.LN.A5U6.01,0.00468504034738444,0.0386371351711031,0.184603734235807,1.34622578681143e-05,0.121535379007594,0.650525248980244,0.557403957384368
TCGA.LN.A9FP.01,0.359312363979798,6.4241106879163e-05,0.315222350713481,0.000242180982029503,0.320049269017505,0.00510959420030749,0.628387710737566
TCGA.JY.A939.01,1.38661176963987e-05,0.476963295137376,1.53545254923879e-06,0.522964372096335,4.86634858917603e-05,8.26771015164283e-06,0.386696184725015
TCGA.VR.A8EY.01,0.102030731170237,0.280783524297027,0.206719404943575,1.17596490412659e-05,0.0514631441305961,0.358991435809524,0.801439907411457
TCGA.IG.A6QS.01,0.0653903413402126,0.0544322383569016,0.0331025661691825,0.000691774231935691,0.298802827941869,0.547580251959899,0.639238093051317
TCGA.L5.A4OT.01,1.66679114880324e-06,0.394239062020339,1.36264673788351e-06,0.565430381163096,0.038274908795487,0.00205261858319118,0.461546458017614
TCGA.V5.AASX.01,0.205937508081767,0.11415939356745,0.00444521209144273,0.578311976722537,0.000958759452557261,0.0961871500842462,0.639498385350003
TCGA.X8.AAAR.01,0.463950522864531,2.99048985708357e-07,1.32382747381751e-06,0.496757953194167,0.0392874650082258,2.43605661685381e-06,0.463836201558029
TCGA.LN.A8I1.01,3.18564348614495e-05,0.000102874262863531,0.856597749822054,1.34778006361119e-05,0.143234955519822,1.90861597626926e-05,0.230258077211609
TCGA.Z6.AAPN.01,0.0435055303355288,0.285944643901511,7.50786868352858e-06,0.0471734075817747,0.313183097997126,0.310185812315376,0.761944298992027
TCGA.L5.A43H.01,9.51489518013875e-07,0.219124663211428,0.278000213224007,0.101803613696212,0.0920687740429716,0.309001784335864,0.83919581135929
TCGA.R6.A6DN.01,0.232202922906134,0.506060258299749,6.71074252592752e-05,0.082725931214106,1.74889533350772e-05,0.178926291201417,0.668966949234676
TCGA.JY.A93E.01,0.0584521439809804,0.413989679471751,2.89456894794619e-06,0.474946129064836,7.17870924302873e-06,0.0526019742042418,0.58028928786008
TCGA.JY.A6FH.01,0.240437086699444,0.330857046723436,0.0059006046501441,0.387837899499669,0.00480495036401661,0.0301624120632896,0.690679340295869
TCGA.JY.A6FB.01,0.360070891741998,0.231654796837541,5.72240050726751e-07,0.391738902241355,1.19764383043068e-06,0.0165336392952246,0.637120181825499
TCGA.LN.A49Y.01,4.34532888095084e-06,0.809386797704022,0.021727235690629,4.18081583418785e-06,0.168874829271688,2.61118894576711e-06,0.309675953318803
TCGA.L5.A43J.01,0.0104812084294389,0.12654019452243,5.97002272623658e-05,0.0133002710960249,0.102123200677766,0.747495425047078,0.45650048830833
TCGA.V5.A7RC.06,2.75014445143862e-06,0.523250183989602,0.380482947209716,5.15141114009747e-06,1.46985937034895e-05,0.0962442686513868,0.520231219608074
TCGA.LN.A7HY.01,0.121440947347735,0.764597330060321,0.000504151162946621,8.92176134347592e-05,0.113332767295356,3.55865202071654e-05,0.397965142766598
TCGA.L5.A88W.01,0.085613089384042,0.117926682112956,2.06931218104695e-06,0.0206723839996187,0.379414910688217,0.396370864502985,0.712840772185233
TCGA.V5.A7RE.01,0.317675704696605,0.236268309426935,0.01638528250496,0.362284865058695,0.00680516517271633,0.0605806731400884,0.750205107236111
TCGA.Z6.A8JD.01,0.0321936512347243,0.0528253484591915,0.0003185453612113,0.0177861639679622,0.369619528065724,0.527256762911187,0.583532785606947
TCGA.LN.A9FQ.01,0.041165438932877,0.126706605145144,0.597146696560238,0.00228947294000053,9.26170433214523e-06,0.232682524717409,0.58839658097447
TCGA.IG.A4QT.01,0,0.999929133429533,1.64050573884814e-05,5.44615130780557e-05,0,0,0.000438852267780462
