S9,S6,S2,S5,S3,S7
GFRA1,1.8545961187244e-16,1396.32911410118,3.61280290309557e-13,6.32301657114454e-14,1.04222184143372e-15,5.54574905490219e-10
S100A12,1.53804954436865e-07,8.85627365351961e-13,380.075656834515,1.06124360670184e-10,8160.98066901631,1.79235182558155e-07
CHIT1,2.26645241479744e-18,0.0224195735480961,2.74052191847484e-16,1.85395983457967e-16,1.60004587834146e-08,1.0574739058226e-15
DPEP1,1935.46777611795,1.28177613332742e-12,2.59365951050386e-14,1116.46862814851,9.57872415543436e-16,4.50912499012821e-11
KRT81,1.45760657509332e-12,527.492043059297,1.7876908327691e-20,1.10137583515105e-18,8.14357063725622e-18,200.684661780274
GIF,3.81645510000421e-16,44.9018569352676,2.73019481532788e-24,159.359508087199,8.54861664348112e-21,2.46095089567909e-25
APOH,2.06168063874059e-18,1613.11924595585,1.92265434021654e-34,1.55102657919514e-15,1.48931539724778e-30,1.09088381029788e-26
RPTN,0.0163474284616452,3.86403584170774e-12,3589.88850493283,2.90185926065219e-10,2246.06053262128,1.08401702216806e-13
AFP,2.38215351868869e-09,1596.17373837179,5.7641905316895e-25,23.8691563473519,1.91952044821284e-22,2.39249097128298e-18
FBN2,1.37204941774374e-09,557.837207504329,4765.38947677275,1.09691703624239e-07,503.568128416469,778.113272170259
FAM3D,1133.71318752962,2.54227513274404e-10,2.29644667079569e-12,3057.9908968179,2.11088171954057e-10,4.19487925452506e-12
CYP24A1,5.21547004573907e-16,1648.22636329347,9.00145599839238e-08,8.98786274038372e-16,20.8077714817802,974.307775764084
C6orf222,369.321974441595,5.85347060641888e-12,1.4200121385399e-15,2808.48927132012,6.24694954981859e-14,1.86862904826206e-14
HSPA7,3.30418744945381e-14,685.05289247936,5.33140249110901e-09,0.00033575477145509,1595.20253782838,0.840120971713104
TM4SF20,681.581158276495,5.27092239509001e-13,5.12331476227613e-15,2665.08737538385,9.72389349756931e-13,1.98498106973022e-13
SLC34A2,30.1962971190144,1419.28329578353,255.727510255601,1833.28009208499,1.49004623215698e-06,2.84586339372667e-08
COL9A3,205.781722529385,2088.27655828503,5.26362302106486e-15,1.02875448430347e-13,3.91835209566088e-14,1.33822994198697e-06
TRIP13,1718.59865332284,1271.41862482777,815.478265130138,138.110647215781,148.224907346578,1535.35918013407
SOST,1.97448325586602e-16,1.09394860452951e-14,5500.02311079363,6.67822727179245e-13,4.30223654634753e-14,1.47363170544492e-14
FGG,5.95644168874066e-15,1749.55858585976,5.46765430179894e-20,5.48960848178451e-14,1.40046971529287e-20,9.64340120452403e-25
SLC26A3,667.248997804356,3.28002179030256,8.47003689096001e-14,1271.62900513547,5.64993980618241e-14,9.85076898969788e-05
LYRM5,0.00648074470895831,245.872779306336,66.1965156419301,1008.59461055832,1046.49520840418,7.99010458854552e-07
ORM1,1.36984670578927e-17,1465.09481636712,9.38813684487053e-26,1.05783155878746e-13,1.80540114517621e-23,9.73920060792844e-27
FREM2,855.955910108251,400.343814731561,4249.19656534179,0.0024385156663289,4.4270260908968e-13,764.199928098966
GLI2,107.834706551424,5.06498535364588,6176.48935852564,9.97432948843894,4.79947678696497e-13,1902.81681007323
THBS4,1.64362779743198e-15,2.20091229124185e-11,9.06270459338455e-13,2.23581983053969e-05,1.15630797759725e-15,5.25080132270136e-15
PARM1,123.713145214222,1355.12782057532,7.6827400514387,1719.90985552982,7.88420347340748e-08,74.522978803485
SELENBP1,2183.18952250157,661.896707464041,327.156194208195,2956.80994581633,6.58734565055274e-06,6.36518274647003e-11
CAPN14,0.904713944477401,21.3553537322269,6.17039886032221e-05,219.70299016106,4.63291312253837e-11,0.00796257895644748
TNFRSF6B,1508.81936179482,6.93389900260321e-06,2.9650487201518e-13,2377.52857370984,11.7987448959019,783.528890708781
ZNF322A,35.4320444909826,2872.93806278671,594.023794848591,118.717893665576,1213.70921568788,0.221058666139954
CDC6,5806.42302323994,1272.19137656603,853.510855003827,0.00134991451387762,149.099753527038,792.214649527736
ERN2,869.057824202953,0.000162734987507165,2.95633426668807e-13,5337.14033491233,2.79962079854827e-12,2.87416839457282e-12
MFSD2A,22.9323107568198,1268.6752535564,1841.42744444761,214.139203464387,0.0421442416243436,942.334498119889
OASL,41.6030218535945,7.69378610102243e-05,2.66376266605989e-13,107.335628981925,1473.34882791223,1610.86300475238
GPA33,1936.20145603203,1.17835277015664e-12,9.17766301561223e-16,2519.61099921671,1.21826179262322e-13,2.59017955569347e-11
SLITRK6,9.71496570759923e-14,806.371786258329,5.11565431698381e-14,1.54569733887249e-13,1224.72155989277,1311.82483591183
HES2,0.0138391327108372,253.834069671727,75.3083149003483,1.08891352383889e-08,9338.93259602922,2024.9866764565
TMPRSS11A,12.7340510342586,0.0110931791633184,1733.05524284328,0.00249044167826342,0.384999552382692,479.849343405635
