S9,S8,S3,S5,S2,S11,S7
PRG4,1.9070314848326e-26,4.90460868085237e-29,6.70617468806009e-33,3.23009255543151e-31,1.89774980046887e-26,7.29032289226211e-28,12064.2144319086
C1QTNF3,3.76139041668884e-08,1516.81950655832,4.84958186378536e-12,796.700259606039,4.002884662124,5.36552416190139e-13,0.11919695713923
FOSB,1030.38071967284,5.93930807531303,2134.42335551583,0.842471314346658,0.0321917196628883,574.865780325913,2.91351487859787e-15
STC1,0.00224041175537837,2.55387946513124e-12,845.334820881329,1.27229906639537e-13,1.06334978005862e-12,888.758584947513,2856.66705080788
SLN,3.02449215834945e-15,129.047999363864,1.550270554136e-15,4.40198996945988e-11,2572.21937193987,400.004803093347,1.70598725780403e-15
C7,1.42399724267702e-14,5.21474436402431e-15,4.3044257374222e-18,1.21332238018255e-14,3.5513067310788e-12,3.06599628432657e-07,10723.7494557822
LOXL1,28.5441177513442,3.16998732615979e-12,2.61163113261968,16.346526614193,6.70051537989815e-08,154.225099026426,1341.5051611298
PTCH1,0.0146741302613845,2518.88191475633,1871.21725805858,1314.51148074009,1.17362768804437e-05,3.30621596927148,3395.1735108724
ACCN4,2796.96495936652,969.800931591559,5131.27781412253,2.60112953487001e-06,822.80788570793,7.66572192367236e-12,1.17794793535636e-13
C7orf64,1.56584160457613e-05,0.0186114614566419,384.535050186104,645.3414951468,2188.78799465668,2263.00544101023,1.23599705243384
HP,6.51938963783094e-12,5.59410263867776e-16,4.86001436279802e-14,3.77979133932277e-05,942.25390692663,1401.05976124838,7.70300046232463
NCRNA00201,1501.56120785015,218.578669863419,4545.58391638165,1069.292864061,0.00127173654760365,31.6287033996689,1198.03144331904
AZGP1,524.739317118085,169.92785707395,0.00904992322564403,4.32724402921502e-06,2083.4831405486,1.59976462593511e-12,2.99209674573096e-14
CDKN2A,1.67442127151395e-13,1064.62704891294,5026.08511426141,1412.99959546046,320.0836023753,7.86434107124067e-05,2.47834551320886e-07
COL14A1,3.27257800836716e-16,273.004323719275,6.60070842636508e-14,936.935745010735,2.4195986833595e-07,395.527145948818,3421.46538507491
PDSS2,36.5165099334348,0.00306834677405152,3023.55418595955,1690.72064882688,432.927466001734,0.00496274768139919,381.860123975066
HMGA2,3.00642783684069e-19,9.29974000829764e-06,6.04719476208553e-08,3.83137834756552e-07,132.258364526779,2.09817573972199e-14,7649.58588764208
SYN2,3.50820673340917e-12,1.06207597265886e-10,163.742820698842,1.53635434990815e-13,0.165843611685815,1.36736025256612e-10,1.34526995045129e-11
OAS1,1273.44232311015,4.14924164859475,4.97387104259036e-13,2107.57668616522,983.341949123756,0.000674103497097677,3.2198656679473e-07
