S6,S2,S12,S7,S14,S11,S13,ITTH
TCGA.KN.8419.01,0.000335899667716541,0.582001094724836,0.204544986135646,3.00849088044867e-05,0.212516977066649,5.4393393646487e-05,0.000516564102701612,0.501672307242349
TCGA.KL.8346.01,0.300938427731542,0.000161683792381807,0.0218727713758593,0.00497448083846581,0.131027153895301,0.083521113137838,0.457504369228612,0.67021877407061
TCGA.KN.8422.01,0.17813188815603,1.87504971824934e-05,0.469416690155714,0.101583670189179,4.5735885685625e-05,9.23179747678964e-06,0.250794033318732,0.638404557639234
TCGA.KM.8440.01,0.210041130533579,0.293076579590439,0.312355633057766,0.0155793185985945,9.181941728608e-05,9.00091828725633e-05,0.168765509619463,0.728566349760995
TCGA.KO.8414.01,0.19168755371105,0.393727667983124,0.0340553797913808,0.0220919357394459,0.0013831621781568,0.355936509814428,0.00111779078241513,0.651289259290347
TCGA.KL.8323.01,0.374562730606967,0.142331534075524,0.408879411223581,0.0249379455688554,0.0491780329819032,2.56310224679981e-06,0.000107782440922492,0.643501122278792
TCGA.KM.8639.01,0.134277262829376,0.0097234071510337,0.228289443563252,0.0617135888888479,0.012470004255638,0.143458202055444,0.410068091256407,0.78243014012687
TCGA.KN.8423.01,0.000167311288055193,0.591889969246443,0.00428797125591093,0.00780094572705148,0.322371138824175,0.00604095691753901,0.0674417067408248,0.488595731978023
TCGA.KN.8426.01,4.42950935378326e-05,2.75121717297184e-06,0.361539293938025,0.0285486139169872,0.283165963781175,0.326648615866063,5.04661870395223e-05,0.613122000093762
TCGA.KO.8416.01,0.580263101463591,0.177627181682788,2.19704810960305e-06,0.0170675841696745,0.00828885400382497,0.21674183495483,9.24667718286186e-06,0.546541389366012
TCGA.KM.8476.01,0.307980767045085,1.22986380881101e-05,4.24573328121147e-05,0.00031966240463574,9.84960769435609e-05,0.691505441036284,4.08774661519595e-05,0.319778832335439
TCGA.KN.8433.01,5.02242253694944e-05,0.129312987822156,0.000265519601786564,9.42676352438455e-05,0.000398146114778172,0.45825435666734,0.411624497933325,0.510893252484176
TCGA.KL.8331.01,0.477338497969982,0.0241194180985016,0.234901292208549,0.0143459494222655,0.000621200069989866,0.181176153223419,0.0674974890072933,0.688647622572444
TCGA.KL.8342.01,0.438797432665526,2.07589837501169e-05,0.120531676005905,5.35562222899497e-05,0.117184869052689,0.209224389022575,0.114187318047265,0.741834290809394
TCGA.KO.8410.01,2.47065836773325e-05,3.46541865229499e-05,1.70015469536145e-05,0.0340367214510425,0.912801043586985,1.27825586930555e-05,0.0530730900861259,0.182491594113427
TCGA.KN.8424.01,0.340430074831662,0.117724400715522,0.477353691538986,0.0130138532090982,3.59015842597691e-07,0.0289114856216537,0.0225661350672352,0.625004689659341
TCGA.KN.8425.01,0.154095095322855,0.643205704807037,0.0751071829073468,0.000447110571934212,0.00760464832700038,0.0977532199405378,0.0217870381232887,0.574380180026296
TCGA.KO.8409.01,1.86047930278079e-05,0.142893136783289,1.04860171456123e-05,0.000377774367977924,0.103487776440007,0.608935043742192,0.144277177856361,0.563974981297184
TCGA.KL.8324.01,0.0533703595712648,0.177247009399619,0.00121340937708212,0.0915838111986541,0.162943684519707,0.357440270973716,0.156201454959957,0.844605701152145
TCGA.KO.8413.01,3.006541575434e-05,0.104931323221855,0.000329256237142089,0.0886539915276884,0.475373103397535,0.330286571376333,0.000395688823692979,0.604770498119413
TCGA.KM.8439.01,2.02571619198486e-07,0.056340813090789,0.0967259307220964,0.136688547296068,6.80357350503196e-05,0.710175439036719,1.03154765786172e-06,0.464427756821942
TCGA.KL.8329.01,0.263405450051735,0.219740506085563,0.416040034561046,0.000174297417536567,0.000408041482355163,0.0399709809034467,0.0602606894983177,0.694734022646891
TCGA.KL.8334.01,0.474263484596521,0.0807372327847393,0.324937707916332,1.43015755896627e-05,3.0148536537278e-06,0.0844087772902666,0.0356354809828979,0.642338508460246
TCGA.KN.8429.01,0.0900785006733561,0.347073893278945,0.461720030791672,2.64042870193024e-05,0.00145911771181043,0.0948393945452783,0.00480265871191908,0.61655852844562
TCGA.KM.8477.01,0.00148448703037313,0.5745345019995,0.420938932359909,0.00153538806610719,0.000134025168319924,0.000765176652674215,0.000607488723116719,0.366630250522372
TCGA.KL.8343.01,0.0750398543136033,0.792954424606334,0.131938876917866,2.91787285771097e-05,7.35683239146687e-06,2.89167052435893e-05,1.39189598363117e-06,0.332098753756489
TCGA.KL.8341.01,1.96756363068005e-07,2.27866476315455e-07,0.851230824068898,1.13985322634286e-06,0.148613631146893,4.365265153489e-05,0.000110327656608637,0.21681006850162
TCGA.KO.8407.01,0.442344308396281,0.0564856993957039,0.116780181510487,0.00266435285307308,5.12066737739765e-06,0.273117798572764,0.108602538604313,0.711923996743926
TCGA.KM.8441.01,0.000215460165212419,0.000412941251776771,8.97789805697565e-05,0.565028575196045,0.059623021399754,0.374353924674292,0.000276298332350051,0.445366369508158
TCGA.KO.8415.01,0.108287950684016,5.0648517636031e-06,0.318434104880852,4.98454843297818e-06,5.39824398739773e-06,0.573260291293448,2.20549750025005e-06,0.474998499613386
TCGA.KN.8434.01,0.563526362012281,0.0340305052013332,0.177178381985655,2.74609179377356e-05,0.00192650267205,0.124689815867652,0.0986209713430906,0.639932350830943
TCGA.KL.8339.01,9.29436290876675e-06,0.0892569057400606,0.664527822119234,2.90711961368179e-06,1.95591929845677e-06,0.246128366817443,7.27479214412165e-05,0.428157255136044
TCGA.KN.8418.01,0.148091023583148,0.225218990334047,0.368958440849131,1.17431297696298e-05,6.58072618045932e-06,0.078897386703985,0.178815834673739,0.768198140148115
TCGA.KN.8435.01,0.355094867138914,0.134109529584341,0.472008322951522,0.0130366385240494,0.0253720270080347,0.000283663190024765,9.49516031141885e-05,0.588132532702659
TCGA.KN.8427.01,0.0442224472736725,0.0285600250963911,0.0044585982910262,0.00436210827146533,0.893147951266973,0.00482692162501636,0.0204219481754555,0.253577979916976
TCGA.KO.8403.01,0.363089265152306,0.000222661023881767,0.236418202116126,0.000170276158014468,0.000352603417300709,0.39943125676449,0.000315735367882199,0.557097319993431
TCGA.KN.8432.01,2.47604981859929e-05,0.84386712262771,3.65403276988515e-05,0.0795075365698625,0.0293732088398909,0.0470765167981691,0.000114314338482293,0.305110704041154
TCGA.KL.8335.01,0.147520025584895,0.166699341902738,0.451582121468955,5.63482919980233e-07,2.80011156040559e-06,0.038103041671075,0.196092105777856,0.711231989356093
TCGA.KL.8326.01,0.339601763877189,0.0082177748781499,0.000712264170474379,0.0547856529388685,0.000266783031986745,0.537141160720953,0.0592746003823787,0.55193123191484
