S6,S2,S12,S7,S14,S11,S13
PLEKHO1,223.190699557926,0.00145220153409242,7.75180552958403e-11,100.151895084629,330.489537686066,468.363676864886,9.64354949136576e-11
ADAM33,1.99831882012088e-11,2.51746767992781e-11,5.57492583148325e-12,4.76693072091914e-12,1.23780091743085e-11,4.57015163617706e-12,3.51778598179541e-12
PXDN,441.420160270458,6.19981785928886e-06,298.509551874665,8.35163304718619,0.00217229584363652,7.01878885402943e-08,561.880227993647
FBLN1,7.59800027611948e-11,1.68450089070198e-10,5.58939689195683e-11,3.75946889574083e-11,352.789082695894,5.77602144329431e-11,1.88250628270575e-08
ADAMTS1,2.05584825484718e-08,6.30774597016208e-11,6.11960156227823e-11,294.690788270075,1156.71495344829,2.99025045310765,406.131454231228
CD14,0.00756175711883805,2.51968301487511e-06,9.38197401350504e-09,6.78884022737965e-11,5.20038629384514e-05,1576.12267886696,4.47310806456972e-09
MT3,194.232462443712,2.00637354635371e-07,1449.49039670245,672.49011819158,4.17328593764528e-11,3.0485946661983e-08,3459.36747090471
CD68,7.10347267079534e-11,7.91582389282197e-11,8.47388620517761e-11,4.84119083616999e-11,0.000200198692996869,973.704216583733,8.72167992599761e-11
FRG2C,1.46156696771826e-11,8.38046866489969e-12,450.411827207231,7.44476726422577e-11,4.01290433966628e-11,697.167137072545,3312.15684074914
LYZ,6.22045740219351e-11,7.6559668009335e-11,8.91843928539519e-11,3.593561408641e-11,1.57499089091185e-10,453.240443460773,9.13164056590528e-11
LAMB3,7.6421572489656e-11,4.81387547053603e-11,5.38731440482008e-11,70.7887611393031,3.69052687419284e-09,5.72494497494111e-11,6.6592714924287e-11
CPLX1,6.25255524739954e-11,2.62765614354082e-08,8.1517163419457e-11,8884.82639343846,6.14324093295183e-11,735.308299471606,6403.00951355215
ITGB1BP3,0.00174057825082683,7.24108599715412e-11,1008.10744646865,9.37952500005411e-11,5.61804676879903e-11,2421.66990821504,1497.3359527732
ADH4,8.55473748895167e-10,3222.1439443735,5.53648974022395e-11,3.90061672252054e-11,4052.42811659112,5.0611654985164e-11,6.69597109957284e-11
SHISA3,1.55213242749564e-11,9.41850272409051e-11,2.48526790195981e-11,3004.39820039058,10717.7561995412,3.76800051577541e-11,3.01038566202067e-11
