S7,S2,S1,S10,S12,S8,S5,ITTH
TCGA.BP.4162.01,0.657345858321389,0.00364478361620176,0.29802437294892,0.0295504790507781,0.00390884805796926,0.00274020344251328,0.00478545456222784,0.423710426874477
TCGA.DV.5566.01,0.63254441372868,0.00258029768195931,0.232328842048957,0.0821669645396417,0.0378989876557927,0.00228848475072504,0.0101920095942444,0.531485112352575
TCGA.BP.5191.01,0.224093763278206,2.48215644024929e-05,0.00213999215913012,0.4267089708485,0.325905312346688,0.00265618930587039,0.0184709504972041,0.599652634052847
TCGA.BP.5200.01,0.529963650245889,0.00499424478853341,0.415787243342991,0.0346192660896108,0.00621959018104309,1.5843261922209e-05,0.00840016209001112,0.470838245792924
TCGA.BP.4347.01,0.660619793955554,0.0223004036663292,0.222261090348092,0.0733530084521974,0.0203968649955418,0.000204860792483474,0.000863977789801676,0.499410377891012
TCGA.BP.4770.01,0.00163053009981033,0.000341037485013127,0.0104536197065114,0.963169548400569,0.000780290648406858,0.00046481419970084,0.0231601594599883,0.0993702054085257
TCGA.BP.4762.01,0.701086018486106,2.49457810240686e-06,0.0134682541450675,0.248234842698478,0.022277544841761,0.00280073497735615,0.0121301102731292,0.415041227101569
TCGA.BP.4158.01,0.707882540295844,0.0113317294876994,0.15802063432529,0.109085513070957,0.0100812637052832,0.000669736353746237,0.00292858276118078,0.460911569101388
TCGA.CJ.4887.01,0.854577382859422,0.000107160722997681,0.0630056114228685,0.0777970283340109,0.000104931640123025,0.000473596414504731,0.00393428860607317,0.274677367198586
TCGA.B2.4098.01,0.553957680114735,0.13191202264975,0.0223930836198778,0.0745809602223167,0.205821454027257,0.0022940501527898,0.00904074921327431,0.644901997187294
TCGA.CJ.5676.01,0.377101339147157,0.000166704313402736,0.308453393065801,0.309358734703384,0.00285838596967431,0.00141621616246615,0.000645226638114516,0.578517063946186
TCGA.A3.3370.01,0.743124515752044,0.00986626182750258,0.200626472497778,0.0403005130006995,0.00132532092880675,0.00242071058331842,0.00233620540985092,0.388200947767028
TCGA.B0.5102.01,0.618248344339279,0.0335961361248938,0.136412617863951,0.137184455147056,0.068758315932758,0.00208807340873553,0.00371205718332633,0.602949104773776
TCGA.B0.5701.01,0.768636483652473,0.0296160955319495,0.0096509688433661,0.0648499760677215,0.112777965900346,0.00270874256322479,0.0117597674409192,0.433249979381066
TCGA.CJ.4905.01,0.687625956299547,0.0143621137723295,0.142152574988056,0.14084601298682,0.00378393617652202,0.00417405332849183,0.00705535244823444,0.488602908510494
TCGA.CJ.5682.01,0.800272111953368,0.00784832860395459,0.00140157948787612,0.174237969440644,0.0117376934649988,0.000415202323120629,0.00408711472603841,0.312395482010767
TCGA.AK.3428.01,0.537138553742669,0.00829340136557463,0.203154330477829,0.219912853790422,0.0219744773439208,0.00102162245798959,0.00850476082159449,0.59709767720673
TCGA.BP.4760.01,0.129485751369922,0.0744272012198644,0.0686871360760664,0.097184490615912,0.61526139725004,0.00154202272871747,0.013412000739478,0.634770796978959
TCGA.B4.5378.01,0.129968855331829,0.082289546144799,0.307281544384892,0.0891835458368061,0.381805598296906,0.000270193622666202,0.00920071638210201,0.751238746167594
TCGA.B8.4153.01,0.557759533948739,3.68311583705395e-05,0.324550266275691,0.108529464125654,0.0051962419061574,0.000139950048803946,0.00378771253658445,0.504617877723172
TCGA.CJ.6028.01,0.705688978183496,0.0575735080070675,0.0999956377004867,0.0913144108708045,0.0443808286310784,1.583756590333e-05,0.00103079904116392,0.516293864768546
TCGA.DV.A4VX.01,0.706807266020679,0.0409522123366194,0.0876218400570122,0.113958726077519,0.031010622750365,0.00264655061343806,0.0170027821443673,0.529138417093829
TCGA.BP.4325.01,0.802455890350339,0.00221891822675681,0.14361534830998,0.0498352834847917,0.000243774723897013,0.000682657670507635,0.000948127233728303,0.324746027682876
TCGA.CJ.5689.01,0.540907776580251,0.0697765752516666,0.173387169071169,0.135577310907107,0.051907126184575,0.00110397006296857,0.0273400719422626,0.694983887958665
TCGA.B0.4691.01,0.559943100833451,0.000398763036549578,0.0106807582717741,0.232270525630568,0.194229377475108,0.000558929501669184,0.00191854525088056,0.53953313290377
TCGA.B0.4815.01,0.260771568410792,0.0598841179800272,0.168671823992035,0.239763437238495,0.251489917824013,0.0115318483735094,0.00788728618112825,0.821471923708753
