S7,S2,S1,S10,S12,S8,S5
SMOC1,3.59426577619094e-55,10304.9896990635,4.80123846296399e-26,3.19979191267425e-29,3.28597074719007e-33,1437.26338536937,2237.41911153482
CRTAC1,1.23434659889145e-21,9002.02623376315,4.35516322800039e-14,3.09441685584531e-20,2.0403072110576e-33,2.22050232942487e-07,3.41530810982373e-27
DES,4.9141931454183e-22,2.92179785738309e-45,0.0489064180463968,2.99534543318662e-11,664.586000437708,2.86026734949184e-51,2.0348836506343e-12
SCNN1G,7.57555087690759e-83,4.64849506619059e-42,1780.58658734775,6.74967720868369e-29,1.51103461611156e-28,3.93787451517967e-35,2.87175961626367e-48
SLC13A3,336.189846211067,1234.27439431067,3.72444371586306e-38,4.18627609147747e-42,0.00468723266318625,4.40108358708284e-32,8.04377785352757e-26
PLG,965.079872492925,3.00813874424487e-32,1601.8905538922,1.90839245746353e-18,3.50142638666701e-43,41360.334916008,8.03361448970067e-22
CDHR1,309.24210880129,3.91490024525064e-28,3.20702284893413e-12,940.391327146909,172.558556227596,6.02087825536352e-45,1.03829680444799e-29
HPGD,72.8216105795832,1.6555090036529e-28,1.16463326226301e-05,1.83224660879708e-21,1.44572902037666e-29,1.50736403262475e-35,36351.6462259838
PFKFB2,996.239624591651,5960.4215208555,7.73840071772293e-24,3.44410783172321e-24,458.108110458502,606.720608565357,1731.23339449723
TAT,4.26831441047529e-101,2.51519805111997e-39,1.32561460519364e-146,1.1611660212472e-53,1.05379638288433e-138,57098.9374037603,4.91038540256612e-22
HPX,2.39287360356798e-70,8.33618431764352e-39,3.37423442506456e-72,1.10781827810644e-40,8.02910108374692e-92,56383.472333408,7.99764787449357e-20
MYO7B,1230.67814288982,880.217318773185,5.44984982832952e-22,1.47375062976209e-22,513.139680872679,951.698541398084,1.80997374361225e-19
SLC7A8,1338.70244816037,2966.44486264474,4.72237134889817e-15,2.73443868580659e-24,1.0201288162064e-14,822.523790805547,0.00307206605610263
IL20RB,3.97185376384178e-29,3.35248934783225e-40,2.83468991497116e-39,9.39694951388312e-06,3597.33594013215,1.21377633824139e-36,8.62201319511232e-40
TRIM63,534.762059348404,1313.51207321138,6.94788019164295e-102,7.11046710569552e-69,2.08930517786666e-28,674.758163273294,8.66881757247572e-14
MT1G,8.42578073815442e-12,1.40333131919466,5.19153861094599e-20,717.870410341416,0.000177305786799405,2084.14649874426,0.0276732100299862
