S6,S3,S2,S5,S7
RAG1,212.173131152784,5.28033150215238e-18,0.503369796438437,9.67172085944013e-17,1577.77346342801
OTOF,1154.60591550042,4.54478390308473e-13,1.05288585752113e-22,1.54107429794428e-34,2.87662766273899e-12
C17orf55,465.140832865764,995.131826320042,5.40724163036079e-21,4.16772084831967e-29,5.01524141958995e-22
CADM1,1110.61637022734,406.090762743507,1.80572222346838e-23,5.76564910393878e-33,1.89236451759423e-16
ATP1B2,6.1739450742194e-14,9.0416991334222e-19,8.79483848537553e-15,2.88575272585479e-16,1.94802621830668e-15
TRY6,5.5925758365086e-12,1.02306484282605e-27,470.617980802662,74.9754864165188,37.7672043211861
ACE,1.769019381094e-14,1.3188869338565e-15,1843.33582659015,0.000132619030002527,2.84302467763509e-12
C1QB,6.93020341097343e-05,2.34173747111125e-13,180.395834100953,5.80028331125445e-14,1.39063019681151e-05
COL1A2,0.0362982604490753,1.59935168264487e-13,5.43436774426832,161.112412219133,281.579755374517
MYO18B,568.142932241116,2.11117696732099e-16,0.096528331311293,3.34204767034051e-15,3.83608717830316e-15
APOE,16.8861892563219,8.16548879232664e-12,0.751587018326008,175.687894961857,2.73546600205831e-07
PREX2,2.87439454284481e-28,8.26935206330694e-34,428.251559644923,1.15770071856405e-30,307.40079284828
NPTX2,0.0155061812707443,0.111201915440765,291.496124942635,0.00478975223870954,335.828945932425
NMUR1,1394.37502747007,363.002290530899,0.000317571324057643,1.12393264758784e-15,0.000738080787003664
GJA1,1.63533729339071,1.95849577579758e-14,7.68214706242763e-16,4.91472736880216e-12,539.278358211311
VGLL3,8.41834001902584e-23,642.258841564527,1.0671755063693e-19,2.55231988752968e-16,45.7902795348441
DPYSL3,720.320041373463,4.01983203402492e-08,1026.71025539711,2.84603424135342e-08,147.92125457566
CSPG4,1109.7872044897,1.603109788145,157.841481865859,8.28746783593588e-19,0.000151730785435402
PKLR,0.000234023427479464,5.88261078980568e-16,0.404185589061054,1.73075446460218e-12,2.0998730980144e-10
MLLT4,792.660163230899,6.47482612828878e-15,28.3845377181138,0.0349153223287328,679.229077583812
PTPRF,5.41622219262374e-10,212.724657246919,1.43895073951976e-09,0.970217687043766,239.691362584513
HOXB6,740.344441010671,1299.91294154896,146.547830362663,7.16793803235898e-16,3.80382291018562e-23
TSHZ3,1.9265606692296e-16,616.393767114408,619.88657653479,1183.89994121803,196.405583681708
PI15,3.46626030302566e-17,629.3992520576,1.62872956617558e-12,8.31558451097311e-15,3.05428084727241e-28
COL6A1,2.08019198805195e-08,1.77830962057758e-13,804.871355582795,358.778795644836,679.298258589155
ANXA3,6.04517642043287e-17,199.603031196513,4.65954216084687,264.186837266636,3.74037218241903e-15
KIAA1598,122.305741824671,525.985763824582,0.009288266725165,3.78891747144727e-14,1.36906288319669e-05
GATM,899.452720974592,1.73051618285533e-16,2.23504182128372e-10,2.40113889764896e-14,0.00179652424437755
MMP25,46.6754546377846,153.051248255403,190.013811259677,230.885962468766,8.96129570767514e-13
ZNF532,461.568929844418,645.785127790298,334.991295538313,3.41061431025632e-17,1367.88079189111
FAM38B,80.5035107484642,2.16365706973681e-12,0.191953778401311,9.73230477521623e-16,1.30006391426943
TGM2,189.179860265934,178.596021331823,161.177734465842,45.2252642505831,7.63458567485701e-06
KCNC3,1422.18374312098,268.036665861035,1.47540690446884e-12,2.11738836174318e-23,2.07604356063341e-11
PRSS21,543.23365719977,9.67691032936863,2.7115189519573e-06,1.84730878737889e-13,1.5277051168672e-05
HP,2.81584987096507e-13,632.715958956522,1.89711775573211e-07,570.905510170091,0.70505514696874
MYO16,3.52816609918243e-27,4.20611340577883e-38,1.12862297523278e-29,3.87154142793546e-27,4.70191476002726e-37
OLFM4,9.64612426419588e-19,3.57317173696861,6.40526909498806e-06,5.28395663040998e-14,6.04799824600342e-14
MYEF2,500.542625649372,2.19035436716806e-14,224.688046443196,6.09078200877416e-14,1026.3837428594
A2M,1.53354522224139e-06,0.00106568726491667,1.71170439846047e-10,191.503840367728,1.05316390819319e-08
AKR1C1,6.63639121387035e-07,1.57448378286921e-13,1.69691505660316e-13,3.81284694798556e-21,236.497088021651
S100B,0.106529292246518,4.0018759127103e-05,119.192847594797,1610.50994283186,9.18821705026904e-14
RAB6B,125.375729434503,4.1779801669545e-13,5.27159127044818e-06,296.90315505681,2.34955228833099e-10
WHAMML1,631.771826640061,880.142554452739,0.0138807219298774,61.1707480583782,218.103718138016
MDGA1,4.13958670052765e-05,4.40604663252922e-12,1006.28859665785,526.670096625735,277.145897269069
PRLR,460.480257554972,979.188968245151,6.74661495888472e-14,1.79868104649959e-20,170.919535562892
CYP2S1,176.924128715646,2.01915553819437e-16,1194.02772938255,6.98026860879965e-13,11.5806158961977
SECTM1,0.00051111538991585,76.7407097351601,802.009236295133,1.64284324644512e-16,1.25639324904876e-12
PROS1,4.52429944069682e-20,9.41066168017208e-22,4.46781508445605e-19,3.2658267231049e-22,1.21366085366371e-15
COL14A1,1.81300636335026e-15,7.23467198617872e-21,1.3056506653619e-17,3.7651607071e-15,3.08476081331186e-16
SRGAP3,471.983560442784,0.192902572276269,0.31233710653728,407.513088510561,308.795133136631
COL2A1,8.17349543795184e-17,1.46550388347229e-33,1.14411909228311e-15,382.604279277296,372.113536554246
ALPK3,311.537309682309,3.4718778857771e-14,2.92128076137742e-13,3.50160763295075e-11,0.518383992446205
DOCK6,154.391959489068,1.78609200652528e-13,1.00328204442405e-08,1.08014691130676e-13,1262.76329447981
MDGA2,4.93363097864939e-49,271.625444319126,3.78357802233342e-17,6.18390803529844e-26,201.020911374294
GNLY,0.0870639741447495,4.66954088602581e-13,941.227746539324,1004.76329860486,470.022079694963
CYP27A1,1.93167570223573e-15,417.824838764451,178.120513720457,0.13580086983059,1.87300703592063e-08
GPA33,217.174945909529,7.16644392966169e-14,534.831844690706,0.000347005785930831,282.187366214571
HOXA5,803.846189551344,895.719102482381,279.713122494104,6.69304469056111e-06,6.06992760745915e-15
CRISPLD2,2.06912550713103e-10,1024.46676405043,8.52407863914659e-06,1.01815073978642,10.0575843271379
SLITRK5,0.000248859733902714,393.657586257752,1068.62896366349,3.79638581373403e-16,290.587374638013
CSF1,1.66751629828319e-06,8.93626089671826e-11,619.482767686245,3.58031023139425e-11,53.0538141838423
ESAM,126.221214903601,2.87466273517404e-16,1508.66594291584,97.2449569634503,377.859237836146
LOC644172,1.2846269615013e-13,3.06954079054414e-15,1108.42173028389,1.61693210124226e-14,116.890705959852
FGD6,9.97992292438523e-07,0.703797812083073,120.434832740774,5.55822469954134e-09,302.396637099304
NDST3,2.70252915681556e-15,5.15987974007695e-19,4.5338840124258e-13,315.513742243008,281.244682472064
