S3,S10,S2,S11,S8
ADAM6,225.909944397878,1.01794069459831e-57,5.18068184366297e-26,2.01535613073443e-22,2.63399410465776e-33
MX1,0.00733297551422154,4273.68369804624,7.70352489556472e-20,6.61882728869996e-14,6.46475362794198e-13
CD163,4.90690146694977e-22,9.50447977974122e-43,4.56133860422835e-18,0.0615745390264899,1.72888820191375e-34
NEFM,9.72707012672837e-09,7.34311516431924e-18,4.36216167062819e-24,1.12049351216294e-19,3.74048443882086e-12
COL6A2,9.23606971374873e-14,2375.25399564529,1458.75219190578,5.14103770852196e-29,1.39422701028929e-05
ISG15,13.7541448071497,1426.1331591444,2.73538582092172e-28,9.98363919108522e-08,4642.97382513797
SLC13A4,4.22201951831896e-97,252.825471277429,2.06342291934963e-59,164.752817850331,1.63604515378309e-68
HLA-DPB1,1.74952572847032e-11,8.8630775285273e-08,17280.4936627394,91.2841095219053,3747.56340576066
SDC4,6.02620745713166e-42,3514.10348977279,3.15755277618819e-29,2.50808653943384e-30,7.4308441624041e-19
PCDHGB7,3255.6103049574,797.241135670432,0.030392332101788,1090.47691015091,3.10739489950479e-05
MET,2.19885883620499e-30,1412.3820673223,5223.65041563008,8.16235721612112e-38,0.00344495510923988
SYN2,167.907254577004,2.34978511836698,0.0469482361369784,1.12986149267865,292.103345150344
MDM2,1782.97094333261,6918.65609865557,321.462049224566,818.209707062451,61.4957992997516
CLDN11,6.49463753879072e-12,8.19790329339627e-07,13115.0699271743,0.00531839252574602,3.76463584354687e-06
CARNS1,0.975313732006913,5.2375319224118e-14,5.71598070460214e-11,0.389033601177837,0.000223358517243029
C11orf9,295.554859029441,0.000367534953801959,14216.3920836397,0.893945161625857,3.13491345512848e-08
VEGFA,1128.97365441916,4141.78205861207,5.68223211309895e-10,326.306716052439,0.00610460177826034
ZFP36,5.22539661569835e-11,1063.83083222709,2.28095848255247e-13,0.110959830747869,0.261304388556768
PPP1R1B,1.93747305193138e-15,561.298953481755,1.33013316401312e-16,3.08718824221507e-14,1.15501477282566
FSTL1,0.00403440324421786,7482.2732953371,2.03927201446735e-07,0.44364231419497,0.0225706662098934
ACTN1,470.542495640914,2310.20974123183,0.11838019473068,440.488746347632,2.81073513826341e-05
IGFBP3,796.964919155583,6435.91899264833,0.0305650865382277,55.8081627461746,398.407888413167
TAGLN,198.560278043289,1206.9915798619,7.4012751957729e-18,495.272237044662,3845.52536255677
TAGLN2,1.00777026290479e-06,9350.83921956003,14365.8708670981,8.55762416447405e-13,2558.17254120379
SOX10,1.66034834278499e-25,132.725344712312,54432.1291042418,50.0213301649223,9.85341716225446e-06
ARC,0.00170537155814123,3655.19929365592,8.47509483398577e-11,4.68762627261411e-09,6.97015544995783e-05
