S6,S5,S2,S7,S9,S8,ITTH
TCGA.FV.A495.01,0.332351362902998,0.164316478553722,0.0158767335488112,0.248849031375566,7.26281264987295e-07,0.238605667337637,0.790661708470926
TCGA.CC.A3MB.01,0.769866780177725,0.0536527007206155,0.0396913603850127,0.000419601071560634,0.0607700676768033,0.0755994899682826,0.477209408315024
TCGA.BC.A3KF.01,0.718802842392543,0.215563246333519,0.00017300482453031,0.0130427303033252,0.00630103605186054,0.0461171400942223,0.446497382597664
TCGA.DD.A4NV.01,0.52489031604619,0.383483656149464,0.0354654874427026,6.03481048775386e-05,0.027729334021593,0.0283708582351729,0.572273879169787
TCGA.CC.A1HT.01,0.743677825341414,0.00201384311581738,0.0751627157390459,0.00329224418727894,0.0202430001136407,0.155610371502803,0.454598650624465
TCGA.BD.A3EP.01,0.644888337333968,0.103293974782928,0.0910613771425062,0.0115138644601034,0.0681319617345617,0.081110484545933,0.655091159807181
TCGA.CC.A3MA.01,0.687262185691075,0.000106121202309112,0.0602064604896085,0.000713386758148,0.0966514699619493,0.15506037589691,0.529051174895056
TCGA.ZP.A9CV.01,0.484470920697358,0.136123318663621,0.145130074401269,0.125390011049242,0.108508188512644,0.000377486675865995,0.785253555510775
TCGA.DD.AACY.01,0.460534719421745,0.116580547070146,0.000926134155006131,0.143570766204984,0.217411859028394,0.0609759741197243,0.778616195786881
TCGA.XR.A8TG.01,0.635031034863449,0.276204128784695,0.00398984025255948,0.0195770584155537,0.0525643470814892,0.0126335906022535,0.531787087948773
TCGA.CC.A9FW.01,0.442256944016195,0.000119775016640514,0.0891232357574983,0.000159764503036326,0.367501818534044,0.100838462172585,0.657455779047035
TCGA.BC.A10Y.01,0.654635344589944,0.246787818564615,0.000138299575012368,0.0432635147295848,0.000387434252435398,0.0547875882884082,0.514535785769435
TCGA.KR.A7K7.01,0.165170013936145,0.000417453026238052,0.160915327187037,0.00725574867515891,0.253778610463079,0.412462846712342,0.749923725800401
TCGA.ED.A459.01,0.840703077379017,0.112417224889722,4.80319820986261e-07,0.00163279389582876,1.39445645973988e-06,0.0452450290591517,0.302571699843987
TCGA.PD.A5DF.01,0.689770057280219,0.207673034783281,5.5999030119146e-06,0.0333972795314991,2.01383522331352e-07,0.0691538271184674,0.491658404785946
TCGA.ED.A5KG.01,0.555434253891536,0.00040042928936654,0.010307918889343,0.000739358794743251,0.347466584161817,0.0856514549731949,0.535789830085004
TCGA.DD.AAVX.01,0.0238144842161283,0.165081580573118,0.392415534869539,0.224232393571189,0.165461275508555,0.0289947312614691,0.831037856221513
TCGA.ED.A7PY.01,0.458901389759103,0.0540945719374283,0.00571313831622848,0.117664750803081,0.304234485226359,0.0593916639578007,0.740204045450398
TCGA.RC.A7SF.01,0.585781339424548,0.228793731169703,0.0213770273023054,0.0485951173120597,1.03690510259028e-10,0.115452784687693,0.630192818600411
TCGA.DD.AAW0.01,0.552908354828364,0.238036027157006,0.0798917327346747,0.0514589364432207,0.0628375826043457,0.0148673662323892,0.703397513070584
TCGA.ED.A66X.01,0.46824212687806,0.0231517004000675,2.33267182705324e-07,0.0202067145349313,0.424462049143778,0.0639371757759802,0.592081846376524
TCGA.DD.AAC8.01,0.248716480743184,0.00110105211474292,0.543343298196164,0.00170111864433063,0.0416352978606481,0.163502752440931,0.627489505027681
TCGA.FV.A3I1.01,0.683371838226184,0.115295453225239,0.070623448094256,0.0323912839661483,0.0564790863974798,0.0418388900906926,0.61538631219697
TCGA.RC.A7S9.01,0.185211682079223,0.000448445699209942,0.00126904552461742,0.09219178497769,0.687745447962587,0.0331335937566722,0.51030921377349
TCGA.ZP.A9D2.01,0.850214616034179,0.000455495925042788,0.0198432309100184,0.000339792475978895,0.114704226746618,0.0144426379081631,0.296661094319469
TCGA.G3.A5SL.01,0.150484330174277,0.265643841475149,0.510795094929244,4.67088792799479e-05,0.0322335281651512,0.0407964963768978,0.681999215575196
TCGA.CC.A3M9.01,4.86457953503278e-06,0,5.07011124489405e-06,0,0,0.99999006530922,7.32582527645678e-05
