S6,S5,S2,S7,S9,S8
S100A9,461.180447396061,5.61759581016668e-38,4.15248608514809e-33,3.87016618778611e-23,1.94843611987749e-20,5981.35714558403
HBA2,3.3936326913437e-14,3093.71134659936,4.1109904299733e-11,2.00054617661165e-18,1.55240807062e-25,5706.10943599544
MEST,0.0152596677123887,659.006293182615,9.98429636256572e-20,3.14679673435349e-16,4911.75064401187,7894.94965654556
GSTP1,3.23504958437606e-07,2.32737962693638e-18,1.16076188625814e-23,5.03789159150152e-13,6.87503778686826e-13,2845.76223464005
SNCG,4.20864544599843e-16,9.84583634104853e-33,5.72503198295509e-19,7.04032136211227e-05,7.49623005830473e-31,606.893052708847
EPCAM,1.97476596386455e-09,1.58385025476002e-32,7.0613391644768e-34,4.57455088132805e-16,4278.35922767563,3329.42051304493
HSPA6,3.21051563986036e-15,1.4578449928768e-05,752.983205606103,2.01290365582263e-25,5.47231022135225e-16,2753.60639269061
PCSK1,1.38035405652063e-62,4.36765156678939e-20,1.62638006155626e-48,7.4376292802666e-14,5.5966008578152e-19,4.57903262778899e-31
CEACAM7,1.50680109433345e-67,7.12745149940863e-120,9.09804286086255e-107,7.89405099111209e-86,3.71090027580224e-76,2.40662073025205e-21
CPA1,2.26652076945329e-96,2.44959525854386e-93,6.21139958219166e-104,2.79678563450933e-98,0.0022242345073531,5302.24085562893
KRT19,5.2577585405157e-25,1.69324376588632e-44,4.79934093463296e-42,3.1599003382159e-35,2.13628042886717e-21,2307.0562250847
CPA2,7.80302427292438e-79,2.34007053526992e-106,2.55489362925832e-87,9.00634003977755e-92,0.00621157788721509,5375.3505568693
ANO1,1558.88768033995,10250.8050664802,5.82305902130463e-07,51.1759259976644,1570.58844217249,1.14679485467553e-09
ITIH5,1.50696195329194e-27,1.56203195527876e-49,9.81672156419634e-44,2.86241705006224e-44,9.55991710491621e-34,2.36976082978665e-17
HLA-DRB5,433.686071875224,1362.39402363161,592.58538522521,2974.11161017956,921.049732928802,1572.98478814985
COL2A1,1.3808373168346e-07,3.10708082348474e-27,1.19100748742769e-26,2.71207982697141e-17,8732.29149807054,829.070098733065
