S1,S10,S5,S6,S11,S4,S7,S9,S3,ITTH
TCGA.69.7978.01,0.00158409885561827,0.00370253188636834,0.00111687519971035,0.216298364065693,0.023705418851448,0.187172212480987,0.13826215572762,0.0141050130420728,0.414053329890481,0.669404252400643
TCGA.62.8399.01,0.0146578043847502,0.0133351416511354,0.0250860952602295,0.410365892276913,8.5754496029758e-05,0.460584659584363,0.0627846382421731,0.000103245016878435,0.012996769087528,0.530895747718415
TCGA.78.7539.01,0.0103852841135161,0.0463737954133428,0.037773602865588,0.237825314127158,0.164833886505243,0.254864247863182,0.245766567257714,0.00191508990235208,0.000262211951903623,0.755402669512229
TCGA.73.4658.01,3.85408143723343e-05,0.12878603446821,9.09518103434063e-05,3.3605764842806e-05,0.0155414698360741,0.550394605005057,0.160827319328135,0.00188292967066698,0.142404543302299,0.565343985102434
TCGA.44.6775.01,0.00163289535940622,0.00221940247376253,0.00658376973461363,0.432774366304794,0.253445923507299,0.0318559323182282,0.167479319424091,0.0286847396297908,0.0753236512480134,0.670470167238301
TCGA.44.2655.01,0.226730802118908,0.0804502753534837,0.0590622324441438,0.134180429203837,0.218173676931211,0.115849055996742,0.102553056895053,0.022184536274334,0.0408159347822869,0.913099307596801
TCGA.44.3398.01,4.81950417380165e-07,0.317818321919207,4.47878789430213e-07,8.496881915538e-07,0.285254559931235,2.84410312948619e-05,0.161654845456095,0.0163698261171622,0.218872226027608,0.64484611943324
TCGA.62.8397.01,0.0362775643887809,0.00580460785117271,7.42394582395636e-05,0.0172969833762882,0.553591862831544,0.0594561439307747,0.281929600483949,0.0136449017153445,0.0319240959639069,0.565151573916014
TCGA.53.A4EZ.01,0.0939117197427435,0.0343720368318495,0.0887154115884304,0.651077301737303,0.00259684177007829,2.41057859175648e-08,0.119189226556337,0.0101280766810822,9.36098639047499e-06,0.522424715819388
TCGA.50.7109.01,0.0267567824292425,0.0263842118620748,0.24107719486782,0.474214152867268,0.0819469881645476,0.145047700865718,0.00296093227819352,0.000873994970175724,0.000738041694959568,0.638683644990487
TCGA.38.6178.01,0.000297239985226317,0.0129904139280442,0.00757132449226531,0.333439666017915,0.182300346841755,0.167383971880519,0.239027416304028,0.000164543929357902,0.0568250766208899,0.71817815920521
TCGA.86.8056.01,0.00015686997342491,0.00217651479665302,0.000917804255621345,0.328531187801555,0.256269799295693,0.332826937507936,0.0220896079489412,0.0334597303299729,0.0235715480902029,0.631768832851345
TCGA.55.1592.01,0.0144596519657683,0.00487070264247048,0.0291955028996696,0.507679394364238,0.139278779261156,0.162303325561292,0.116810736435835,0.0254019068695703,0,0.659152291148084
TCGA.86.A4JF.01,0,0.00935620882525167,0.107390754270429,0.125006974608904,0.0589520054382257,0.332345294895166,0.335384293661351,0,0.0315644683006723,0.706229374162222
TCGA.69.7974.01,0.00017168944832105,0.00617896502226549,0.000194011303217382,0.166502593690242,0.0863659050324433,0.401709341958879,0.112156036236656,0.00859049083256462,0.218130966475411,0.696039127636001
TCGA.86.A456.01,0.0530272015303115,0.00380792000047414,0.0372070002104191,0.0586002246720393,0.00620055778642905,0.443171346723471,0.396602647799535,0.00129779380065282,8.53074766676597e-05,0.561636304827758
TCGA.97.8547.01,1.33878121031642e-05,0.00799930840743612,0.009217120391048,0.0456335318196234,0.334429215251941,0.0575028717534496,0.443209532997438,0.0257382632753363,0.0762567682916247,0.639207025020244
TCGA.55.1595.01,1.27349087178039e-05,0.051139291768589,0.0725281851570965,0.30572124674075,0.0270094488456143,0.446080457187929,0.0974565602007522,4.02408824035851e-05,1.18343081475454e-05,0.632568718993928
TCGA.NJ.A4YP.01,0.0263580800156565,0.129401428618795,0.184613775577036,0.20810219590083,0.0911119230908776,0.175314284908854,0.0399689183841091,0.0215446815898322,0.123584711914008,0.906733047573759
TCGA.05.4424.01,0.035995476873354,3.1320878360947e-07,0.0403510254813721,0.572325677501245,0.10302532314543,0.148235865114355,0.0980180342068087,0.00204675575570278,1.52871294834727e-06,0.603517116142541
TCGA.97.A4M7.01,0.000641602606155937,0.00123940643044445,0.0516861137979026,0.185153627763799,0.530271662062428,0.067315414317538,0.147876450290075,0.00721938001115944,0.00859634272049779,0.616947573106517
TCGA.44.2668.01,0.00166380886064509,0.00158050761126497,0.00116451466898031,0.0508621139561048,7.89761507937356e-05,0.0833481497087272,0.108582256604065,0.00426978434733066,0.748449888092089,0.395631357767824
TCGA.NJ.A55A.01,0.000468468288213628,0.0185180756817875,0.015488047117848,0.360539598690912,0.307487495863777,0.203322211330582,0.0784370937732088,0.0156416618884607,9.734736521057e-05,0.665348050977083
TCGA.05.5420.01,5.92409419011433e-05,0.430667408049402,0.508814716963787,0.0423379503209754,8.8570636044558e-05,0.000263284178771107,8.55576675566568e-05,0.00988660125325811,0.00779666998830406,0.422502070081778
TCGA.55.1594.01,0.0259723158001528,0.0347757912384123,0.161537562492914,0.711724026603391,0.0470846447021216,2.66721060424757e-07,0.0176502642591187,3.68503506447635e-07,0.00125475967932351,0.44222620979181
TCGA.44.2659.01,9.69498994765308e-05,0.0484411880206131,3.54081044205371e-05,0.322441573044744,0.359155711394009,0.169947576437216,0.0997479227609309,0.000110768490312037,2.29018482778858e-05,0.643088935114813
TCGA.78.7162.01,0.315439961403956,0.0212725927944164,6.40472330617196e-05,0.180120949757906,0.226020364504385,0.250945553438115,0.000354103664213444,0.00557289146680246,0.000209535737143322,0.669842979226037
TCGA.38.4632.01,1.90747879329454e-05,0.236518205056758,4.63245916730252e-06,0.117344069479396,2.98722800422575e-06,0.148427622958981,0.333888731506882,4.29736112884301e-06,0.16379037916175,0.700205705312079
TCGA.49.6761.01,0.00123989002093694,0.0804170211770092,0.000171251287886542,0.132990338065691,0.00030175465181356,0.344040940719871,0.272550208564241,0.00128729001224224,0.167001305500308,0.688174138526646
TCGA.91.6828.01,0.000255961742689585,0.000400880255353432,0.211909370158347,0.376901333722442,0.0753984431684466,0.333904641937938,0.000522229366308526,0.000442987291952012,0.000264152356522748,0.579151747297673
TCGA.05.4418.01,0.0407995697781114,0.139854127327844,0.270253833115933,0.160351169522778,0.000106886765332375,0.0166182079286572,0.0295893025977465,0.00763235178731544,0.334794551176281,0.741629145010548
TCGA.99.AA5R.01,0.0376040695274191,0.0376100495064795,3.06902937459045e-05,0.000284541621646388,0.107126465140506,0.808979763513272,6.19238622308949e-05,0.00766797402344593,0.000634522511254541,0.319852996099965
TCGA.55.7903.01,0.000324514126236819,0.0633436393742262,3.36572958697227e-05,0.207280384489029,0.0210840055581425,0.367789066688328,0.287350165022479,0.000274980930800924,0.0525195865148878,0.668352050564102
TCGA.55.A492.01,0.726936496885884,0.0486153273864687,0.0523886944004823,5.67014800619243e-05,0.0232843131978331,0.000154204239496557,0.148347403492271,6.41089609492178e-05,0.00015274995655371,0.413169880644164
TCGA.55.8616.01,0.00432537064522264,0.0323361443016838,1.95842895154998e-06,0.228349747210942,0.110766002453219,0.287630848592181,0.336083087593401,1.40131861686504e-06,0.000505439455782455,0.657297328966745
TCGA.86.7954.01,0.00447460969707615,0.00228273871512791,0.0546269185616505,0.514798437439683,0.0957232620055149,0.00449927349348247,0.311569513096798,0.00898250693324611,0.00304274005742085,0.551113478953298
TCGA.05.4433.01,0.0451213309971126,0.0114214130857404,0.00100670361979351,0.3032135582357,0.0230957247478959,0.117187129019809,5.09080967377618e-08,0.498954010896257,7.84895955375165e-08,0.566547027534531
TCGA.69.8253.01,0.160022974454431,0.0359602779053988,0.160319337754523,1.09172491087344e-06,0.269439062832233,0.197054128769832,0.0179849928420996,0.0370374286896667,0.122180705026906,0.833284731006293
TCGA.86.8674.01,0.345131556894616,0.00643202171968209,0.274073072008286,0.111468987879463,0,0.107867018594029,0.137305345237786,0,0.0177219976661372,0.720561782326785
TCGA.69.7765.01,8.29846813613698e-05,0.0339518294697404,0.028390837324755,0.204909106358445,0.125881942379501,0.356496680691543,0.166702770509068,0.000328888357361484,0.0832549602282245,0.763874543349222
TCGA.86.8672.01,0.0871910116944472,0.0658674930245332,0.0628593978493982,0.29586030853999,0.00026353409303412,8.41405833140954e-05,0.215018633479068,0.000115853420888602,0.272739627315327,0.735008854408878
TCGA.97.7547.01,0.000475190795382595,0.000119636243890391,0.0904848229515271,0.184757693064436,0.365964392211842,0.1948386298576,0.0877107168579725,0.0461862317487105,0.0294626862686389,0.764600087498181
TCGA.55.7911.01,5.78534890296218e-05,0.0404832723378161,0.00391686070104342,0.21469304824925,0.00385447148521176,0.404136571904379,0.214750515559255,1.16183639034649e-05,0.118095787910112,0.661174247665426
TCGA.91.6835.01,2.36196017169336e-05,4.33136418412084e-05,3.98894017877247e-05,0.386034108982362,0.107361844387272,0.377539791840033,0.126008970704879,0.00293107124293905,1.73901971681114e-05,0.570796267847595
TCGA.55.A48Z.01,0.000206534314426008,0.00149528347505829,0.0129315202572242,0.309415647825049,0.168527978950624,0.0524882692137726,0.454677201827605,0.000212434354362389,4.51297818781066e-05,0.567108587429736
TCGA.50.5045.01,8.40683508147968e-05,0.303758116221209,0.0132294476222491,0.037795491387542,0.0601756934884177,0.0286256101254314,0.496177958633093,0.013165179705121,0.0469884344661226,0.620333850090561
TCGA.55.7913.01,0.000102315176027154,0.0552033983099474,0.280955795482919,0.438484015394984,0.0341763398880967,0.0709559530118452,0.0533267178169039,0.0134699837801973,0.0533254811390795,0.706712433475721
TCGA.86.8075.01,0.000339911580978477,0.000853051612034423,0.000109194947938973,0.349613758737516,0.118061571641319,0.156205405971158,0.249652933047255,0.0146162850481498,0.110547887413651,0.715025968385326
