S1,S10,S5,S6,S11,S4,S7,S9,S3
MEG3,2.41745750325219e-13,4.57239510959036e-13,21.2648793047588,0.51399584079668,906.001135274545,150.283832438121,552.32978523546,1.26399837217182e-14,4.51306978287759
IGFBP1,3.9866664265833e-14,656.475574382226,1026.65983911375,0.000277657881019384,1.20134479115962e-23,5.72026875603702e-18,1.24262543386064e-17,0.0274054067252069,693.07069188858
ITIH2,208.46858517598,677.588784526849,424.38352837611,28.2500369616243,2.4103828792553e-06,3.40225862576886e-11,7.64396982440291,10.4160539987025,7.16061702574015e-14
DDC,71.8139767898466,2.70288969848546e-09,1374.86703301438,990.960347338351,2.70860576847986e-11,8.30899013522974e-14,6.6897841299941e-15,0.00966686451254757,1.61433725514179e-17
PAX7,1989.65635548,1.76385657592744e-13,1856.79316163252,9.95917366558865e-11,621.939252098859,9.67828384362125,49.0622157767479,5.24125950851412e-15,1.52102595408869e-13
CDH17,56.6909263299457,70.4083588619301,2184.36651352853,288.423824502278,0.000294129024929564,4.27106727535875e-06,1.31183295294156e-11,2829.52557677616,252.394656444192
BARX1,1151.12982839596,556.121416937985,3693.93709243331,30.5409155069548,1.75332007039922e-06,394.19489105769,0.0054724478516011,4.65871264407238e-14,4.02904700619974e-05
DEFA5,0.000787072243954773,2.99337174230084e-14,4.0950122012026e-18,559.271084068532,1.24043121880086e-34,7.24824970540573e-38,3.85269755056815e-33,0.0132264891978829,4.36783716275992e-19
RET,7.86032055317164e-05,9.14660083138097e-06,3007.00791713673,696.190362189181,4.1565839380269e-11,3.92470859844576e-12,1.50715013877069e-14,1.3474685270322e-17,4.57247354048083e-19
PSG4,1.45910337999585e-05,2.08766930898864e-14,0.652483397389824,315.628871181041,9.09801552388064e-27,9.75342383198211e-17,1.99178058429063e-19,1.03329540090202e-15,322.520016448437
TP63,1.78833288510323e-14,0.209423205122258,1.73199041168417e-16,601.384257402009,1109.9601307457,2.15421630621996e-07,5.57482950101786e-08,5.03920116583454,1563.75729199939
MYCL1,1.86331644970869e-05,190.333041377283,1307.25085844737,1225.91526276066,185.962838283268,8.28249404103315,0.00307189792311672,0.00355186170489754,6.68883084774599e-14
CALML5,1.00388041977286e-14,3.09212932648922,8.10281842323913e-15,726.731844678304,6.55169725659178e-12,1.16732762360402e-12,0.768115631914942,1.76596480297922,2.10502219830084e-12
SERPINB5,189.150475014682,80.5587969258039,0.00566523654929305,288.119758983008,2.21112767876532e-13,2.49452813661837e-14,7.30498660896919e-13,4505.30442259985,4122.21052158843
SCN3A,1.30376558580626e-14,0.000904912786680118,776.634582015902,827.057621857169,1.35918258914305e-15,4.19355732514037e-14,9.00042038038381e-18,4.74120597076064e-17,4.31198557043476e-21
ABCA4,92.3983178494911,1063.54208383453,8.71474965155467e-16,22.375233648398,1026.07737140512,941.783684770588,835.422015843414,5.0444096065442e-11,600.052947628642
RSPO3,420.312597334204,950.504426073116,526.846795118368,1.47625779525433,5.24896040935974e-16,2.85161564562933e-14,2.62447630868503e-14,3.81272171487467e-12,3112.09601059993
RASGRF1,2.2715725617258e-12,0.0386162464669033,4.96471088696133e-12,32.4281100089419,2300.86069315565,230.52288327656,0.667023172256128,22.584438995704,0.00495581045033969
PLAC4,3.31286076304481e-12,2.02963792727661e-09,1979.73943304957,1.2042882164652,3.0042636278053e-06,2.72452954613118e-12,1.05163575572301e-13,2.46526121015398e-13,1.40411859325798e-14
TRPC6,0.0321297402426569,1.25659858440425,0.958488586414697,411.276132305952,1331.20226402881,1145.89006394912,12.726229410017,301.830906980871,315.279233770672
PTPRN,285.980173208363,3.50788989486633e-13,416.644891903559,503.525005358146,1.23398574161943e-15,1.67322170290131e-17,5.05908821422027e-17,2.35447566929918e-10,55.2627782923386
SDS,0.000136641896081302,1022.04891872271,518.077086925239,319.128456575831,3.37866039875783e-07,1.25868108888948e-05,0.0746786844923297,0.318097886705678,0.000161451639156348
PTN,155.552299965941,41.1914636135836,703.370229146132,189.565342279726,420.214023571693,0.000976784894660839,136.943530151256,1.82530900888469e-11,6.30718204314942
CDKN2A,90.3568404659043,1068.71156117866,2.24935242932394e-07,1037.97060488533,1.77348152706272e-11,9.01456590248471e-12,1101.3945863153,0.000948817128971206,1022.85256662287
LY6K,0.00502666450621578,1576.88303314739,187.903055017039,247.759218730163,1.92341528797794e-13,0.0106319542425501,1556.84874326549,171.316106486781,1386.11056840642
UGT1A10,2.05388119567855e-05,48.5616041560518,2.48119513437355e-14,0.00287684232107983,1.76409691980954e-12,1.88166955126463e-13,1.16893526209122e-05,4678.71976469222,451.448325893286
BMP6,1132.26188103937,0.14525928394435,3760.09026223336,122.084355924043,0.00961943146053924,101.057654868832,1.61984709070707e-05,9.37448621563688e-13,8.32801175671915e-13
XDH,1.68962427742981e-09,2.55219794302233e-09,0.0226793330279981,0.118076532526926,855.024858581778,60.2961263404853,869.268457744979,944.076492955868,2851.7421492388
CCDC3,536.491083843967,609.954086225063,30.0193479870045,598.177861125537,253.148275360267,100.503543656652,3.18245914243802,46.8944505960995,1.17281822493689e-05
BHMT,4.13292630968962e-21,722.258345245986,1.10434261445652e-20,5.77646192994984e-20,696.341339232328,8.84570553564914e-15,1.62752641544907e-19,2.70397485048864e-24,1.31750451735346e-17
PAX8,3.06854465650151e-06,230.796903585018,0.00185285601996384,498.470237443337,0.00849403222661991,1.51166275413846e-07,45.3601889634332,167.629674931787,0.000385719944985801
MUC15,634.840073226592,296.859318307375,12.5314309973609,604.912652922305,637.867030751478,660.862381736881,1345.5196488294,3.40357131704371,6.19907583470184
LYPD3,649.360584861517,508.574683315143,268.312040192097,422.475670069524,2.8528554825175e-13,2.3810761100179e-12,0.00219994798275044,456.894943387277,4985.5533299609
GCG,1.59533058430236e-16,6.38580820870376e-08,2.49250760116183e-09,187.437411742862,1.40733312203104e-15,2.20605986929597e-13,3.83799375153697e-15,6.65429530526028e-18,494.381118678103
CHRDL2,92.5978508190142,2.60463796463095e-10,1311.10917504007,68.3346158436232,45.4743016062293,0.00683100844249366,0.0984425971998501,4.21855612246946e-15,8.53052648496311e-14
TNFRSF6B,4.32003940429788e-08,2190.8761521092,0.00543871529843182,2.27423592688967e-05,34.950809374615,1.6892165843496,0.37648713532507,1074.85405731046,3190.7459056068
SOX2,2.64893674755472e-07,466.443938824029,409.119521171244,2038.21946118721,113.505115641196,3.46323136093881e-07,97.9527414170639,384.142052599553,1.64444973937305e-13
SLCO4C1,28.3972120016286,0.0512653493489792,637.831829588872,450.253215134353,840.218275068247,755.890079751355,132.619073339095,0.00022720849108193,2.61525985200546e-10
SCUBE2,65.9458479538289,0.411447838132666,1197.72734402684,278.748136214479,1346.98599569785,1006.6666018134,0.180378735968795,0.00291747041534692,8.45034066132219e-14
PCP4L1,525.655377258067,163.429456218805,136.425676077904,263.595154471419,710.645561265273,920.097895184834,1799.75495655246,7.24178726402331e-08,7.95555578413948e-09
FSTL4,1997.64775757595,0.000168622966446974,2927.84950101696,13.1481033422545,0.00112305361340232,866.060601438143,5.80028925796391e-05,1.12281940595724e-09,0.274523700819716
ALDH1A2,116.40669091312,0.24605554176236,293.824954398918,847.603905114576,216.127844086373,3.40751552847077,0.189734521621767,428.444438055388,1.04813533667973e-07
MFAP5,2.18717377601502e-13,193.148007701177,157.887902270245,0.000108112555980309,8.06730573455839e-09,1.47015717835694e-10,0.323950624556826,3.39382276723538e-05,462.88635291613
