S3,S6,S5,S2,ITTH
TCGA.18.3417.01,0.106188500012779,0.498954432399777,0.374118666941095,0.0207384006463497,0.745317390869077
TCGA.22.4613.01,0.254656093871973,0.577066346206422,0.0942514794603495,0.0740260804612553,0.779716107210755
TCGA.90.7769.01,0.436439364946444,0.0797450617493303,0.0653835499225216,0.418432023381704,0.798106850540501
TCGA.77.A5G1.01,0.0266131175242522,0.67225419285244,0.0918032656483685,0.20932942397494,0.656475516231785
TCGA.77.A5G3.01,0.385767627633084,0.476446524459786,3.7087085659341e-07,0.137785477036273,0.716870096824808
TCGA.66.2766.01,0.512327709022231,0.144633157114481,0.3044065421531,0.0386325917101888,0.800733192887041
TCGA.37.4135.01,3.05371881620395e-05,0.308776663862761,0.691181541980431,1.12569686467493e-05,0.446218692382168
TCGA.56.8201.01,5.70170384762384e-09,0.836052544250937,0.16394740514808,4.48992786362823e-08,0.321835615591459
TCGA.43.7656.01,0.0164216787889087,0.898515037577752,0.084897269503406,0.000166014129932912,0.270115140849804
TCGA.85.8481.01,1.76359743321629e-11,0.401472161395996,0.143021232191928,0.45550660639444,0.723308147889084
TCGA.22.1011.01,0.0631141051690982,0.665948929942062,0.0220172038224457,0.248919761066395,0.631380224902594
TCGA.77.8156.01,0.394677481613273,0.585392023666034,0.0198721904829343,5.83042377582232e-05,0.547376188903932
TCGA.43.A475.01,0.665425898412771,0.317999841385623,0.0165568136033234,1.74465982826762e-05,0.507446595506227
TCGA.37.3789.01,0.0592039505193017,0.360684440669837,0.289284730433623,0.290826878377239,0.903960978196079
TCGA.22.4596.01,0.135497045793413,0.648314525339962,0.216188307504493,1.21362131709974e-07,0.636888882049618
TCGA.58.A46N.01,0.544281282342289,0.290658863680657,0.00239177156566172,0.162668082411392,0.721396779571087
TCGA.63.A5MW.01,9.89907123570071e-07,0.959200281626928,0.0407236738618629,7.50546040853259e-05,0.123376844544742
TCGA.85.8479.01,0.107700331298011,0.502097854190543,0.0826188403022989,0.307582974209147,0.832853574203229
TCGA.68.8251.01,0.0395122541609858,0.884683273268741,0.075794413447584,1.00591226891914e-05,0.31141370065813
TCGA.34.7107.01,0.561369801507597,0.39566572475598,5.56722038657986e-06,0.0429589065160365,0.596018914855458
TCGA.37.4141.01,0.0574238411618561,0.758324074383888,0.18419375634581,5.83281084454602e-05,0.494876594336509
TCGA.39.5040.01,3.02877269823276e-06,0.989099688315748,0.010897282327248,5.84305337030786e-10,0.0433722031686902
TCGA.43.2578.01,0.169265553758563,0.761123453959442,0.0696109310792531,6.12027418051884e-08,0.500559432625932
TCGA.63.A5M9.01,0.557302434167611,0.414048636815705,0.0285405246281529,0.000108404388531744,0.572327092679817
TCGA.92.8063.01,0.39431665321704,0.531494825567627,0.0439133016473251,0.0302752195680081,0.682414291210804
TCGA.NC.A5HR.01,0.453514909286966,0.432039926552179,0.0744821345194882,0.0399630296413672,0.75258781063748
TCGA.51.4079.01,0.71427368659854,3.62836175294818e-07,0.0726097538465586,0.213116196718726,0.548398096963012
TCGA.66.2795.01,0.572298215947474,0.114759238158369,0.312917516475207,2.50294189500946e-05,0.672049854292867
TCGA.96.7544.01,0.168612403456388,0.44407673376815,0.00691718782894447,0.380393674946518,0.766584608545193
TCGA.21.1081.01,0.0799609277771501,0.446001099283055,4.96021425897258e-05,0.473988370797205,0.661095791605202
TCGA.63.6202.01,0.0238701848415513,0.854099288105279,0.12201206774839,1.84593047802472e-05,0.346770776653827
TCGA.98.A53I.01,0.601080873325703,0.385800972259247,0.0131093759019638,8.77851308681641e-06,0.526828477570346
TCGA.46.3767.01,0.110626858813196,0.737591903113419,0.151781231973325,6.100059868985e-09,0.544045824748227
TCGA.22.4599.01,0.457952053790792,0.384639593914197,0.157363045534639,4.5306760372764e-05,0.733328038105943
TCGA.58.8391.01,0.730889140574269,0.130190934343339,3.09065169773645e-05,0.138889018565415,0.554756034260496
TCGA.85.8580.01,0.259791110246181,0.441703232682628,2.17275010256738e-06,0.298503484321089,0.773285255173753
TCGA.60.2715.01,0.198478522347238,0.698278837554704,0.0612935192893858,0.0419491208086722,0.631829576889439
TCGA.39.5031.01,0.153307479044264,0.583395312677902,0.084030661625482,0.179266546652352,0.806561107029036
TCGA.66.2792.01,0.413869891057311,0.521787909203596,0.0295464411924773,0.0347957585466162,0.667568956424937
TCGA.92.7340.01,0.136888610369192,0.493452998062654,0.0813920266494489,0.288266364918705,0.853708014774339
TCGA.85.8287.01,5.55815751210974e-06,0.988706769041955,0.0112675936261964,2.0079174336841e-05,0.0447654539846648
TCGA.56.8622.01,0,0.430820934419585,0.0203435103726476,0.548835555207767,0.556370658960069
TCGA.22.5471.01,0.245331450628223,0.46431036352795,0.14813771798512,0.142220467858707,0.909774576412228
TCGA.77.A5GA.01,0.593380866882986,0.149327818399265,0.0984325532378763,0.158858761479873,0.803670085969443
TCGA.85.A4QQ.01,0.07494192723335,0.352263264003737,0.095303017474182,0.477491791288731,0.82140922660134
