S3,S6,S5,S2
AQPEP,4.94486358275269e-21,179.413185161232,1.71619394088685e-16,8.02977811302781e-20
EREG,3.79905811810977e-18,8.41162864317222e-06,1105.78403069723,423.055505579356
NKD1,0.737182910939493,178.148175701858,849.242748645675,7.55943383147452e-20
INSM1,1.31217613283286e-15,304.669754025734,275.518361021186,3.32781936987955e-27
CNTN2,2.29153487197509e-21,287.145374610188,0.00697501741415179,6.40590081701783e-27
MUC2,1.34782269540901e-16,262.07977638931,211.192272526924,7.33848560272457
OTP,1.24526914806386e-23,137.948530822345,7.74964721064232e-11,7.81192307311585e-37
EFHD1,1.33175026131028e-16,506.479962758204,845.52071088133,1.07015423505439e-17
TFAP2B,2.60646129892198e-20,309.833699630051,1.00884930055508e-12,2.20776847192482e-21
NEFH,95.6026213770829,420.604151880026,11.8509394251646,9.09664481545077e-15
COL22A1,2.37273054049542e-14,526.794975541355,19.6434817614802,3.15863774468694e-12
SAA2,2.59614373472037e-15,5.69111049209361e-08,811.564249189661,849.28106019467
F2RL2,1623.90580049594,3.05056538083661e-12,4.4096461765014e-12,4.75377208234972e-15
CDH2,1.2140561912362e-07,623.815728933966,227.360836086921,7.9040021242193e-17
HSD3B1,1.32749140178342e-42,123.062928461822,3.23265885675161e-22,1.18857619733167e-26
KLK5,1.8872148442067e-13,1.33104008506106e-13,675.943028969274,0.522225743353532
RELN,2.43061221585147e-20,9.82536307389715e-08,2423.45523163222,4.09000728634847e-24
TAC1,72.3920979714821,51.9714034504735,518.914937712405,1.40379238059281e-28
EPHA7,26.2687457271227,450.362306913291,3.54851996694852e-05,686.317061683062
ODAM,8.80577515487421e-21,199.57889685706,341.541821125565,1.74672119747593e-16
LPL,0.00124442856235672,265.438178621528,29.3327381754549,51.7742875642716
MT1G,1.51417809374821e-14,404.327498200632,694.74473610046,0.273016010324942
G0S2,4.45411290916497e-14,132.009426437041,832.526459383983,0.00128454394387793
SYT1,200.270787394899,630.580681083886,197.756408755283,2.38318379360712e-07
PADI1,1.020344135332e-13,147.783999324872,8.46015553829205e-09,1733.13955246006
IL1F5,323.848598166492,2.97068893171822e-12,0.0145578348800158,2097.97083627298
LRP2,1.0322825883114e-13,184.510027005592,1.6148847249024e-13,8.78304775749301e-15
FMO1,6.45234163697186,379.908859719177,160.300477240781,149.981205907021
TNFRSF6B,2.22636299465081e-14,164.490266686314,798.727699109315,0.000162434141834288
CD8B,0.000355816687806217,197.124176200391,1658.69666516846,6.04441150948672e-16
TSPAN8,2.38647351323294e-09,134.195254334962,1689.02593737173,0.00181495260211798
FOLR1,6.02246413603923e-13,2.4493999578622,359.291996318103,0.380726222568133
PRB4,80.4674891686351,4.68531877320204e-13,1.7242195285949e-15,444.364188626736
EMID2,1.36497232759919e-12,383.487133937726,4.83466999897121e-10,2.99607788887972e-19
TCHH,546.293312027897,1.26043001039109e-09,4.12595777938744e-14,989.921822560615
SERPINB7,4.24893473093474e-13,0.105574863558731,1059.91069331419,1227.09754120624
APOBEC3A,0.00271827910750023,1.07459260446713e-12,1292.25331535991,1484.60776705895
LBP,3.0872957053151e-15,2.51836601336682e-13,353.054277943633,3.64748093350943e-13
GFRA3,0.0733159212871109,359.888999135632,5.5669381336524,1.03743800088639e-16
SLC44A4,2.50798562996751e-09,71.3853070291415,271.043858182549,917.287154952805
IL1B,6.37445761508316,8.30621624530761,946.419215822442,1162.30257963286
AXIN2,181.708280250383,469.86042926819,168.580804295274,4.58098313976817e-08
GP2,4.85132095111294e-16,159.644264848364,429.328001149876,1.15610627122495e-26
LGR6,243.57700464406,465.466776342956,1.21846717131816e-10,0.332325629010189
RPPH1,0.224917970873764,91.5926599228245,295.170242836394,2.00869812308367e-08
PAH,4.64968980161625e-22,1.76162996981158e-21,2391.15172581275,2.12617178004024e-32
IGF1,170.912352579724,231.247985067473,2.07854645082416,3.14243405926799
DUSP4,8.52913546074842e-07,216.413423080908,760.84995412768,6.73134190703849e-11
SMOC1,128.400337494109,306.16134327382,720.905477368276,2.04834519515508e-12
SERPINI1,359.924078889719,595.927350888266,593.55182729516,115.710453226547
DHRS9,309.967395981482,0.000116483715879446,393.945481686796,1607.84876588167
COL9A3,0.0318019350075939,406.35280689558,691.504839741092,2.55522065859031e-16
GDA,1449.01569425494,0.0232339418966519,37.1671925043066,541.939665992096
KIF12,2.86762545533649e-18,152.273454997205,203.218474901338,5.887573139367e-18
NPY,3.40974099846754e-20,113.31529613393,7.4145892039506e-12,2.24980138710282e-24
CNFN,139.815840268236,2.12346653058333e-12,9.06647142006058,1676.14204451821
LTB,4.57909530283985e-14,425.912793690007,12.5454586786163,8.47932103333486e-11
