S9,S5,S1,S8,S4,S3,ITTH
TCGA.SH.A7BC.01,0.126857185938087,0.477824679630139,0.327217657469905,0.0555763304489754,0.0118301228750724,0.00069402363782133,0.668895223232575
TCGA.LK.A4NY.01,0.41706822713401,0.366965750224229,0.0971023033678629,0.107871884535585,0.0109576188062458,3.42159320674723e-05,0.697119311019593
TCGA.3H.AB3L.01,0.133624624747417,0.325148283393515,0.375543041011241,0.0314615373135321,0.0062632539746985,0.127959259559596,0.784554853806811
TCGA.3U.A98F.01,0.0821394802252369,8.00035201460864e-06,8.65036833084112e-06,0.911787308045712,0.00605511171105661,1.44929764943158e-06,0.178948798350202
TCGA.NQ.A638.01,0.219142895757567,0.372323790185878,0.285991603482444,0.000131152288023337,0.034603770564862,0.0878067877212249,0.775602567894699
TCGA.MQ.A6BS.01,0.559493869223849,1.70112095802855e-05,0.32789255547486,0.112135627694516,0.000290631888036348,0.000170304509158127,0.524581068260704
TCGA.ZN.A9VV.01,0.734602770141625,0.0106748237742869,0.000324128635888707,0.237439334419647,0.000278579866903406,0.0166803631616488,0.38487250391321
TCGA.3H.AB3X.01,0.224778408142008,0.71211543502094,8.66762599445694e-06,0.0479768924343371,0.0151169364355019,3.6603412189078e-06,0.438960155730537
TCGA.3U.A98G.01,0.0595669554345206,0.000261083159863698,0.00718122538180153,0.932524813218386,0.000164637784554783,0.000301285020872957,0.153281261232386
TCGA.TS.A7PB.01,0.360351096487102,9.92997790500688e-05,0.0330204403794418,0.000147200638553054,0.000266524683382865,0.60611543803247,0.43996015957246
TCGA.LK.A4NZ.01,0.301380341143579,0.0629404070529283,0.325516139893501,0.126743816317905,0.000215539426863977,0.183203756165223,0.823448962876108
TCGA.ZN.A9VP.01,0.142864938583417,0.317816086969774,0.421768436699279,0.0848214596446331,0.0104244659704093,0.0223046121324874,0.752379159138863
TCGA.SC.A6LQ.01,0.283209103245639,0.36547498988759,0.26329966310604,5.37575464016726e-07,4.67861915605535e-06,0.0880110275661106,0.720231110471426
TCGA.SH.A9CT.01,0.0606164434220824,0.606902233159043,0.260101237633934,0.0291689095336927,2.66516136147458e-05,0.0431845246376328,0.592910648864661
TCGA.UT.A88G.01,0.108753483161859,0.456935665635805,0.0625901976061871,0.356590806898707,0.0151298460603711,6.37069731956694e-10,0.671813176460407
TCGA.MQ.A4LV.01,0.173133845154,0.00398825516247751,0.66036002036311,0.0919332850379082,0.00822611936971431,0.0623584749127898,0.575761854364537
TCGA.3H.AB3U.01,0.272382954802877,0.0888784480144536,0.510846070454909,0.0455387270084733,0.00696917159865679,0.075384628120631,0.71587376269889
TCGA.LK.A4O0.01,0.393889796331953,0.313317497847627,0.17668494204169,0.106465239347038,0.00262562757995707,0.00701689685173429,0.739909060310968
TCGA.TS.A7P6.01,0.252679936006445,0.342928706368556,0.156956159224188,0.000123910514831802,0.0835298141023091,0.16378147378367,0.842778602571539
TCGA.3H.AB3S.01,0.225456895828348,0.147296181078097,0.490207661599019,0.0685928646746634,0.0211411103800729,0.0473052864397997,0.768580598302778
TCGA.NQ.A57I.01,0.0891837812528154,0.254289804603623,0.205047246165845,0.445268157806737,0.0040390304551817,0.00217197971579752,0.716890096107161
TCGA.TS.A7P3.01,0.221354516760329,0.13005653024148,0.0972544878625146,0.551137214415278,8.21922133249765e-05,0.000115058507074121,0.645120406252584
TCGA.UD.AAC4.01,0.186421423006451,0.325407208389576,0.299726704298664,0.113655630766713,0.0146682941260321,0.0601207394125637,0.847050917976978
TCGA.UD.AAC7.01,0.0516927650342,0.213987826917717,0.664734325886241,0.0642459546990392,0.000956721408175899,0.00438240605462725,0.536529959211504
