S9,S5,S1,S8,S4,S3
ESPN,1.55532345966568e-45,7.14796911626254e-84,4.47299604210923e-43,2.51542615213951e-53,8239.06890726354,2.79530636235791e-42
KISS1,7.22243933799449e-44,1.57148880461821e-101,2.28313682900059e-76,3.12021050855689e-57,4.80325912462024e-42,2.7427350327165e-09
UNC13A,0.0626613426358967,1063.49734629618,1.51448918339567e-51,155.676114576588,3.01375275577953e-45,1.50249765598689e-54
PRSS8,4.02651040278592e-27,2.02038034219466e-15,462.68685380096,6.80014390293048e-26,1.75160053116784e-25,2.86694521047662e-46
ALDH1L1,4.62752494311544e-17,0.00875179448324534,1.77846408397823,26.8736590174417,7688.50352067834,744.291563860724
NETO2,1.05656435597236e-20,163.279707154572,5.52216867552321e-16,784.573151464095,4.45680138768937e-28,8.08939966470408e-32
ANKRD35,8.12150972625694e-37,1.00868954654117e-51,1.70143704232319e-43,2.68023390606371e-50,7745.70714169605,1.21054734244351e-34
KLK7,1.36193024584387,306.402945122804,673.344659877709,1.16029345072598e-21,2.0230539466871e-08,5.88683540630035e-05
NPPB,988.879661769167,1.46748603527652e-19,8.42598623461065e-14,4.79674929431652e-17,7.62865128651686e-16,3.61469821925368e-35
PI3,1.06431300821896e-20,0.142678483738847,380.174841742295,5.97167309610547e-21,1.018455539011e-08,4.93200521048926e-17
HSD17B2,87.6248145762743,1.40233458097955e-05,912.796279334762,4.25517407685244,55.5946123619258,8.80774371994712e-29
CLDN7,2.699188275814e-09,250.253604913842,236.538446621305,3.84391331870777e-11,200.226049122714,3.60764236355431e-32
DACH1,1.2617028136662e-44,6.20722681033215e-88,4.63105131104901e-100,3176.65960253488,4.10001832811926e-72,5.35820312146154e-87
SLC1A7,1246.66793398907,2.20917129706827e-28,1.4546973566227e-23,3.64061023340764e-51,2.43768230529246e-40,1.45118885137369e-26
CDH15,3.35900078932533e-39,4.4991177800799e-45,6.12190274765511e-27,1.29725210861865e-58,7554.51072118457,9.62130445509037e-35
MYL1,2.04371459814592e-22,917.657680522521,1.30067968201483e-70,1.88537104182846e-33,2.01585722953377e-22,5.12178478360538e-135
TPRG1,2.22292734432623e-33,739.535607715376,8.47703245943672e-48,2.29224551738489e-41,6.88700938168744e-38,3.73809556377499e-38
MGC29506,106.488060877934,111.347570478419,7.06553457818179e-11,2.20943869904613e-16,0.0863865753796122,657.045332747069
HBA1,2.31156661576786e-11,1.23881700507445e-12,18.3027313946966,399.184397430599,377.900656182885,1.3299409881594e-13
PTCH2,999.991608917113,5.45119580481452e-29,3.2543021993717e-33,2796.82113521352,1.1551495268256e-24,4.12499076557126e-42
CHST4,1.94439711318887e-23,4.61453904310948e-29,5.55456688731557e-16,1.52843735624639e-22,1.58172729236215e-18,555.600879674671
