S10,S4,S8,S9,S7,S3,S2,S6
PTPRT,1.9079248677966e-10,789.396699181714,849.686316738834,271.007682160197,1232.57272747461,6.55566358464186e-18,7.83438632960434e-10,2.49975047912868e-18
CPS1,121.613503158728,896.917751093593,0.288963715873709,3.34913037711958e-13,13.5956130434532,0.800143787411492,2.12856602228504e-17,2.4067887011212e-16
PROL1,0.00124247699730167,619.085518323359,12.7805144029242,1.90227525389146e-36,4.98892976818129e-47,8.90524931709288e-21,2.84816688529329e-43,1.47077392167342e-41
MT1H,8.89320069438745e-10,316.639160901104,3.27958626281143e-16,3.77369380819201e-06,1966.70938484936,806.642897792395,3.32391520073198e-07,5.08175344435047e-12
VGF,9.65866919810676e-05,9.06242114876235e-20,617.039832060559,3.36268553971108e-23,0.00119523165140742,1.33368249647222e-12,3.52251599552656e-27,3.82308337896698e-26
PLIN4,134.988321730208,9.42279484813785e-09,2.80249339144039e-09,25.5383024620327,6.65480123951459e-06,1.73015169175171e-08,47.5844547479325,338.813588470332
EEF1A2,6.88188479765931e-10,2.14583623502562e-08,50.2342230465804,1.1517151538132e-17,17.4083529843281,0.000415220643147892,685.480296064535,2035.0815305862
CLEC18A,32.9913534665475,474.124785674065,1036.82106019472,340.261093611401,0.00212778816321688,0.00313621757406486,0.00458451108529051,2.94847226826026e-20
POMC,4.85867964038388e-12,3.0998437353991e-25,577.495643110613,2.48118585942554e-26,152.622072825178,330.155147908908,1.76138124715798e-22,7.84354422235926e-24
CACNA1B,549.407471691286,0.000390816252519224,192.776643102033,332.393846019066,8.97851930371316,0.381538226091632,136.042820266459,222.156352090807
ZIC2,276.321451415925,0.00660271755478114,1142.81020403699,503.890232599719,1363.89683814883,79.7185885830695,2.72898617443326e-14,1.88832920896934e-14
CRLF1,1.30977785600327e-18,8.14842166783883e-13,1468.36671012711,1.33844246237617e-18,1.76873962378984e-18,0.647835677893049,0.0152977027130087,8.87076184973928e-13
NGFR,17.8792964383429,2.33108645158229e-13,965.064294897321,3.65966102710378e-16,3.71629281834214e-05,280.023563796507,11.2452812863445,39.2296904577765
CFTR,63.1752219298832,307.935376156099,367.748983674494,45.4957479885555,161.968167528795,507.419005423001,443.436397220035,1141.24901454933
FLG,0.000154579055314913,332.033578902657,2.51086976187814,2.22644116801751e-07,3.46657654220011e-09,124.127956624236,586.269440966993,421.232177607727
RELN,156.903737875113,130.611532161684,82.8222631844717,80.520038968324,0.0121556799531297,2.59275491935811e-17,0.256198469178953,3172.12263428139
MMP13,1.6247863185376e-12,3.26045917905404e-16,1.84501247344247e-07,1.15805311106958e-12,0.000774853736733272,1.60425698697308,142.168275275435,9.63558556092745e-14
NLRP7,301.32618452234,0.0446457934759611,43.2366732625046,19.3681172853282,9.93775752593846e-07,222.807251103144,357.815174096747,1.42421502239576e-06
SP5,265.192249502335,0.00145385579659081,557.105535683282,1.12846666307267e-05,2345.75018941925,10.2143081968278,7.68470614256225e-16,7.26608964314857e-09
SCUBE3,11.0076735103414,1.93130348440999e-05,2044.41799820735,6.63725282462905e-11,380.926076903042,0.0680533163672764,9.15219870766995e-10,1.59255894958782e-14
