S9,S7,S3,S1,S10,S11,S8,S12,ITTH
TCGA.2L.AAQL.01,0.00028365582832033,0.0144393442386876,0.0201139954327221,0.659829463156702,0.00013765561888393,0.128518464901704,0.170767047600683,0.00591037322229705,0.487377122879529
TCGA.2J.AABI.01,0.000191626070805199,0.00634699335540977,0.0138110294904665,0.000123871669665843,0.0216116868826276,0.0751902776035338,0.175661738259767,0.707062776667724,0.443416179895717
TCGA.3A.A9J0.01,1.04909544104772e-05,0.00768844779836165,0.00201727534463541,0.615471556755299,1.5375966769177e-06,0.108450668387024,0.0770326254718948,0.189327397691697,0.530096328415452
TCGA.3A.A9I7.01,0.266465156025348,1.9008981163198e-06,1.28861425405507e-06,0.0874204968491619,0.136215411001509,0.13843427335026,5.2156911513374e-06,0.3714562575702,0.711104165187745
TCGA.2J.AABO.01,1.73516376846805e-05,9.88803461111706e-06,0.0650069892993928,0.3704652176219,0.0083653438024837,0.0381897216716208,0.156517136370025,0.361428351562282,0.658189596697979
TCGA.IB.7890.01,0.0836244961093794,0.000633620968142337,0.0958354938722672,0.00949047401598264,0.000976702895212894,0.00242859056616765,0.0696498951548087,0.737360726418039,0.438933238363715
TCGA.3A.A9IN.01,0.000189877095132765,0.883568815254328,0.00643243550199462,4.20533055742669e-05,6.0234408375724e-05,0.0113105289570887,0.098308605216658,8.74502608474967e-05,0.203911712664319
TCGA.3A.A9IH.01,0.182822965908308,2.94306004177095e-05,0.0122127643327803,0.494371605530746,0.000316028515948953,0.0150437331482804,0.0248341607389541,0.270369311224564,0.588681175355003
TCGA.2J.AABH.01,0.0992614506787901,0.00296928237484688,0.0385289491844049,0.566063634354691,6.9374676022533e-06,0.0421243810061895,0.0887399909380815,0.162305373995394,0.643297025095358
TCGA.US.A774.01,0.0934984549892971,0.00898505992053319,0.00821700551463019,0.234535412911427,0.0205219881944331,0.098374920160106,0.378810011762534,0.15705714654704,0.77415735764931
TCGA.IB.A7M4.01,0.0990065350152067,6.53004336568007e-05,0.00610830124719168,0.163711732744095,0.0383237984315481,0.171909410899285,0.0458682866146648,0.475006634614352,0.711565556712455
TCGA.H6.8124.01,0.104625559175532,0.021266787187356,0.0256645747728411,0.0409111169210763,0.0031010289126623,0.00182910689498384,0.0643888064331554,0.738213019702393,0.467889222468002
TCGA.PZ.A5RE.01,0.0516358168267196,1.35971163627242e-05,0.0136515531480571,0.658788376336339,0.0430778303373948,0.0573552876262426,0.042983359098423,0.132494179510461,0.571897213049262
TCGA.3A.A9I5.01,0.000167523414494482,0.257068803985199,0.00246774734430856,7.45324543879886e-05,0.000140322385870475,0.739767507828995,4.03427929071318e-05,0.00027321979383673,0.285202872614938
