S9,S7,S3,S1,S10,S11,S8,S12
NTS,1.67536163164141e-11,9.79530959923341e-07,775.508773389792,2.52780817163785e-12,2.33654161532659e-17,6.13541341298736e-14,1505.6025666738,5.22870054949324e-18
KL,9.10403143063486e-08,5087.39777841461,3376.0825830513,1.02204556172724e-15,67.5328020830517,6.30104180013696e-16,5.32117901765545e-08,9.56310516565808e-12
NKX2-2,5.30274579876483e-12,2492.06350123083,8227.63668917925,0.000886958590727237,891.50560298365,4.35065241727345,67.471206169303,1.6794984529521e-06
PPP1R1A,1.58461907915531e-11,11989.6361079024,6940.91011589645,2.48816105438565e-13,3.05600347730109e-14,0.00247821362152093,88.9995722585585,0.000189261219565074
PAPPA2,2.07738106627923e-12,2.35913431955155e-24,6362.08889663059,4.20786955980381e-15,9.82907949632412e-19,5.26658809455879e-19,2.87816652991262,5.72499423772328e-14
DDC,370.973046565361,0.0156234953985128,7735.72364985688,14.3017042328017,62.152845030601,802.125610647634,0.00135172086430914,1.01281892208542e-14
NCAM1,7.04838961532051,2756.03567472107,8064.45015372074,0.00602916614135986,1268.87092828707,90.5433403168233,181.25723199832,0.000249715776013116
REG1P,2.06949685687699e-12,2.12643392408438e-12,9.87650241900247e-20,8.11061040857012e-13,6.89398728133507e-20,1989.60309869802,4.4068686168329e-11,316.180887946348
CYP11B1,6.83150523321429e-18,3.44530078762878e-47,154.237939535047,645.976138262886,4.07767075652027e-44,8.66741754353089e-13,71.7533824377153,3.58902225731253e-08
MEP1B,1235.86869539589,6510.34392409217,1481.83895484604,5.26371556527043e-26,203.055629599864,4.22324061680322e-13,2.97547396787649e-23,0.0270636254551376
IL1R2,1995.7601688244,1.85481623990578e-10,0.398322477425287,1268.0793786817,0.108813183661026,1058.23867860801,0.976383475358494,1411.31030211623
TMOD1,24.5759730249821,4639.58044802895,6911.3328547019,69.0273095991162,178.510164292501,1463.74061141208,1111.39445355534,312.150520905117
KCNK16,2.5816637926955e-10,1272.38701754171,8247.27839642672,0.00146506168043382,6.60296751782188e-17,523.145684731154,275.191640943044,0.00308329716723191
TMEM63C,0.0192937418500678,11306.2340914333,6185.76643920754,4.26478247378887e-15,7.61088788246313e-13,1.02876766317735e-09,1.4287603227872e-05,9.41525645021474e-07
SYT4,1.27885033037168e-05,9429.30376495856,5898.67833806632,1.81910474429478e-14,3.89542944683783e-06,2.82537232402552e-13,26.1737582702733,1.2095826332919e-08
CGB5,6.4867512096755e-14,2.77238459789367e-14,7.4273405665257e-12,9.00801159174668e-06,1.42127071293071e-16,3.20815948373224e-06,0.0126362477804294,3629.66049851556
HPN,2.95482781444565e-13,286.1698959559,1224.21813602015,0.605090748332884,8415.14544250726,952.500655492325,19.126059994488,0.180112353861592
G6PC2,1.62232620143799e-06,3702.16796553157,1627.26319920053,2.06027335158317e-08,2.95295839971379e-15,8.31668543645032e-09,3193.02702731004,2.49826469697044
RGMA,8.41393644008041,0.0511848412281661,280.94872465676,0.00576192138763202,0.00221001024651685,9.64399658159915e-05,0.0754581743035002,29.0530988124236
RUNDC3A,1.00795541377788e-05,8234.80320820936,6971.77849871816,6.87368269560474e-14,5.77278955536833e-14,468.778769956664,0.000198123493439599,5.35922499801476e-07
ORM1,1.85900875457518e-18,1.42980925069613e-12,1.7057533098009e-14,1.97038327705237e-14,9867.32298728486,1.70024991646467e-07,27.8536133254864,2.140394552392e-16
LOC25845,2006.75860176649,604.801402245265,2171.37701899266,686.299506108564,29.6159138808192,9896.08368424636,0.00157212159059493,1.66402299724701e-06
MLXIPL,266.892337619559,4413.89034403905,6511.01611216384,512.020526602016,3.74253418222053,2962.40544626261,25.7608811317304,0.000768972047238618
CHI3L1,9.02600579892683e-07,0.000225227218450323,1.81730459743304e-09,124.481725373247,4.741579840864e-05,529.70296952252,2185.86203803682,420.831947488775
MMP3,82.0001924213952,4.79384684257906e-18,1.90590282180656e-17,9.25830294191754e-16,211.253701135132,3.80524953871867e-10,18.9482833336362,2.49265415304688e-14
SFRP1,525.100811177162,2375.82451002337,4921.11741956949,0.000139393232435458,28.2060671662555,0.000170320419921323,2321.1569815873,3.18736820222612e-06
SPDEF,333.380851653315,5.07075427767359e-08,3.51159551994399e-10,1440.93087546299,11169.328354438,695.5105454065,0.00480315514437636,350.894693731944
PEG3,7.5115759265919e-08,381.147718016209,3478.07657406305,2.59838030716883e-07,1.91031216448161e-11,1.21212448671682e-10,11.0362668847995,2.44548899433746e-11
FGG,1.4880342417635,1394.9556310571,1.57578471141664e-16,23.7978137576765,1.78546575666509e-14,1902.93524645182,9.42214937732656e-07,1384.1488065736
RPS28,42.2108699949187,535.702732827865,202.426748548862,0.019807657280986,668.550734623986,13466.4690322702,3.56877958810344e-06,90.7200410225525
CD79A,6.85187900725237e-14,0.0540325334990549,1.73547171864513e-15,5.18336782244282,0.00197478399511646,1903.86644132383,3214.07212771764,3.27530347371659
