S1,S3,ITTH
TCGA.S7.A7WN.01,0.999999999596999,4.03000663155246e-10,1.31584527011202e-08
TCGA.WB.A80V.01,0.875093264198663,0.124906735801337,0.543302560113951
TCGA.P7.A5NY.05,0.932723726932678,0.0672762730673219,0.355676026867467
TCGA.S7.A7WR.01,0.98971789918494,0.0102821008150601,0.0826575374963004
TCGA.WB.A814.01,0.848762311492881,0.151237688507119,0.61292897340788
TCGA.P8.A6RY.01,0.844109665807212,0.155890334192788,0.624386644673728
TCGA.RW.A67X.01,0.521026937156104,0.478973062843896,0.998723900171943
TCGA.SP.A6QK.01,0.525814294791739,0.474185705208261,0.99807638495841
TCGA.W2.A7HA.01,0.999991563287623,8.43671237680736e-06,0.000154371391019396
TCGA.TT.A6YK.01,0.680473544412636,0.319526455587364,0.90386575220422
TCGA.WB.A81P.01,0.99999148565612,8.51434387991313e-06,0.000155679346621701
TCGA.S7.A7WL.01,0.928117660660143,0.071882339339857,0.372909232441263
TCGA.RW.A68D.01,0.962842997785531,0.0371570022144686,0.22910174226219
TCGA.PR.A5PH.01,0.942538591492883,0.0574614085071173,0.317284123995137
TCGA.WB.A80Q.01,0.624265892510676,0.375734107489324,0.954973356677491
TCGA.S7.A7X1.01,0.752059241405924,0.247940758594076,0.807997960145099
TCGA.W2.A7HE.01,0.812614602365481,0.187385397634519,0.695969759234091
TCGA.W2.A7H5.01,0.915030011885022,0.0849699881149785,0.419453600029139
TCGA.WB.A822.01,0.842313981226915,0.157686018773085,0.628744925471511
TCGA.S7.A7WO.01,0.372806387269698,0.627193612730302,0.952802564264697
TCGA.SR.A6MX.05,0.0579183501678988,0.942081649832101,0.319125514602841
TCGA.WB.A80N.01,0.879026550487312,0.120973449512688,0.532152557875487
TCGA.WB.A81G.01,0.849155985166026,0.150844014833974,0.611948428059398
TCGA.RT.A6YC.01,0.999991175416016,8.82458398377492e-06,0.000160896248114482
TCGA.WB.A81S.01,0.999998693010897,1.30698910343229e-06,2.74311076319506e-05
TCGA.QT.A5XO.01,0.926555564613178,0.0734444353868217,0.378648092453469
TCGA.S7.A7WW.01,0.856480619914274,0.143519380085726,0.593382056755515
TCGA.RX.A8JQ.01,0.999537159743444,0.000462840256556069,0.00579455596837525
TCGA.SR.A6MV.01,0.498586032634044,0.501413967365956,0.99999423122121
TCGA.QR.A702.01,0.844355440652823,0.155644559347177,0.623787384932352
TCGA.QT.A7U0.01,0.999999955045181,4.4954818758561e-08,1.1620660609631e-06
TCGA.TT.A6YN.01,0.999995586677009,4.41332299126767e-06,8.48787714328355e-05
TCGA.S7.A7WQ.01,0.900887429457312,0.0991125705426877,0.466176180053856
TCGA.WB.A81F.01,0.962685974495542,0.0373140255044579,0.229838563501734
TCGA.QR.A6GY.01,0.942561189922992,0.0574388100770079,0.317192912495109
TCGA.QT.A69Q.01,0.950239870619425,0.0497601293805753,0.285377128999151
TCGA.WB.A81A.01,0.897963121896796,0.102036878103204,0.475419289957055
TCGA.WB.A818.01,0.988704768658176,0.0112952313418239,0.0892623590526249
TCGA.W2.A7HC.01,0.958312056594574,0.0416879434054262,0.249978531302477
TCGA.SP.A6QC.01,0.487427564361099,0.512572435638901,0.9995438694605
TCGA.P7.A5NY.01,1,0,0
TCGA.SA.A6C2.01,0.956902162713433,0.043097837286567,0.256319678467492
TCGA.SP.A6QG.01,0.903539430017498,0.0964605699825021,0.457674385494896
TCGA.QR.A6H6.01,0.859342141987007,0.140657858012993,0.58595909297365
TCGA.QR.A6H3.01,0.241242441496378,0.758757558503622,0.79710031850756
TCGA.QT.A5XL.01,0.973353994538126,0.0266460054618739,0.177282213291121
TCGA.SP.A6QJ.01,0.835884875280456,0.164115124719544,0.644063972652831
TCGA.QR.A70E.01,0.95948453157354,0.0405154684264602,0.24465062156025
TCGA.S7.A7WX.01,0.908474590991363,0.0915254090086373,0.441541042622656
TCGA.RT.A6YA.01,0.702030406181528,0.297969593818472,0.878794766856699
TCGA.S7.A7X0.01,0.940171244373161,0.0598287556268389,0.326764767586127
TCGA.S7.A7X2.01,0.826913825703919,0.173086174296081,0.664716178811542
TCGA.SR.A6MQ.01,0.953353113284919,0.0466468867150811,0.271978687495939
TCGA.WB.A81I.01,0.961813449379267,0.0381865506207327,0.233914899492818
TCGA.QR.A6H1.01,0.878373613502414,0.121626386497586,0.53401786431143
TCGA.XG.A823.01,0.0520093750999174,0.947990624900083,0.294872083841229
TCGA.WB.A80K.01,0.996053659608808,0.00394634039119184,0.0371947060559119
TCGA.QR.A70G.01,0.871341346385612,0.128658653614388,0.55374802845519
TCGA.W2.A7UY.01,0.150430348548176,0.849569651451824,0.61091620513682
TCGA.WB.A81D.01,0.988369251538988,0.0116307484610118,0.0914198318241708
TCGA.WB.A821.01,0.907926946905066,0.0920730530949343,0.4433518055605
TCGA.SQ.A6I6.01,0.999999998913786,1.08621446613502e-09,3.39124182286961e-08
TCGA.SR.A6MS.01,0.844106647180042,0.155893352819958,0.624394000713208
TCGA.QR.A7IN.01,0.857751287100737,0.142248712899263,0.590097826597762
TCGA.QT.A5XJ.01,0.952129915917679,0.0478700840823212,0.277279388493356
TCGA.S7.A7WV.01,5.1094614385766e-05,0.999948905385614,0.000802140861995641
TCGA.QR.A706.01,0.757833971476805,0.242166028523195,0.798623792581884
TCGA.WB.A81H.01,0.833824508905567,0.166175491094433,0.648880693302906
TCGA.RW.A67Y.01,0.999999992449235,7.55076478590293e-09,2.14618597445208e-07
TCGA.WB.A81V.01,0.773172081449685,0.226827918550315,0.772440535981822
TCGA.SR.A6MP.01,0.95772859006501,0.0422714099349897,0.252611310177863
TCGA.WB.A81T.01,0.975636392067398,0.0243636079326024,0.165285257764953
TCGA.QR.A7IP.01,0.885534176644665,0.114465823355335,0.513240988516225
TCGA.RW.A67V.01,0.749961308848628,0.250038691151372,0.811339442724106
TCGA.QR.A70I.01,0.99999919337596,8.06624039758175e-07,1.74910734066514e-05
TCGA.QR.A70N.01,0.639254495488867,0.360745504511133,0.943300274382477
TCGA.RW.A68F.01,0.896486507193385,0.103513492806615,0.480035172447097
TCGA.QR.A6GZ.01,0.428709691689234,0.571290308310766,0.985285464106166
TCGA.WB.A80M.01,0.831519922568505,0.168480077431494,0.654216001049809
TCGA.SP.A6QI.01,0.87485143415243,0.12514856584757,0.543981374744916
TCGA.WB.A81J.01,0.878549691961559,0.121450308038441,0.53351541248045
TCGA.WB.A80O.01,0.99999952751292,4.72487079668956e-07,1.06101304013472e-05
TCGA.QR.A6H2.01,0.669149270527761,0.330850729472239,0.915793198683536
TCGA.TT.A6YO.01,3.50208410962838e-09,0.999999996497916,1.03422967074917e-07
TCGA.RW.A686.06,0.824068805645568,0.175931194354432,0.671094626918627
TCGA.RW.A68B.01,0.965838556580472,0.0341614434195281,0.21485001261406
TCGA.QR.A6GT.01,0.814074077273651,0.185925922726349,0.69287057814775
TCGA.QT.A5XN.01,0.999999929749476,7.02505238349384e-08,1.77070735991887e-06
TCGA.WB.A81K.01,0.809613890571078,0.190386109428922,0.702278472485639
TCGA.PR.A5PG.01,0.999999911241826,8.87581740840721e-08,2.20725955255148e-06
TCGA.W2.A7HB.01,1,0,0
TCGA.RW.A68A.01,0.926876489883094,0.073123510116906,0.377473326616902
TCGA.RW.A7D0.01,0.892892222360135,0.107107777639865,0.491130028074018
TCGA.PR.A5PF.01,0.889832102442907,0.110167897557093,0.50042218025607
TCGA.TT.A6YP.01,0.929080355390888,0.0709196446091118,0.36934625054949
TCGA.S7.A7WU.01,0.906099333787954,0.0939006662120461,0.449357429380628
TCGA.WB.A81Q.01,0.977664309635308,0.0223356903646917,0.154361225172831
TCGA.SR.A6MX.01,0.857284609578817,0.142715390421183,0.591306235445947
TCGA.SR.A6MX.06,0.903803179808374,0.0961968201916258,0.456822536698614
TCGA.W2.A7HD.01,0.953473954267867,0.0465260457321329,0.271452410550184
TCGA.SR.A6MZ.01,0.750789538117079,0.249210461882921,0.810024336241959
TCGA.QR.A70H.01,0.880309370419264,0.119690629580735,0.52847093529544
TCGA.QR.A70P.01,0.809635079035073,0.190364920964927,0.702234222391899
TCGA.QR.A6GU.01,0.981356046868904,0.0186439531310956,0.133757505032017
TCGA.W2.A7H7.01,0.675383458096976,0.324616541903024,0.909331302395473
