S1,S3
TAC3,698.071909944204,162.280801952598
KCNQ1,9.85194887828967e-05,4735.84071293027
FSTL4,522.7108589342,0.682820274620462
FRZB,544.12977196011,634.163333238115
MMP9,2.43943353525357e-15,108.326974772396
DIRAS3,650.908604486086,519.665417327879
CGNL1,2.49732172645034e-05,319.316550006391
PAPPA,255.720663051368,4.73308292516625e-08
PDYN,227.332368806499,5.11575936305382e-22
HBEGF,297.992916816042,79.0673550452511
FABP4,13.5208422126782,974.930167524331
CXCR7,0.0245291998997566,0.0260052204267546
S100A4,0.00916627442960611,3754.45479439465
LSP1,0.749425860249001,4574.26613533799
CREB3L1,116.592105268169,294.766966707364
AHNAK2,1157.23122665795,0.0156369873120133
HSPA6,254.521442666484,339.624692015985
LYPD1,530.735413125957,115.368082645188
SHD,383.168540492745,1254.67492178546
SLC47A1,0.00100100854351659,3725.31254153857
ASPN,318.885653296265,16.4616842506059
CCDC80,213.662122537592,13.5390031958481
ERRFI1,37.0527394220359,81.86651467438
DUSP2,504.464109732617,938.597496972306
LXN,577.884960220629,221.611820688059
IGJ,27.6700209473607,31.3920348743704
SEZ6,1275.73625070948,1.64806588900726
PFKFB3,77.4074707935894,1.25971341118277
SULT2A1,4.06232826947307e-14,2906.93912187521
KAL1,818.533583777167,587.061093828661
SEMA3G,900.49661021349,123.655178380675
F13A1,656.397799221355,209.021358901003
ZNF423,942.046158661908,129.31144171236
F3,690.324944644101,282.066516636969
GOLGA8A,837.844934395515,1399.97099586325
IFIT3,1170.40306903329,1183.31422403446
MEIS2,866.188885924303,447.029716461776
PLTP,3.21828061366949,2189.75004327289
DSEL,358.794205719437,5.49162081847665e-06
MT1E,0.0024132517486972,4214.29164326573
LOC100302650,544.108654167202,1411.62623702613
RAP1GAP,641.16164654905,3452.84037399654
LOXL2,22.5083734246728,443.815614300692
GDA,878.971712962089,2.78907214464613
PLXNC1,1629.52414974442,2.4107180923731e-15
CDKN1C,935.220041057088,2136.6988949283
CNTFR,1002.03583832845,274.171050279954
SNCG,144.478167305715,3820.12685360894
RHOU,213.143556627986,1026.76771178091
FBLN1,144.550873771333,2528.45195721586
PPIF,519.876442187678,4652.82952648871
IGSF10,1326.80060189006,0.137922038522189
C2CD4A,253.528345422802,131.006429647535
FGF1,1200.04016719134,124.402559608107
IGSF21,1053.9147947923,1793.13499847649
DLL4,95.7910229952866,125.154472772603
C1QTNF1,0.18547309057467,3226.72227895149
GABRD,0.000724277303641213,697.542536398421
EFEMP1,227.506922342919,629.823675500043
CCDC85B,395.702466682857,5784.30221795073
RAB34,773.560924045899,3084.29094260434
INSIG1,689.051629527784,2917.97939785274
NPC1,691.127500532129,3222.97631319903
TMEM132A,578.539678832686,1487.64810621024
MVD,280.807680276561,4353.28616690244
FBLN2,524.389357970777,451.29922606326
RGS1,221.227894445299,284.60929863648
GADD45G,494.65818785272,2608.62668244388
CRYAB,75.6362305763248,2925.83922426046
ID2,576.398004117284,3138.56893343631
ELAVL3,1221.91732725598,179.476350174194
C1orf226,1326.24761063862,1097.47736570155
FILIP1L,49.1183727321037,31.9742658941995
LOXL3,613.179541270688,190.404571444679
AKR1C2,1232.98145750477,204.323310095767
MFI2,1101.38353033373,0.000179903605552221
KIF5A,1703.83744746715,1.17835714033593e-12
PTP4A3,209.867198964203,1457.3462513806
CD248,0.230248860024211,772.36053096332
DIRAS1,1280.61017539078,504.967117903799
APLNR,120.657826570497,1472.21734029682
ACSS2,716.452846923691,3403.69644088247
NBL1,413.468248103762,2725.14871411285
PON2,1005.55711508813,1539.77943232174
SDPR,766.789393843177,475.714621837476
CLEC14A,255.725132292062,1527.22579720642
METRN,796.236856617125,4586.64655928481
KCNJ8,500.385387861089,1138.56366367766
CSDA,33.1884306937817,3087.53907755337
C9orf16,601.35107934939,5571.91446640581
EML2,1182.04817092839,969.233231012521
GPR56,404.361108941119,869.704748993036
GABRG2,1651.83116298919,0.068227529623245
CAV1,277.568968480921,441.399188211528
FSCN1,344.749586954666,2117.11960204658
CRIM1,678.407316131077,131.950628847018
PRELP,392.042380839825,1523.00138529839
MARCKSL1,261.568103620308,1774.90917252662
IFITM1,122.38221192164,2720.13581117747
COL12A1,363.47092581035,83.4774811894143
ANXA1,254.086721717066,949.012682784507
ROMO1,573.977593983821,5690.32445489599
SUSD4,1375.92227705671,126.96169544955
DLG2,1436.03346443543,46.9070549581972
DUSP16,977.756477863707,2787.31519294835
F2R,491.008914844474,9.84241840472039
ROBO4,400.252053880191,1904.44216632823
CTNNAL1,987.124123195278,2995.75340448333
GALNT6,1343.78380044618,2.37809440899663
SEMA3F,75.6686316503353,1299.50533909973
C12orf29,1643.82453293636,555.169303374794
RPP25,1293.05711766821,2314.81727061161
C12orf53,1330.29118751173,755.529989032893
COL14A1,409.475428594245,34.682888879807
TNFRSF21,1087.2232645455,18.857462357517
RAB31,361.934810648181,1405.02958722077
NCAM2,1419.61558294848,0.0777794407668424
MRPL41,690.211841256126,5280.5939367588
NFIX,961.217212972199,1010.70093960793
DYSF,448.486923656699,606.913185713189
TNS3,1077.7377545884,275.627605519568
PITPNM1,1049.7698752352,1669.93774697872
COTL1,230.019279710402,1688.38723946912
EIF4E3,1734.33779217817,183.250262219408
HIST2H2BE,1302.98387907603,430.070999887608
GRIA4,1437.47607208158,341.786686625666
LRRN3,1536.67798444664,268.396740655281
GRID1,1429.38065044013,281.629480356779
SCN3A,1747.15997366225,0.00821336975724965
CYBA,580.857299470847,3348.62915932799
TMEM35,1480.45993144547,771.443638486613
AGAP2,1498.73353605811,229.486771124526
NRXN3,1561.24491575866,249.095192136007
C16orf13,587.805785185078,5061.70870792313
MMRN2,676.459969530733,803.169433376425
FAM91A1,1410.46654642463,161.766644488853
LYNX1,1566.84211597165,1186.12996470322
CYBRD1,415.027184496683,1957.89457528729
PDGFD,482.662715396287,2327.48249587729
NPTXR,1303.48550068984,1083.87542545666
UACA,674.477804872951,941.252988032512
HDAC9,1601.20720172178,26.5909758077439
SHANK3,820.104761290451,885.917557677045
FZD4,502.341920959391,1460.47726983162
TUBA1C,848.033749708931,1715.57201650646
B4GALT1,452.579058387144,1930.46076235519
ACSL1,1274.01174823085,669.630914900869
MAPK13,1777.70751978827,439.062268030837
SLC7A8,1145.14161388725,980.390832862747
BASP1,1342.74622341734,301.423219897825
HERC2P2,1306.67936822327,1244.4682551361
CAMK2N2,1076.2364898539,3226.36192275916
FOXP4,1229.14200216193,996.345960783616
CNIH2,1045.18931949719,1884.48475162481
ROBO2,1456.46001878975,1.78644892548514
MTUS1,1190.17190300649,1480.83203710696
GPR124,333.137215175908,328.660423053276
TRPV2,895.884596071811,1351.86652230768
FN3K,943.064221743286,3457.52798297432
CTNNA2,1189.25403818495,295.980777625546
TINAGL1,329.117733744403,1520.67150999035
CHCHD10,905.450000228061,3783.10511330216
CAMKK1,1424.12765807535,1440.33200288987
ADAMTSL2,944.80881859492,2284.03187306399
CD320,817.465409631056,3700.88370008081
BMPR1B,1760.60141236712,127.476023810082
TBC1D4,1023.15187035013,2139.50289931955
TMUB1,850.043816262262,3168.78129310084
TIE1,303.455663794007,749.042630385822
SLC8A1,1533.06688127689,0.0993005434971632
ST18,1261.76258631154,242.186853495483
CBX6,1463.66558803317,2.47513487568414e-05
CDC34,897.020946693335,4295.6066512223
ROBO1,1257.58839017468,709.216833160881
TSTA3,1087.13852189821,3059.23290639428
SYN2,1305.96305796048,587.010480741761
ROR2,1326.27350396725,714.258084392253
TLE3,1138.01681507955,238.569728330836
RPS19BP1,679.004543981837,4648.92541776977
RORC,1558.15322253022,947.526060718798
FAM107B,1065.93771149426,1278.80379165496
ENTPD1,761.836528726071,642.703088583158
SNHG8,1144.0044994956,2923.96062728955
PTPRK,1462.91947442129,31.5469137722398
PLEKHO1,282.807275387887,3857.85046281126
XPR1,1845.13073019629,253.708320808075
UCP2,1016.09536889162,1860.71364167499
ITGA1,705.909063522612,2.44651540498056
IRF9,1401.8564154872,1821.22751306237
TLE2,1006.34530082292,1769.63830754681
C19orf28,903.313881173886,2857.00019963607
C22orf32,1002.14533989445,4055.6178773357
LZTS1,1256.1428141915,343.413261837937
ACVRL1,628.830898005677,1752.98826610157
UROD,991.992321077518,4277.74312092468
CDC14B,1561.52461946193,24.2338870684488
DOCK6,525.356017563756,878.187397223343
UTRN,1095.76860509769,235.950901270865
CDK2AP2,757.638241698568,4255.72495258715
CMTM4,1652.10972508289,304.969785529112
C1orf21,1000.8210754083,1827.52379293171
SNHG7,854.323373731203,3122.8539331888
PER3,1706.82945534127,291.690872499848
HEG1,861.452503955247,221.294123273715
HDAC11,1433.34206820365,1746.23897604671
GRIA2,1981.52768587599,3.81269400714281
SNHG6,1113.44199224488,4097.30975286287
CELSR2,1379.0566800019,1.78596849608671
SELK,1235.44720180696,2849.37032696256
SEC61G,936.708689279541,3157.85729786866
CARHSP1,877.695598249624,3434.34820411661
APRT,750.972593380247,4719.21724147775
DIXDC1,1721.81189217944,26.3843545448358
SSBP4,840.718142573996,2945.50779136859
PTPRH,1403.14335120198,690.586259438966
DUSP8,1454.95474195331,850.71506260787
ARHGEF10L,1711.1409119069,640.46943264578
CRELD2,893.452682272716,1753.19378205422
PHLDA3,985.209097450344,3621.79429126893
LUC7L,1074.26777087886,2848.35913350471
WSB1,1038.86318823009,1150.97322047525
NALCN,1877.34830570047,6.92454294847788
SC5DL,1660.35726740338,1436.31999254784
SOX4,934.120894407086,771.868894910296
FAM131A,1493.59036111519,1132.99758524873
ARHGAP26,1660.46181001747,29.7892325946136
BSN,1864.07170291399,0.593891587339846
CADM4,1585.40722663103,1495.09610324598
RNASEH2C,971.785342969927,4217.84961620811
PIK3R3,1139.86500928449,1259.28162408017
KHDRBS3,1861.43978617418,369.686391872263
MRPL12,724.049833059552,4441.48953026839
HEXIM1,1311.09583835674,2933.4561662934
NDUFB1,1016.8516965574,4181.29048963589
RAPGEF4,1467.37364863546,315.554576005426
R3HCC1,596.871273839439,3031.22371021687
ELMO1,1217.7238881372,729.576361847749
RND2,1279.59402187109,1890.61106133192
ACAT1,1357.0841063943,2740.78325370308
INF2,960.517449652955,2203.72855406567
PTPRJ,1482.96534645821,57.874057158277
ARID1A,1575.84330530128,3.44374505534431
MRPL33,1016.172833877,2560.18796838191
LRRC59,1027.72111251496,2445.99096565815
