S6,S5,S4,S2,S7
MYOT,1.68676979076987e-11,7.2169433762076e-12,1.39864344642091e-11,5.5271043324787e-11,22023.1333948269
SLN,1.77498948424975e-12,1.99087832405936e-12,3.74081468541646e-13,1.20745433272964e-11,21822.3819075582
SCGN,16.2675926903067,478.336197794592,563.563135907571,1.98958942382086e-05,0.00505274412762858
LMOD2,1.20373481088111e-12,1.03379858094328e-12,4.69079983001263e-13,3.9696490268688e-12,21464.0320245398
KLB,542.972480388563,3.35559152766108e-13,8.4234966903127e-12,2.3055649419894e-12,1.48642712618533e-12
GSTA1,42.3868608503331,710.509064121422,9.00868292748646e-11,162.630147775231,4.01532799031412e-08
DHRS2,145.096298093823,3.04656850970649e-12,1.85206768639465e-09,0.0212650271848796,3.86872779023184e-13
ATP12A,455.69003110328,1.73907459671147e-12,3.44439446438285e-09,6.26550799156191e-16,1.09215863013629e-16
SYT4,717.22099032705,4.06848914867907e-14,5.67410015853572e-13,6.97713785649339e-12,0.00014011818829718
CASQ1,9.43445851596396e-12,1.35963857058606e-11,1.0702824903042e-11,2.63133967841864e-11,19741.8097722328
ENO3,3.31103449038182e-08,308.979103533885,5.35677415927206e-11,9.66312360678118,18893.5247502936
IFIT1,811.486347683258,1.26944756245404e-07,0.0185136165901874,318.080427981894,253.495341071283
KLK14,669.736289449619,2.50278914059214e-12,6.33229800622647e-13,3.71291140220235e-13,2.19334494436056e-14
SERPINI1,848.652363905942,1.96361863137256e-09,0.00089355303073937,5.80335966120027e-10,1.70370008206548
UNC5A,67.7327894238398,262.829132994923,7.86693134849092e-13,1560.32101202848,1405.94623681537
GRB7,769.665765171516,1004.17187890059,7.94164084345648,2.10852139213428,2.14109127840393e-06
TFPI,0.0523346779009508,1.36907938585602,848.184324056267,1.27692459992545e-07,525.074449447353
PIP,69.3167369602965,285.808515106272,1.65176828272713e-12,370.396401474761,7.79421024411964e-15
COL10A1,529.364096227532,9.1386215349391e-13,0.000304745700598922,1.36359567264583e-12,7.29654381415845e-10
PEG10,574.013002134035,2.51113444334313e-10,6.1067536559755e-12,160.199116970969,0.0376981553042788
TPPP3,252.213626272159,842.712595435249,123.276366376575,3.52040625537068e-05,3067.27821491977
