S4,S2,S7,S8,S9,S5,S6,ITTH
TCGA.DC.6156.01,0.000795863994463225,0.176570986239285,0.000336681175256183,0.427085290678886,0.0880371954216845,0.247718244897521,0.0594557375929046,0.722196920670006
TCGA.DC.6160.01,1.2998924697777e-05,6.38271092403396e-06,0.0396237559884202,0.0475419372931122,0.254505056455263,0.58604448515091,0.0722653834766721,0.57775707498622
TCGA.EI.6512.01,0.0492405106104598,0.113982240969116,0.00215259346303576,0.185709199393105,0.0814986743105461,0.528870165782308,0.0385466154714291,0.713500152559928
TCGA.DC.5869.01,0.00573624738704681,0.0484280613136587,0.132626369121153,0.262221298565629,3.29711105564242e-05,0.550915722845556,3.93296564003258e-05,0.577798762194935
TCGA.EI.6507.01,0.0145130521952513,5.30609034578087e-07,2.43728286725992e-06,7.38179532523939e-07,0.187779414903893,0.41780698106582,0.379896845763601,0.569326448933231
TCGA.AF.3911.01,0.0556144843342482,0.203789077721713,0.0576843163253642,0.278473126442216,0.030035998122073,0.366927228558367,0.0074757684960191,0.778651261993957
TCGA.EI.7004.01,0.0685586144858027,3.93140276430835e-07,0.156360086635898,5.11379046006194e-06,0.0823241434704802,1.01751766039707e-07,0.692751546725317,0.479889030993975
TCGA.G5.6572.01,0.0142777037670141,0.00214104325058576,0.0241002744361603,0.692494544779168,0.0130831218636483,0.13847811793308,0.115425193970343,0.512769328295669
TCGA.EF.5830.01,0.0346260922669846,0.136493713758559,0.0829438319341196,0.29316410287084,0.112849611879043,0.305351966053369,0.0345706812370845,0.862965659689894
TCGA.F5.6812.01,0.00654824631130215,0.669047378146466,0.0487200437648497,0.155468405979488,0.00023381726379663,0.118367217844913,0.00161489068918419,0.515613311139329
TCGA.CI.6624.01,0.0839764869610928,0.055807806507887,0.00536430000451161,0.357612494632316,8.80232017746411e-06,0.402660548148342,0.0945695614256735,0.695963190672202
TCGA.AG.3902.01,0.0370039379442092,0.129358551272963,0.12890192974637,0.24212695154782,0.0113260317443441,0.374990920326722,0.0762916774175721,0.826817693931685
TCGA.EF.5831.01,0.00262298345076681,0.0843685999650336,0.0882792094723428,0.285136682789072,8.22531585424411e-05,0.445914031339547,0.0935962398246956,0.7085999025316
TCGA.AG.3731.01,0.0111679022256457,0.000551166744278976,0.00812773977736359,0.232976847828154,0.00709523841104285,0.656383471850437,0.0836976331630775,0.489190369122947
TCGA.AF.A56L.01,0.0776644058794117,0.00974908181253705,5.15341509598312e-06,0.458879328503165,0.0390223980970479,0.414662732695521,1.6899597221476e-05,0.561640648686096
TCGA.DT.5265.01,0.0354479453552967,0.758895841496077,0.0699053031982214,6.3450583089099e-06,2.2930284994505e-06,0.0999097709983294,0.0358325008652666,0.443637111674086
TCGA.F5.6465.01,0.00504395207321886,7.05119769613393e-06,0.0219607700660737,0.544503866095276,4.26800130478187e-05,0.34895946810744,0.0794822124472471,0.519394302138409
TCGA.AH.6547.01,0.0931085473126458,4.50348107124899e-05,0.0415164637947104,1.66717740467941e-05,5.71669451668673e-05,2.219620716114e-05,0.865233919155556,0.246572494863579
TCGA.F5.6811.01,5.5774335584e-08,0.0522758629042155,0.136428740673347,0.391131934381068,5.44886802863695e-06,0.420140539055804,1.74183432017275e-05,0.594984433748536
TCGA.F5.6571.01,1.05891223677217e-05,0.242051048074253,0.0149404835720915,0.559423615892014,0.068986340390717,0.081894183321357,0.0326937396272,0.633358139261309
TCGA.AH.6903.01,7.8863098648247e-06,4.20840157868782e-07,0.0636531286452362,0.0978829179247839,0.00181360072279962,0.561809995302707,0.27483205025445,0.561820511239433
