S4,S2,S7,S8,S9,S5,S6
CD177,6.60226491972464e-14,1.05373157651276e-16,1.42943651893535e-15,6.4677148808248e-16,2.06809333798466e-14,7.31974642187393e-15,1.14878371892783e-12
DEFA6,1.71935452577723e-12,211.965934412716,1912.25580447125,3.39953756959339e-10,8.62458169039335e-11,1.57455397156873e-11,6869.20001777914
WFDC2,1887.40974078363,3.58760933511658e-11,4666.07866162192,5.57428094350871e-12,7.31455410615158e-12,7.91197650263276e-13,8579.93818022014
COL16A1,371.051617975146,5.61779239517502e-06,2.91324785533089,0.000633366595396349,350.876367348826,1.53638947110475e-12,2453.64732483678
MVD,22190.30474745,9.86298521836632,328.782131161261,1.52310609468233e-06,90.9768202988492,1050.78776928489,0.653599440047614
POP4,1342.68656283596,2729.15026454617,1421.88227417863,2.28483173746952e-12,1.9390334963521e-12,1596.92412987275,5.2876007002318e-11
MMP9,894.742985534804,39.1592144169648,0.0154565689825139,2118.17119738349,14630.8404345457,4.59609155709964e-12,1.37149414537187e-11
C20orf56,6.14184429506987e-13,2.52736700991685e-15,1.55511800923258e-08,2.49539372613076e-14,23.1657578678258,5.40708642996819e-13,8759.60239149266
CST1,3.08539006502297e-12,3565.45954150625,203.551102259732,2651.14594367576,3793.99446143519,7.00027225032118e-07,2.75273500570614e-12
CXCL5,8.58196194687007e-15,1417.3316901906,2.46284457012048e-15,0.00143604288102004,1019.19053168407,3.03162292919818e-11,2593.85723222443
CA2,6.13471868477137e-09,2.16297975667111e-13,5.44128679858297,3.46346636473841e-13,4.77794666511711e-11,4.99872223380642e-12,2.47661125040345e-07
DUSP27,0.827492291505397,3.29286111026681e-06,206.623469081245,655.57700494419,523.096769142304,1286.38147377615,5726.0269199572
FADS2,1871.14916800108,7.77917273578391e-07,5548.10935166099,1.28828680940406,2.38797875877862,2714.75540712994,1.08100417675055e-08
COL11A1,3.14277213855035e-12,1.18897176994159e-12,2.01309335075373e-12,493.598583513537,917.160755872274,8.48218146242503e-06,7.20136469046192e-12
WIPF2,1010.40594981504,0.596718185667285,1.82921931393032e-09,2977.72665784826,1361.22675651452,1731.71317709238,804.576136226989
PCK1,599.053317852122,348.341272701996,1.21465541913664e-12,2827.7258606805,1.56233166363134e-13,8.20210773440176e-05,2803.49493504312
STARD3,2006.66217240327,1582.18839002639,2.02206719184219e-09,1368.43119826022,3572.93496456632,1122.31322470259,9.52534132667039e-07
FAM195A,20226.4135332073,487.160482824075,3353.34802911581,1.4882434125137,22.1929905103581,397.079255444001,19.079488206508
APOE,1017.68232290071,2737.84512865229,2037.01723968208,667.24077042593,1894.17035975465,46.5798198315237,5.39299317730909e-12
SYNPO2,4.54547651476505e-11,8743.84709427553,2.74325067200199e-12,7.51693992336524e-12,9.60359641414217e-14,8.62054277915066e-12,0.000606387597757513
CLU,0.0318824777672499,5012.39976813185,108.951002147048,3102.20063165071,2.14494178270641e-08,6.05207443999868e-12,426.344521825827
SCAND1,18839.2604708351,481.996091272779,3217.78327417021,1502.8094675091,0.0298612107177536,275.874949518149,4.01298422008176e-06
CDC6,1278.04100063544,1.02300904612168e-10,5.32588793901124e-08,1642.50271267788,739.862986972696,1898.29517181917,0.00402686235062697
GADD45GIP1,18921.4059175785,170.211178093625,3609.58361910039,469.875526508631,992.2663641645,326.088836422732,0.945192465071834
NKD1,624.9610608249,2081.09541812671,1662.67630571648,5441.78518007435,6112.42808634893,0.0949409427812683,0.0321923196774038
