S5,S6,S1,S2,ITTH
TCGA.FX.A48G.01,0.383032731243054,0.0894177763590166,0.488257559375033,0.0392919330228969,0.765119219482293
TCGA.HB.A3YV.01,4.64616735625486e-06,0.918565232719387,0.0377251570107244,0.0437049641025327,0.244199944782271
TCGA.DX.AATS.01,0.0350770758327226,0.565877623854118,0.13067740454402,0.268367895769139,0.763658316390613
TCGA.FX.A3NJ.01,0.969631050715356,5.35680507746e-08,0.00802589876499323,0.0223429969515999,0.110770653273333
TCGA.DX.A1L2.01,0.0579932353826439,0.929105944906446,0.000108503050205094,0.0127923166607047,0.209336609622593
TCGA.3B.A9HX.01,0.539954439421372,0.304563643745036,0.0132485717474664,0.142233345086126,0.74264671272858
TCGA.WK.A8XX.01,0.693449869537846,0.255436070454654,0.0377383312616244,0.013375728745876,0.565427529643142
TCGA.DX.A3LS.01,0.0556749702548772,0.714043668568746,0.0127870044033655,0.217494356773011,0.569033527478883
TCGA.DX.A3UD.01,0.532751142088827,0.379184558660317,0.0880339258785307,3.03733723255055e-05,0.661780540084171
TCGA.3B.A9I0.01,0.753776386524051,0.151947890713692,0.0942750946589473,6.2810330966568e-07,0.520818811296513
TCGA.DX.A8BM.01,0.0875102651642753,0.857593658410617,0.0307998675531176,0.0240962088719901,0.39089029000739
TCGA.DX.A6BE.01,0.0595545699164446,0.212809226671376,0.100194610350683,0.627441593061497,0.735956850160749
TCGA.DX.A8BP.01,0.121914918626831,0.635304792837357,0.121415486938691,0.121364801597121,0.762269402352894
TCGA.MO.A47P.01,0.642914368853401,0.314651826976371,0.00629264190573565,0.0361411622644922,0.576880003566225
TCGA.WK.A8XO.01,0.032042974118443,0.547914570478562,0.20591671961962,0.214125735783375,0.790099327964005
TCGA.IS.A3KA.01,0.319402215839491,0.509788388894651,0.170769798783919,3.95964819380163e-05,0.72873153461811
TCGA.DX.A6BA.01,0.731668948092104,0.235541909625768,1.63143177650027e-10,0.0327891421189854,0.491394508179145
TCGA.3B.A9HU.01,0.719799673729939,0.233495842293857,0.0277031863742389,0.0190012976019649,0.541699246100406
TCGA.X6.A8C7.01,2.4631507177715e-05,0.911343435788546,0.0653149061878373,0.0233170265164393,0.25299034280221
TCGA.DX.A1KW.01,4.87167341108263e-06,0.864500919815165,0.0649176443315318,0.0705765641798917,0.353865725894286
