S5,S6,S1,S2
TRIM63,605.821621634565,317.314259166739,553.355984515198,4.653654376694e-25
KRT19,63.2575343914622,321.123588819331,1295.62275228858,1062.02469749713
SLPI,1.01119889675258e-24,21.9243056582127,3005.61718769025,0.000949553331296704
KRT5,436.521065865792,2.58262146736319e-13,857.151647236356,435.71593261151
CTXN1,921.982902822265,0.0840643864685216,5300.70343861706,1.25608113241767e-20
TFF2,403.977386126062,33.8733911539821,0.00100268368239347,1.22822634262018e-23
PRPH,511.391363608517,412.862024303021,2115.03900769183,2.0365104443074e-17
DMBT1,1.01921625549562e-18,333.060790852073,2.53515555526051e-19,1.24778697902172e-16
FIGF,5.2305310313367e-18,123.359033897794,1.26979570332869e-18,1.42702910060655e-08
PMP2,2.62230844111227e-30,3.82244219927754e-16,1.14731798723518e-41,7.33984286496927e-50
GATM,355.940713982604,370.364536787788,7.6272676603488e-18,5.6214015543707e-08
GAP43,1.7875204988137e-20,0.00130741856943352,3.01127663673536e-14,7.39226161743452e-16
TFPI2,2.05257049033156e-12,352.74015707602,100.406621816362,1.19108215865491e-08
XIRP2,2.68271572947661e-06,71.9608344320925,704.730240110259,1262.4183421526
HBB,219.465192176415,139.511557042265,1773.26540560658,1015.65638170341
PLEKHA6,575.5764124962,613.31386298131,1.49165619308045e-05,966.767044917133
HHIP,540.992759386692,100.767035331439,805.277407516612,840.517904034434
P4HA3,189.850851468155,9.37473327005484e-09,186.399327824096,8049.79006009373
RARRES1,1.01356302160659,8.16103233164331e-06,1.08412480965199e-12,2056.53695910105
TSPAN11,1.652332247254e-21,1021.89431748346,107.765703411258,1856.09462610571
PSCA,387.270456142771,37.4795316557005,1.0502494609042,7.94489194507312e-22
PRKAR2B,612.717961377783,1029.85761362149,3.33044222761376,0.000236228850081049
COL27A1,415.820525846465,517.498559294118,305.206860475167,3797.25760316806
PI3,1.27035432873205e-29,5.94226996866152e-17,2.07092778511461e-07,2.79814491898966e-23
PPL,1376.97522281623,635.566645598449,2.03165802417909e-06,0.565616725155452
SAA1,2.22740721936345e-25,3.71096050460714e-34,3977.2613381468,1.43677700943808e-21
CHL1,6.14194161400885e-10,330.346175911192,1.95960103363697e-18,7.84172303019713
KCNMB4,2.83339736717244e-22,740.371372959232,0.000369826414091182,463.62434916403
COL22A1,361.674721841552,761.033621639949,2.72178162310916e-05,929.477431455931
FBXO2,3.22032692780662e-42,2.14377588602833e-24,6853.56025251783,1.86535578761549e-32
SRGAP1,30.6463094566841,575.556141028565,19.026905187623,1349.1735826986
FOXF1,1128.14628981159,907.502579129447,8.75487916491069e-11,205.262163084241
CDH19,1.36927202387868e-30,1.176088037678e-16,1.51948515058173e-37,2.36913447472526e-49
SFRP5,1.74951191711207e-34,516.664109252376,1202.02202915468,0.00283300677666931
NFASC,3669.76524279793,0.00070601153156481,4.50702328168403e-06,0.0420423279829243
PEG3,26.5375561109854,1329.37827305838,0.0687502300960955,9.16692334007025e-05
CAPS,89.5061385598035,138.575402379539,1068.03826457103,1.41910267987469e-09
RASD1,39.9972773725855,507.233789693933,1087.22153689972,636.209362103675
F2RL2,5.78774613021991,542.588677626346,5.7338777802292e-14,1327.09929253877
XAGE1D,3.74260167699064e-25,2.49911682589558e-05,1165.0774278801,4.6423698664796e-08
UPP1,383.08199958337,0.0106255316644927,3550.8756249406,0.00107403238450957
LTF,45.5234250577776,164.790474181984,4.25846530848395e-05,5.02283382492746e-18
SLFN13,3325.25411651915,96.677718125105,5.81014652703252e-06,5.84586781971631e-13
SPOCD1,2030.02045180796,142.229954002704,167.618167162934,1131.42539749361
APLP1,786.186690687647,1046.96916867188,1526.88563998173,0.233527372777718
FGFR2,1704.39716448938,590.825994501766,1937.1411191445,2794.21232096522
GLT25D2,1.34235156100018e-18,651.347066740846,1.52501623982327e-18,256.635957153174
PROM1,452.47268815118,643.555304921581,4.63216003523343e-12,0.00125993896764679
PRX,160.697346811307,455.220916757405,0.0184720501917094,8.97315563251503e-08
