S4,S1,S5,ITTH
TCGA.YD.A89C.06,0.703588648154205,0.0517258941600808,0.244685457685714,0.67814635191464
TCGA.Z2.AA3V.06,5.20597395844234e-07,0.999998575011108,9.04391495958917e-07,1.96089710785906e-05
TCGA.EB.A3Y6.01,0.738108734110489,0.185900866236598,0.0759903996529136,0.666988385524123
TCGA.EE.A3JA.06,0.99999106552558,0,8.93447442022861e-06,0.000102677715366328
TCGA.D9.A4Z2.01,0.708273264864655,0.0379082116338576,0.253818523501487,0.652076224115244
TCGA.D3.A51G.06,0.434899571669514,4.188276594977e-06,0.565096240053891,0.623241343725162
TCGA.3N.A9WD.06,0.812582009304325,0.100158883815064,0.0872591068806107,0.556994726852829
TCGA.GF.A2C7.01,0.851657628598116,0.1086303094703,0.0397120619315845,0.460585073634646
TCGA.WE.A8ZY.06,0.791497120200186,0.151392273380481,0.0571106064193329,0.577437444413111
TCGA.D3.A8GI.06,5.6334789297341e-08,0.773596578363425,0.226403365301786,0.486882241718239
TCGA.D3.A51K.06,0.469215120723534,0.520746452711277,0.0100384265651888,0.674510295105994
TCGA.BF.A3DJ.01,0.538344246880769,0.0617883306533343,0.399867422465897,0.793657675061152
TCGA.BF.A3DL.01,0.276491523457445,0.515684498312845,0.20782397822971,0.931604945534379
TCGA.EB.A44N.01,0.780466165589773,0.00826928666010412,0.211264547750122,0.511138934190827
TCGA.EB.A6L9.06,0.555346861977086,0.366261106859213,0.0783920311637013,0.813843717291649
TCGA.GN.A26C.01,0.364385306535486,0.146352002308537,0.489262691155977,0.909206666557705
TCGA.EE.A29N.06,0.784134933786342,0.123409615294958,0.0924554509187,0.608971626926367
TCGA.EE.A3J4.06,0.781308021319101,0.121598995811778,0.097092982869121,0.614827687778035
TCGA.EE.A29X.06,0.591025682215312,0.211583839694353,0.197390478090336,0.873571255195811
TCGA.EE.A2GM.06,0.774626422806856,0.113370495609437,0.112003081583707,0.627917951999124
TCGA.BF.AAP7.01,0.381558489928678,0.425079407344042,0.19336210272728,0.95484609102655
TCGA.ER.A2NH.06,0.397932604958959,0.0834589012313601,0.518608493809681,0.832384080954582
TCGA.EE.A3JH.06,0.698029866808365,0.216711291192306,0.0852588419993294,0.721130092046997
TCGA.DA.A1I7.06,0.067749705609484,0.088941628633548,0.843308665756968,0.492726230352393
TCGA.EE.A2GT.06,0.716772002634772,0.189466533944367,0.0937614634208611,0.706165849816592
TCGA.BF.AAP4.01,0.746036855539116,0.253963109071049,3.53898356957865e-08,0.515785200923867
TCGA.EE.A3AB.06,0.00699053071298657,0.0905972515778341,0.902412217709179,0.313952967285287
TCGA.FS.A1ZB.06,0.581991879212798,0.262095076956438,0.155913043830763,0.869958442333506
TCGA.EE.A2GK.06,0.926878211894696,0.0122889913619619,0.0608327967433417,0.26829277012077
TCGA.D3.A1Q5.06,0.523677155204291,6.44693492523905e-05,0.476258375446457,0.630490200264196
TCGA.EE.A29W.06,0.164409542288587,3.56295896647514e-05,0.835554828121749,0.407153883083393
TCGA.D3.A3C7.06,1.72268161294972e-05,0.112944432358382,0.887038340825488,0.321161135184234
TCGA.EE.A29M.06,0.827707166970104,0.172287798913825,5.03411607078701e-06,0.418310287746441
TCGA.BF.A5ES.01,0.53665127315254,0.46333024955745,1.84772900096908e-05,0.628669268537724
TCGA.EE.A20C.06,0.604992627084067,0.0355907088891533,0.35941666402678,0.719573804486342
TCGA.FR.A729.06,0.774478483377025,0.100145586920218,0.125375929702757,0.626893924253418
TCGA.D9.A6EA.06,0.618839874464308,0.192366233323255,0.188793892212437,0.845441602985097
TCGA.EE.A20I.06,0.705737857660683,0.227743042787009,0.0665190995523085,0.694691382685894
TCGA.IH.A3EA.01,0.47736095889075,0.394953882716766,0.127685158392484,0.8944982468836
TCGA.XV.AAZW.01,0.661428278786452,0.0957315843515324,0.242840136862016,0.766161291847038
TCGA.D3.A8GB.06,0.466737750124379,0.341311401655969,0.191950848219652,0.946068508048872
TCGA.BF.A1PV.01,0.776073937317121,0.0774355507629687,0.146490511919911,0.615524542669559
TCGA.GF.A3OT.06,0.282287905268391,0.0352058784419447,0.682506216289664,0.66954444629897
TCGA.EE.A2M6.06,0.67333377413773,0.0735485202991881,0.253117705563082,0.733670347415957
TCGA.EE.A2GH.06,0.683248681707544,0.170314944750284,0.146436373542172,0.767377884356972
TCGA.FW.A5DY.06,0.755589448363056,0.0721280567958579,0.172282494841086,0.641159665288275
TCGA.DA.A1I5.06,0.651077075547917,0.178444602330103,0.17047832212198,0.808785173301693
TCGA.D3.A8GQ.06,0.591750325598975,0.0644035457761396,0.343846128624886,0.777510830579437
TCGA.EE.A29G.06,0.853984706602318,0.0106837942363897,0.135331499161293,0.413208070284814
TCGA.ER.A19P.06,0.918220748082416,0.0274864602204329,0.0542927916971514,0.305205891964711
TCGA.EE.A3JE.06,0.773712882287516,1.88863953602819e-05,0.226268231317124,0.48692993097594
TCGA.EE.A2M7.06,0.179492693304205,6.58365388391038e-05,0.820441470156956,0.429004910615388
TCGA.EE.A3AG.06,0.545956458363943,0.0566581504344965,0.39738539120156,0.782621740874859
TCGA.D3.A2JP.06,0.341321363056102,0.160224613392473,0.498454023551425,0.916922500928241
TCGA.EE.A3J7.06,0.769218874696999,0.0683416973902758,0.162439427912725,0.619353931910387
TCGA.D3.A8GO.06,0.175801922072108,0.269393287741106,0.554804790186787,0.897315968993365
TCGA.D3.A2JF.06,0.122143778728176,0.130223639199102,0.747632582072722,0.673321708503857
TCGA.FS.A1ZT.06,0.914755918043823,0.0387810855784906,0.0464629963776867,0.318705807076993
TCGA.ER.A199.06,0.724900318285767,0.0911403370570141,0.183959344657219,0.694494152507185
TCGA.GF.A4EO.06,0.753578917412433,0.0425205758607197,0.203900506726847,0.61140831653445
TCGA.D3.A5GT.01,0.779564233127705,0.209105916936075,0.0113298499362204,0.520767322463387
TCGA.D3.A8GE.06,0.144881790700785,3.8659991534923e-06,0.855114343300062,0.37663766871684
TCGA.EE.A17Y.06,0.431364343956398,0.0845311864196171,0.484104469623985,0.839908286913727
TCGA.EE.A2GP.06,0.755463742517623,8.05101440830025e-07,0.244535452380936,0.506332931168056
TCGA.EB.A42Y.01,0.724906138904755,0.16171283487048,0.113381026224765,0.705137209710327
TCGA.EB.A44Q.06,0.754699072733167,0.245293357442175,7.56982465802309e-06,0.507185063972329
TCGA.FR.A3R1.01,0.835702383845455,0.0476428408222303,0.116654775332314,0.496678467688632
TCGA.RP.A694.06,0.857349895962671,0.142649117569125,9.86468204129136e-07,0.372977702055106
TCGA.DA.A1I0.06,0.273651806877775,0.560196319406586,0.166151873715638,0.889721578933726
TCGA.D3.A1Q9.06,0.825034985474545,0.174965014292431,2.33024315401796e-10,0.42205261762672
TCGA.D3.A5GS.06,0.680024726450076,0.175294882414411,0.144680391135513,0.771130981405299
TCGA.DA.A1I8.06,1.13597408987715e-05,0.0931809788761624,0.906807661382939,0.282152224517938
TCGA.D3.A8GK.06,0.729203658470707,0.230715007319218,0.0400813342100746,0.634964442158951
TCGA.FS.A1ZR.06,0.822859634305148,0.0280204729565436,0.149119892738308,0.49551297555234
TCGA.DA.A1IB.06,0.847813343494791,0.103649307513799,0.0485373489914106,0.474928019349488
TCGA.EE.A185.06,0.685049673626374,0.314949691390445,6.34983180957171e-07,0.567091200273783
TCGA.EE.A20F.06,0.753779328469298,0.194659060817463,0.0515616107132392,0.623058434863906
TCGA.EE.A29A.06,0.349217681778046,0.0176108194907799,0.633171498731174,0.662563557821994
TCGA.D3.A2JD.06,0.484245740144845,0.41016664254007,0.105587617315086,0.868438941070647
TCGA.FS.A1ZS.06,0.460807426207916,1.26968093083587e-10,0.539192573665116,0.62813052540596
TCGA.EE.A2MD.06,0.902026006886347,0.0979729272728634,1.06584079000706e-06,0.291842435544617
TCGA.EE.A3AH.06,0.460969130318204,0.0618353245826933,0.477195545099103,0.80295275980037
TCGA.HR.A5NC.01,0.738297874049423,0.0984446765001457,0.163257449450431,0.680966364456276
TCGA.FR.A7U9.06,0.461432664699184,0.158585180748763,0.379982154552053,0.925342071743176
TCGA.D9.A4Z3.01,0.858742300255723,0.115436837184288,0.0258208625599891,0.431837904521438
TCGA.FR.A69P.06,0.798396080068344,0.0398897650423824,0.161714154889274,0.548783765932984
TCGA.EB.A4IS.01,0.709310203865154,0.140867083987562,0.149822712147283,0.731942474908073
TCGA.GN.A265.06,0.374334695475581,0.142244479111919,0.4834208254125,0.907155750887818
TCGA.GN.A8LK.06,0.474420571074352,0.525565944998833,1.34839268149476e-05,0.629880096000531
TCGA.D3.A2JK.06,0.194221129345846,0.660332994307064,0.14544587634709,0.794401684527346
TCGA.D3.A2J6.06,0.584007233121478,0.415991801270885,9.65607637443772e-07,0.618033388930585
TCGA.FS.A4F2.06,0.731201856301025,0.125589732825288,0.143208410873687,0.698880424074956
TCGA.EE.A2MI.06,0.367195223893924,0.017858105128921,0.614946670977154,0.672450333090134
TCGA.D3.A3BZ.06,0.488447146521471,0.25137396729844,0.260178886180088,0.953371693880837
TCGA.GN.A8LL.06,0.31479800815982,0.66667732745608,0.0185246643841004,0.644488784746973
TCGA.D3.A3CF.06,0.775663152873112,0.143975265253893,0.080361581872995,0.617776344837705
TCGA.EB.A4OY.01,0.144822181348276,0.855177818525644,1.26079922136181e-10,0.376494505289227
TCGA.GF.A769.01,0.601249755597281,0.0942788352070118,0.304471409195708,0.810652489988063
TCGA.D3.A1Q1.06,0.711085603671309,0.080620908502183,0.208293487826508,0.702913167134093
TCGA.FR.A8YC.06,0.827410368606779,0.0825116721277472,0.0900779592654739,0.52742250519999
TCGA.FW.A5DX.01,0.712077199974085,0.0329342314584052,0.25498856856751,0.63959145467107
TCGA.ER.A2NF.06,0.799956211302781,0.199873793239309,0.000169995457909772,0.45678990323784
TCGA.DA.A3F5.06,0.315571583085688,0.12193565908204,0.562492757832272,0.859448482392145
TCGA.EB.A3XE.01,0.615278163017863,0.323730490390452,0.0609913465916854,0.759631485641353
TCGA.FS.A1ZM.06,0.525088096040517,0.0599191616943101,0.414992742265172,0.793635597823937
TCGA.EE.A29L.06,0.834028775717215,0.165967558715473,3.66556731197983e-06,0.409137201246228
TCGA.D3.A5GU.06,0.934880373181935,0.0651157555805612,3.87123750387465e-06,0.21924883815642
TCGA.D3.A3C6.06,0.705530802489285,0.0976222259083497,0.196846971602365,0.721971121955645
TCGA.BF.A5EP.01,0.561120480189365,0.203548249689976,0.235331270120658,0.899965618960736
TCGA.EE.A2MF.06,0.881824283868073,0.062523786129267,0.0556519300026604,0.405045223685731
TCGA.EE.A20H.06,0.581211995653302,0.0248963499176324,0.393891654429066,0.704809624850713
TCGA.FS.A1ZC.06,0.554789154065967,6.64803767504219e-08,0.445210779453657,0.625454970153751
TCGA.D3.A8GD.06,0.84657492375924,0.119032668485578,0.0343924077551819,0.46444620566166
TCGA.EE.A29T.06,0.49657872206575,0.0386730464501029,0.464748231484147,0.755059681901086
TCGA.EB.A430.01,0.666924596090403,0.29327141309663,0.0398039908129675,0.690161287495019
TCGA.YD.A9TB.06,0.773964118742907,0.0496415241004064,0.176394357156687,0.594779984786219
TCGA.EB.A44O.01,0.792987885064292,0.133972172617099,0.0730399423186099,0.586521000085296
TCGA.D9.A6EG.06,0.802931008855666,0.197065154161505,3.83698282905083e-06,0.451804241972933
TCGA.Z2.A8RT.06,0.827527607321146,0.105639220146646,0.0668331725322083,0.523324226393655
TCGA.DA.A1IA.06,0.416935550121898,0.551737548371533,0.0313269015065687,0.729418084926217
TCGA.D3.A1Q8.06,0.166953706365281,0.0151396067520254,0.817906686882694,0.479423196570132
TCGA.D9.A3Z3.06,0.673752226775959,0.256039531028794,0.0702082421952467,0.72945444284526
TCGA.DA.A3F2.06,9.57469018442261e-05,0.999892120734522,1.21323636340996e-05,0.00102969015828449
TCGA.ER.A19G.06,0.834611409331021,0.0974764321359526,0.0679121585330268,0.510171164059251
TCGA.DA.A960.01,0.447828090243926,0.552112058052676,5.98517033978251e-05,0.626517406468493
TCGA.FS.A1Z4.06,0.799017900898116,0.0374429052820237,0.163539193819861,0.544683198236741
TCGA.RP.A690.06,0.876594466572612,0.123389198063589,1.633536379897e-05,0.340263821158886
TCGA.ER.A19T.01,0.744122033272068,0.124851557143358,0.131026409584574,0.679027239326082
TCGA.FS.A1ZH.06,0.313577477585465,8.99486674349806e-07,0.686421622927861,0.566119921579297
TCGA.EE.A29E.06,0.609747707196079,0.201306199848113,0.188946092955808,0.854866930694654
TCGA.EE.A3JI.06,0.949650678496555,1.4979861913247e-07,0.0503491717048263,0.181633298313144
TCGA.D9.A148.06,0.786216644706067,0.213741974931712,4.13803622207838e-05,0.47270685294258
TCGA.BF.A3DM.01,0.619831765288407,0.0931734304775782,0.286994804234015,0.797233832912872
TCGA.ER.A19O.06,0,0.831750467223022,0.168249532776978,0.41242915387307
TCGA.GN.A264.06,0.85549117040998,0.0810564352897152,0.0634523943003043,0.46618411616524
TCGA.QB.AA9O.06,0.643402115579604,0.273983259520963,0.0826146248994328,0.768659768511424
TCGA.DA.A3F3.06,0.914555070318897,0.0291064112564664,0.0563385184246365,0.315561852529348
TCGA.D3.A2JO.06,0.78361763487514,0.108560677157529,0.107821687967331,0.611930641417107
TCGA.ER.A195.06,0.539657405960159,0.0426415078613799,0.417701086178461,0.757365722068186
TCGA.EB.A85J.01,0.762861421259817,0.237129452629866,9.1261103169414e-06,0.498684587287895
TCGA.EE.A183.06,0.493025096843851,0.4618127423936,0.0451621607625494,0.769469966292742
TCGA.DA.A3F8.06,0.697986184233651,0.141963626164902,0.160050189601447,0.747633262974321
TCGA.D9.A149.06,0.865748833591814,0.134240822347787,1.03440603983037e-05,0.359086775243298
TCGA.DA.A1I2.06,0.823166817205216,0.0529081083230981,0.123925074471686,0.522894190494708
TCGA.D3.A2JC.06,0.562950117621406,0.170046925385674,0.26700295699292,0.889573257009362
TCGA.EE.A2MC.06,0.485430602110319,0.0444090702458806,0.4701603276438,0.768200839322421
TCGA.FS.A1ZF.06,0.755900276158106,0.112085112064597,0.132014611777297,0.659142688581675
TCGA.EB.A5VU.01,0.62577960285357,0.0465568732483225,0.327663523898107,0.729764973142338
TCGA.FS.A1ZG.06,0.825491739059384,0.174507945207018,3.15733598727601e-07,0.421411272914225
TCGA.D3.A8GP.06,0.746176513290797,0.0977982453655964,0.156025241343606,0.669658799867317
TCGA.EE.A2MN.06,0.850377242616932,0.149614835040616,7.92234245144076e-06,0.384248469849692
TCGA.ER.A196.01,0.803155274520672,0.0707585016138095,0.126086223865519,0.568497275343823
TCGA.D9.A1JX.06,0.745073916189624,0.103439477623057,0.151486606187319,0.673421228208908
TCGA.ER.A19D.06,0.458997575025052,7.45736750388662e-06,0.540994967607444,0.627948486668146
TCGA.ER.A19E.06,0.53811118202621,0.00661173524565835,0.455277082728131,0.659814402891316
TCGA.EE.A2MM.06,0.760359174329108,0.0284398708521037,0.211200954818788,0.58069814721729
TCGA.EE.A29V.06,0.529353343411728,0.429173952210966,0.0414727043773058,0.757093679251488
TCGA.EB.A5UN.06,0.704066578833318,0.117959715332859,0.177973705833822,0.733995922332649
TCGA.ER.A19N.06,0.643880195663105,0.164738186201738,0.191381618135158,0.816483470340943
TCGA.EE.A2GR.06,0.910466947320603,0.0872804103436012,0.00225264233579559,0.283972403469166
TCGA.3N.A9WC.06,0.839086159381363,0.114799086949447,0.0461147536691896,0.489325856614606
TCGA.BF.A1PU.01,0.632877280159245,0.269525148869669,0.0975975709710861,0.791908713837943
TCGA.D9.A6E9.06,0.471901684925037,0.528058425690431,3.98893845318304e-05,0.629872612975771
TCGA.BF.A5ER.01,0.488865881653557,0.442895000926742,0.0682391174197011,0.813547253021715
TCGA.D3.A51H.06,0.878724068299763,0.095806179725139,0.0254697519750975,0.393034451642791
TCGA.D3.A8GM.06,0.847849380576517,0.152141062255277,9.55716820587294e-06,0.388238432756782
TCGA.EB.A1NK.01,0.545958193517856,0.320406352459403,0.133635454022741,0.877521876648464
TCGA.XV.AAZV.01,0.23597805975657,0.223474393516438,0.540547546726992,0.917660745937626
TCGA.EE.A3AE.06,0.855592990237811,0.128272287805999,0.01613472195619,0.421844138618556
TCGA.FR.A728.01,0.623593178883943,0.234985083598753,0.141421737517305,0.829620855765369
TCGA.EB.A5SG.06,0.749295132836924,0.250656840926675,4.80262364001169e-05,0.51298109620482
TCGA.EE.A2GL.06,0.760438702275545,0.0726499207930998,0.166911376931355,0.634954934686257
TCGA.DA.A95W.06,0.848683857791945,0.132912858370751,0.0184032838373044,0.437819540009601
TCGA.EE.A2MH.06,0.578994274628119,0.176634512699975,0.244371212671905,0.880165427098098
TCGA.BF.AAP6.01,0.712730348896348,0.150902043018802,0.13636760808485,0.726772446785083
TCGA.WE.A8K4.01,0.701907791001827,0.298076761259332,1.54477388418095e-05,0.554706192179638
TCGA.W3.A824.06,0.721804263143098,0.272080829795757,0.00611490706114508,0.564924157164591
TCGA.DA.A1HW.06,0.820269615997294,0.114356934720507,0.0653734492821995,0.535952388052929
TCGA.EB.A5UL.06,0.768669589351,0.204559374918974,0.0267710357300257,0.567779788842169
TCGA.EB.A3HV.01,0.301398479783538,0.230652695698297,0.467948824518165,0.96045126815322
TCGA.D3.A1Q6.06,0.539130405981427,5.79322636627934e-06,0.460863800792206,0.628204182316001
TCGA.GN.A4U4.06,0.862369217822003,0.0483644145772834,0.0892663676007136,0.445896255948487
TCGA.EE.A2A5.06,0.775830438763312,0.059686166705879,0.164483394530809,0.602615308650733
TCGA.FS.A1ZK.06,0.812987722164533,0.155657294563941,0.0313549832715258,0.515578813655974
TCGA.BF.AAP0.06,0.581464523598718,0.245468192796586,0.173067283604695,0.877131803028721
TCGA.FR.A3YO.06,0.246783361748866,0.642615426598992,0.110601211652141,0.794643286643452
TCGA.DA.A1HV.06,0.749372992702996,0.202440844075635,0.0481861632213692,0.624152483039657
TCGA.WE.A8K5.06,0.74851599850305,0.154164342068673,0.097319659428277,0.666108233862426
TCGA.EE.A2MS.06,0.666258610135194,0.0216113640263058,0.3121300258385,0.65250148659982
TCGA.D3.A8GR.06,0.567213274036772,0.431937825290043,0.000848900673184823,0.628269583802419
TCGA.ER.A194.01,0.230022205317137,0.769977736743745,5.79391173927789e-08,0.49089581910343
TCGA.D3.A3CB.06,0.683708089755906,0.111299974609223,0.204991935634871,0.754763506094763
TCGA.D3.A1QA.06,0.889089794988346,0.109799070035677,0.00111113497597644,0.322802324239737
TCGA.EE.A3J8.06,0.843810251903345,0,0.156189748096655,0.394404154444365
TCGA.EE.A2ML.06,0.723876287271773,0.102762028821141,0.173361683907086,0.70227032366728
TCGA.EE.A2MU.06,0.631913988995202,0.271789189461937,0.0962968215428602,0.791437249706263
TCGA.ER.A19T.06,0.642350347963983,0.230001589639761,0.127648062396256,0.805657295499513
TCGA.XV.AAZY.01,0.188118937942402,0.811877312164796,3.74989280182898e-06,0.440131340530583
TCGA.EB.A24C.01,0.87499941055397,0.0916489246499463,0.0333516647960834,0.408951756241877
TCGA.D3.A3MO.06,0.461800603353665,0.0486221297490542,0.48957726689728,0.77686858234306
TCGA.FS.A4FB.06,0.719362921185722,0.104608585645399,0.176028493168879,0.708974571602514
TCGA.EE.A2ME.06,0.86841800003559,8.59642507639966e-07,0.131581140321903,0.35444180200419
TCGA.EE.A184.06,0.783472423117323,0.214210832621193,0.00231674426148334,0.487245983933571
TCGA.EE.A20B.06,0.306152348885333,0.0343122568507991,0.659535394263868,0.685050845888121
TCGA.D3.A3C1.06,4.26757475264001e-07,0.254041396965759,0.745958176276766,0.515867372336629
TCGA.ER.A19F.06,0.818619692171368,0.131807027888604,0.0495732799400284,0.527815027081958
TCGA.EE.A3AC.06,0.834751556398828,0.0959496172761291,0.0692988263250427,0.510329633258711
TCGA.EE.A29Q.06,0.798069961071207,0.0731563321947159,0.128773706734077,0.578251704323544
TCGA.EE.A29H.06,0.765468991552395,0.221178707213682,0.0133523012339234,0.542433991808597
TCGA.EE.A2A2.06,0.886670474667779,0.109084910213262,0.00424461511895878,0.3381780597043
TCGA.ER.A3PL.06,0.71237412024932,0.0362099328117052,0.251415946938974,0.64524996290616
TCGA.ER.A2NB.01,1.42010514758317e-05,0.999952785313063,3.30136354608496e-05,0.000497338908618122
TCGA.EB.A41A.01,0.792995675837164,0.135869205757194,0.0711351184056421,0.585421619190694
TCGA.D3.A3C8.06,0.696926021962128,0.159499531110703,0.143574446927169,0.749220373715901
TCGA.FS.A4FC.06,0.652524475631961,0.109880560319992,0.237594964048047,0.785255742260842
TCGA.EE.A3AD.06,0.817789081890508,0.130163159153911,0.0520477589555809,0.531333300128213
TCGA.EE.A2GB.06,0.835951960582461,0.119847764302875,0.0442002751146643,0.493269596055696
TCGA.XV.A9W2.01,0.811989769488811,0.166926309400597,0.0210839211105923,0.500004482404695
TCGA.D3.A2JH.06,0.872081919555068,0.0942817239028311,0.0336363565421004,0.415165827456586
TCGA.EE.A29R.06,0.522220400769359,0.0627412404279755,0.415038358802666,0.799154348218468
TCGA.WE.AAA0.06,0.693393946859187,0.216412437448966,0.0901936156918478,0.730114490574298
TCGA.DA.A95X.06,0.706968026377771,0.0608117958654896,0.232220177756739,0.686760968532396
TCGA.DA.A95Y.06,0.612785972607356,0.346054190803862,0.0411598365887821,0.726950058564824
TCGA.GN.A268.06,0.892454212696515,0.107542251983742,3.53531974289362e-06,0.3107495541349
TCGA.EE.A181.06,0.891485611819977,0.108471236323953,4.31518560708143e-05,0.312921139343269
TCGA.BF.A9VF.01,0.560912796484351,0.4210761758032,0.0180110277124485,0.692570549666124
TCGA.EE.A29B.06,0.763263207390801,0.23673650136318,2.91246018501626e-07,0.49816798408765
TCGA.EE.A2GJ.06,0.803731167468095,0.0484874958664119,0.147781336665493,0.550616107712242
TCGA.GN.A4U9.06,0.762590641107928,1.89836492929075e-07,0.237409169055579,0.498882241426827
TCGA.FW.A3I3.06,0.877665284319156,0.0526661973295767,0.0696685183512667,0.414306038312093
TCGA.BF.AAP2.01,0.820714837783162,0.170710113499616,0.00857504871722184,0.459437448800524
TCGA.EB.A4P0.01,0.718183439943465,0.236706422946604,0.0451101371099308,0.654097341978969
TCGA.ER.A193.06,0.641786700429692,0.0955020121866022,0.262711287383706,0.782892023932844
TCGA.EB.A299.01,0.618806471647633,0.0567519400021064,0.32444158835026,0.750980725079716
TCGA.D3.A5GO.06,0.335213889770208,0.270509359644459,0.394276750585333,0.989444208269508
TCGA.LH.A9QB.06,0.310020298315732,1.47432426299649e-10,0.689979701536836,0.563544495499393
TCGA.EE.A2A1.06,0.701537942934401,0.171054224794959,0.12740783227064,0.740234625575617
TCGA.BF.A3DN.01,0.637525115442722,0.0181201912914431,0.344354693265835,0.661539299442904
TCGA.EE.A2MR.06,0.631679858618835,0,0.368320141381165,0.598987997528874
TCGA.D3.A3C3.06,0.683532513743525,0.141769997086653,0.174697489169821,0.766258001643974
TCGA.WE.A8ZN.06,0.355454798056934,0.635652826324533,0.0088923756185329,0.635053925361398
TCGA.D3.A1Q4.06,0.302134373355403,2.08720591076272e-08,0.697865605772538,0.557669260500709
TCGA.FS.A1ZP.06,0.936873383445981,0.0034443846111212,0.0596822319428976,0.226514420073274
TCGA.EE.A17X.06,0.602843791085328,0.397125692490246,3.0516424425805e-05,0.611827645293661
TCGA.D3.A2JL.06,0.665843557724973,0.33415633333391,1.08941116756898e-07,0.579899681498661
TCGA.RP.A695.06,0.671147605793322,0.294187233573822,0.0346651606328559,0.677332177020446
TCGA.FS.A4F9.06,0.852261033147728,0.0990575867932762,0.0486813800589957,0.466414274024042
TCGA.ER.A19H.06,0.780348288049023,0.0124065061188624,0.207245205832115,0.522632260523175
TCGA.W3.AA21.06,0.608608788625458,0.362165611781061,0.0292255995934814,0.703890835151336
TCGA.FS.A1ZJ.06,0.84908871302138,0.100816385897911,0.0500949010807083,0.473504903582704
TCGA.EE.A2GO.06,0.12626922502943,0.0286066323491655,0.845124142621404,0.459830693995925
TCGA.EB.A44R.06,0.815735557170024,0.115552337683267,0.0687121051467093,0.545690018485029
TCGA.W3.A828.06,0.348927756379474,0.0195163384494996,0.631555905171026,0.668527208555585
TCGA.FS.A1YW.06,0.939781808635786,0.0475399400304424,0.0126782513337717,0.235351381215263
TCGA.ER.A19S.06,0.790152870523018,0.0600150337688322,0.14983209570815,0.581964153058369
TCGA.FS.A1ZQ.06,0.526087812977891,0.360443482383201,0.113468704638909,0.867127573739324
TCGA.GF.A6C8.06,0.62820190402553,0.10270189924318,0.26909619673129,0.800125561708255
TCGA.BF.AAP1.01,0.684623943775406,0.127423941847433,0.187952114377161,0.761043949281494
TCGA.EE.A2GI.06,0.72175564881577,0.180875731856869,0.0973686193273613,0.702181681254867
TCGA.FS.A4F8.06,0.666857718503411,0.0593648938166545,0.273777387679934,0.721372038596604
TCGA.EB.A4XL.01,0.793277814780663,0.0458622544913626,0.160859930727975,0.563427181693654
TCGA.FS.A4F4.06,0.435511772119943,0.475792132676313,0.0886960952037431,0.846784509936841
TCGA.BF.A5EO.01,0.372457090886891,0.390276504606752,0.237266404506357,0.979769579177286
TCGA.GN.A26D.06,0.835790450048148,0.118156413207212,0.04605313674464,0.49519166838478
TCGA.EB.A5SF.01,7.10715581801007e-06,0.99999253722761,3.55616571732751e-07,8.82882619841427e-05
TCGA.ER.A42H.01,0.812454218957527,0.117160379956436,0.0703854010860368,0.552284480904631
TCGA.EE.A2MP.06,0.565655566670272,0.154930506310697,0.279413927019031,0.880633169426081
TCGA.FS.A1ZW.06,0.919960567779966,0.000367271399990599,0.0796721608200434,0.255967962241861
TCGA.EB.A553.01,0.415953960023087,0.554586879092551,0.0294591608843624,0.724231454859962
TCGA.EE.A29P.06,0.916450978135443,0.0791308207653369,0.00441820109922044,0.277295580344508
TCGA.EE.A2M8.06,0.907583976344268,0.0700902454276892,0.0223257782280428,0.326947431277028
TCGA.GN.A4U8.06,0.82985711040555,0.130113885860519,0.0400290037339314,0.499663357806962
TCGA.EB.A5UM.01,0.719063824669872,0.254913851475161,0.0260223238549661,0.619440577358063
TCGA.FS.A1YX.06,0.765709140279977,0.0603735854747332,0.17391727424529,0.617234181785375
TCGA.EB.A57M.01,0.469639204903161,0.274436434686571,0.255924360410268,0.963576910882517
TCGA.FS.A1Z0.06,0.87834753014235,2.51611971528718e-05,0.121627308660498,0.337191895796783
TCGA.DA.A1IC.06,0.674428452040993,0.110655549570117,0.214915998388889,0.764305307842399
TCGA.BF.A1PX.01,0.632057252384222,0.198731375475734,0.169211372140044,0.829869383186825
TCGA.EE.A2GU.06,0.906218503388571,0.0937814893645689,7.24685992017785e-09,0.283267112473559
TCGA.ER.A198.06,0.887550568596715,0.112449376809493,5.4593792047973e-08,0.320046362830541
TCGA.WE.A8K1.06,0.807013960229518,0.192986039770482,0,0.446494095043255
TCGA.WE.A8ZX.06,0.735020039656363,0.165369879646795,0.0996100806968417,0.685980006439607
TCGA.D9.A1JW.06,0.693921414741802,0.306055160246062,2.34250121361382e-05,0.560864358583815
TCGA.YD.A9TA.06,0.700584592736999,1.02683594930971e-05,0.299405138903508,0.55568648052166
