S4,S1,S5
RTL1,48.9344627935715,0.362468582860211,366.70827039024
FAM107A,5.60326386607739e-13,7.79466097016165e-12,912.037267753283
DUOX1,52.6228885977425,106.746011946797,0.0446180976399286
IL34,2.57487709754064e-09,1.14443703704039,409.581974451075
CST5,8.76285476197748e-13,806.778914714535,3.2328224849521e-17
KCNJ13,577.12640478058,1.94215213171815e-06,2.96744231711136e-08
DGAT2,257.778418086005,15.1392646963586,280.877743645084
GAGE4,365.695510221405,206.78028160891,152.642282186836
WNT5A,5.42561027616835,1.71368849476771e-11,965.014876331581
FRZB,250.514235452244,698.139930490682,428.244164724051
PMP2,7.51633995260037e-05,19.9687824111511,1773.26575694871
C10orf99,2.84841726179183e-14,1.01721842027692e-12,9.52157062429964e-15
RAB25,2.83364743002895e-12,1.04782364911739e-11,6.99733529557784e-13
IGFL1,1.42032213304424e-14,0.00048931942243098,1.43498272943562e-14
VIT,3.13780528939777e-15,1.56181628988389e-16,1471.93961052812
APCDD1L,1.30151272167006e-13,1.62297802734799e-14,1106.46050125885
SULT2B1,4.46986200754978e-13,9.49722860679099e-12,9.24163078082144e-14
SCG2,135.778176397198,81.562441261554,1843.66559700352
TTYH1,462.336057636134,5.20151297663133e-08,875.359087352937
TREM1,3.94424252184343e-15,5.70596357530486e-06,1046.59290926493
NPTX1,72.4673709422858,0.000992248630398648,247.503940974002
IL1RN,37.3104518058222,89.5349826199014,25.3582989489194
HGF,3.36788593011369e-15,7.86799581152672e-15,1155.02457063885
CNDP1,233.286897301049,209.256511176019,511.712957897464
SV2B,322.591664462431,9.13467424392139e-07,3.42170991250102e-12
MAMDC2,333.897138320416,1.34124804667883e-05,9.66590940960427e-05
ANO1,94.0052277491967,51.5416829866723,2062.33010645637
ST14,14.813839540239,285.377396541135,88.0293598408637
FBN2,0.0359363252408835,1.09257479381173e-09,1222.84453439359
FREM1,74.5460172879656,2.938878350894e-14,1981.38860821257
ELN,6.34313010285526,500.374609411985,1224.95617184709
ENTPD2,4.45834405351007e-16,1.89919732059886e-15,883.548202210514
CASP14,1.25301174020036e-10,1.28853731172223e-11,1.23241329090067e-11
NEFH,422.758226916907,776.636285375383,1.10673175431567
PLA2G2D,1.47382075799293e-06,57.0539602292095,1.29532438683214e-13
ATP6V0D2,219.322262456493,806.600153898178,4.13593804889211e-14
VAV3,727.003764897573,0.000132497209936588,0.0300540398926635
SPON1,376.518756976689,0.000114231266051296,1131.65587149919
SCGB1A1,6.1346047588799e-06,5.06691917037993,0.000734138902226556
EPHA4,274.80452485571,1134.12951244029,330.487015403208
C9orf110,0.000847253068349445,20.3974507664994,1840.0659416403
TFAP2B,6.67851178650888e-07,1.94648138986962e-11,1038.09261881061
MYH11,233.904833486452,78.8781740135714,524.071037077902
KRT31,67.1284358724471,7.64285039039155e-18,1.94712004161516e-09
POU2AF1,0.0644383847588876,0.5271181028172,5.68183500538585e-10
