S2,S4,S9,S6,S7,S10,S1,ITTH
TCGA.BR.8081.01,0.553233982129562,0.0118671688865633,0.361478379456613,0.056325668126974,0.000504354816563973,0.0154651219060615,0.0011253246776624,0.5066604167184
TCGA.IN.7806.01,0.618708119684799,0.115885546439111,0.199149916899539,0.0245091901267841,8.56784092461874e-05,0.024463627960641,0.0171979204798802,0.575834486046798
TCGA.BR.4257.01,0.578529599040526,2.31902157817323e-06,0.159805086883389,0.15321304943777,6.06581143055289e-06,6.73694891499771e-05,0.108376510316156,0.585152684099265
TCGA.RD.A8N6.01,0.492889980701777,0.311244579950125,0.109410301031379,0.0283952450235809,0.000959739677078012,0.0570987332823714,1.4203336884426e-06,0.629710223214359
TCGA.D7.8575.01,0.53662239256482,1.93125187574203e-05,4.47253050866125e-05,0.194423430554744,0.00074895880078422,5.90283989783249e-05,0.26808215185683,0.520054443191276
TCGA.VQ.A94P.01,0.271010329879839,6.74411220290671e-06,1.03646518904736e-05,7.47090494108787e-06,3.28083391280153e-06,0.0466438849521096,0.682317924665104,0.389512090021982
TCGA.CD.A4MG.01,0.502374713295253,0.0232076932097034,0.441348854760977,0.0289815489804717,4.08650898654802e-05,0.00402543062683868,2.08940368902693e-05,0.472595985783739
TCGA.IN.A6RO.01,0.417344674750842,0.217704716078808,0.179719451701712,0.117655801158208,3.0993516212774e-05,4.66206726985169e-06,0.0675397007269473,0.739631408596779
TCGA.IN.A6RI.01,0.308162725412298,0.171936030881424,0.24727741399451,0.0103414048903776,0.00119089199236518,0.0052050052347453,0.255886527594279,0.741253361747301
TCGA.IN.A7NU.01,0.0692070521548275,3.29021003979177e-14,0.37435786382238,0.489345535498587,0.000542795524563994,1.65809479212303e-07,0.0665465871901295,0.558501915462949
TCGA.MX.A5UG.01,0.932178863775044,0.0141759144988047,2.37132731805649e-05,0.0311259743084115,7.04513608506166e-05,0.00700081943961345,0.0154242633440955,0.171544776719281
TCGA.VQ.A8DZ.01,0.121647148972805,0.48680649359523,0.200974617743233,0.0883238563374491,0.000214809650698956,7.99799812138865e-05,0.10195309371937,0.708605727914451
TCGA.BR.8679.01,0.656099952898574,0.115259435688248,0.0991035015460843,0.115355133538112,4.74355871397755e-05,0.000639410566151215,0.0134951301756913,0.548347725277415
TCGA.VQ.A8P3.01,0.344289165578542,0.0189174451200798,0.321568252106511,0.190475041508488,0.00975223061307096,0.00933027961335436,0.105667585459954,0.744691938181127
TCGA.VQ.A8PU.01,0.507853742317093,0.0638785577853871,0.0789867763241414,0.0865859249983659,2.41527002481349e-05,0.000239285822738391,0.262431560052026,0.660611116040527
TCGA.CG.4465.01,0.71661988437659,2.61768411647261e-05,0.19009108992379,0.0932074129505206,2.49477000194184e-05,1.93691328705541e-05,1.11190750448191e-05,0.399009127811045
TCGA.BR.8077.01,0.254669232903232,0.297176103601965,0.441380424256338,0.000188476015627286,0.00647343615813389,2.38416908555114e-05,8.84853738476966e-05,0.567981570240692
