S2,S4,S9,S6,S7,S10,S1
HBA1,110.908636864145,565.274698199187,0.0448128379364051,0.000106336573767221,2312.32707103118,5.02331076783531e-10,3122.190150753
LEFTY1,939.704113901679,6.29477686169944e-12,358.476221271695,2247.4957939645,0.126986811713751,0.199594878684328,283.170604739017
SERPINA9,7.32158921659437e-10,1.28843884749894e-13,1.81912615904577e-14,1.75214925061152e-26,1.86041351909719e-22,3.52761690956095e-08,1.86983954857818e-23
RBP1,7.21069504829932e-12,2636.44108194267,9.78411137530933,528.179644568103,8785.16726856992,2.77954421658901e-10,1.08217210623214e-13
COL2A1,1.62084455174222e-15,2869.81990129744,3.2396161572367e-16,1.88845462784553e-21,658.386093198489,1.87000773618903e-13,2.76035814146719e-20
CES1,2.4133021706602e-11,3121.35146288994,8.39142207456987e-13,3.49483998095062e-05,783.598606926096,0.000950683962592686,2.18487392798434e-12
SPIB,0.480506056953997,0.613082002981644,185.58552808403,9.16442591352058e-14,0.523224463552607,0.00225286983757177,497.602502175493
SCGB3A1,0.000711878166767028,1.38858639026991e-15,2.6579903909484e-16,147.808736828511,561.217992784118,1.81892236508223e-15,3456.73412027321
LAMA1,5.00944762421025e-15,2356.12700667054,1.52678638105111e-16,1.42570251706263e-18,9.03477407969299e-06,1.49545897308651e-12,7.52601458789906e-17
CEACAM7,624.690860950755,682.418205359035,3.39047855757217,1119.09709093833,1.45877436132089e-13,3.62248711085902e-09,5228.62137610426
POU2AF1,575.40925134966,0.670008000848693,5.18860929451532e-07,3.09793100925356e-13,0.0055652073102945,962.612630268419,328.438209961163
MEF2B,0.391268058218641,3.5860694631632e-05,1.40984732159038e-12,5.07212913689831e-16,4.49137351615618e-15,5.2538107038021e-08,2.54403577081178e-15
AQP2,0.200567686150835,2.23709721059061e-11,5.5204747507082e-15,2.6955475513557e-13,6.14512633096388e-17,258.056074999431,2712.8840087836
GATA5,1.51070657930426e-11,908.376942620067,1.40947022674653e-12,3.8551789592154e-14,768.788504017729,5348.7963112685,2940.39792125601
DUOXA2,288.966185472354,0.129541513956995,322.832747211552,27.8549716677807,1.73107455898359e-11,0.00362084492383205,9143.20912057623
FGG,8.1606929047554e-16,2326.13631815663,2.16805511808012e-15,9.9924585647531e-20,6857.68064357838,6.52672829327332e-18,4.63758354868235e-19
PLIN4,1.20202972599835e-11,0.000169858579436805,7.20812316817637e-06,2.18901036248275e-06,2.08149336112173e-06,5.23636119011135e-08,1.26821298426442e-07
DSC3,4.80237386708367,1.80600931982237e-09,0.027446611932911,318.139705437642,6.96478342185688e-05,0.00756661604276303,165.651839203377
CX3CL1,8.8863053961913,200.978354336183,0.620430240590472,1635.37746587571,32.0000217982035,0.0466955459420762,0.818071632345244
CFL2,5.76479792596089,215.435869400394,376.268156034071,604.894087514103,714.236283858248,808.989550392435,28.1033742494231
CLDN6,2.04336669797213e-15,2013.23804835585,0.0228057207912656,2725.86437931193,1.1850480621178e-05,7.39536158454491e-13,1.50875280994178e-10
AQP5,0.769868932505364,743.795638967169,169.625159352926,1717.91587528245,0.00619891177711134,1.80007643028991e-07,5744.41626219079
GPA33,1954.15022143136,1.93506091567852e-10,3037.49665967032,1.30289215849239e-05,1.20976333960042e-11,8.20597044898718e-12,0.00376115811568377
CHRDL2,0.00038545684639708,1.29592222117509e-05,189.81268618654,0.000149753132263694,2.34517648542058,1.94637333087008e-06,6.43507415790453e-05
