Hallmark	P-value	Adjusted p-value	TCGA Cancer	Malignant State	Hallmark group
ADIPOGENESIS	0.01543837271	0.06432655296	GBM	S2	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.02709807694	0.1042233729	ACC	S1	GROWTH AND SPECIALIZATION
ADIPOGENESIS	2.24E-05	0.0002238513203	OV	S3	GROWTH AND SPECIALIZATION
ADIPOGENESIS	1.25E-02	5.82E-02	THYM	S3	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.001813733502	0.00824424319	THCA	S7	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.001487411035	0.006625740066	KIRP	S6	GROWTH AND SPECIALIZATION
ADIPOGENESIS	1.55E-02	7.76E-02	LUAD	S1	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.0490263598	0.245131799	SARC	S5	GROWTH AND SPECIALIZATION
ADIPOGENESIS	6.79E-04	0.006789085625	CHOL	S9	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.04376012966	0.3573743922	KICH	S13	GROWTH AND SPECIALIZATION
ADIPOGENESIS	0.04303510759	0.2689694224	PRAD	S5	GROWTH AND SPECIALIZATION
ADIPOGENESIS	2.95E-02	1.64E-01	OV	S2	GROWTH AND SPECIALIZATION
ALLOGRAFT_REJECTION	0.001319430436	0.0329857609	STAD	S2	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.003318663502	0.05531105837	PRAD	S6	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.02371120532	0.1481950333	BRCA	S2	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.03999510584	0.1110975162	COAD	S8	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	3.67E-02	1.12E-01	SARC	S2	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	1.52E-03	1.08E-02	LUSC	S5	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	1.52E-02	6.40E-02	THYM	S3	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	9.28E-04	1.44E-02	READ	S7	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.008348600341	0.02608937607	CESC	S2	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.005271563926	0.06589454908	THCA	S2	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.006163251175	0.03774991345	DLBC	S12	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	7.53E-06	1.26E-04	PAAD	S8	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	4.38E-02	1.53E-01	KICH	S11	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	3.68E-02	1.89E-01	GBM	S9	IMMUNE RESPONSE AND INFLAMMATION
ALLOGRAFT_REJECTION	0.04293785311	0.1651455889	LGG	S8	IMMUNE RESPONSE AND INFLAMMATION
ANDROGEN_RESPONSE	0.03524188611	0.2071005917	PAAD	S9	HORMONE
ANDROGEN_RESPONSE	1.97E-02	0.05789751604	STAD	S6	HORMONE
ANDROGEN_RESPONSE	1.31E-03	0.009192805532	SKCM	S5	HORMONE
ANDROGEN_RESPONSE	0.0009212373881	0.0230309347	PRAD	S4	HORMONE
ANDROGEN_RESPONSE	0.006619473327	0.06069730527	LGG	S2	HORMONE
ANDROGEN_RESPONSE	1.31E-03	5.03E-03	UCS	S7	HORMONE
ANDROGEN_RESPONSE	0.01060060481	0.05830332648	THYM	S1	HORMONE
ANDROGEN_RESPONSE	0.00588789392	0.01923378681	DLBC	S5	HORMONE
ANDROGEN_RESPONSE	5.47E-03	5.47E-02	ACC	S1	HORMONE
ANDROGEN_RESPONSE	1.18E-03	0.0115780722	MESO	S1	HORMONE
ANDROGEN_RESPONSE	2.97E-05	0.0007430335384	PRAD	S2	HORMONE
ANDROGEN_RESPONSE	1.15E-03	0.006400263204	GBM	S11	HORMONE
ANDROGEN_RESPONSE	0.03472057614	0.1841329966	SARC	S6	HORMONE
ANGIOGENESIS	0.0003487143884	0.001341209186	TGCT	S1	GROWTH AND SPECIALIZATION
ANGIOGENESIS	1.54E-02	7.71E-02	UCS	S11	GROWTH AND SPECIALIZATION
ANGIOGENESIS	1.42E-04	1.75E-03	DLBC	S5	GROWTH AND SPECIALIZATION
ANGIOGENESIS	0.02995246328	0.4242424242	UVM	S6	GROWTH AND SPECIALIZATION
ANGIOGENESIS	4.66E-02	2.61E-01	THCA	S3	GROWTH AND SPECIALIZATION
ANGIOGENESIS	0.03207017617	0.1457735281	KIRC	S8	GROWTH AND SPECIALIZATION
ANGIOGENESIS	0.03753912669	0.1179801124	THYM	S1	GROWTH AND SPECIALIZATION
ANGIOGENESIS	0.02934082269	0.1333673759	LGG	S2	GROWTH AND SPECIALIZATION
ANGIOGENESIS	1.94E-05	0.0002372460068	SKCM	S5	GROWTH AND SPECIALIZATION
ANGIOGENESIS	2.23E-02	0.4230103374	KICH	S7	GROWTH AND SPECIALIZATION
APICAL_JUNCTION	2.42E-02	1.21E-01	LGG	S2	APICAL JUNCTION
APICAL_JUNCTION	0.006897055243	0.1149509207	PRAD	S7	APICAL JUNCTION
APICAL_JUNCTION	4.80E-04	3.17E-03	DLBC	S5	APICAL JUNCTION
APICAL_JUNCTION	0.02720558379	0.05737446787	UCS	S7	APICAL JUNCTION
APICAL_JUNCTION	0.004629426157	0.02571903421	BRCA	S8	APICAL JUNCTION
APICAL_JUNCTION	1.35E-03	0.01124858301	READ	S2	APICAL JUNCTION
APICAL_JUNCTION	3.53E-02	0.261350825	THCA	S3	APICAL JUNCTION
APICAL_JUNCTION	1.72E-02	3.91E-02	GBM	S11	APICAL JUNCTION
APICAL_JUNCTION	1.10E-07	5.50E-06	PAAD	S12	APICAL JUNCTION
APICAL_JUNCTION	0.0006496395064	0.007958083954	KIRP	S4	APICAL JUNCTION
APICAL_JUNCTION	0.0003501313713	0.01715643719	LAML	S2	APICAL JUNCTION
APICAL_JUNCTION	8.60E-03	5.84E-02	PAAD	S1	APICAL JUNCTION
APICAL_JUNCTION	0.0001648544857	0.001373787381	KIRC	S12	APICAL JUNCTION
APICAL_JUNCTION	0.002192885138	0.01827404281	COAD	S9	APICAL JUNCTION
APICAL_JUNCTION	2.18E-06	1.09E-05	TGCT	S1	APICAL JUNCTION
APICAL_JUNCTION	3.18E-03	0.03179308382	GBM	S7	APICAL JUNCTION
APICAL_JUNCTION	0.0006866167001	0.01121473943	MESO	S1	APICAL JUNCTION
APICAL_JUNCTION	0.002886877397	0.01804298373	CHOL	S1	APICAL JUNCTION
APICAL_JUNCTION	3.75E-04	4.60E-03	HNSC	S2	APICAL JUNCTION
APICAL_JUNCTION	7.67E-06	0.000191865576	LUAD	S3	APICAL JUNCTION
APICAL_JUNCTION	1.10E-08	2.74E-07	STAD	S6	APICAL JUNCTION
APICAL_JUNCTION	0.0001667919241	0.002779865402	BLCA	S4	APICAL JUNCTION
APICAL_JUNCTION	1.73E-07	2.89E-06	CESC	S2	APICAL JUNCTION
APICAL_JUNCTION	0.04077842347	0.2038921174	READ	S9	APICAL JUNCTION
APICAL_JUNCTION	0.0005760810909	0.00941711877	ESCA	S7	APICAL JUNCTION
APICAL_JUNCTION	0.02545673828	0.1260078166	DLBC	S10	APICAL JUNCTION
APICAL_SURFACE	1.97E-02	7.39E-02	LUAD	S7	APICAL SURFACE
APICAL_SURFACE	5.61E-03	0.0560701398	KIRC	S5	APICAL SURFACE
APICAL_SURFACE	0.0005752150248	0.005752150248	SARC	S2	APICAL SURFACE
APICAL_SURFACE	0.01964366653	0.1091314807	READ	S5	APICAL SURFACE
APOPTOSIS	0.008286821642	0.0376673711	READ	S8	CELL CYCLE AND APOPTOSIS
APOPTOSIS	2.67E-05	0.0006550392273	DLBC	S7	CELL CYCLE AND APOPTOSIS
APOPTOSIS	0.002795040711	0.01746900444	THCA	S1	CELL CYCLE AND APOPTOSIS
APOPTOSIS	6.16E-06	2.80E-05	TGCT	S1	CELL CYCLE AND APOPTOSIS
APOPTOSIS	1.83E-02	7.63E-02	PAAD	S12	CELL CYCLE AND APOPTOSIS
APOPTOSIS	0.0108259025	0.03007195139	GBM	S11	CELL CYCLE AND APOPTOSIS
APOPTOSIS	0.01198782441	0.05449011096	UCEC	S1	CELL CYCLE AND APOPTOSIS
APOPTOSIS	3.13E-03	2.60E-02	CHOL	S12	CELL CYCLE AND APOPTOSIS
BILE_ACID_METABOLISM	8.61E-05	0.0008758520758	THCA	S7	METABOLISM
BILE_ACID_METABOLISM	0.004874328429	0.03046455268	CHOL	S9	METABOLISM
BILE_ACID_METABOLISM	0.004790477512	0.04130078873	KIRC	S8	METABOLISM
BILE_ACID_METABOLISM	0.000183636295	0.00183636295	PAAD	S3	METABOLISM
BILE_ACID_METABOLISM	0.0006191582788	0.007584688915	LIHC	S5	METABOLISM
BILE_ACID_METABOLISM	6.48E-06	5.29E-05	KIRP	S6	METABOLISM
CHOLESTEROL_HOMEOSTASIS	4.44E-02	0.1813322368	DLBC	S10	METABOLISM
CHOLESTEROL_HOMEOSTASIS	0.001323907774	0.01323907774	READ	S5	METABOLISM
CHOLESTEROL_HOMEOSTASIS	0.04639175258	0.1932989691	OV	S2	METABOLISM
COAGULATION	0.001185973034	0.01937089289	LIHC	S7	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	1.59E-04	1.56E-03	SKCM	S5	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.008205588072	0.0376673711	READ	S8	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.0004440719284	0.006078644438	LAML	S5	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	6.50E-11	1.62E-09	TGCT	S1	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	1.12E-06	5.49E-05	DLBC	S7	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.01084487206	0.06069730527	LGG	S2	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.00745165736	0.07153591066	MESO	S4	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.004141065179	0.0138035506	UCS	S7	IMMUNE RESPONSE AND INFLAMMATION
COAGULATION	0.007958702782	0.03899764363	HNSC	S2	IMMUNE RESPONSE AND INFLAMMATION
