S1,S3,S2,ITTH
TCGA.2G.AAHP.01,0.0451202503552372,0.20324834722926,0.751631402415503,0.617361005305196
TCGA.4K.AAAL.01,0.175015486322843,0.192594253144739,0.632390260532418,0.830191397711436
TCGA.2G.AALP.01,0.15240083027115,0.787663068875012,0.0599361008538372,0.585643094487502
TCGA.2G.AAGI.05,0.0518005408699947,0.0268797721497882,0.921319686980217,0.296788927204567
TCGA.ZM.AA0N.01,2.73688457773824e-05,0.167689580404252,0.83228305074997,0.411895674008998
TCGA.2G.AAGI.01,0.583131226884885,0.226599363165641,0.190269409949474,0.879862285484943
TCGA.2G.AALT.01,0.913366760483611,0.0866332395075771,8.8116933960538e-12,0.268227816483817
TCGA.2G.AAKO.01,0.0703008128517833,4.75165966192503e-05,0.929651670551597,0.232050394190409
TCGA.2G.AAFG.01,0,0.15359612269875,0.84640387730125,0.390398456316095
TCGA.2G.AAG6.01,0.934369314177447,5.2844174058918e-08,0.0656306329783791,0.220449147189191
TCGA.YU.A90P.01,2.08469349221499e-08,0.70593235578077,0.294067623372295,0.551381126633551
TCGA.4K.AA1I.01,0.0593881578281858,0.115096634319473,0.825515207852341,0.523223290093356
TCGA.2G.AAHL.01,1.32594565178955e-06,0.24122222457002,0.758776449484328,0.502910427331406
TCGA.2G.AAGK.01,0.104888000656618,0.71627414516846,0.178837854174922,0.713038090519098
TCGA.XY.A8S2.01,0.0171318907314256,0.773099414534122,0.209768694734452,0.542715326688288
TCGA.XE.AAOF.01,0.0730867154875731,0.0633814733911438,0.863531811121283,0.448517827551395
TCGA.2X.A9D5.01,0.0382898937289852,4.37907260354104e-07,0.961709668363754,0.147893448415577
TCGA.YU.A90Y.01,0.2060962265801,0.551547710840623,0.242356062579278,0.907689945126476
TCGA.2G.AAGY.05,0.0154921653581532,0.00129324281511847,0.983214591826728,0.0817458131872488
TCGA.X3.A8G4.01,0.37793357702972,0.542900396304105,0.0791660266661743,0.819346675569723
TCGA.2G.AAG5.01,0.999991921111006,5.39292426262256e-06,2.68596473186675e-06,9.82616364601494e-05
TCGA.2G.AAFV.01,0.436188446544526,0.226542594018006,0.337268959437467,0.969260756394154
TCGA.2G.AAGP.01,0.603399411974319,0.211838988047029,0.184761599978652,0.860710151458071
TCGA.2G.AAFL.01,0.236776317794189,0.642657718377372,0.120565963828439,0.801302007670421
TCGA.2G.AAF6.01,1.59224727268757e-12,0.0976581073079512,0.902341892690457,0.291191559893798
TCGA.XE.AAOC.01,0.549893404337914,0.0922247084759673,0.357881887186119,0.834157477727381
TCGA.2G.AAGA.01,0.0107953886000277,0.854203362091499,0.135001249308474,0.413098406363185
TCGA.2G.AALZ.01,0.999999320148468,1.65197386504717e-08,6.63331793662074e-07,9.47778905000974e-06
TCGA.2G.AAHG.01,0.0361119208118081,0.0895495223342952,0.874338556853897,0.412725249126789
TCGA.XE.AAOJ.01,0.62620579088989,0.156277337728505,0.217516871381606,0.832868344697704
TCGA.2G.AAM4.01,0.0779705641828799,0.757577102103183,0.164452333713937,0.642738711692857
TCGA.2G.AAH3.01,0.12143543412347,0.0230500335704476,0.855514532306082,0.433671389465862
TCGA.YU.A912.01,0.0200054325730093,0.0780399379248031,0.901954629502188,0.337128481044482
TCGA.2G.AAGO.01,2.31997851030379e-07,0.68483588990198,0.315163878100169,0.56723735399362
TCGA.2G.AALG.01,0.807404067458747,0.192595932541245,7.65560633013902e-15,0.445985613333475
TCGA.2G.AAKG.01,0.155433844325715,0.807066554327611,0.0374996013466746,0.532914760833618
TCGA.2G.AAHA.01,0.0701650634387444,6.20777772985842e-06,0.929828728783526,0.231333559494131
TCGA.ZM.AA0F.01,0.153407278148912,0.0820519946585483,0.764540727192539,0.635358987146999
TCGA.2G.AAFM.01,0.00143546590765103,0.998561534651256,2.99944109337959e-06,0.00989659037068582
TCGA.YU.AA61.01,0.538634786256477,0.236462206190781,0.224903007552743,0.919166932433948
TCGA.WZ.A7V5.01,0.0466461105066883,0.0262771884214102,0.927076701071902,0.281081388234761
TCGA.VF.A8AB.01,0.147411225817039,0.0171964305148134,0.835392343668147,0.457251015640366
TCGA.XE.AAO3.01,3.19793850933625e-07,0.15916359725043,0.840836082955719,0.398944539591711
TCGA.2G.AALQ.01,0.620573752935502,0.206547936709672,0.172878310354826,0.842230632318634
TCGA.ZM.AA0D.01,0.0661085561117031,0.030339591936085,0.903551851952212,0.343403152278621
TCGA.2G.AAKL.01,3.11178006566287e-08,0.775208985339691,0.224790983542508,0.485071738478035
TCGA.2G.AALF.01,0.416032467672617,0.583967532013781,3.13602437593042e-10,0.618033370032545
TCGA.2G.AAGN.01,4.13581760013063e-07,0.796342581078677,0.203657005339563,0.460068496797163
TCGA.VF.A8A9.01,0.0288238955938432,0.138351962316972,0.832824142089185,0.480815760443371
TCGA.2G.AALN.01,0.393970173846461,0.568684334403712,0.0373454917498269,0.737960658699751
TCGA.2G.AAGM.01,0.455964058329631,0.212341913951443,0.331694027718926,0.958629192663639
TCGA.2G.AAL7.01,5.94855849734422e-06,0.88976936617857,0.110224685262932,0.31590914335203
TCGA.2G.AAFJ.01,0.737205580935448,0.0116275802503166,0.251166838814236,0.567607626090433
TCGA.XE.AAOB.01,0.4398011227004,0.560198875935864,1.36373596026953e-09,0.624316507121965
TCGA.2G.AAGE.01,0.105572102482476,0.632068705132606,0.262359192384918,0.799533709553872
TCGA.2G.AAG0.01,0.0252816387456179,0.7728658201784,0.201852541075982,0.559901330848482
TCGA.2G.AAGY.01,0.630183362198972,0.00777933969936978,0.362037298101658,0.634068237239646
TCGA.ZM.AA0B.01,0.000487209185833768,0.142681803166141,0.856830987648026,0.376775275926178
TCGA.2G.AAGJ.01,0.0390065738343158,0.714720295056384,0.2462731311093,0.647811005190572
TCGA.XE.A8H4.01,0.0330361112324512,0.0891471416160563,0.877816747151492,0.402838491883641
TCGA.SN.A6IS.01,0.0653815173683335,0.0751243195014205,0.859494163130246,0.457790100682928
TCGA.W4.A7U3.01,0.630130757443246,0.140726016537211,0.229143226019543,0.823392197757308
TCGA.2G.AAGX.01,0.802667208339588,0.0302061079447008,0.167126683715711,0.528977498749366
TCGA.ZM.AA06.01,0.052155973298304,0.161619008830163,0.786225017871533,0.580453276485691
TCGA.SB.A6J6.01,0.0122878989648008,0.0655106284928955,0.922201472542304,0.279715383099206
TCGA.2G.AAHP.05,0.0795684691880932,0.00548987618346197,0.914941654628445,0.283363321857887
TCGA.YU.A90S.01,0.999999714031665,0,2.85968335272061e-07,4.18233372687821e-06
TCGA.2G.AAHC.01,0.0469817326492294,2.06812982539339e-08,0.953018246669472,0.172518319133749
TCGA.2G.AAG3.01,0.480649915050098,0.0256123450156687,0.493737739934233,0.723138404908002
