S1,S3,S2
PRM1,63.0618266540475,291.226003247337,5.73888449634512e-13
CDHR5,1493.7415430516,3.87314929901646e-12,2.59195258250377e-09
CLCA1,674.476218651673,5.48733592788988e-08,5.69898827265744e-12
GUCY2C,999.594698344851,0.00653687702416363,0.0580616665036193
IRS2,400.970105705164,352.782142877548,402.737663735407
LGALS7B,576.789337178327,45.3283658317247,0.00705576886153588
IVL,517.310666853934,5.47602621697649e-07,1.372388481621e-07
GATA3,1039.96249161953,395.692332185078,105.7857664806
KRT4,1647.03385348054,3.09291272010208e-12,1.15031648173125e-11
CSH1,0.0850264320827939,737.227901874669,6.18195434896308e-13
MAP2,1161.01381481559,3.77232959446601e-05,180.090648477186
MYH3,1047.27121332478,10.0851053825167,247.687075444968
LCN2,1629.02110343311,3.05140364260437e-11,9.1491484857578e-07
SLC44A4,1919.05187762793,5.48838006679097e-05,5.00551252378004e-06
ASPN,2260.86572107949,0.11977095132399,0.00761954127337183
CYP26A1,1115.40826853605,290.968074272633,48.4067745740481
MS4A1,0.0372353531959956,0.0109745480081616,671.260962374649
C20orf56,1212.65800054225,322.37204957998,11.8757596203264
LIMS2,1997.41396439999,19.7466814647509,2.56313145028406
NTN1,1824.53637828079,192.97715571739,10.6337112857886
CAPS,971.51340823061,0.11012019388442,105.058303180207
CALB1,1.22470470958487,1919.28791307327,2.53130178562782e-05
FAT4,2282.84705718369,0.000395127707567999,4.17119696630836
TCF21,2149.33262344884,2.61007835503466,0.0257769493212491
EOMES,918.768721727066,259.698820696524,157.812750998652
GAGE2B,16.5060892340305,11.0602810260135,194.797037490574
ITIH5,1956.69952967311,0.041099272177023,0.486408291223833
F2,855.360162296548,430.044558375713,0.0203389878573283
FGR,0.0111850593991803,1.97385693790069,2.35674048968939
FNDC1,1983.05862473539,0.476790609004912,131.043908475534
STMN2,801.026198140107,3.85530568946215e-12,38.768673964891
CSTA,338.047626252461,27.7847472950972,0.0977886319178949
AHSG,1080.04366310289,278.104469200505,0.274217724631452
SHISA2,987.245699918935,249.51058931875,29.733050452365
FLG2,243.20062753071,34.4401837580901,0.170834039994438
PCDH7,1684.24272989639,158.445459028025,329.957186567163
TPPP3,1131.78942880168,33.7854277000945,55.2988851465244
TINAGL1,2382.29013955095,130.476382501523,6.40130698496921
ALOX15B,5.44841160213349e-15,2.73297060113422e-15,1.25117985599445e-06
S100A2,747.21637427992,0.0353031702203303,0.000426126600651024
TACSTD2,1473.79055479795,256.802936430583,0.274623126080787
PI3,310.154175884312,24.1023307080006,1.87117672771673e-11
ZIC1,1043.13110371695,3.64662506299863e-07,154.556468318378
HNF4A,1415.42713452351,387.428793313138,6.62744129526348
JPH2,1425.6478462398,3.66868971961155e-10,6.61234778393933e-13
SILV,740.877082740955,229.791328761362,16.1983128408367
NCAN,384.409245295113,5.23167298898355,232.585018181667
TMPRSS2,1607.57582627816,43.5502586675893,0.000360345996908836
TRIM29,958.848852788288,3.02315241143457e-05,2.17161607930312e-12
OLFML2A,2580.05344458386,152.802028106881,129.253906690858
CPZ,2262.96269073049,160.403589505673,42.2832546411649
NDUFA4L2,1437.23810399555,381.737699738206,44.3847615045677
AMN,1214.246355034,219.646661891476,0.000167720800837216
ATP1A2,1585.71473050306,2.60984678517345e-07,6.68052975964456
ZAP70,399.552268428548,160.373989619116,416.083840658315
FZD1,2494.34904781526,6.95727146087024,217.002048502665
COL8A2,2234.86677169888,3.19365251289956,3.66441918781219
PI15,1600.88705577098,1.3139498487091e-05,1.86384203692327e-05
NTRK2,1595.11969527891,17.4923299375655,44.2300462271358
TMEM132C,1381.18935187504,252.417453682016,366.021127476704
ABCG2,104.613350859482,1927.87470236122,1.22979584807386
ZFHX4,1620.48278640684,1.57757360872468e-06,13.2825437064924
PPP1R1B,653.995276215295,1807.00489957126,13.1967435565037
ANGPTL4,262.196886200325,366.704437583445,916.954908666434
IHH,1147.51455243317,312.141087033824,7.81580319751414
SELL,25.1401372908235,36.6437534006167,635.429046142998
PALM,2135.81023547095,236.636050617411,204.532162465322
CTXN1,198.890358309814,231.187932251343,857.600084135976
DPT,1509.25194120651,4.21171817610927,0.236987019891874
C11orf9,2002.10654830331,248.068576183065,470.140855961003
ABHD12B,0.00881310389603126,1347.22293332096,343.476803082408
PDZRN3,2463.99583715363,4.43642265482772,100.794311994992
PITX1,1557.7341547934,130.543921024845,65.3474505891948
AKAP3,0.000113813796627916,79.1339813413838,1027.18616061467
FGF2,277.825019941658,1840.67174554255,0.264332208367125
GAMT,1167.70318052657,896.105047152499,24.5863786455768
HBA2,359.769449472721,1530.63445992866,0.376545070245589
ADAMTS7,2463.00672961871,401.228472344957,172.812638625819
SLC22A17,2194.1175507964,42.6773555395163,488.083546547345
MEIS2,2189.00012273416,0.631234093322554,0.0522765929140398
RCN3,1964.7910391925,925.35907015108,4.58564170279695
MAL2,1738.99259206826,1077.98088441259,163.76994708798
ALDH1B1,2231.02941689003,571.536276973409,26.4799263984803
LAG3,3.08739872694678,247.438182436884,523.329490617486
GPX8,2552.67005614051,496.391192025801,60.3675404520811
FYB,22.3678097425766,2.32118829278461,466.202746899975
NEK2,989.690288831622,824.728785661652,643.236530522759
A2ML1,474.802101110593,559.666111104432,439.318427263455
GSTM3,1472.81500323566,279.726213036407,246.552667220979
VASN,2392.69531631513,270.792666910874,4.10859279442688
PTPRK,2422.60916666271,406.667011124476,52.8281204982967
ANTXR2,2075.64751702872,16.6204242273181,47.5820155490433
TPBG,1439.53929241706,645.513064907697,517.461108672632
NNMT,961.860319977475,543.150209776326,0.0372696977043645
RNF144A,2531.82033137857,7.41078930465348,502.965287450318
TMC8,64.4903954814854,80.9289869362064,473.957089156964
CLDN1,1842.6238021125,387.750612762698,0.997359739773268
SAMD11,677.696435514653,131.425440974206,822.072806442117
PADI2,145.431874805018,0.000379310406723718,399.127017559963
LDLR,1132.35261790754,1820.03762230075,18.7543115286799
PRTG,1043.5811614903,169.217909284532,354.461101631911
CPM,644.742292569862,23.215680064394,0.739302865204547
TDGF3,40.2884452392397,1746.96080925276,4.90676759092614e-06
PCBP4,1865.77690358174,318.107590902625,396.788229870611
PTPRD,1525.29083223549,1014.40262060373,0.246618528802141
CX3CL1,2223.45514559398,394.614239678688,28.1244129376316
EDNRA,2286.06923129627,15.476997563843,37.3429451037501
TSPO,821.957486074618,245.312396964968,1.34548823453427
RND3,2110.33725738408,76.102263787845,20.2593452444025
TEAD3,2518.1538911945,295.96184354366,115.891673997765
SPN,9.20840384368942,18.7578945462127,246.539567645742
CRISPLD1,1982.05360437649,617.961791744339,148.879359833032
EFHD1,822.752275251509,1391.44536490595,194.592575935024
PKP3,1099.01748209824,1352.24806005705,33.8922320138511
EPS8L2,1588.51352365161,1316.87931312501,0.399098207830419
ZCCHC24,2548.94664131889,103.557277154069,110.968702221788
C1orf21,2363.10443204081,157.799147197158,16.0566022185072
NKG7,3.7479815352932,328.899221910619,470.277972452282
BMP7,1538.99075709209,875.267701535884,153.256152615438
GLI3,2111.6518290435,18.0234435674108,32.5979231810678
NPTXR,1080.5209650818,1449.64538008136,0.75406931936672
RSAD2,558.905569293292,380.983506576532,351.013186850901
EVPL,1454.0128792846,397.521072117329,76.1936119421856
KDR,1795.5933352866,747.239514699543,233.505506793406
AMICA1,54.6700181725883,4.43125384018338,1.20083564546195
PLK2,2298.10080603312,524.912295273848,114.641547910304
SEMA3F,2202.29011548078,602.53150323006,291.46190674236
TNXB,1788.9867909326,167.237187348862,179.73422540892
NFAM1,31.0763090204077,34.4054348289546,15.6244267623945
SERINC2,2008.10799310294,346.818717679096,237.283585069137
GPC6,2118.7958738096,161.89664352498,3.09798069792406
CASC5,63.6523169015149,75.8856287316466,1486.82482707537
APLP1,715.52476452737,90.3867988867265,1078.10340699883
PSMB9,377.980254513718,304.982433328563,225.17240531611
SLC39A4,563.800846361637,1799.25106600393,316.286577759023
APLNR,1823.22480483166,895.845064165617,117.200531151785
TMTC1,1286.68658966113,732.284398038202,515.085830994481
PNMA2,301.439727882811,468.746623702992,622.65177439402
PRICKLE1,2053.90082672652,543.977152503907,127.541782482386
CACNA1H,1671.00274453213,883.093270280662,368.101510627431
ZNF219,1928.92861794947,516.725507844245,496.907606054167
SAMD9L,694.386522113223,119.670343028128,669.669046009525
SELENBP1,2285.24680085921,231.850682442626,182.680200383522
DOCK8,357.588525627663,52.3665093900656,628.574521837578
SHC2,1116.7330792457,1100.08929859971,69.0247325150055
SIGLEC1,438.314228284447,525.12774563739,294.693207038713
KIAA1217,1702.9789300548,1473.2725098659,126.096769541065
TRIM16,868.344181315096,1779.02715997186,66.4474358565952
IGF1,1313.27966855648,0.00484813101996565,639.580765859167
FSD1,0.00120029637584201,355.537386942608,1173.49537198439
PCBD1,1389.83286985435,573.379935099407,285.312337226767
RNF17,1.2417445529513e-13,2.01791729295744e-13,1297.41567617359
KCNJ8,1273.36473560993,187.556810093064,682.393628938078
NFIA,2152.09503420809,4.10985088479116,181.200394109836
TBX2,2175.97993301816,237.259116183215,14.8754440909305
DOK3,1.27365886450717,45.3996147725152,459.41276154486
COL27A1,1610.66635853153,418.999080058986,570.149780017445
SELPLG,245.577654936367,208.730564233828,330.077816026392
IRS1,1910.93905012313,108.402193217835,406.193663288315
SQRDL,682.59134683248,120.444912026754,11.2211027178084
TNFSF10,1422.81311663396,351.225498892093,340.690920850813
EPHB2,2142.91284434429,554.746110609225,240.810416361277
TMEM176A,1052.75168554701,168.443614877566,94.5171769722977
IL16,279.601377206642,22.3663605844656,521.915277449937
PTCH2,50.0338054428444,1512.11269079481,483.173208726631
KIF5C,795.328281151217,1049.12169054956,717.031658388726
BICD1,55.8140613607256,1410.94437697141,1002.84180161615
IL1R1,1657.44808979918,226.746832686733,102.641707107365
GNG2,1750.23617367792,393.558088591797,597.176139703089
N4BP3,122.671888015831,2126.91242943485,326.818635993275
NCRNA00174,1.64398102189317,95.4895122123667,1110.8948018599
LRRC4B,493.276773539,146.616029388217,1107.65367079358
LCP2,90.1501827951995,77.8448456184618,380.932832373821
DDX43,2.39706093475263e-07,574.073416748509,1363.0521346865
TUBBP5,3.34971633825118e-05,93.2773217064951,1344.04341575095
DACT2,608.586411597319,441.848226908351,868.531224563129
CEBPB,414.066207813039,782.430549074664,1.12639719752351
PPAT,145.359846624802,1526.24289968664,824.894578084016
CADM1,1677.85807617723,614.186006521872,226.564294085276
SLC2A14,404.999345786619,792.794334884883,877.656317915258
CMKLR1,519.419530515618,302.710855634036,220.382836864034
RAB6B,153.484973340139,143.671085564345,1501.29020806665
TFPI,1611.23912010007,726.04938464146,21.3863533183616
MME,1196.52721426855,10.8074732254088,899.124752827077
RINT1,244.460035719517,923.642483413548,881.638708023735
EVI2B,23.7976320833047,7.77295954218366,290.582870080611
ERAP2,858.730094330697,119.918374832142,79.7110403109725
FAM198B,2019.0382534833,156.227790620781,35.808338922677
TRIM6,0.121957333875286,205.844506716377,1595.69669076084
FLVCR1,47.4276812441013,1781.34906418457,179.804670772912
CBR3,1.95778199159454,1656.11317402858,320.653600805587
PCSK5,2.89140486012187,1304.35673468785,513.413467288264
RASGRP2,0.784951690105846,537.505952494449,765.053463922484
RGL1,2202.85627197985,139.78025275766,243.328637171086
SEPT5,1909.79793103296,497.64333328071,629.012972803973
RYR1,0.0720663549538346,845.359978951687,1238.45653946219
ODZ3,1383.5549924505,252.908049844519,946.404896638108
CCDC88B,130.387008462546,232.773371646918,377.838200354302
ZNF629,2102.68459624418,439.765947590763,101.975799213377
VASH2,355.509697562606,1542.72075651098,335.652733045889
FNDC4,355.633899559386,629.799767698427,1081.14057687304
RTKN,1405.87601134247,1677.16053275951,209.221789390787
LAIR1,230.570109533124,292.621772525338,78.5494366139827
S1PR3,1902.68269248332,360.057354923047,285.086469025774
NBPF9,321.309207686056,1.1885296636856,1372.20300203346
AXL,2173.25326564411,346.7587476516,129.820640492544
CHCHD10,290.596434585638,490.349175277874,277.391563425637
LYAR,149.254873977858,2124.89497965999,299.215188226223
PYCARD,204.594759112905,350.360445159582,287.513090266428
CABYR,0.000473224378207609,61.4313505261778,1221.2313264475
THRA,2168.55113531045,119.108233569179,417.858395564807
MYEOV2,610.804490934575,964.779393464436,467.728783169022
FADS1,1597.78993965148,674.154615254703,224.910672906654
HIP1,1562.98653143947,1041.14896848684,453.630130833196
LYST,186.817405342058,7.2629059981964,1133.1745169337
MCC,1464.1101458731,288.705270000661,701.157373056477
IRF8,490.12405560104,145.39083695779,466.673669793627
OAF,2020.57144579988,335.665186831009,23.9428117816207
PPTC7,39.0844631364477,201.372591153349,1378.65806342211
MPST,1383.82508106135,1355.87164540921,150.291764571326
PAPLN,1560.01343007608,160.782451831419,150.220375546363
ZNF518B,441.696568146865,0.550590971893239,1639.40135062321
FHL2,1445.00307178221,567.174700300602,512.515322595248
PIK3R1,2063.59207110264,45.3473299056528,413.869745019436
FAM171A1,2142.81494179597,387.010049870235,572.214799163487
CYP1B1,1252.67907028729,256.718678087562,126.579212955876
ACY1,1127.20732196285,768.349320118409,319.249757800216
DOCK2,283.324904363388,179.400312634448,489.448255716375
IFIT5,351.925839039282,33.9519963309717,1141.4919793085
ZBTB43,107.66024705359,67.2300993228947,1596.83567927877
FILIP1,6.64991865661351,227.977068507781,1328.29692576422
CYTH4,294.709540220078,174.106231555897,165.264284975737
TTLL3,1695.86853273921,28.1587083554664,558.098911559591
D4S234E,254.277969732918,719.608067880263,1056.71610913417
LMO2,218.671590603649,0.814762186807504,1260.36253347602
CCL2,943.530273980249,953.657887089048,89.1393070885004
KIAA1370,346.993763657615,0.205183539108821,1177.50554934544
PSRC1,537.24150409256,1942.53799756667,186.432633895292
NBPF10,1338.30162481263,0.348096006098697,943.988060710935
IFI44,1011.62035520083,358.66897903078,310.498237722769
CA2,575.090666393717,965.328594277433,825.969956014227
GCAT,0.00385635402642067,202.82642905715,1193.87611380649
C20orf112,2141.89279046156,522.144946204989,500.706202354051
LRRC33,6.42780559885539,1093.03980514802,478.494248261705
PTPRG,938.495584980874,548.439125497842,941.861371826181
DDIT3,271.778789012115,1788.51197574829,237.997348265198
FAM162B,6.91317887081723e-06,203.404104952393,1120.54717511321
TNFAIP3,790.857025037359,360.706826072398,397.273492294637
ZNF296,0.000379873263802092,1501.86880418696,696.468512470073
LOC651250,2233.58490626426,405.141094751848,519.513489696262
