S4,S6,S7,S5,S2,S3,S1,ITTH
TCGA.DJ.A4V5.01,0.0944346210616066,0.323888992645657,0.0373129337105272,0.0572983903677645,0.295702995014095,0.0761365272667172,0.115225539933633,0.863284043745084
TCGA.L6.A4EQ.01,0.0705947162210277,0.681495113422477,0.0251820845971678,0.113915504387028,0.0937258743498162,1.36806704255423e-05,0.0150730263520581,0.551875084686216
TCGA.FE.A3PB.01,0.184859023921239,0.209287321004874,8.76636101993532e-06,0.217014270764689,0.38813681913011,0.000429796826492573,0.00026400199157569,0.690628378704718
TCGA.ET.A3DS.01,0.0108285470270666,0.0868875585498224,0.857201778280034,0.000233486610493773,0.000116743066485098,4.82423877895134e-05,0.0446836440783083,0.275313687953681
TCGA.E8.A432.01,0.275081064562956,0.441711541537009,0.088904408233324,0.0100110191289551,6.87584918044105e-09,0.182812829710826,0.00147912995108062,0.666790441472323
TCGA.ET.A39M.01,0.124909111215691,0.470775096956376,0.0185700236537505,0.300172706668841,1.77416074424544e-05,0.0509805915709586,0.0345747283269403,0.677324442304958
TCGA.EL.A3T8.01,0.0809673449936195,0.547546384882962,0.0423928346161853,0.057444380435677,0.1091643196224,0.00519151748963028,0.157293217959526,0.715071560281178
TCGA.ET.A25K.01,6.73994317367687e-07,0.437580495238925,7.25860244688247e-07,0.0523300150922803,0.0858800693127744,0.0060440597314305,0.418163960770027,0.576771924127912
TCGA.DJ.A13O.01,0.0410139805879567,0.0877364675754187,0.291149380138966,0.176198183521613,0.32493407203246,0.00587464969832917,0.0730932664452563,0.820342756107585
TCGA.DJ.A2PO.01,0.0751883447469295,0.661899849663868,0.110225088551383,0.0158495109478709,0.136796250508361,3.72645451019327e-05,3.69103648578061e-06,0.539083525004941
TCGA.DJ.A13V.01,0.00519505418204742,0.740696183750521,0.00781744190428008,0.0845869107391332,0.124039072204766,1.30961701333293e-05,0.0376522410491184,0.451727991015438
TCGA.EM.A2CT.01,0.123370082655515,0.122746033027227,0.546911207046519,0.0110984418406549,0.195415552861094,0.00039962657528366,5.90559937073734e-05,0.626121939091579
TCGA.DJ.A3VJ.01,0.0106892305703144,0.193435690878751,3.45550925307373e-07,0.108020158580969,0.382041448948155,0.051652354255962,0.254160771214923,0.758258349601829
TCGA.EL.A4K4.01,1.00156414660867e-07,0.1587782853503,0.0282644868749934,0.0493845284948179,0.685579607314927,6.80900576157843e-07,0.0779923109079703,0.513549881208051
TCGA.EL.A3ZP.01,0.273718121131628,0.181193367317768,6.37348589968175e-07,0.118753563112473,0.260270718640428,0.0746059944321802,0.0914575980169335,0.863311339805336
TCGA.DO.A1K0.01,0.0548861676971797,0.476745972994091,0.0755728237404802,0.00130804554305337,0.339907659876147,0.00125773759875061,0.0503215925502979,0.638233428385723
TCGA.EM.A22N.01,3.58002876441313e-06,0.0208304955720461,0.963574297176867,2.35396633693882e-05,0.0128630979484203,2.25923996696816e-05,0.00268239721086338,0.0970312569762933
TCGA.IM.A3U3.01,0.11958337968689,0.426102393573414,0.0395982933796176,0.0740144241146256,0.31800733613372,0.0210295454372879,0.00166462767444526,0.716486074212058
TCGA.IM.A3U2.01,1.83994498178291e-06,0.257928953133371,0.0121197580953842,0.166617807815421,0.534211484139282,0.029118730280855,1.42659070481522e-06,0.585603997955919
TCGA.EL.A3ZM.01,0.000157421627467931,4.12510739832809e-05,8.29275421882913e-05,0.341642423702202,0.619467620193707,0.0383161391629597,0.000292216697491472,0.407786422005806
TCGA.ET.A3DW.01,0.0740649922397141,0.327972318413584,0.0209389138654033,0.0544441747248925,0.515632537935459,0.00616867936644401,0.000778383454502976,0.604509408269948
TCGA.EM.A22M.01,0.117633032560195,0.45719724439109,0.014184741453799,0.163197097370355,0.0763343384133015,0.171450431087226,3.11472403248186e-06,0.752630298984647
TCGA.EM.A22I.01,0.0261618007713901,0.241216557875021,4.85177431331046e-08,0.0436678464906234,0.563887588258961,0.0204132741993134,0.104652883886948,0.623758844054576
TCGA.H2.A3RI.01,0.07924788607967,0.50507845273574,0.11627831133079,0.0696855436214703,0.227966302149934,0.00151868007309926,0.000224824009296377,0.683758436037728
TCGA.EM.A2P0.01,0.0434657922055803,0.446288803393301,0.0946117925983183,0.0117461595193832,0.278432866596769,0.000386644526795907,0.125067941159852,0.714675742386697
TCGA.E3.A3E3.01,0.023473129190007,0.433060932859855,0.142760267869149,0.0579100652007083,0.342060510646202,0.000573736619752657,0.000161357614326429,0.650596978523896
TCGA.DJ.A2Q5.01,2.44016241118436e-07,0.869934309108598,4.25446782714945e-07,0.0774478783561635,0.0322813580875719,0.0052472841827131,0.0150885008019297,0.267743724378901
TCGA.ET.A39S.01,0.00344717266071526,0.383731017970097,0.179916675826389,0.0805394442686308,0.0887004148365392,0.00875371303019329,0.254911561407435,0.772568541754422
TCGA.FY.A3R9.01,0.162714508352937,0.0605325940039163,0.649537739167356,0.0188327133479984,0.0499645555541699,0.000147737882521552,0.0582701516911003,0.584280908326394
TCGA.DJ.A1QN.01,0.066368401634896,0.81422339016859,5.89497621303281e-07,0.051879281397611,0.0200248698995585,0.0475030853835388,3.82018184738081e-07,0.372029223849016
TCGA.EM.A22J.01,0.326997419009484,0.178028863140888,0.477976931725622,0.000263799721105704,0.00928175307417903,0.00732670763393034,0.000124525694791421,0.56957963415862
TCGA.EL.A3GO.01,0.117173188556747,3.85342564877731e-05,0.531228477369332,0.000189143571820044,0.00017252304464729,0.000200766269043317,0.350997366931923,0.493327052854308
TCGA.FK.A3SG.01,0.0366557632374401,0.245475497105464,1.68432348359093e-06,0.152779269869867,0.151418805738166,0.0742556451528984,0.339413334572681,0.821568646019576
TCGA.EL.A4K9.01,0.0936921509771512,0.593153986935219,0.0979595528996578,0.09093024633847,0.0331704783569407,0.0205101038830609,0.0705834806095005,0.697390220441212
TCGA.EM.A3FJ.01,0.0238187901861837,0.748018526546944,0.0129497561023654,0.131566750039025,0.0434127839764343,0.00236986030739018,0.0378635328416573,0.464457895486212
TCGA.KS.A4I1.01,0.0899528900975419,0.534115666588038,0.000117727850007575,0.289786403273343,0.0674935978218537,3.42119173547368e-05,0.0184995024518604,0.600090607587422
TCGA.IM.A41Y.01,0.0796074947180875,0.264232912835021,0.089769754456389,0.147405864205495,0.416880218578827,9.69237733618178e-06,0.00209406282884514,0.734629357589525
TCGA.EM.A3ST.01,0.476796523692618,0.188161522878993,0.114259819408365,0.192052788350496,0.0269472587817993,0.00160370267705611,0.000178384210673295,0.689369977542281
TCGA.ET.A39K.01,0.000290295841646579,0.351338394992589,1.4630838707137e-07,0.303785447069409,0.166511529503512,0.0248259136741839,0.153248272610272,0.724346306756607
TCGA.FY.A3ON.01,0.104518451038136,0.265930632013485,0.0265957568134725,0.0386591172210391,0.41499604585098,0.027746627267121,0.121553369795766,0.786830144466127
TCGA.DJ.A13X.01,2.12461971002559e-05,0.706424758279582,0.0939943445759264,0.0215531736785342,0.011103737294401,1.19963494818843e-07,0.166902620010962,0.462242191974975
TCGA.EM.A3O8.01,0.417921301957578,0.230095230111706,0.350516278484479,8.32091255668417e-05,7.05235796852393e-06,1.59157575639684e-05,0.00136101220513752,0.555101164689122
TCGA.ET.A40T.01,0.198552838835387,0.527457580774639,0.00606149108026073,0.0659291343410244,0.111960557727278,0.0235647071610872,0.0664736900803247,0.710365216077996
TCGA.DJ.A3VF.01,0.043937904926664,0.240699036397752,0.0224813900661247,0.0158421265394041,0.599634035497407,0.00281253596894231,0.0745929706037062,0.589909872390504
TCGA.ET.A39N.01,0.129722136568813,0.0733355065326382,0.530679020012724,0.186237246154721,0.0544451928814531,0.000108421522019394,0.0254724763276316,0.698254255537748
TCGA.KS.A41I.01,0.479008403055483,7.75588562577363e-06,0.216242190260092,0.263270060294796,0.00755301335812163,0.000380703641045134,0.0335378735048362,0.610984271499311
TCGA.DJ.A13U.01,0.077197505829432,0.343392822809178,0.234400634412342,0.0128207005763344,0.329812836766687,0.00117669074005008,0.00119880886597682,0.689920740617043
TCGA.BJ.A0ZC.01,2.4583359774723e-05,0.119546559987749,0.836869430309515,8.88185839863632e-05,0.00491507446309517,0.00801980713446931,0.0305357261614101,0.295702751971585
TCGA.ET.A3DT.01,3.70372361446261e-05,0.830800012989208,2.69392644588305e-05,0.000199386478558252,0.127635220371221,0.00985322750122489,0.0314481761591843,0.294681300379706
TCGA.ET.A3BW.01,0.0715971040082142,0.84819990334777,0.0411289585521735,0.0107145442426845,0.00105397413720441,6.15382095468146e-06,0.0272993618909986,0.315469355764559
TCGA.ET.A25I.01,0.224638877840643,0.121580311404456,0.565960556236497,0.0633658827930035,0.019507289974723,7.21676726977356e-05,0.00487491407797991,0.612594670135207
TCGA.L6.A4ET.01,0.0520961050402117,0.715541135043128,0.00140077934985177,0.146059640444143,0.0473674486857765,2.17054376712895e-05,0.0375131859992171,0.488957880550683
TCGA.EM.A3AI.01,0.106654670150827,0.109614238648421,0.688299216876375,0.0769502340371752,0.000113824841436799,8.6607286001934e-05,0.0182812081597639,0.51929158665709
TCGA.FY.A76V.01,0.289348360084579,0.411818358760726,0.156783732590223,0.000277589708923288,3.28093918383483e-06,0.0134938959386022,0.128274781977764,0.687863271184407
