S4,S6,S7,S5,S2,S3,S1
PENK,3.30808985674455e-13,1.96134354200637e-13,3.59730411132205e-13,1.23101619309677e-07,463.861298777092,3.97083322554289e-18,1966.67946815494
ALPL,342.974080324214,0.00281174805571722,290.458648899973,914.124814617155,1.27325230100419,7320.63562528018,0.0310071442389575
GDF6,906.411980165931,337.538116600787,5.08126022121795e-06,215.690606413482,2.73415809965609e-12,1190.53097791661,8.43322284972856e-06
CCL21,2.09211886878763e-10,0.000202372912151299,148.884588969441,6.24670636630635,8.67569318336025e-05,9.52954813774042e-05,1794.71379868788
AKR1C3,80.4911608766442,2.12735489308802e-08,781.65997758857,1.19734054155396,2.12450188070598e-10,52.0392250032452,185.593565347702
HBA1,31.9095690544893,0.143658473502539,319.958253677905,1067.65972531622,1.95089288484688e-12,0.671658975488362,2440.41438026913
GPR64,4.65576367190009e-13,402.952073783264,36.5202152561064,425.103032463151,66.4452963201371,9.29817216702592e-07,438.455899768161
AKR1C1,0.0576601728409421,3.05476349030315e-13,724.996153457452,2.96133597998359e-12,3.09446752187567e-13,2.6068716054933e-09,17.4668716311026
ESR1,0.0100241245905683,1592.74527841796,0.0186901297147794,964.34439311733,0.00139494927998304,1877.91081771321,1127.24063636092
CTSE,1.21375905571927e-11,4.87661568033267e-06,1.07114668996841e-11,0.32495597611047,1445.54571409256,723.498860473537,824.230900031947
CD79A,7.54728903994359e-13,1.99152222880021e-12,4.65996195305631e-12,65.6269207860294,7.82679788550623e-08,1.07970623124146e-08,1.01383705638549e-12
TTN,395.062828640784,0.973559840870897,0.449348550604625,1.07652823963936e-12,2.86958788860757e-13,8.09630713339765,7.49944181625612e-06
MYL4,2.41827555253324e-08,25.7894868863559,191.637552202773,8.19372614614233,1.49128946220637e-12,18835.3400363067,811.183660480378
DERL3,400.62280308649,6.71232426644577e-12,58.210162641927,2296.9557353813,7.3262959859886e-06,0.0412391038564035,9.53526562853791e-11
CD36,974.229463114527,246.833525636201,2653.95358256837,213.295429895046,1.80209678783775e-10,30.9194578574611,746.392894201485
ENPP2,640.829810301924,711.142931012939,431.860499960446,690.613190948765,135.917199736776,38.0720194064994,8.64397454278631
COL11A1,1.11936630325367e-14,3.93044582169992e-13,2.89674039048461e-15,1.26226193201781e-13,0.000394931726997673,2.50277413229494e-13,4.30998910269007e-14
MUC21,1.67790918569242,4.61919398630797,1.23822932119196e-12,242.119522042903,2015.89386378816,2843.09810751683,1.09532937548028e-05
KLK11,4.10777904173675e-07,1599.13528626399,2.15258323206594e-13,1304.2817417081,5.27585830523986,1561.87268949181,926.478805146414
KIAA1324,942.669602437599,2.34913956665956e-09,1165.87795222618,571.032311786902,4.46501687582716e-09,62.0024333366193,288.624192600752
RPS28,334.729172919787,105.844389016334,328.857244809514,6698.95989888425,313.736337313984,1125.93886189775,28.103160696811
SLC47A1,792.175104359609,787.997475001012,844.725779071189,908.75062627214,917.378741001318,436.688534050155,4.36131329028556
MMP11,0.366027618100024,12.7337972422064,1.24863957575816e-05,333.7890479169,88.8967233063065,0.00044238968863346,4.68932141062804e-05
SFN,3.076958427729e-13,0.000350378003549506,2.04936920765016e-14,4130.29909685769,1556.20508875225,3040.18177411915,99.6485789852751
CD27,1013.72572512794,1.07967448441624e-11,641.640550928947,1739.24254898698,6.00212860768504e-12,16.1960235329494,0.000112053291638554
GLDN,9.34777502421315e-07,1340.43463726935,1.85070740361207e-13,0.00140456005835728,9.70657749630899e-14,6462.0401807187,9.44947292051343
EDN3,2646.36351680789,324.064781881104,378.356463523247,2.23345102699247e-08,3.64905203972495e-14,3365.7917259482,0.030998444494336
MACROD2,836.188689955194,384.456021943333,6.82346713100543e-11,0.000654300615233675,790.861536782013,6046.86328708236,2711.54470503884
KCNJ2,433.938792788912,1428.47355753239,2.16798588234924e-12,199.556128752784,311.134014338849,11990.3656550958,0.610154775467351
SLC1A1,61.4662150831658,8.57468716474154,3112.78595939316,0.000136673420048637,693.738554457306,0.0147749158120462,0.338845766306283
FCER1G,1.47849352042525e-11,0.00281520217136072,32.3985489496513,73.0773882942421,11.5016917610197,16978.1682599933,7.99433249045494e-08
ENC1,27.5017362312878,616.365387071538,209.73366231479,332.752881974379,74.2079725715167,1994.22912908038,331.372960737825
ABI3BP,687.940644804187,504.531500615897,1213.67470792012,9.05624981411814e-06,516.033381428899,4.58661672352818e-06,719.610481563939
RGS1,313.6816910606,0.06478597100713,91.9004823928451,322.757192122104,272.286687786857,7.44965049651364,2752.53838389264
CLIC5,0.0412588703099626,7.01479571986459,7.07616883657076,0.00119230249722961,2056.9893458568,1321.55898337769,4728.65574396248
HMOX1,89.4499767017082,492.548499541462,315.890177720496,810.847181679731,434.680661417087,186.528178109863,1530.63826147598
IGFBP2,155.456209011798,365.400040299385,556.858110280558,4513.42903321166,755.217926121245,108.031584050155,1556.01487580408
AQP5,794.560004692447,239.817928430663,141.483432127047,1196.25321122556,0.0173702634438481,5148.25974206566,1743.17263380321
ASPN,0.470600299758977,0.373560853087637,9.5857142228778e-05,24.7128802839727,11.3165514301121,6.38644166366877e-06,0.0044952752999
NPIPL3,3361.15161170989,40.69883264214,0.464272851540518,4189.67884412232,9.85806148163386,1369.42860763628,258.237554136318
SLC4A4,322.274735986104,0.000222842687547902,3387.24246832523,8.72784882772766e-11,1.12173512060383e-06,0.00016307492845612,996.537169459127
GBP4,547.782345576757,97.4601867973982,545.667199129937,5.15912665193859,205.168649825373,45.4604537538996,200.972551850085
IFIT1,86.4343492062806,223.013207875237,290.163396543538,807.018924064762,1870.53235172162,2025.56082107407,1366.57305537531
CDH11,2.83039210243169e-12,398.929867382453,7.06885537894339e-13,0.000450403682663751,331.32321476752,1583.6948986658,75.7716002289493
CCL5,0.0979250418768011,3.7453618799926e-06,9.85201550431137,1627.55491442265,0.0144300576389671,263.194465111412,0.0454848842816059
BST2,0.18387915648878,0.0363705046571799,214.500299702602,2828.42293468487,36.5973387376427,3930.3600728891,829.722739787568
KCNIP3,891.086458055179,144.462668384804,3161.74672013924,1191.45839582488,93.2999046193467,1249.49775454877,59.8652439709602
SDF2L1,1160.16688096487,2.54970654238823,2165.86116197949,4284.24002284178,0.00631447270371655,1086.96382932022,310.565433497173
FAM155B,2818.56983469309,500.580123176166,1798.14053560913,33.2864423541525,5.64721623801414e-10,2458.82132350978,0.21529288037472
GPAM,1634.33496027249,118.318683741394,2212.02445829549,121.267545013372,0.0235740191725345,4104.50807859916,568.630476303331
FBLN2,83.7246535103014,433.283762182183,227.056592788564,406.478966427877,282.298185522641,546.929394714735,2306.34372393441
NFE2L3,0.0847879429505803,287.134038270043,2.20739636693442e-10,591.319254960687,1977.53625258938,5592.8204115493,480.11994506054
FCGR3A,133.32603840985,278.875207158258,232.036153792002,716.504057518685,77.0937426805354,151.226236503261,243.344865410338
DCXR,1134.46762094097,43.4467295578505,1889.84698029962,5086.16050170887,44.6780073589471,513.557696202011,180.186095245118
IL32,2.20895847321096,5.67450438616529e-06,220.394157687638,2630.5063456062,53.7663133557047,75.7259848428997,0.0510216222259946
PCOLCE,389.294935766781,133.02522582632,3.95530073001151,2907.38309650634,7.79435640211453,442.362465828589,116.422633301647
CCL18,3.84211206467154e-08,275.476546643798,3.26710402125757e-09,258.060666497189,665.96580876178,1184.58891973441,1994.56086933698
HSD17B6,814.511727888035,427.300904270868,1173.46652021721,0.505898914569018,0.584043247263351,0.00938502052662852,3589.14094985873
C18orf1,1225.35380317173,936.634675769631,337.615574089134,76.1227619525503,0.143213310666683,261.741718582754,1919.86572794587
SDK1,3.12335158459574e-12,1565.91695203185,2.93403604412997e-14,494.16595937402,21.8882723052638,1199.54174194383,2092.31484708501
PTPRC,0.027237616788029,43.7014301498204,24.1345275683946,3.38073493820987e-05,78.334981673141,0.650673630452671,607.464919321854
SEZ6L2,992.964643357978,406.029243303001,0.664365334465145,1982.84255648959,1077.55814861676,4357.60727944668,3.63987848109313
SLC4A11,5.94787371560429e-06,161.143568264192,643.608852231343,1294.22083251131,2642.03079981959,8.23328627403949,3030.89535444892
TNFRSF21,0.00136032587819068,536.299769240526,1.71499717685866,220.930541501719,2342.00835688418,1633.66110693583,2830.03856697523
PLTP,51.9623645822308,429.2723052874,324.09695554408,1792.22570342919,38.5160498813006,1533.37918088254,1248.34949732764
NFKBIZ,2069.27842022791,34.3873306507707,8.41048260750954e-06,27.9623697959628,1472.49608844468,2522.39618542952,4893.92518370276
FLRT3,1239.54276250736,827.76573432008,6.96182765523017e-06,0.000749163750312658,1616.10653578266,3709.29003540307,2307.84263000929
CD22,748.892354759197,1292.588275235,0.00128549566387009,1051.33708430867,476.259309946623,6.82628828461277,779.775280499799
DAPL1,919.376958646666,260.693424329922,1380.28559344534,3453.45731629962,910.675834650339,92.4081646944536,154.8650665459
PELI1,0.000564895749230218,403.328326265991,4.63738161693386e-11,22.2157737072224,1839.73771346451,3403.54290667934,4497.29310776172
CTSK,78.8363756990694,217.980607778481,17.1723029523814,319.873456229879,221.098896823751,5.90743176940462,93.0792402189784
LTBP1,573.588778048008,14.3932179317372,0.00061178837841121,2.06485680885792,1437.10275413734,3629.60567852883,1777.28455552952
KLHDC8A,2867.45510009905,990.098890052149,186.76861269155,10.6124930035955,397.945097165842,4069.65444228242,929.283191314111
GSTM2,2317.34539309706,323.880846522779,993.751410203492,4017.20904286145,82.3968338468884,2.11478125011403,233.872057916251
NBEA,2317.89852244528,479.590412825815,1234.21538422892,1.95212802619802e-10,255.793323159401,230.492771390154,374.436178984828
SERPINE2,1936.65642560155,646.594687412432,68.3727695961514,400.90792456489,541.161798044244,1257.96460914567,3588.49831818625
SLC1A5,0.740102516756333,1183.33567159889,0.00124431486229186,1703.16738105315,876.384357159167,2778.81321601851,566.6278470591
PRR15L,931.73145335702,202.459122498646,2908.79404193017,1035.2473099371,619.213693844135,49.2583250123905,0.341104483436968
CDON,2056.19036747646,11.7349023448497,2122.32082397428,0.000958098165529069,4.72845520351262e-05,492.922215146088,2392.93449518515
GALNT10,2011.28441478741,534.284909589037,2147.62848092387,6.39030045905748e-08,57.7941089813767,4085.0850786451,1450.57148375946
PRKACB,1494.18000900693,414.039804403551,2293.81184176408,0.0122620690692148,43.4205786657071,22.3658534155074,1708.24528030296
TYMP,311.440308452293,0.00272141481780723,188.069041179467,1842.0124339982,415.701842519085,1332.83501345389,548.598871472446
CRELD2,795.4858002801,235.538656886247,2429.49069454355,2777.61064939414,27.0423286155318,1348.63980359116,1427.0179191591
FXYD6,286.733352130953,351.541087325461,1599.1139623974,2258.48500490379,1106.95388979584,23.2993093189024,2454.16939149628
ACP5,0.132663687528635,370.598559585746,0.000275790829423742,2701.22788966662,518.882158504358,1555.92189058213,437.584931743451
RPS27,255.499824403086,733.928532196648,387.265175766948,3255.4396863051,1070.01293014735,312.103827388209,478.203744573405
ALDH1A3,4.81982741160035,10.2769842373408,310.516722047072,0.905684897315329,2522.33342753162,331.440047703958,2100.93504368645
ATP2A3,283.906745333518,180.14567249204,1605.06516780378,772.878803326555,50.1993457191317,2263.24016839844,91.376875562691
IRF1,155.222112210169,334.239257003427,283.143430778987,1106.73265252355,637.036656318334,430.510503490087,622.965647552433
HCP5,3.5193764363363,365.697013248175,351.374297454602,530.577474407329,1164.38729134047,735.71946647081,0.000404303701396509
MOSC1,2231.45366347841,720.323488041147,2104.41228806536,520.079532089847,13.0994962190887,344.709278382447,1587.5089233732
BTN3A2,219.999166070543,669.078153259953,417.436187239325,1182.91405004204,846.395632280678,107.32144359245,17.0005784976801
RAMP3,1420.83300100585,640.283366853924,1669.35461418437,2984.52228697739,0.0353268003599739,2711.21964489448,984.427983721541
ITGB6,1.16579759741837,80.8388745279285,97.9406505271383,16.4023868150511,2539.38803835461,16.8389756549526,1547.09654699831
TMEM176B,1.38843214561444,18.4424940754253,0.0334599113642906,1990.97964656319,573.019972040623,3158.10700906723,896.477629903571
NGEF,0.00134612472022256,1070.57063372977,3.45476571422266e-10,2126.43810901402,2100.87954847892,1775.43799554752,103.83441449434
SRXN1,720.197382994371,913.586574864459,1518.6133393704,371.468123256022,784.195615483132,733.717229403021,708.266609555781
