S1,S3,ITTH
TCGA.ZB.A96P.01,0.99828481052683,0.00171518947317018,0.0182305317902907
TCGA.4V.A9QI.01,0.683022019230612,0.316977980769388,0.901064798594113
TCGA.4V.A9QL.01,0.86257046656465,0.13742953343535,0.577467200674562
TCGA.ZB.A963.01,0.997556473887623,0.00244352611237699,0.0247229881190084
TCGA.4V.A9QW.01,0.0409377141020319,0.959062285897968,0.246575177464993
TCGA.YT.A95E.01,0.812113159235455,0.187886840764545,0.697029904751121
TCGA.XU.A92Y.01,0.868144642505523,0.131855357494477,0.562504642974127
TCGA.XU.AAXZ.01,0,1,0
TCGA.ZB.A96F.01,0.860486006910322,0.139513993089678,0.582964586841713
TCGA.ZC.AAAH.01,1.13060246332697e-07,0.999999886939754,2.77213547199581e-06
TCGA.ZC.AAA7.01,0.621285648641948,0.378714351358052,0.957128945752074
TCGA.ZB.A96K.01,0.987680803081043,0.0123191969189572,0.0958029435877003
TCGA.XM.A8R9.01,0.880402200691861,0.119597799308139,0.52820364574127
TCGA.XU.AAXW.01,0.97881390603932,0.0211860939606796,0.148049314100493
TCGA.4V.A9QT.01,0.348368299101777,0.651631700898223,0.932602360055039
TCGA.3G.AB19.01,0.964317686516438,0.0356823134835616,0.222132784907962
TCGA.ZB.A96G.01,0.498759071957838,0.501240928042162,0.99999555677631
TCGA.XU.A92U.01,0.936292102793191,0.0637078972068091,0.341991333878482
TCGA.X7.A8M0.01,0.91695183692566,0.0830481630743403,0.412829554563188
TCGA.YT.A95G.01,0.999998785503802,1.21449619834753e-06,2.56184671393744e-05
TCGA.ZB.A965.01,0.99994257483644,5.7425163560278e-05,0.000891847878605653
TCGA.3G.AB0O.01,0.673016401024696,0.326983598975304,0.911814799722471
TCGA.4V.A9QU.01,0.847441618761577,0.152558381238423,0.616205795544419
TCGA.ZB.A96E.01,0.95641322958281,0.0435867704171904,0.258502355507259
TCGA.3S.A8YW.01,0.770482727799244,0.229517272200756,0.777168850972267
TCGA.ZB.A96C.01,0.999998541789006,1.45821099404129e-06,3.03746269819717e-05
TCGA.ZB.A966.01,0.813681283931221,0.186318716068779,0.693706662803532
TCGA.ZL.A9V6.01,0.998333655479716,0.00166634452028366,0.0177808790614332
TCGA.4V.A9QM.01,0.958291133469985,0.0417088665300149,0.250073154369205
TCGA.XU.A92V.01,0.9858281873443,0.0141718126556996,0.107326758037026
TCGA.X7.A8D9.01,0.965852291035208,0.0341477089647917,0.214783789996722
TCGA.4V.A9QR.01,0.751778020352319,0.248221979647681,0.808447847244579
TCGA.XU.AAXY.01,0.260567960352149,0.739432039647851,0.82760222357027
TCGA.YT.A95H.01,0.874263115760757,0.125736884239243,0.545629563638653
TCGA.X7.A8DB.01,3.52434749099121e-05,0.99996475652509,0.00057217619097359
TCGA.ZB.A962.01,0.994959823902281,0.00504017609771948,0.0457212686936875
TCGA.X7.A8DJ.01,0.98321139041492,0.0167886095850798,0.123008290796436
TCGA.XU.A930.01,0.91975655194883,0.0802434480511697,0.40303641416029
TCGA.ZB.A96V.01,0.805266703568315,0.194733296431685,0.711268797175179
TCGA.5U.AB0E.01,0.558215474742424,0.441784525257576,0.990199078962643
TCGA.X7.A8D7.01,0.66512478916592,0.33487521083408,0.919830000336621
TCGA.XU.A92W.01,0.921517027113018,0.078482972886982,0.396811164197289
TCGA.ZB.A961.01,0.905171680696152,0.0948283193038476,0.45238400914864
TCGA.ZT.A8OM.01,5.14182361281243e-06,0.999994858176387,9.7756246563877e-05
TCGA.X7.A8M1.01,0.996866309724489,0.00313369027551146,0.0305796586765757
TCGA.XM.AAZ1.01,0.690395391458283,0.309604608541717,0.89271651954948
TCGA.X7.A8D6.01,0.99899698319142,0.00100301680857999,0.0114378116814248
TCGA.X7.A8M3.01,0.815132714784126,0.184867285215874,0.690609873761425
TCGA.XM.A8RC.01,0.932647888173158,0.0673521118268418,0.355963638432964
TCGA.XU.AAY1.01,0.44422927093359,0.55577072906641,0.991006654173004
TCGA.ZB.A96B.01,0.757351425635118,0.242648574364882,0.799417092872222
TCGA.XU.AAY0.01,0.576096742727876,0.423903257272124,0.983226422726876
TCGA.XM.A8R8.01,0.894622719885021,0.105377280114979,0.485813009141981
TCGA.5V.A9RR.01,0.760317880467933,0.239682119532067,0.794511255547146
TCGA.4V.A9QJ.01,0.774019576856355,0.225980423143645,0.770938197611804
TCGA.ZC.AAAF.01,0.747956414240286,0.252043585759714,0.814501093516507
TCGA.XU.AAXX.01,0.891589935971488,0.108410064028512,0.495101526114889
TCGA.XU.A931.01,0.970610319893067,0.0293896801069335,0.191321839065687
TCGA.XM.A8RL.01,0.999995923476107,4.07652389334874e-06,7.88681865289874e-05
TCGA.5U.AB0F.01,0.267989414974599,0.732010585025401,0.838564755417966
TCGA.XU.A932.01,0.57032642684698,0.42967357315302,0.985681990160281
TCGA.3Q.A9WF.01,0.708907892702295,0.291092107297705,0.870127818161417
TCGA.ZB.A969.01,0.998642483319426,0.00135751668057407,0.0148872470168013
TCGA.4V.A9QS.01,0.872687319062105,0.127312680937895,0.550021869870723
TCGA.ZB.A96H.01,0.971140611370338,0.0288593886296623,0.18863909486716
TCGA.XU.A92Q.01,0.915740162205483,0.0842598377945174,0.417013950237538
TCGA.ZB.A96A.01,0.622618806790932,0.377381193209068,0.956171423990311
TCGA.X7.A8M6.01,2.25571066674165e-06,0.999997744289333,4.55668892467834e-05
TCGA.ZB.A96L.01,0.999935000125625,6.49998743746835e-05,0.000997868431721568
TCGA.ZB.A96Q.01,1,0,0
TCGA.4X.A9FA.01,0.89078590249477,0.10921409750523,0.497540878592148
TCGA.ZB.A96M.01,0.999999940508179,5.94918211964792e-08,1.51379487751871e-06
TCGA.XM.A8RG.01,0.999956231841936,4.37681580635709e-05,0.000696895094749159
TCGA.XU.A92T.01,1,0,0
TCGA.5K.AAAP.01,0.836417118041733,0.163582881958267,0.642812458509903
TCGA.ZC.AAAA.01,0.893394239332333,0.106605760667667,0.489592242375425
TCGA.ZB.A96D.01,0.999998374914386,1.62508561406803e-06,3.35966083715393e-05
TCGA.X7.A8M5.01,0.716906384970713,0.283093615029287,0.85963191021692
TCGA.XM.AAZ3.01,0.970727855872883,0.0292721441271172,0.190728460238143
TCGA.XU.A933.01,0.913382704279313,0.0866172957206873,0.42507684792051
TCGA.YT.A95D.01,0.988257742823128,0.0117422571768722,0.0921337172067771
TCGA.ZB.A964.01,1,0,0
TCGA.4X.A9FD.01,0.930079624994457,0.0699203750055431,0.365626435759
TCGA.5G.A9ZZ.01,0.91722186148517,0.0827781385148298,0.411893275145984
TCGA.XM.AAZ2.01,0.962405788214743,0.0375942117852569,0.231150861447629
TCGA.X7.A8M7.01,2.06159921229225e-06,0.999997938400788,4.19133391406865e-05
TCGA.ZB.A96I.01,0.920132339523567,0.0798676604764333,0.401712711954446
TCGA.4V.A9QN.01,0.72801879926572,0.27198120073428,0.844293191294989
TCGA.5U.AB0D.01,0.239062681334177,0.760937318665823,0.793478073620305
TCGA.XM.A8RB.01,0.888926474626032,0.111073525373968,0.503145567245431
TCGA.ZB.A96O.01,9.74678378638684e-06,0.999990253216214,0.00017631279164524
TCGA.XU.A936.01,0.845554289264006,0.154445710735994,0.620854774055226
TCGA.4V.A9QX.01,0.87592558606677,0.12407441393323,0.540960332448633
TCGA.ZB.A96R.01,0.481805204750173,0.518194795249827,0.999044579029719
TCGA.XM.A8RF.01,0.939045208701979,0.0609547912980211,0.331223481726834
TCGA.XU.A92X.01,0.6872181432062,0.3127818567938,0.896358578940131
TCGA.XU.A92Z.01,0.999999266327942,7.33672058167197e-07,1.60094989456024e-05
TCGA.X7.A8D8.01,0.988856601181437,0.0111433988185633,0.0882812772520665
TCGA.XU.A92O.01,0.867882174326216,0.132117825673784,0.563217854630744
TCGA.X7.A8M8.01,0.749343811729625,0.250656188270375,0.812316502692432
TCGA.3G.AB14.01,0.843491222085535,0.156508777914465,0.625891635141325
