S1,S3
EMX2,162.088014695048,2.4264797834039e-31
SNCB,4.95122727156922e-21,966.431618068282
FOXI1,190.087032726271,228.958424891376
CPS1,157.995292731441,6.87936911720221e-11
C15orf48,162.500051979405,344.400709742693
PIGR,201.260131226273,2.40708546916583
DPEP1,0.201315517523151,176.415391441571
TMEM151B,131.414513249833,537.952427464111
C2CD4A,137.643378977922,114.34331368437
ABI3BP,272.268582725504,3.85862748366187e-06
EPHA3,280.164996707046,1.56397039547034e-18
ANKRD26P1,344.920176992868,1.94084649169636e-22
TFCP2L1,273.826622876462,4.03638062009615e-08
KRT1,2.58133545318844e-16,1174.30732964332
GGT6,1.77363426468839e-11,1324.97060198223
PRDM1,310.934963460635,0.28510567816713
TPPP,159.390261052512,334.803398026859
LDB3,0.000178208721843842,915.44604548684
NEURL3,5.59576949524203e-07,932.777496848315
ABCA13,221.421609562298,0.000641407374642436
LRRC15,163.31326650252,1.38660254630984e-15
CA9,126.696856718012,285.524458716024
ANKRD1,144.06253722907,1.60801244927585e-14
PRB3,234.556556267053,7.3664668915445e-07
WNT10B,162.640781584099,1077.98300497396
GSTT2,286.962759100337,578.54335773479
PLA2G2D,118.732581159901,748.420868687075
UNC93A,156.678326996918,1.59097483360634e-07
LOC100129066,1.28288104203771e-05,1607.23572015197
GZMB,106.519484428395,1196.39194679728
SLC39A2,172.277405978822,52.0848403708999
GNLY,51.3397781096594,1432.25764118283
SCG3,19.3372679195707,868.087181174039
IL6,81.0343009641459,2.96687785165854e-06
SMOC1,229.121091749713,6.49112868226526
CLDN10,283.550532464404,1.47158669428444e-17
RUFY4,207.38340049878,424.515531473936
CYP3A4,1.15804697337317e-07,0.180963961654745
SLC24A3,375.532464801096,0.00139422487424561
FIBIN,397.389651749129,2.55579589248728e-11
DBC1,148.977302603134,0.00754531203382801
ZSWIM5,470.905755190085,5.3678891815823e-15
AKR1C1,299.532563623682,338.979135482328
HAS1,83.5471257503673,0.0160216960999337
VPREB3,59.1928074778804,711.668945527283
LAMA1,467.225197620999,2.3582311962296e-15
UGT2A1,73.4311453926417,2.78232546359634e-08
ADCY5,336.050793014141,2.91130174912722e-13
CTHRC1,289.227262415833,143.43310202787
FAM83A,267.123865298282,1.16217264504356e-18
SOX2,304.219383646697,1.26005504478006e-09
CLCNKB,406.129560809508,57.2064475926682
SEMA3C,375.753174232483,587.437864417844
OXCT2,37.5113361808066,783.935368709213
RASD2,210.264064906102,835.802264238875
GPR109B,254.290982972807,1.65245401864676e-06
PITPNM3,391.075404187257,3.4046559662783e-07
CD19,118.180680757101,326.376371532245
ANGPT1,133.427193663626,3.91389180922534e-09
GGTLC2,32.0438363469339,1631.6732261388
PI16,76.1220127722327,625.539674610125
TJP3,217.819799385663,286.875767444901
DLX5,85.2694552550344,483.677648154057
KCNN3,54.9538718738587,778.384280895434
SCARA5,226.409726248713,2.80103746495626e-17
HMGA2,427.306488763371,3.58663952269967e-05
HIF3A,384.83814580206,8.96280236195429e-09
DYNC1I1,285.519558849373,0.00485049692885661
MFSD2A,182.322601731564,304.318187727607
IRX1,216.573676290618,3.56676224214339
DOCK4,473.887630557099,5.29730351822775e-16
PCDHGA6,450.58646758089,2.29213621885581e-23
C19orf33,105.152763521217,1022.19650288079
GJB3,131.927572062159,834.475080109189
BMP4,336.863037621194,8.8434784735294e-19
KEL,37.4355652594039,904.433585876469
CEACAM1,158.180907840297,8.65718037706693e-13
ASPN,164.620056426076,130.503381693317
TCL1A,87.9271895474018,458.414700700674
VDR,335.473655369866,0.351702833133859
SLC12A8,204.320320099939,0.0368813396961274
PPP2R2C,154.397803897534,480.42972949724
CH25H,221.816449290906,332.830332073065
G0S2,92.587077500681,411.777775531455
TMEM184A,144.430412828905,788.060891323151
TGM1,449.537292325039,4.52135133426348
IRX4,447.206470108774,1.24230622693219e-07
TSHZ3,402.308793266921,6.26351162388633e-19
KCTD15,478.056584616567,5.41134008667258e-14
WNT7B,324.525606033631,403.46362102879
APOC2,0.00338373206149002,1232.41462271833
CA2,315.053665729043,1.13300249322694e-06
USH1C,394.348841907546,1.75174805484404
KANK4,290.732489776536,0.683479748501036
LOC100271831,2.18892733707678e-21,1677.85039179221
NRN1,103.41691688895,403.814151343607
TXLNB,0.00599738602279843,1.17390386549369e-09
RGS6,325.247191690578,179.256342988851
GATA2,244.419976660817,3.06407091304089e-13
SCUBE1,332.947688856813,19.0840790443875
RBPMS2,187.397175120365,284.43145199301
BRI3BP,35.2944367984219,1052.30831951636
FAM176B,137.406179547456,1711.73550704852
SPTLC3,394.050950069387,105.593446299126
ALPL,301.341158326231,463.474257406193
C2orf89,63.7832097372182,463.778719623634
LRRC10B,71.8433416989133,762.846864730531
RIN1,231.550523565133,1357.01108648185
CPM,276.988107906646,212.635126726103
NEURL,91.5482891082974,914.996162159876
EDAR,465.744604139046,3.03588287918999e-18
KIAA1614,173.98814968639,0.0366156616297551
ABCC3,270.95517350212,476.85308831766
BIK,116.657351854311,920.465614949757
TPST1,355.991952949657,0.010113963696328
NKX2-4,414.612739455372,3.46337293500403e-16
FAM108C1,279.906610800286,638.848681881763
PDE2A,273.922528513201,121.903488288583
EBF1,352.748921403978,173.124406618964
FAM84A,332.136326006196,446.144478354803
TLR5,362.559835733496,43.7043769626628
