S2,S4,S8,S6,S1
TAC1,79.4477685948564,2.12378117611429e-39,2.05480031220876e-54,708.307116785111,419.67090338637
CSF3,8.86285178083424e-58,920.623453651718,696.115673691305,133.587552646722,5516.31910049512
PPP1R1A,70.351411895141,281.638910526023,1.16068907749916e-16,669.80862038341,3.94423958458945e-41
LRRC15,7.63631906579513,1.89308015131376e-51,5.49044345706689e-23,2.9772855162976e-53,1936.60765040645
FGF17,111.979900264584,389.922535608953,588.998463295447,7.31622120918297e-80,2.87313738014067e-35
GFRA3,6.21104094757936,1746.23782706646,6.61751241514769e-41,938.94318062629,1.79121866028235e-37
LYPD3,71.7091587649103,6.32481548974283e-12,1.34888495410947e-22,1.87078007686376e-13,16355.4651038577
CYP24A1,231.479015526582,3.05760718896567e-60,1.8660502469861e-31,6.41351261360876e-16,5006.20399888078
TNNI3,2.14664779573554e-16,2762.34205515948,8.93393194808077e-38,8.80684099632009e-40,1.35397440075704e-44
NRGN,383.639501238335,379.526451648875,701.548624706426,0.597471855076406,1.55567263450509e-30
GFRA1,473.67278372308,1.60497305190628e-15,9.31198442329209e-07,2.77016220785496e-42,455.373845422022
C16orf89,1.46112926328169e-31,540.720648471075,3891.2438234223,1139.8160432066,2.64498924359474e-34
CDH16,1.63871326577877e-16,0.47177581695618,3126.58993545621,7.92406180117772e-17,9.99227764707789e-48
IVL,69.0597733955495,2.07647156292578e-56,3.0936595298978e-40,2.47555873720358e-33,10546.2303734137
SP6,202.949877501139,4.21445994168815e-20,5.00338231561842e-16,1.61305488979793e-35,8395.37357781665
ZIC2,655.982563737808,1.29964104126269e-24,1.35546735039576e-33,208.195836567315,2191.25259221747
DHRS2,389.168181795743,1.14458181948806e-14,1.6730407966699e-24,15.1061022238493,2.19557675094822e-05
LRRN1,435.829407735876,1.61934190706117e-25,3.53365523168748e-24,8.34702556677046e-39,1.55965118838327e-50
CLDN5,2.16578463866265e-19,3275.20662116207,1.8022708163307e-22,2.89145818168136e-10,2.97190596397353e-26
POMC,41.4710285982611,1.23956847328918e-14,3.29904254356473e-12,7.32760725278377e-32,1110.20273728721
LAG3,1.44698770320649e-19,1.25023427844311e-26,2.79023112182555e-32,1.01618525001443e-30,3.90317180397543e-48
SPRR1A,2.1330007088061e-43,2.20245687400235e-31,1.27357971492184e-64,7.30853995470001e-40,16008.6117058723
WT1,542.082930084827,1939.11456891993,301.115412115536,1.01197103910309e-41,1.87310880117817e-67
FGF9,797.158294540478,0.0143731848002228,2.94360834620513e-35,8.79778251534688e-12,3838.52027288113
IGFBP6,1.52805047715265e-17,3050.11660319688,1354.58529451571,4.26852949138843e-34,4.47782033582673e-05
ORM1,3.05803091212637e-46,738.684865629622,1096.91617896779,1125.27665818956,0.00548915381040597
CYP4X1,529.91340851193,9.06994695567575e-31,805.500185618292,889.942010512763,464.449080328631
CTSE,1.08886034744282e-33,1.87367899644086e-61,0.0754636296363889,1.28091409266626e-14,110.363480377463
SCUBE2,488.507522848513,494.662446681956,0.00228942201157346,336.494066208341,1353.09488727298
TG,4.12329965429625e-11,6.32968051334979e-40,888.004609041671,7.14619600486148e-45,11966.279169482
TNXB,4.49427890811567e-30,2.63231406203599,3.34854236393024e-25,4.52375056713526e-08,1.33169332302824e-59
CLIC6,88.0943873566339,263.153244358823,0.0400854953587405,1393.26465206415,1057.86255518695
DSG3,149.942136510546,1.02949641335643e-78,1.30121044089486e-63,1.13519289670026e-28,5457.06208754454
LYNX1,82.0191120679345,2179.7703970914,4.39052675531195,314.011174499566,5320.49890274797
GLYATL2,220.08977938447,9.35454748430791e-10,2.95247167974032e-33,1649.86776881434,3.95220097421671e-11
HLA-DQB2,33.0329250476531,0.112845093864336,2.03606348098636e-18,99.0559420883757,1143.8718096752
PRELP,15.3575662338028,2944.4857211353,0.524016870873025,1.54701505968668e-14,2.42234873587104e-11
KRT81,1.04655860616484,0.700674581427166,864.155285832711,2.47921990268424e-33,3.44173438552044e-12
QPCT,0.00103740380681049,4.56773121209318e-26,8206.75066080713,6.46115106437414e-22,8813.31093535713
SERPINE1,13.7680160062014,1.59936949455828e-16,2.11658848503043e-16,6.9624671016711e-17,5993.70454284399
DLL3,21.4828834473245,5.53375398453709e-19,2.37525754454819e-51,1.10336433803717e-72,7.46143923484576e-102
SLC7A11,414.507535748474,3.33132430723116e-29,6103.06515703725,417.832733300497,4466.461998719
CST6,8.02198019474415e-35,3.98927514661696e-11,1.24263148976004e-33,3.39845267922536e-44,809.342714099639
ASCL1,9.342592480418e-09,4.43181795150617e-45,1.41932680280239e-73,7.08934036225152e-76,2.30919071630166e-137
PCSK6,289.661097295116,5.29419322282898e-12,9.45604023006988e-13,154.799457490726,1160.44286306469
DSCR6,0.000853238184760121,551.924548503276,2.28707686942245e-39,1006.57219358008,1.87074388548127e-57
GNG4,360.445571627563,2.07899014569853e-17,23.3650438303543,4.89537557416978e-38,3067.78410168645
LRP2,388.036977136128,530.097182024025,1245.08922557879,0.0102599500994564,1.35762890889047e-45
ATP1A2,470.436625672595,2.08722558300175e-14,1.84005992642795e-33,73.994065234542,1369.71977280905
CDC20B,136.053641168643,1.66240681108499e-15,1.40404162943887e-36,1421.76855769592,5.85381908021348e-57
RHCG,4.9047116023669e-27,3.68446625677404e-29,1.30013406723956e-49,3.79842765919079e-41,14902.1412050203
SLC1A3,899.550330354291,381.147803893386,4.31930412593452e-14,1.04688852896009e-13,2612.68475269497
SHC2,5.29973832770117e-14,1798.63833326722,3.62729690732612e-23,0.0418971456066529,8.4357302634723e-07
C3orf57,1.3144021612551e-37,1.29384386246886e-37,1.92056940697883e-12,2.19589987861262e-36,14442.6781925142
MST1,5.24386979975362e-07,3195.44824605541,1.21877030777067,522.301590256742,2.16024034228852e-22
NID2,3.13881574000265e-10,2.67258439070557e-17,0.00368909691900746,2.16484981296903e-20,3.33820056990398e-08
S100A7,2.24637726105128e-14,194.919665643392,1.79826939178269e-25,3.11294344370383e-15,7634.05799716258
TNFRSF18,116.945130843961,1760.80517907271,1.65361740787069e-30,247.585182016734,1416.3122920475
IFI27L2,6.81344077539236e-17,3137.96908320656,1.46534802344226e-09,6.72247219497909e-08,2.30345829842225e-08
VGF,216.967151281607,1.18659886255556,0.82658199933406,4.16310725283944e-72,0.31993064772469
APLP1,706.467858810116,604.595031437289,1.57703864194653e-27,2.96997704620516e-19,9.03516021761157e-29
C17orf72,8.92984901294176e-19,3.29133515720897e-06,5.86069864629364e-15,1562.42743594781,2.19399460904512e-60
DLX6AS,697.809814805355,2.17890614251422e-33,1.09016921851758e-45,1.79957608045233e-11,5.93309474420133e-05
BMP3,495.300648349139,1.1999843143419,2.52595001509998e-10,4.6416921636359e-42,2.39595086266064e-33
KRT6C,3.88543276571489e-35,1.69343577284158e-60,2.39464306156669e-63,1.25850222779227e-55,14327.8521548919
