S9,S8,S4,S6,S11,S5,S3,S7,S2,ITTH
TCGA.N7.A4Y5.01,0.000326364629673808,0.144025314645042,0.44486757157913,0.037476223654627,0.0366972107620034,0.336419402374833,3.17574854874834e-05,5.93556190452275e-05,9.67992501578355e-05,0.571036748865774
TCGA.N5.A4RM.01,0.451786209449978,0.327449749880302,0.0149775822122351,0.0733072068796617,0.01434107170645,4.68311154391551e-05,0.11608844010463,0.00089182300091484,0.00111108565038929,0.593550858655363
TCGA.N9.A4Q8.01,3.20239289057998e-06,0.169894638773941,2.26611272667851e-06,0.197037521365943,5.26789422027144e-06,1.14944513936418e-06,0.145277682197189,0.412648935941839,0.0751293358761103,0.665090242411665
TCGA.N9.A4Q7.01,2.17174260114681e-05,0.891436156038201,0,0.10729907706852,0,0.000124451884912595,0.000568232820065702,0,0.00055036476228889,0.16005657622955
TCGA.N6.A4VD.01,3.71082221504871e-05,0.0175039837778179,2.78115726143253e-06,0.0707902324273006,3.62974684682788e-05,0.0139798929139444,0.584080313103278,0.22993327768423,0.0836361132455489,0.536282953269771
TCGA.N5.A4RT.01,0.000418201795605897,0.10533325164084,0.0744425512240542,0.242355766562489,0.217508325794002,0.000524117512637935,0.312701404923368,0.000286921981903374,0.0464294585650993,0.737914100255409
TCGA.N9.A4Q1.01,0.0717002747168212,0.161917013731106,0.354710597172927,0.187981082972106,0.0562423883870151,0.128283260902809,0.0358073312388754,7.25068912905974e-06,0.00335080018921113,0.787033004672986
TCGA.N5.A4RD.01,0.0680732452826611,0.220043073219826,0.0893396226036914,0.169513689490299,0.0579670387149144,0.0331832040848271,0.336305217912482,0.0255674593493204,7.44934197806744e-06,0.806063764163363
TCGA.N8.A4PL.01,0.108874681989846,0.138706394078019,0.0239235268202083,0.473301732460895,0.0103932587181699,3.30532309017641e-05,0.194223248180876,0.0504802224490021,6.38820720817685e-05,0.671859146416932
TCGA.ND.A4WC.01,2.18015471590482e-06,0.00269735930907059,3.30939049086576e-06,0.0281764822219211,3.75040318125931e-05,1.05471636898915e-05,0.171889751350574,0.782129515407616,0.0150533509701088,0.307270628258807
TCGA.NF.A4X2.01,0.0399006374630929,0.213854593972968,1.83090884632689e-05,2.376951653629e-05,0.158797088244892,4.38784185107844e-06,0.565409747850985,0.0219912892239357,1.76797276171283e-07,0.526780656261771
TCGA.NF.A4WU.01,0.00826897743183792,0.0708336307735468,7.48975519963633e-06,0.674625059300415,1.68427594831275e-05,9.95637551177178e-05,0.0433636590133639,0.20247538614719,0.000309391063845446,0.435031752843948
TCGA.N8.A4PI.01,0.0303918681829167,0.0796288542125762,0.0394315380668453,1.45583530117864e-06,6.20385673533492e-07,6.98574154548358e-06,0.61006536804985,0.224831191552863,0.0156421179724292,0.517622182373658
TCGA.N8.A4PO.01,0.0226577981451799,0.0921946333368361,0.011320186739203,0.192463836102236,0.0437257646723097,0.00800138339448971,0.594575356194628,0.0151842985724125,0.0198767428427051,0.591447520403252
TCGA.NA.A4QY.01,4.85717341094434e-07,0.107523908091637,0.0199318343595881,0.420332873588209,0.0731046503690969,0.00398318899448833,0.339810719363192,0.0353111762998477,1.16321659973848e-06,0.628174481325013
TCGA.N5.A59E.01,0.0743410164441363,0.206788636993614,0.0117668002490543,0.350002958779048,0.356964679127616,4.19354379613107e-05,1.66376090716191e-06,7.79521956660949e-05,1.43570119957394e-05,0.595250880743905
TCGA.NA.A4QW.01,0.0503651874872442,0.031950429081798,1.51009706134359e-06,0.0778904442761739,1.00234478625092e-06,0.766075929921618,0.0715179412871978,0.00219692457355775,6.30930562950519e-07,0.39396468165988
TCGA.ND.A4W6.01,3.34664416253368e-07,0.378412876042233,0.191042308947866,0.00606502989404456,0.27706272397669,0.0371182229121165,1.1449423070845e-05,0.0654565934932801,0.044830460646283,0.687491059460254
TCGA.N8.A4PN.01,0.0297045840605374,0.000162563706941991,0.273735442735571,0.233329637753135,0.104068056061315,0.107935112735522,0.250648053409579,0.000349408526080622,6.71410113181595e-05,0.740070529885716
TCGA.N6.A4VG.01,1.27204483177369e-05,0.0211912574522841,2.85161335112656e-05,0.569098471454116,0.000155899427244548,0.001247382393528,0.358331052211418,0.0416489192596711,0.00828578121990897,0.433490526331355
TCGA.N8.A4PQ.01,0.0346235277026888,5.20431222019364e-07,0.174777071309401,0.120823593566875,0.301764190501138,0.041822680762151,0.278224943525865,6.34511849206297e-06,0.0479571270821678,0.761254822296381
TCGA.QN.A5NN.01,1.3447980450493e-05,0.282445529775628,4.25052328357735e-05,1.93750453213204e-05,0.366069156025005,1.38910722277563e-05,0.217644446614257,0.0804770420054445,0.0532746062488297,0.644810080745122
TCGA.N7.A4Y8.01,0.00254711290596091,0.796150496309685,0.0458446247521284,0.153834048849323,0.00062758038969417,0.000179904551405448,0.000714729868710018,5.05065659876738e-05,5.09958071053072e-05,0.290522975172117
TCGA.N5.A59F.01,0.00690436927047639,0.245725516577744,1.97011029494661e-05,0.403061891101343,0.0611154552679266,0.00773007224069724,0.176744208814294,0.0528780438505692,0.0458207417740002,0.708679766998931
TCGA.N5.A4RV.01,0.647404295044602,0.248387401285693,3.47954041654672e-08,5.10947289055053e-07,2.60851798585612e-07,1.32129154084204e-07,0.0849170778970035,0.00866000207190638,0.0106302849771486,0.421570130393858
TCGA.N7.A59B.01,0.0124339604819253,0.105894504781423,0.00472106827471872,0.0269013426968776,0.00031660123856401,0.00128590415989203,3.16647512877473e-05,0.000502968190011199,0.8479119854253,0.259423836993442
TCGA.N7.A4Y0.01,0.00284006945168393,0.346374432133151,0.00473235865772059,0.000860669438152348,0.000105042589974181,0.000423223811520643,0.627639246894112,1.74419566900766e-05,0.0170075150669954,0.355621192939351
TCGA.N6.A4VF.01,4.24605738350472e-07,0.0614210361722649,1.99511900745784e-06,5.43318552601925e-07,0.347846471077356,0.0189998137487075,0.509315113953246,6.00235493011061e-06,0.0624085996501973,0.514675317143777
TCGA.NA.A4R1.01,0.000408548497794945,0.00627360354162992,0.000105931011556463,0.000420589274651657,0.000238776258027096,2.69629991487944e-07,0.992423084197775,3.0408983484709e-07,0.000128893498738597,0.0227312256784543
TCGA.N5.A4RA.01,3.43140667776332e-05,0.221214806044385,0.674433344610539,2.30325936931231e-07,7.06177014951239e-08,3.75761188662121e-07,0.0308251055758565,0.0734899701213886,1.78287622564984e-06,0.409093550309844
TCGA.N9.A4Q3.01,0.0598989757040399,0.170874652116583,1.24616411598576e-06,0.670822990438388,0.0266625384926596,2.74833255731086e-06,3.08273660465306e-06,0.0717324284932132,1.33752183895815e-06,0.46608896135512
TCGA.NA.A4QV.01,0.00699675112544824,0.0492965286775721,0.0348545224680641,0.23061555332113,0.63885087483872,9.01127794075485e-09,0.0393855757010152,8.16304683089873e-08,1.03226303453742e-07,0.47880965874239
TCGA.N8.A4PM.01,2.03958386593625e-07,0.387263931098209,1.43756434743603e-07,0.364658556127108,0.0308555661277708,3.64515679731392e-08,6.36969453319558e-06,0.0634261254685113,0.153789067317478,0.594156644724673
TCGA.NG.A4VU.01,5.48302078379884e-08,0.0732096196613863,0.253089989775428,8.53516834015749e-07,1.81721898012107e-06,0.445265733551182,0.205732196303865,0.0226996707967595,6.43453563905538e-08,0.596512498789555
TCGA.N6.A4V9.01,0.190865826847898,9.90367390175884e-07,3.45335771250735e-05,7.02386960653711e-07,0.283657891527899,0.00858742337123228,5.35058626826313e-07,0.516851196149062,9.00713806136654e-07,0.480555807055628
TCGA.N9.A4PZ.01,0.0355567215282205,0.16519179867636,0.00911761340301121,0.136427350573517,0.221837380029769,2.16378876214736e-05,0.312282575932251,0.0797143779902537,0.0398505439789969,0.800306064776987
TCGA.NF.A4WX.01,0.00218855913099259,0.0898482188749713,0.0140071911816221,0.415104663935287,0.0850434798129023,0.00686077440101055,0.346583307689831,0.0403539446954574,9.8602779251707e-06,0.635047227846745
TCGA.N8.A4PP.01,0.0207455775825178,9.85156624359635e-07,0.0829477608835119,0.125672042285066,0.0895597150669917,1.44697611556268e-06,0.415616728366191,0.214986472071867,0.0504692716111149,0.732643812443939
TCGA.N9.A4Q4.01,0.0166175825517491,0.212218284829267,0.388749696240888,0.14490231797323,0.0519956812251646,0.166199862891772,0.0127230798879119,4.4881844734498e-07,0.00659304558156939,0.721314542704706
TCGA.NG.A4VW.01,2.92404255107432e-05,0.104957067953994,2.35486681850884e-05,0.0833252237593967,4.23251345596285e-06,0.00803885764509866,0.653648092849993,0.0975057978786207,0.0524679383057445,0.520017066796644
TCGA.N5.A4RN.01,0.00733448548055044,0.184103593502326,0.00312467038908602,0.0864837108512182,0.343098223512562,0.0196873346439406,0.35538680509795,0.000328632387241292,0.000452544135124976,0.635100497910907
TCGA.N6.A4VE.01,0.00895192612594944,0.0326854413441971,2.73065868445801e-07,0.185005881424354,0.238726292251273,4.35998581065921e-07,0.230178147997348,0.150266605462121,0.154184996330308,0.782510836826206
TCGA.NA.A4R0.01,0.239465636400734,0.0848971268571808,3.66889245189169e-05,0.608971422202207,9.00245626068394e-05,8.20270674719597e-05,7.45075433053645e-05,9.79612769908622e-06,0.0663727703142753,0.471750803712962
TCGA.QM.A5NM.01,6.3397340817535e-06,0.503787165799675,4.90766250144107e-05,4.44823882903599e-06,1.40906843085788e-05,1.10761080929902e-06,0.203157940432117,0.171784604363584,0.121195226511582,0.559041797800774
TCGA.N5.A4RF.01,0.0611966954488474,0.134991220270278,1.5856265118826e-06,9.69154797349659e-07,0.461508251381655,5.16742350217608e-07,0.134000058452236,0.0499902016287143,0.158310501294611,0.686815537797524
TCGA.NA.A5I1.01,9.86979822204387e-09,0.0078215589788815,0.0459113159917946,0.470341985598583,0.297838913638625,8.26127506011629e-09,0.143021883838914,0.0177544451665348,0.0173098786555938,0.598412547245301
