S9,S8,S4,S6,S11,S5,S3,S7,S2
HHIP,2.15055693216747e-50,8.66992394772486e-33,7.0031564883808e-27,2.14264033080573e-34,4.1323155716815e-32,0.0156581470563054,1942.60469055045,7.28978810554952e-43,1.50707220478242e-37
FSTL5,7027.07673563408,4.37416824093028e-12,4.00985613743682e-15,8.94651978409382e-13,2.49466351715403e-08,1.50175246782588e-17,1.67227484598534e-09,8.12410810139173e-32,8.42424738426353e-18
TSPAN8,1.70806899054474e-05,35.7025647665148,1.95818598158354e-25,228.927062207703,2.83301643815325e-22,1.67475153727493e-27,262.231316860526,1.07449453783251e-26,1.16000795987841e-28
FAM65C,2.41055797571105e-05,430.28641033788,4.38732314809707e-09,6.323517913292e-06,2062.49056305685,9.57653365693977,371.894309967267,9.12009490522316e-25,1.60290707170065e-25
ANO9,1.78542709832407e-16,154.985751075614,8.7614873336313e-39,166.533625467582,6.77297534882756e-22,5.34310168013431e-46,4.37304091202761e-25,4.29383143127284e-18,40.0183163670086
MYOZ2,2.4349130431913e-08,9.92591329583043e-06,2953.7132150178,7.57029935978319e-21,2.62687737221254e-20,5185.70938888302,1.2961709103283e-16,6.38015848400258e-23,1.61641241990158e-28
CD36,4728.78347215556,0.719609432139856,279.047445737656,1.86517263827704e-20,1.12050231825651e-21,874.961924126619,1.01508886725559e-17,9.03994642050852e-25,6.24930947365775e-16
CCL21,1.7597037069173e-26,1.8128172150896e-14,6.61235349583722e-32,4.20392750826427e-24,770.891172428637,19.8465983638302,244.738322882069,7.46688345070643e-19,71.2399813933798
SLC10A4,3.03985452331516e-24,8.22045444324649e-15,5.20632902813087e-28,3.68644442585744e-18,2.75712181075945e-30,6.00604687480894e-21,1133.79696027104,2.40559130298235e-11,209.289625648019
XIRP2,5.24851336705663e-20,0.000266072138687452,677.256328830607,3.95438410952572e-24,2.51384180719822e-23,5020.00880714392,1.67289196685165,1.93535229115399e-14,4.88924947683165e-32
KRT13,6.68078958461149e-29,3.44573624622423e-12,1453.75078664067,505.708714374518,818.300477502615,8.52971683592646e-07,0.000648309909165407,0.0556801216423043,380.417496640761
FGFBP2,4.30023153714278e-23,4.40077944043565e-15,5.55938543765628e-20,8.10566869665776e-20,3821.85666052925,2.84840034621007e-09,3.26357912198318e-18,0.142024340193838,1.0066248528474e-17
