S8,S7,S5,S2,S6,S3,ITTH
TCGA.VD.A8KM.01,0.000393981392845413,0.00261689848240506,0.0384949379404118,0.957674091499641,0.000136996581011087,0.000683094103685915,0.106961723812683
TCGA.V4.A9F4.01,0.417503127743239,0.11822736841434,0.0304625269650546,0.349588620144179,0.0790582927621756,0.00516006397101155,0.735963086460274
TCGA.WC.A881.01,0.336147485232908,0,0.247684351207395,0.237795690770535,0.0395549044716682,0.138817568317494,0.812367807299985
TCGA.V4.A9F1.01,0.189108184196443,0.0187195776652049,0.0319870736114479,0.138074659250812,0.508488908298069,0.113621596978024,0.761220257007497
TCGA.VD.AA8N.01,0.00011574854356958,0.0162087668733033,0.307198497004956,3.22507410080316e-05,0.614337771870536,0.0621069649666276,0.503791720875728
TCGA.V4.A9EY.01,4.58489247827815e-05,0.632402627186005,0.367182067989021,0.000146534419593025,0.000165561067403596,5.73604131947456e-05,0.369144017929808
TCGA.V4.A9EI.01,0.288947759453687,0.0848070939621758,0.00745878149849801,0.0522584169453262,0.440609700468388,0.125918247671925,0.770640056413563
TCGA.VD.AA8O.01,2.993540518097e-06,0.0325055637762792,0.0132639939670304,0.267298081346725,0.469640022155104,0.217289345214343,0.67423482130908
TCGA.WC.A880.01,0.195877857812348,0.101497817109116,0.113624108818213,0.58873769172628,0.00019613683452178,6.63876995211944e-05,0.621098283117755
TCGA.WC.A882.01,0.0812002518777953,0.35616425723645,0.217733986848078,0.000193763039269853,0.13252048384978,0.212187257148627,0.838246752932417
TCGA.VD.AA8P.01,0.264494832353371,0.0227977892672516,1.86835142797035e-06,0.0669295824632405,0.501586475640324,0.144189451924385,0.694455068187377
TCGA.WC.AA9E.01,0.477817619109266,0.0716858006259728,0.0336784285628008,0.262296892771724,0.0801368087739379,0.0743844501562983,0.782799220713104
TCGA.V4.A9F8.01,0.0328961684232722,0.236278682250184,0.0583600116025619,6.71768409868161e-05,0.642457532143453,0.0299404287395418,0.563116465454378
TCGA.VD.A8K9.01,0.44613756864283,0.189911538699639,5.2108727406824e-05,0.320537223612646,0.015155737700007,0.0282058226174716,0.672476279143163
