S8,S7,S5,S2,S6,S3
FAIM2,1.75383767523321e-16,260.560650936349,8.98779030606056e-11,1.30226954458789e-13,3.0826549079972e-16,5.31399187719834e-11
GFRA1,1252.55827077756,1.9006441517569,2.24401274165376e-15,5.96671545123518e-16,1.23724188150595e-07,599.446397330362
KCNV2,1.93439184413438e-20,172.273604947252,2.45658532978659e-11,3.42145585145993e-15,1.56227676499401e-19,1.52503840434618e-18
WIF1,8.3695421190551e-15,274.142773277153,8.28333664948869e-11,2.12949702901297e-12,1.14239676151855e-15,9.55239349649795e-13
CPE,159.188952073961,180.920989750209,184.666393121605,1.11764520688482e-10,4.47945405604526e-08,225.100055623326
KRT18,1188.01254984553,739.605946576822,379.782618204653,3.88290654214267e-13,0.00163539517990969,528.602534225206
PI16,8.07230552160725e-14,137.850379966382,0.000293747298462992,2.28728884694656e-12,0.0573139687317503,26.0484751701263
FCGR3A,1.68813520271743e-06,0.037536542684845,0.133999266073172,1.59477036718927e-06,1.22575448902193e-06,2.50821490031186e-05
CRX,3.25691612542627e-19,178.681270010849,5.21110067582248e-11,1.42827170649431e-14,7.22229949332622e-17,2.20954928150533e-17
GRIK3,774.335639888545,1.01850966203801e-06,1172.68525245104,945.374637441704,2.56837518189205e-17,0.00110368687401108
PTPRK,1402.91773267349,57.5002512296678,4.28848604910104e-09,170.205282394087,622.11287550935,4.35238212849735e-09
NEFL,3.64036184502396e-20,156.961873532934,1.85060709530919e-11,6.92609827656504e-17,7.02274447719347e-21,5.0926427557322e-15
TMPRSS13,4.42991411346053e-12,305.745885872105,3.23771850555638e-07,1813.65878855448,1.99019941163162e-09,1.18951642276072e-11
PDE6B,0.488247768623166,494.058269122312,57.5511772585636,0.00199490860848921,4.4862196158809e-08,3.65886100881337e-11
OAS1,511.52917093276,17.4932760584457,0.000461853259553896,1.12459030986730e-09,1.7460921837146e-06,0.0412570862114052
HPGD,724.208534980047,0.0304174692484437,905.820157324521,1457.39132369076,1.3853540212693e-15,7.62981863065023
CORO1A,2.81571721223732e-10,0.0143477905192871,136.801052533855,6.45325078639361e-06,2.203999609197e-07,0.000416033009010781
MAP1A,2.15107117957358e-10,172.855724327274,0.504090630084624,3.65029770023938e-09,365.619337312035,1404.4361717508
LY96,105.991431746815,216.293297751204,0.628372549678458,0.00105864276161541,390.576830334724,257.558890868875
CCL5,7.58850992940817e-13,3.23060406465672e-12,0.00959170257300993,9.86888076118997e-12,7.3602878456953e-08,6.20146018535276e-09
FXYD1,0.000738298601686833,2157.12646510465,1.2574897729858,0.0005069443179414,5.61343081915953e-13,672.211140789461
DPYSL3,0.0117712118876359,391.036201332263,497.319784031608,70.7421999895672,1.06766043440885,338.583433416846
CAPG,1.48005807589717e-05,720.432123830738,858.760740823992,19.6895598485618,0.0189949881723198,553.663111318983
CPAMD8,1.1683111339212e-08,656.236482412194,634.953679147667,3.09537004812522e-06,136.923545119706,242.175165652738
KRT8,825.476711058302,2140.78502300715,34.3324618336145,61.19036017165,214.208173853523,40.3618751825929
GBP4,2.94630150189541e-08,3.86841457283258e-13,3.28750655650944e-05,1.08735704661193e-12,5.36407218462271e-13,2.09717847044149e-12
C6orf142,1157.69944737756,1410.82199679781,1.82242825702088,1386.1612903349,0.610798663279892,4.21463383293532
