GeneID,B-cells
RP11-34P13.7,0.0028987254
FO538757.3,0.0049701193
FO538757.2,0.1837779
AP006222.2,0.05365675
RP4-669L17.10,0.015055375
RP5-857K21.4,0.0006729561
RP11-206L10.9,0.05232011
LINC00115,0.030335944
FAM41C,0.018346239
RP11-54O7.3,0.0
SAMD11,0.0012666605
NOC2L,0.52506185
KLHL17,0.012414039
PLEKHN1,0.010829774
PERM1,0.0
RP11-54O7.17,0.0019643854
HES4,0.05057137
ISG15,3.057081
AGRN,0.019668812
RP11-54O7.18,0.0
RNF223,0.0006903833
C1orf159,0.023952952
RP11-465B22.8,0.0015556866
TTLL10,0.0005145417
TNFRSF18,0.044594135
TNFRSF4,0.04244272
SDF4,0.5791833
B3GALT6,0.02760681
FAM132A,0.0
RP5-902P8.12,0.001871365
UBE2J2,0.2880044
SCNN1D,0.0
ACAP3,0.051979378
PUSL1,0.0796237
CPSF3L,0.33184218
CPTP,0.0962271
TAS1R3,0.00787197
DVL1,0.02227377
MXRA8,0.015379272
AURKAIP1,0.8653803
CCNL2,0.33640674
MRPL20,0.9380936
RP4-758J18.13,0.0032677324
ANKRD65,0.0054773157
RP4-758J18.7,0.0
RP4-758J18.10,0.0
VWA1,0.010204929
ATAD3C,0.011239473
ATAD3B,0.07035973
ATAD3A,0.04773312
TMEM240,0.0
SSU72,0.8647059
RP5-832C2.5,0.066924624
C1orf233,0.005557171
RP11-345P4.9,0.05658475
MIB2,0.1211468
MMP23B,0.004629514
CDK11B,0.2981035
RP11-345P4.10,0.0
SLC35E2B,0.1837369
RP11-345P4.7,0.0
CDK11A,0.3236523
SLC35E2,0.018096913
NADK,0.16639836
GNB1,0.36295408
RP1-140A9.1,0.005394877
CALML6,0.0
TMEM52,0.0
GABRD,0.0
PRKCZ,0.08622558
RP11-181G12.2,0.0
FAAP20,0.7801069
SKI,0.18128446
MORN1,0.01897196
RER1,0.5910011
PEX10,0.099195465
PLCH2,0.03519597
PANK4,0.042040393
HES5,0.0
RP3-395M20.12,0.30869722
RP3-395M20.8,0.062224556
TNFRSF14,1.226494
RP3-395M20.9,0.0127811935
FAM213B,0.040510572
MMEL1,0.002894302
TTC34,0.0059605734
LINC00982,0.00048464135
PRDM16,0.0
ARHGEF16,0.0018274836
MEGF6,0.011192876
RP11-46F15.2,0.0017874794
TPRG1L,0.058797013
WRAP73,0.20488326
TP73,0.006676796
TP73-AS1,0.06027444
SMIM1,0.03935207
LRRC47,0.17899807
CEP104,0.16854768
DFFB,0.037393264
C1orf174,0.18103251
LINC01134,0.0
AJAP1,0.0
RP11-154H17.1,0.0
NPHP4,0.0058664754
KCNAB2,0.18257587
RPL22,17.454988
RP1-120G22.11,0.0
RNF207,0.006982729
ICMT,0.098678835
LINC00337,0.003195202
GPR153,0.0012289584
ACOT7,0.02730817
RP1-202O8.3,0.008061119
HES2,0.0011828409
ESPN,0.002662327
TNFRSF25,0.024536954
PLEKHG5,0.009714362
NOL9,0.15150012
TAS1R1,0.0
ZBTB48,0.11062159
KLHL21,0.04865635
PHF13,0.035299126
THAP3,0.07441901
DNAJC11,0.08929227
RP11-242F24.1,0.0
RP11-312B8.1,0.0072159576
CAMTA1,0.5360817
RP4-549F15.1,0.0
VAMP3,0.17415449
PER3,0.023426443
RP3-467L1.4,0.0019784407
UTS2,0.020471063
TNFRSF9,0.016253125
PARK7,1.7356014
ERRFI1,0.11617826
RP11-431K24.1,0.0022168811
SLC45A1,0.006945965
RERE,0.4227913
RP5-1115A15.1,0.003268165
RP4-633I8.4,0.0025134177
ENO1,1.5398184
ENO1-AS1,0.01170942
CA6,0.0
SLC2A5,0.06829743
GPR157,0.04320144
MIR34AHG,0.0033423994
RP3-510D11.2,0.0034285495
H6PD,0.05423781
SPSB1,0.036275886
SLC25A33,0.3843175
TMEM201,0.021247493
PIK3CD,0.22547273
PIK3CD-AS1,0.004159353
PIK3CD-AS2,0.044692602
CLSTN1,0.19443235
CTNNBIP1,0.09595207
LZIC,0.16210087
NMNAT1,0.048511535
RBP7,0.0329379
UBE4B,0.12229178
KIF1B,0.06964472
PGD,0.28491226
RP4-736L20.3,0.0018412935
APITD1-CORT,0.0036605564
APITD1,0.01484586
CORT,0.0
DFFA,0.2424368
PEX14,0.09701819
CASZ1,0.04037735
RP4-734G22.3,0.005539798
C1orf127,0.00030277146
TARDBP,0.20162618
RP4-635E18.8,0.0035002292
SRM,0.116506584
EXOSC10,0.21450964
RP4-635E18.6,0.00042995816
MTOR,0.10575215
UBIAD1,0.22137602
PTCHD2,0.0022763673
RP1-69M21.2,0.0
FBXO2,0.032756813
FBXO44,0.2179251
FBXO6,0.1852688
MAD2L2,0.2831144
DRAXIN,0.008827056
AGTRAP,0.20657457
C1orf167,0.0054349867
MTHFR,0.17345922
CLCN6,0.121996805
NPPA-AS1,0.007124398
KIAA2013,0.073753804
PLOD1,0.030466868
MFN2,0.0922964
MIIP,0.3051823
TNFRSF8,0.004044872
TNFRSF1B,0.41859552
VPS13D,0.1268619
DHRS3,0.016355556
RP11-474O21.5,0.0
HNRNPCL1,0.0
PDPN,0.0017338251
PRDM2,1.4588944
KAZN,0.0021787796
TMEM51-AS1,0.0
TMEM51,0.007777817
FHAD1,0.0005275967
RP3-467K16.4,0.0
EFHD2,0.23620947
CTRC,0.0018688745
CELA2B,0.0
CASP9,0.13280508
DNAJC16,0.1282632
AGMAT,0.05805571
RP4-680D5.2,0.002537959
DDI2,0.123340994
PLEKHM2,0.11208154
SLC25A34,0.002391553
FBLIM1,0.015612479
UQCRHL,0.45830452
FLJ37453,0.13340072
SPEN,0.46289754
ZBTB17,0.14670596
C1orf64,0.0052918647
HSPB7,0.0
CLCNKA,0.0
CLCNKB,0.0
FAM131C,0.00027253397
EPHA2,0.0066445456
RP11-276H7.2,0.0
RP11-276H7.3,0.0
ARHGEF19,0.06343384
RSG1,0.013195266
FBXO42,0.17143294
SZRD1,0.581848
SPATA21,0.0
NECAP2,0.46043468
RP4-798A10.2,0.016202051
RP4-798A10.7,0.010470836
NBPF1,0.087716535
RP5-1182A14.7,0.0
CROCC,0.043655023
RP11-108M9.4,0.08677207
RP11-108M9.6,0.07137395
MFAP2,0.009687825
RP1-37C10.3,0.0
ATP13A2,0.03797159
SDHB,0.43987855
PADI2,0.01417443
PADI4,0.010584016
RCC2,0.1611361
ARHGEF10L,0.008720074
IGSF21,0.008488216
KLHDC7A,0.001389377
ALDH4A1,0.010230706
IFFO2,0.029358603
UBR4,0.31147656
RP1-43E13.2,0.04792647
EMC1,0.089635134
MRTO4,0.23553738
AKR7A3,0.002927496
AKR7A2,0.37411138
PQLC2,0.09977999
CAPZB,1.7541655
MINOS1,0.5465926
NBL1,0.020253025
HTR6,0.0
TMCO4,0.0942758
RNF186,0.0
RP11-91K11.2,0.0
OTUD3,0.03641883
PLA2G2A,0.014447961
PLA2G5,0.0
PLA2G2D,0.008116393
UBXN10-AS1,0.004210662
UBXN10,0.00056873885
RP4-745E8.2,0.0
CAMK2N1,0.010353284
MUL1,0.13209124
FAM43B,0.0
CDA,0.006703926
PINK1,0.02571403
PINK1-AS,0.0033464474
DDOST,0.58845633
KIF17,0.00046897485
HP1BP3,0.91839844
EIF4G3,0.22016586
ECE1,0.2551421
RP5-1071N3.1,0.054215744
NBPF3,0.022873668
ALPL,0.11311524
RAP1GAP,0.00040257504
USP48,0.4535337
LDLRAD2,0.0058476897
HSPG2,0.03569815
RP1-224A6.3,0.0021630733
LINC00339,0.119886525
CDC42,1.9433699
RP1-224A6.9,0.0
WNT4,0.0016003855
ZBTB40,0.12015385
C1QA,0.8104638
C1QC,0.75011784
C1QB,0.94422895
EPHB2,0.0049165837
C1orf234,0.0
KDM1A,0.07676729
LUZP1,0.16934115
LINC01355,0.031948153
HNRNPR,1.1332114
ZNF436,0.0278035
ZNF436-AS1,0.006108244
RP5-1057J7.7,0.0
TCEA3,0.020164829
ASAP3,0.0019655693
E2F2,0.004953015
ID3,2.6166048
MDS2,0.06889752
RPL11,62.99706
TCEB3,0.24788384
TCEB3-AS1,0.05398728
PITHD1,0.74450976
LYPLA2,0.32433003
GALE,0.07298253
HMGCL,0.12371204
FUCA1,0.100393236
CNR2,0.33474278
PNRC2,1.4841709
SRSF10,1.5815635
MYOM3,0.0
IL22RA1,0.0
IFNLR1,0.14613436
GRHL3,0.0
STPG1,0.023819795
NIPAL3,0.20495214
RCAN3,0.30045867
RP4-594I10.3,0.016229775
NCMAP,0.0056343023
SRRM1,2.031422
CLIC4,0.3060072
RUNX3,0.44879955
RP11-84D1.1,0.0012720847
RP11-84D1.2,0.0
RP4-799D16.1,0.0
SYF2,1.4234146
RSRP1,3.993744
RP3-465N24.6,0.0041403077
RHD,0.0061970656
TMEM50A,0.96806407
RHCE,0.0
TMEM57,0.24022375
LDLRAP1,0.047380745
RP11-70P17.1,0.0013650553
MAN1C1,0.0067465473
SEPN1,0.030588416
RP1-317E23.3,0.004951154
MTFR1L,0.098360784
AUNIP,0.0019970147
RP1-125I3.2,0.017309293
PAQR7,0.01597501
STMN1,0.8339922
PAFAH2,0.029814161
EXTL1,0.0
PDIK1L,0.031542093
FAM110D,0.0036619778
RP11-96L14.7,0.0006576653
ZNF593,0.53945464
CNKSR1,0.0137404185
CEP85,0.037372336
SH3BGRL3,7.1950665
UBXN11,0.21116154
CD52,14.140271
AIM1L,0.010283525
ZNF683,0.027873766
DHDDS,0.11729989
HMGN2,3.4135227
RPS6KA1,0.23849218
RP5-968P14.2,0.00141394
ARID1A,0.48100552
PIGV,0.06677614
ZDHHC18,0.042911887
SFN,0.026448186
GPN2,0.15604833
GPATCH3,0.22444339
NUDC,0.94728684
KDF1,0.020348893
TRNP1,0.002921944
FAM46B,0.009330115
SLC9A1,0.059351977
WDTC1,0.08083041
TMEM222,0.22108203
SYTL1,0.8685718
MAP3K6,0.03105141
FCN3,0.004072723
CD164L2,0.0026298068
GPR3,0.0002761533
WASF2,1.1813061
RP1-159A19.4,0.0
AHDC1,0.036695726
FGR,0.16267858
IFI6,1.5001296
FAM76A,0.13707305
STX12,0.43715572
PPP1R8,0.17360662
THEMIS2,0.452367
RPA2,0.65797913
SMPDL3B,0.009249775
XKR8,0.12571208
EYA3,0.09560498
PTAFR,0.09558773
DNAJC8,0.92185473
ATPIF1,1.3953875
RP5-1092A3.4,0.05273921
RP5-1092A3.5,0.001232136
SESN2,0.16837177
MED18,0.07229942
PHACTR4,0.2086784
RCC1,0.12145666
TRNAU1AP,0.29324293
SNHG12,1.3422562
TAF12,0.3764864
RAB42,0.007969791
RP11-442N24--B.1,0.026007827
RNU11,0.0077986433
GMEB1,0.19945978
YTHDF2,0.6263089
EPB41,0.42263314
TMEM200B,0.0013421478
SRSF4,0.8702008
MECR,0.061249007
PTPRU,0.009795113
MATN1,0.0366998
MATN1-AS1,0.15518098
LAPTM5,12.735687
RP5-1125N11.2,0.0010789179
SDC3,0.008699543
PUM1,0.44944292
NKAIN1,0.0
SNRNP40,0.50646895
ZCCHC17,0.32860854
FABP3,0.0033459244
SERINC2,0.047682516
LINC01226,0.0
RP11-73M7.1,0.0
TINAGL1,0.022964507
HCRTR1,0.0
PEF1,0.37166134
RP11-73M7.6,0.0017895304
RP11-73M7.9,0.0032416193
COL16A1,0.001912436
ADGRB2,0.0068940585
SPOCD1,0.0
RP11-84A19.4,0.0012638377
PTP4A2,0.6085331
KHDRBS1,1.1189437
RP11-277A4.4,0.0049144817
TMEM39B,0.10239906
KPNA6,0.2697942
TXLNA,0.113323234
CCDC28B,0.07929812
RP4-622L5.7,0.0030898321
IQCC,0.007869028
TMEM234,0.12452659
EIF3I,1.1256745
FAM167B,0.004603941
LCK,0.34195584
HDAC1,0.66556245
MARCKSL1,2.5032403
TSSK3,0.000519772
FAM229A,0.018795576
BSDC1,0.49395835
ZBTB8A,0.009950687
ZBTB8OS,0.44486088
RBBP4,0.71570396
SYNC,0.0389951
KIAA1522,0.021667603
YARS,0.22472736
S100PBP,0.21820126
FNDC5,0.0
HPCA,0.0
TMEM54,0.015837656
RNF19B,0.050114136
AK2,0.48106155
AZIN2,0.021350931
TRIM62,0.011977195
ZNF362,0.059088733
PHC2,0.023769267
ZSCAN20,0.007059425
SMIM12,0.35126296
GJB5,0.0
GJB4,0.0
GJB3,0.002781813
GJA4,0.016712343
DLGAP3,0.012589583
RP11-244H3.4,0.016566297
ZMYM6NB,0.13330339
ZMYM6,0.06120418
ZMYM1,0.054591797
SFPQ,1.9171048
ZMYM4,0.10722299
ZMYM4-AS1,0.0
KIAA0319L,0.13246295
NCDN,0.02127115
RP4-728D4.2,0.07909669
TFAP2E,0.0056461077
PSMB2,0.70759946
C1orf216,0.03302099
CLSPN,0.027372425
AGO4,0.043957002
AGO1,0.08055935
RP4-789D17.5,0.0005848775
AGO3,0.36419874
RP4-665N4.8,0.0
TEKT2,0.0
ADPRHL2,0.2620003
COL8A2,0.0016125963
TRAPPC3,0.43732205
MAP7D1,0.143676
THRAP3,1.2832264
SH3D21,0.0033527277
EVA1B,0.010109972
RP11-268J15.5,0.0021143528
STK40,0.1004264
LSM10,0.88373715
OSCP1,0.008134801
MRPS15,0.47820714
CSF3R,0.017207613
GRIK3,0.0
LINC01137,0.026129061
ZC3H12A,0.6004901
MEAF6,0.8783368
SNIP1,0.21659297
DNALI1,0.0069503766
GNL2,0.31509802
RSPO1,0.0
C1orf109,0.13729817
CDCA8,0.023469403
EPHA10,0.0001822786
MANEAL,0.0056974003
YRDC,0.07318344
C1orf122,0.1253664
MTF1,0.19489281
INPP5B,0.13271832
SF3A3,0.39901248
FHL3,0.041908547
UTP11L,0.180661
POU3F1,0.03205292
RP5-884C9.2,0.0009389379
RRAGC,0.25848123
