GeneID,CAFs
RP11-34P13.7,0.0016408123
FO538757.3,0.00064932794
FO538757.2,0.24538511
AP006222.2,0.11764308
RP4-669L17.10,0.0068609286
RP5-857K21.4,0.0043566558
RP11-206L10.9,0.036430947
LINC00115,0.018993692
FAM41C,0.012181045
RP11-54O7.3,0.015849171
SAMD11,0.14356402
NOC2L,0.30112478
KLHL17,0.012620982
PLEKHN1,0.013241985
PERM1,0.0007017414
RP11-54O7.17,0.03888024
HES4,0.7694111
ISG15,4.039433
AGRN,0.18842322
RP11-54O7.18,0.0
RNF223,0.0040097916
C1orf159,0.050712276
RP11-465B22.8,0.0022632633
TTLL10,0.0018043641
TNFRSF18,0.011120209
TNFRSF4,0.19806494
SDF4,1.7635252
B3GALT6,0.065667614
FAM132A,0.018097678
RP5-902P8.12,0.00033283205
UBE2J2,0.33256146
SCNN1D,0.012138938
ACAP3,0.1480174
PUSL1,0.09745458
CPSF3L,0.43572378
CPTP,0.1003607
TAS1R3,0.0
DVL1,0.11722903
MXRA8,6.751028
AURKAIP1,1.1693859
CCNL2,0.50131905
MRPL20,1.1914955
RP4-758J18.13,0.0037485042
ANKRD65,0.21496916
RP4-758J18.7,0.0010643143
RP4-758J18.10,0.005964831
VWA1,0.11122165
ATAD3C,0.017492382
ATAD3B,0.06919543
ATAD3A,0.09106007
TMEM240,0.01258173
SSU72,0.85086244
RP5-832C2.5,0.0322129
C1orf233,0.054764934
RP11-345P4.9,0.06983972
MIB2,0.14960237
MMP23B,0.85050464
CDK11B,0.19963688
RP11-345P4.10,0.0033397686
SLC35E2B,0.24260995
RP11-345P4.7,0.004709998
CDK11A,0.13262013
SLC35E2,0.023778172
NADK,0.12851217
GNB1,0.643379
RP1-140A9.1,0.005118313
CALML6,0.0003652816
TMEM52,0.005138902
GABRD,0.024534252
PRKCZ,0.0223126
RP11-181G12.2,0.0019608575
FAAP20,1.0330114
SKI,0.44017187
MORN1,0.036471408
RER1,1.3274498
PEX10,0.15569142
PLCH2,0.0007489569
PANK4,0.051104095
HES5,0.008197714
RP3-395M20.12,0.024664372
RP3-395M20.8,0.009425509
TNFRSF14,0.44944206
RP3-395M20.9,0.00071384077
FAM213B,0.034448687
MMEL1,0.00230536
TTC34,0.00287244
LINC00982,0.0017222643
PRDM16,0.004017937
ARHGEF16,0.0027364325
MEGF6,0.27095017
RP11-46F15.2,0.0005687384
TPRG1L,0.10907548
WRAP73,0.17533994
TP73,0.0017788141
TP73-AS1,0.10846161
SMIM1,0.047197096
LRRC47,0.20303993
CEP104,0.124559335
DFFB,0.03438509
C1orf174,0.25149438
LINC01134,0.00019609788
AJAP1,0.0064713405
RP11-154H17.1,0.0
NPHP4,0.038948476
KCNAB2,0.032090984
RPL22,10.440209
RP1-120G22.11,0.0015430704
RNF207,0.09976415
ICMT,0.2977123
LINC00337,0.00016511316
GPR153,0.14334156
ACOT7,0.07452872
RP1-202O8.3,0.0069937855
HES2,0.0028482166
ESPN,0.0028559635
TNFRSF25,0.010704037
PLEKHG5,0.025765829
NOL9,0.13271914
TAS1R1,0.0008217703
ZBTB48,0.10167163
KLHL21,0.17782353
PHF13,0.10765695
THAP3,0.17473945
DNAJC11,0.098969184
RP11-242F24.1,0.0011802757
RP11-312B8.1,0.0045328247
CAMTA1,0.9635404
RP4-549F15.1,0.0006752184
VAMP3,0.46617606
PER3,0.19392362
RP3-467L1.4,0.0004758082
UTS2,0.0018170832
TNFRSF9,0.020060856
PARK7,3.1970286
ERRFI1,0.95066077
RP11-431K24.1,0.017688826
SLC45A1,0.059142496
RERE,0.41631266
RP5-1115A15.1,0.0018784327
RP4-633I8.4,0.00022066197
ENO1,2.539509
ENO1-AS1,0.0038262368
CA6,3.0021618e-05
SLC2A5,0.054522943
GPR157,0.040602807
MIR34AHG,0.02964836
RP3-510D11.2,0.024093198
H6PD,0.42650595
SPSB1,0.32376555
SLC25A33,0.26926637
TMEM201,0.04022056
PIK3CD,0.02859953
PIK3CD-AS1,0.0010821188
PIK3CD-AS2,0.06273229
CLSTN1,0.55130106
CTNNBIP1,0.22328906
LZIC,0.30351025
NMNAT1,0.05905054
RBP7,0.029458558
UBE4B,0.14230226
KIF1B,0.28486532
PGD,0.426203
RP4-736L20.3,0.00015064614
APITD1-CORT,0.001494959
APITD1,0.026286598
CORT,0.0012540874
DFFA,0.25495908
PEX14,0.10530548
CASZ1,0.008091667
RP4-734G22.3,0.0
C1orf127,0.0
TARDBP,0.24026655
RP4-635E18.8,0.005687827
SRM,0.37255278
EXOSC10,0.19217004
RP4-635E18.6,0.0018430878
MTOR,0.08207705
UBIAD1,0.112114534
PTCHD2,0.0014482177
RP1-69M21.2,0.0
FBXO2,0.037899096
FBXO44,0.19575776
FBXO6,0.13762268
MAD2L2,0.35364586
DRAXIN,0.005127938
AGTRAP,0.7491972
C1orf167,0.045282368
MTHFR,0.15481056
CLCN6,0.10712939
NPPA-AS1,0.0019640503
KIAA2013,0.188382
PLOD1,0.7781646
MFN2,0.12680545
MIIP,0.30579594
TNFRSF8,0.010345411
TNFRSF1B,0.08529422
VPS13D,0.16335773
DHRS3,0.26329854
RP11-474O21.5,0.002316825
HNRNPCL1,0.0005855647
PDPN,0.99060494
PRDM2,0.44889557
KAZN,0.15800045
TMEM51-AS1,0.002246976
TMEM51,0.08967646
FHAD1,0.22151764
RP3-467K16.4,0.00060323713
EFHD2,0.16295289
CTRC,0.00013185649
CELA2B,0.0017113159
CASP9,0.055401556
DNAJC16,0.09363359
AGMAT,0.011487866
RP4-680D5.2,0.0012988041
DDI2,0.121252075
PLEKHM2,0.20562664
SLC25A34,0.0072499937
FBLIM1,0.51545644
UQCRHL,0.32616535
FLJ37453,0.08746803
SPEN,0.31095928
ZBTB17,0.11682419
C1orf64,0.008774703
HSPB7,0.023816735
CLCNKA,0.0010385778
CLCNKB,0.00029819194
FAM131C,0.00040039085
EPHA2,0.042939328
RP11-276H7.2,0.014120322
RP11-276H7.3,0.003041736
ARHGEF19,0.06837049
RSG1,0.012075544
FBXO42,0.17973971
SZRD1,0.5231363
SPATA21,0.0025280109
NECAP2,0.4087468
RP4-798A10.2,0.007571281
RP4-798A10.7,0.009043072
NBPF1,0.29648602
RP5-1182A14.7,0.0
CROCC,0.27440175
RP11-108M9.4,0.09608635
RP11-108M9.6,0.023739293
MFAP2,4.7244
RP1-37C10.3,0.0022623858
ATP13A2,0.07312359
SDHB,0.53631115
PADI2,0.001861516
PADI4,0.0
RCC2,0.2128486
ARHGEF10L,0.08102313
IGSF21,0.0030337283
KLHDC7A,0.00094554096
ALDH4A1,0.016499478
IFFO2,0.03859712
UBR4,0.31795967
RP1-43E13.2,0.0480545
EMC1,0.20134443
MRTO4,0.2354155
AKR7A3,0.0057127774
AKR7A2,0.8258348
PQLC2,0.12536114
CAPZB,3.0682592
MINOS1,1.5353357
NBL1,2.4855356
HTR6,0.0
TMCO4,0.09041887
RNF186,0.0
RP11-91K11.2,0.0
OTUD3,0.04738098
PLA2G2A,2.3911047
PLA2G5,0.109298736
PLA2G2D,0.0056925574
UBXN10-AS1,0.042973187
UBXN10,0.015738184
RP4-745E8.2,0.0
CAMK2N1,0.32813063
MUL1,0.2169475
FAM43B,0.018481804
CDA,0.009937942
PINK1,0.22973265
PINK1-AS,0.008510827
DDOST,1.4135808
KIF17,0.0048573576
HP1BP3,1.4577792
EIF4G3,0.316319
ECE1,0.3941988
RP5-1071N3.1,0.0008058132
NBPF3,0.036532465
ALPL,0.31261402
RAP1GAP,0.0057433085
USP48,0.37139198
LDLRAD2,0.00688745
HSPG2,1.7955697
RP1-224A6.3,0.001079058
LINC00339,0.10771595
CDC42,1.8768952
RP1-224A6.9,0.00016436982
WNT4,0.009448551
ZBTB40,0.0778447
C1QA,0.12607606
C1QC,0.13620782
C1QB,0.1403687
EPHB2,0.09622439
C1orf234,0.0
KDM1A,0.158215
LUZP1,0.60672337
LINC01355,0.029461605
HNRNPR,1.1871032
ZNF436,0.13749437
ZNF436-AS1,0.053002253
RP5-1057J7.7,0.0
TCEA3,0.24116951
ASAP3,0.17775755
E2F2,0.0002391746
ID3,9.652081
MDS2,0.00078352896
RPL11,32.42747
TCEB3,0.21296787
TCEB3-AS1,0.04391214
PITHD1,0.55703694
LYPLA2,0.26466796
GALE,0.061195772
HMGCL,0.22563918
FUCA1,0.26524472
CNR2,0.00053474185
PNRC2,0.97868985
SRSF10,1.0917271
MYOM3,0.001900635
IL22RA1,0.0004248379
IFNLR1,0.0028782832
GRHL3,0.0011563282
STPG1,0.043166388
NIPAL3,0.06771167
RCAN3,0.046334587
RP4-594I10.3,0.00862018
NCMAP,0.0003657152
SRRM1,1.3771906
CLIC4,1.0560014
RUNX3,0.038723722
RP11-84D1.1,0.0
RP11-84D1.2,0.0
RP4-799D16.1,0.0
SYF2,1.0765367
RSRP1,2.3352995
RP3-465N24.6,0.0016894777
RHD,8.1651466e-05
TMEM50A,2.4334455
RHCE,0.0031246517
TMEM57,0.24558543
LDLRAP1,0.09505638
RP11-70P17.1,0.0012290371
MAN1C1,0.19095498
SEPN1,0.32234547
RP1-317E23.3,0.0060916194
MTFR1L,0.3024274
AUNIP,0.00030797458
RP1-125I3.2,0.002615453
PAQR7,0.075112164
STMN1,0.5500767
PAFAH2,0.031397767
EXTL1,0.011180188
PDIK1L,0.038095806
FAM110D,0.0025522464
RP11-96L14.7,0.0018215963
ZNF593,0.4259112
CNKSR1,0.012093452
CEP85,0.013362721
SH3BGRL3,4.192682
UBXN11,0.07873608
CD52,0.11331617
AIM1L,0.0014447613
ZNF683,0.008613523
DHDDS,0.13853706
HMGN2,3.6267104
RPS6KA1,0.008322729
RP5-968P14.2,0.0039078663
ARID1A,0.28911585
PIGV,0.12420338
ZDHHC18,0.05731989
SFN,0.022977082
GPN2,0.11760045
GPATCH3,0.08005617
NUDC,1.0917919
KDF1,0.0030471797
TRNP1,0.011836493
FAM46B,0.013532587
SLC9A1,0.16257374
WDTC1,0.122213386
TMEM222,0.3878872
SYTL1,0.01738579
MAP3K6,0.12682426
FCN3,0.0009954771
CD164L2,0.0005667711
GPR3,0.0008705614
WASF2,1.9016196
RP1-159A19.4,4.7146656e-05
AHDC1,0.26654553
FGR,0.0051758327
IFI6,5.906118
FAM76A,0.13930604
STX12,0.554666
PPP1R8,0.17552395
THEMIS2,0.030155556
RPA2,0.48643294
