GeneID,Endothelial
RP11-34P13.7,0.0039663487
FO538757.3,0.0028496964
FO538757.2,0.24824755
AP006222.2,0.11705676
RP4-669L17.10,0.0030530225
RP5-857K21.4,0.004682995
RP11-206L10.9,0.035549194
LINC00115,0.036898732
FAM41C,0.010401381
RP11-54O7.3,0.0004711522
SAMD11,0.010519097
NOC2L,0.3166301
KLHL17,0.01495756
PLEKHN1,0.009249343
PERM1,0.00052803755
RP11-54O7.17,0.02840931
HES4,0.5822602
ISG15,3.339906
AGRN,0.5054608
RP11-54O7.18,0.0
RNF223,0.0019625656
C1orf159,0.07690517
RP11-465B22.8,0.0006782403
TTLL10,0.05140587
TNFRSF18,0.065898664
TNFRSF4,1.2999661
SDF4,1.5870156
B3GALT6,0.08267353
FAM132A,0.08396963
RP5-902P8.12,0.0006565049
UBE2J2,0.41630417
SCNN1D,0.008289629
ACAP3,0.11829126
PUSL1,0.06949677
CPSF3L,0.5334101
CPTP,0.27591535
TAS1R3,0.0005953099
DVL1,0.12100331
MXRA8,0.08016141
AURKAIP1,1.4070367
CCNL2,0.68860763
MRPL20,1.2713158
RP4-758J18.13,0.008709163
ANKRD65,0.24356328
RP4-758J18.7,0.0014798373
RP4-758J18.10,0.04905097
VWA1,2.2946525
ATAD3C,0.06702234
ATAD3B,0.1055263
ATAD3A,0.10516724
TMEM240,0.0033174763
SSU72,0.9157206
RP5-832C2.5,0.037244547
C1orf233,0.00261263
RP11-345P4.9,0.043336555
MIB2,0.18610923
MMP23B,0.010744889
CDK11B,0.23609611
RP11-345P4.10,0.0037390948
SLC35E2B,0.17963803
RP11-345P4.7,0.00088621693
CDK11A,0.18332535
SLC35E2,0.019239776
NADK,0.22497734
GNB1,1.0461342
RP1-140A9.1,0.0011515496
CALML6,0.0002903344
TMEM52,0.0039474843
GABRD,0.18160543
PRKCZ,0.026141776
RP11-181G12.2,0.006459271
FAAP20,0.92311376
SKI,0.49212584
MORN1,0.015826564
RER1,0.9913903
PEX10,0.16844742
PLCH2,0.0005004075
PANK4,0.052428912
HES5,0.022259617
RP3-395M20.12,0.062211934
RP3-395M20.8,0.03781253
TNFRSF14,0.7396978
RP3-395M20.9,0.00610508
FAM213B,0.2191371
MMEL1,0.033230923
TTC34,0.0024529484
LINC00982,0.06286156
PRDM16,0.06193484
ARHGEF16,0.0013423236
MEGF6,0.10250971
RP11-46F15.2,0.0002263755
TPRG1L,0.150748
WRAP73,0.22140494
TP73,0.0005968644
TP73-AS1,0.0828668
SMIM1,0.006031696
LRRC47,0.24409503
CEP104,0.19952373
DFFB,0.033703927
C1orf174,0.21465012
LINC01134,0.0019169766
AJAP1,0.0035017598
RP11-154H17.1,0.0
NPHP4,0.04563115
KCNAB2,0.038517747
RPL22,11.424305
RP1-120G22.11,0.0010807605
RNF207,0.0405495
ICMT,0.33710507
LINC00337,0.00026754686
GPR153,0.004406397
ACOT7,0.17809789
RP1-202O8.3,0.010301042
HES2,0.009996925
ESPN,0.004536736
TNFRSF25,0.13574293
PLEKHG5,0.17111105
NOL9,0.15390126
TAS1R1,0.0018312291
ZBTB48,0.10625475
KLHL21,0.10095389
PHF13,0.06347042
THAP3,0.1252143
DNAJC11,0.11993541
RP11-242F24.1,0.00031452114
RP11-312B8.1,0.010387267
CAMTA1,1.4127989
RP4-549F15.1,0.017495077
VAMP3,1.0331511
PER3,0.1215405
RP3-467L1.4,0.0013298035
UTS2,0.002574039
TNFRSF9,0.009692882
PARK7,2.704015
ERRFI1,0.49134701
RP11-431K24.1,0.0051349592
SLC45A1,0.06507339
RERE,0.6520134
RP5-1115A15.1,0.0016377433
RP4-633I8.4,0.0013968246
ENO1,2.6814628
ENO1-AS1,0.009204374
CA6,0.0
SLC2A5,0.0028402803
GPR157,0.029169844
MIR34AHG,0.01150281
RP3-510D11.2,0.008261163
H6PD,0.31603563
SPSB1,0.1944514
SLC25A33,0.25886282
TMEM201,0.04515118
PIK3CD,0.011816867
PIK3CD-AS1,0.0
PIK3CD-AS2,0.0059561343
