GeneID,Myeloid
RP11-34P13.7,0.0015171
FO538757.3,0.001026983
FO538757.2,0.25918087
AP006222.2,0.08156459
RP4-669L17.10,0.004644825
RP5-857K21.4,0.0037276163
RP11-206L10.9,0.043640744
LINC00115,0.039320383
FAM41C,0.022478124
RP11-54O7.3,0.0
SAMD11,0.0013632968
NOC2L,0.2163014
KLHL17,0.015427321
PLEKHN1,0.007563692
PERM1,0.0008495636
RP11-54O7.17,0.09989592
HES4,0.44705787
ISG15,6.9814672
AGRN,0.09283315
RP11-54O7.18,0.0011187637
RNF223,0.0011515053
C1orf159,0.035526928
RP11-465B22.8,0.00089123903
TTLL10,0.0006637781
TNFRSF18,0.03209152
TNFRSF4,0.12202391
SDF4,1.1217835
B3GALT6,0.065792345
FAM132A,0.0032936642
RP5-902P8.12,0.00032681986
UBE2J2,0.30069736
SCNN1D,0.0074942447
ACAP3,0.065754
PUSL1,0.09678437
CPSF3L,0.25239518
CPTP,0.094275035
TAS1R3,0.0005599557
DVL1,0.040798627
MXRA8,0.01213916
AURKAIP1,1.4338753
CCNL2,0.23429176
MRPL20,1.2187424
RP4-758J18.13,0.0030831017
ANKRD65,0.015107838
RP4-758J18.7,0.0001423092
RP4-758J18.10,0.00023549152
VWA1,0.011914249
ATAD3C,0.008409463
ATAD3B,0.069811486
ATAD3A,0.07644101
TMEM240,0.0006799775
SSU72,0.91084045
RP5-832C2.5,0.039220683
C1orf233,0.02957339
RP11-345P4.9,0.032620925
MIB2,0.09951732
MMP23B,0.012365513
CDK11B,0.24755095
RP11-345P4.10,0.0040133432
SLC35E2B,0.10025569
RP11-345P4.7,0.00065919105
CDK11A,0.24519908
SLC35E2,0.009895175
NADK,0.39903927
GNB1,0.9592239
RP1-140A9.1,0.0011906989
CALML6,0.00018975431
TMEM52,0.0034480554
GABRD,0.000412648
PRKCZ,0.020674057
RP11-181G12.2,0.0012903326
FAAP20,0.98609066
SKI,0.2984026
MORN1,0.007725293
RER1,1.2753727
PEX10,0.11810422
PLCH2,0.00088781165
PANK4,0.030307775
HES5,0.0032209968
RP3-395M20.12,0.16186811
RP3-395M20.8,0.02835778
TNFRSF14,1.0447754
RP3-395M20.9,0.0044711153
FAM213B,0.06495939
MMEL1,0.0115249455
TTC34,0.0016508757
LINC00982,0.0010501378
PRDM16,0.0010735557
ARHGEF16,0.0030563183
MEGF6,0.025740957
RP11-46F15.2,0.00050605077
TPRG1L,0.09518732
WRAP73,0.1250793
TP73,0.0035441737
TP73-AS1,0.034337033
SMIM1,0.034712218
LRRC47,0.15722178
CEP104,0.12693372
DFFB,0.027110843
C1orf174,0.1846109
LINC01134,0.0023126241
AJAP1,0.00088335923
RP11-154H17.1,0.0
NPHP4,0.025724864
KCNAB2,0.47150272
RPL22,9.504434
RP1-120G22.11,0.00030943265
RNF207,0.005058168
ICMT,0.1597914
LINC00337,0.0016158697
GPR153,0.009676671
ACOT7,0.17700903
RP1-202O8.3,0.003799089
HES2,0.0014996409
ESPN,0.0008593097
TNFRSF25,0.027087532
PLEKHG5,0.016320148
NOL9,0.07283
TAS1R1,1.6090788e-05
ZBTB48,0.096516035
KLHL21,0.116862476
PHF13,0.02238284
THAP3,0.07664025
DNAJC11,0.0877134
RP11-242F24.1,6.9618545e-05
RP11-312B8.1,0.0035256725
CAMTA1,0.93984264
RP4-549F15.1,0.0
VAMP3,0.7201521
PER3,0.12115954
RP3-467L1.4,0.0020651517
UTS2,0.031937912
TNFRSF9,0.07205381
PARK7,2.474092
ERRFI1,0.28530058
RP11-431K24.1,0.0034660401
SLC45A1,0.004049156
RERE,0.30163726
RP5-1115A15.1,0.00084132096
RP4-633I8.4,0.00012823718
ENO1,3.7663257
ENO1-AS1,0.0071201045
CA6,0.0
SLC2A5,0.12252258
GPR157,0.13566428
MIR34AHG,0.022553578
RP3-510D11.2,0.009130411
H6PD,0.11995212
SPSB1,0.023116948
SLC25A33,0.31410125
TMEM201,0.02539646
PIK3CD,0.18658422
PIK3CD-AS1,0.005978983
PIK3CD-AS2,0.0075011817
CLSTN1,0.19392928
CTNNBIP1,0.40152982
LZIC,0.28093073
NMNAT1,0.05221164
RBP7,0.20874819
UBE4B,0.12860323
KIF1B,0.31156138
PGD,1.0559156
RP4-736L20.3,0.00033591868
APITD1-CORT,0.0017883169
APITD1,0.011663906
CORT,0.00020596207
DFFA,0.17625777
PEX14,0.057660274
CASZ1,0.017613506
RP4-734G22.3,0.0
C1orf127,0.008369409
TARDBP,0.23443408
RP4-635E18.8,0.005129698
SRM,0.21259744
EXOSC10,0.16628374
RP4-635E18.6,0.0051043425
