GeneID,Normal Epithelial
RP11-34P13.7,0.0019011915
FO538757.3,0.004955183
FO538757.2,0.19722392
AP006222.2,0.049934134
RP4-669L17.10,0.0074993568
RP5-857K21.4,0.0034739398
RP11-206L10.9,0.041780047
LINC00115,0.020681925
FAM41C,0.00827969
RP11-54O7.3,0.0006279263
SAMD11,0.01350948
NOC2L,0.45752364
KLHL17,0.010420708
PLEKHN1,0.058399722
PERM1,0.026531477
RP11-54O7.17,0.018258745
HES4,0.8116363
ISG15,0.4758456
AGRN,0.27965617
RP11-54O7.18,0.000637834
RNF223,0.21731614
C1orf159,0.080551066
RP11-465B22.8,0.0162136
TTLL10,0.0037765796
TNFRSF18,0.046094377
TNFRSF4,0.009419324
SDF4,0.97455597
B3GALT6,0.040945347
FAM132A,0.030395979
RP5-902P8.12,0.0006075072
UBE2J2,0.37339628
SCNN1D,0.009108197
ACAP3,0.07631069
PUSL1,0.11316178
CPSF3L,0.56016994
CPTP,0.18022269
TAS1R3,0.0006145282
DVL1,0.07476062
MXRA8,0.675825
AURKAIP1,1.5082381
CCNL2,0.39021555
MRPL20,1.3215249
RP4-758J18.13,0.005028952
ANKRD65,0.21197684
RP4-758J18.7,0.001091998
RP4-758J18.10,0.039324127
VWA1,0.23473653
ATAD3C,0.11959142
ATAD3B,0.09884797
ATAD3A,0.08699157
TMEM240,0.003439252
SSU72,1.1422291
RP5-832C2.5,0.05104106
C1orf233,0.014747896
RP11-345P4.9,0.06998726
MIB2,0.17313008
MMP23B,0.0072441786
CDK11B,0.16519275
RP11-345P4.10,0.0016483053
SLC35E2B,0.17245209
RP11-345P4.7,0.0033350126
CDK11A,0.10146817
SLC35E2,0.014568031
NADK,0.112824365
GNB1,0.33854792
RP1-140A9.1,0.0034862102
CALML6,0.00029219204
TMEM52,0.017964385
GABRD,0.0009843947
PRKCZ,0.14521264
RP11-181G12.2,0.002156772
FAAP20,0.96981126
SKI,0.22796074
MORN1,0.082473904
RER1,0.9120058
PEX10,0.2202906
PLCH2,0.06565289
PANK4,0.0292654
HES5,0.00014045824
RP3-395M20.12,0.045735832
RP3-395M20.8,0.02508272
TNFRSF14,0.47328857
RP3-395M20.9,0.0011647744
FAM213B,0.14086871
MMEL1,0.11281267
TTC34,0.009530868
LINC00982,2.6401123e-05
PRDM16,0.004400746
ARHGEF16,0.059098125
MEGF6,0.061100125
RP11-46F15.2,0.0009984605
TPRG1L,0.103192545
WRAP73,0.14685433
TP73,0.027705807
TP73-AS1,0.11186221
SMIM1,0.15747045
LRRC47,0.28431374
CEP104,0.19512153
DFFB,0.018919436
C1orf174,0.22856043
LINC01134,0.004213549
AJAP1,0.002931358
RP11-154H17.1,0.0
NPHP4,0.024929848
KCNAB2,0.009919137
RPL22,15.388554
RP1-120G22.11,0.006929902
RNF207,0.051782463
ICMT,0.15134278
LINC00337,0.0003190955
GPR153,0.0036744997
ACOT7,0.07762539
RP1-202O8.3,0.011748246
HES2,0.02383923
ESPN,0.10235259
TNFRSF25,0.020087171
PLEKHG5,0.027085423
NOL9,0.13831685
TAS1R1,0.002049529
ZBTB48,0.13294819
KLHL21,0.3113769
PHF13,0.17308909
THAP3,0.106241055
DNAJC11,0.11794944
RP11-242F24.1,1.4789839e-05
RP11-312B8.1,0.015111587
CAMTA1,1.2676785
RP4-549F15.1,0.0
VAMP3,0.43983558
PER3,0.11162996
RP3-467L1.4,0.000267499
UTS2,0.0007283598
TNFRSF9,0.0020948001
PARK7,3.0540054
ERRFI1,2.2206025
RP11-431K24.1,0.036904275
SLC45A1,0.010380402
RERE,0.5711666
RP5-1115A15.1,0.0008121621
RP4-633I8.4,0.00038790167
ENO1,3.4776049
ENO1-AS1,0.016355593
CA6,0.010646322
SLC2A5,0.00051186705
GPR157,0.07616232
MIR34AHG,0.012415373
RP3-510D11.2,0.029075384
H6PD,0.15223254
SPSB1,0.21842885
SLC25A33,0.6589092
TMEM201,0.034060825
PIK3CD,0.023802498
PIK3CD-AS1,0.0
PIK3CD-AS2,0.112546116
CLSTN1,0.41030574
CTNNBIP1,0.31943628
LZIC,0.25513208
NMNAT1,0.053263914
RBP7,0.21331319
UBE4B,0.13567977
KIF1B,0.23463558
PGD,0.42749634
RP4-736L20.3,0.0
APITD1-CORT,0.0015659028
APITD1,0.019430507
CORT,5.050503e-05
DFFA,0.32741028
PEX14,0.12699138
CASZ1,0.25877753
RP4-734G22.3,0.0036657918
C1orf127,0.0
TARDBP,0.20807195
RP4-635E18.8,0.0060534035
SRM,0.28107888
EXOSC10,0.26428226
RP4-635E18.6,0.009731409
MTOR,0.115421414
UBIAD1,0.24027868
PTCHD2,0.0015731095
RP1-69M21.2,4.931831e-05
FBXO2,0.7225599
FBXO44,0.23886485
FBXO6,0.093250416
MAD2L2,0.41070524
DRAXIN,0.014756485
AGTRAP,0.56422436
C1orf167,0.009891737
MTHFR,0.12076971
CLCN6,0.059719425
NPPA-AS1,0.0022366068
KIAA2013,0.115261555
PLOD1,0.2823672
MFN2,0.1430355
MIIP,0.21541351
TNFRSF8,0.00024301106
TNFRSF1B,0.04546694
VPS13D,0.18106793
DHRS3,0.24872355
RP11-474O21.5,0.00096439023
HNRNPCL1,0.0002740364
PDPN,0.14795706
PRDM2,0.33133703
KAZN,0.119381554
TMEM51-AS1,0.010735262
TMEM51,0.16912554
FHAD1,0.012678312
RP3-467K16.4,0.0003930324
EFHD2,0.09783155
CTRC,0.0
CELA2B,0.0
CASP9,0.04399461
DNAJC16,0.09819267
AGMAT,0.0073743113
RP4-680D5.2,0.00400907
DDI2,0.1613133
PLEKHM2,0.07584197
SLC25A34,0.0047671245
FBLIM1,0.4366945
UQCRHL,0.57862395
