GeneID,PVL
RP11-34P13.7,0.00029177347
FO538757.3,0.0
FO538757.2,0.24510214
AP006222.2,0.1849326
RP4-669L17.10,0.0029279455
RP5-857K21.4,0.009771583
RP11-206L10.9,0.088270426
LINC00115,0.03870924
FAM41C,0.026989944
RP11-54O7.3,0.0020401818
SAMD11,0.0067635393
NOC2L,0.33084893
KLHL17,0.016127598
PLEKHN1,0.008237076
PERM1,0.008756846
RP11-54O7.17,0.09142578
HES4,2.6764739
ISG15,4.509925
AGRN,0.43732455
RP11-54O7.18,0.0
RNF223,0.002317337
C1orf159,0.04937881
RP11-465B22.8,0.0004142884
TTLL10,0.0006647456
TNFRSF18,0.0037277662
TNFRSF4,0.03797296
SDF4,1.0961953
B3GALT6,0.04611839
FAM132A,0.006863417
RP5-902P8.12,0.0021686824
UBE2J2,0.38784942
SCNN1D,0.0054323636
ACAP3,0.14529422
PUSL1,0.09125534
CPSF3L,0.50629604
CPTP,0.12156237
TAS1R3,0.00013169531
DVL1,0.079558045
MXRA8,1.2832583
AURKAIP1,1.4158022
CCNL2,0.5365196
MRPL20,1.2838123
RP4-758J18.13,0.0006319775
ANKRD65,0.026050583
RP4-758J18.7,0.0
RP4-758J18.10,0.002746494
VWA1,0.10951567
ATAD3C,0.0049843416
ATAD3B,0.0662034
ATAD3A,0.0842452
TMEM240,0.0071915155
SSU72,0.8246478
RP5-832C2.5,0.034787606
C1orf233,0.0031323424
RP11-345P4.9,0.04961052
MIB2,0.15550019
MMP23B,0.032876097
CDK11B,0.19594486
RP11-345P4.10,0.004446119
SLC35E2B,0.18671398
RP11-345P4.7,0.0015508068
CDK11A,0.14105348
SLC35E2,0.008473769
NADK,0.17255752
GNB1,0.596945
RP1-140A9.1,0.0010490919
CALML6,0.0052913474
TMEM52,0.010200735
GABRD,0.2928917
PRKCZ,0.018027242
RP11-181G12.2,0.0018688394
FAAP20,1.0896229
SKI,0.3573345
MORN1,0.045145582
RER1,1.1072807
PEX10,0.15851502
PLCH2,0.000976964
PANK4,0.10400348
HES5,0.081780985
RP3-395M20.12,0.27239388
RP3-395M20.8,0.0056935106
TNFRSF14,0.3520193
RP3-395M20.9,0.0039448817
FAM213B,0.09806798
MMEL1,0.013448186
TTC34,0.00094669324
LINC00982,0.057780445
PRDM16,0.09504392
ARHGEF16,0.01054663
MEGF6,0.0044971365
RP11-46F15.2,0.00055539067
TPRG1L,0.119172186
WRAP73,0.17361361
TP73,0.0014091817
TP73-AS1,0.11480418
SMIM1,0.026201796
LRRC47,0.29282555
CEP104,0.14650635
DFFB,0.026859155
C1orf174,0.2413036
LINC01134,0.0008498307
AJAP1,0.03828928
RP11-154H17.1,0.0005489722
NPHP4,0.02908145
KCNAB2,0.021186888
RPL22,11.458336
RP1-120G22.11,0.00089255034
RNF207,0.02959178
ICMT,0.3343109
LINC00337,0.0022587953
GPR153,0.04187017
ACOT7,0.06815404
RP1-202O8.3,0.009644136
HES2,0.0070247445
ESPN,0.0020955435
TNFRSF25,0.008216102
PLEKHG5,0.006714051
NOL9,0.09345898
TAS1R1,0.0010004774
ZBTB48,0.111883014
KLHL21,0.1652263
PHF13,0.09214035
THAP3,0.19129421
DNAJC11,0.1357101
RP11-242F24.1,0.00018879732
RP11-312B8.1,0.004521534
CAMTA1,1.9419662
RP4-549F15.1,0.0
VAMP3,0.681253
PER3,0.12599625
RP3-467L1.4,0.0
UTS2,0.0013180267
TNFRSF9,0.009875008
PARK7,3.688931
ERRFI1,0.9284166
RP11-431K24.1,0.053013194
SLC45A1,0.06717837
RERE,0.4586336
RP5-1115A15.1,0.0024874671
RP4-633I8.4,0.00036292025
ENO1,2.0864282
ENO1-AS1,0.0070871003
CA6,0.0
SLC2A5,0.023735175
GPR157,0.034033988
MIR34AHG,0.019818861
RP3-510D11.2,0.022694143
H6PD,0.16491683
SPSB1,0.17183268
SLC25A33,0.35951772
TMEM201,0.031525835
PIK3CD,0.023857301
PIK3CD-AS1,0.0
PIK3CD-AS2,0.039172534
CLSTN1,0.3441049
CTNNBIP1,0.17014812
LZIC,0.25380334
NMNAT1,0.03555453
RBP7,0.040694285
UBE4B,0.12654468
KIF1B,0.21408744
PGD,0.17885159
RP4-736L20.3,0.0
APITD1-CORT,0.0052280515
APITD1,0.035482444
CORT,0.0004430086
DFFA,0.24157386
PEX14,0.099939436
CASZ1,0.025754124
RP4-734G22.3,0.0017115184
C1orf127,0.0001452653
TARDBP,0.284627
RP4-635E18.8,0.0035797572
SRM,0.32659665
EXOSC10,0.23625506
RP4-635E18.6,0.013533684
MTOR,0.0830593
UBIAD1,0.19374537
PTCHD2,0.00035557227
RP1-69M21.2,0.0
FBXO2,0.011357978
FBXO44,0.095851265
FBXO6,0.041193113
MAD2L2,0.3482685
DRAXIN,0.000118010605
AGTRAP,0.2520585
C1orf167,0.08449438
MTHFR,0.26954526
CLCN6,0.06949865
NPPA-AS1,0.003682821
KIAA2013,0.15592831
PLOD1,0.3849107
MFN2,0.1415937
MIIP,0.28039518
TNFRSF8,0.0010053435
TNFRSF1B,0.1073669
VPS13D,0.39107865
DHRS3,0.16330038
RP11-474O21.5,0.0010510848
HNRNPCL1,0.000214593
PDPN,0.007716789
PRDM2,0.2257998
KAZN,0.15006962
TMEM51-AS1,0.0023450742
TMEM51,0.22659795
FHAD1,0.010780422
RP3-467K16.4,0.00036220302
EFHD2,0.11915165
CTRC,8.2772145e-05
CELA2B,0.0019623374
CASP9,0.06808556
DNAJC16,0.06661355
AGMAT,0.0021569517
RP4-680D5.2,0.0016018066
DDI2,0.12012607
PLEKHM2,0.12678576
SLC25A34,0.008570556
FBLIM1,1.3836617
UQCRHL,0.40273005
FLJ37453,0.15085743
SPEN,0.42227322
ZBTB17,0.10161467
C1orf64,0.033984557
HSPB7,0.14731266
CLCNKA,0.0
CLCNKB,0.00044964586
FAM131C,0.0056952084
EPHA2,0.24769856
RP11-276H7.2,0.004696897
RP11-276H7.3,0.0
ARHGEF19,0.04043587
RSG1,0.008563473
FBXO42,0.13078377
SZRD1,0.6850032
SPATA21,0.0008351771
NECAP2,0.33373028
RP4-798A10.2,0.0093513895
RP4-798A10.7,0.013679754
NBPF1,0.13358007
RP5-1182A14.7,0.0
CROCC,0.08660912
RP11-108M9.4,0.106569976
RP11-108M9.6,0.04201732
MFAP2,0.11581297
RP1-37C10.3,0.0
ATP13A2,0.05758006
SDHB,0.76860726
PADI2,0.0056803976
PADI4,0.0
RCC2,0.12114118
ARHGEF10L,0.245152
IGSF21,0.0030162837
KLHDC7A,0.0004069737
ALDH4A1,0.029543018
IFFO2,0.061270695
UBR4,0.24589506
RP1-43E13.2,0.028261097
EMC1,0.15528944
MRTO4,0.26278725
AKR7A3,0.006294599
AKR7A2,0.6528926
PQLC2,0.061990064
CAPZB,2.5795474
MINOS1,1.7888329
NBL1,0.639804
HTR6,0.0
TMCO4,0.08551757
RNF186,0.0
RP11-91K11.2,0.0
OTUD3,0.03973515
PLA2G2A,0.040947318
PLA2G5,0.056670684
PLA2G2D,0.0037703402
UBXN10-AS1,0.011896606
UBXN10,0.004327151
RP4-745E8.2,0.0
CAMK2N1,0.7722491
MUL1,0.14413817
FAM43B,0.0018447692
CDA,0.008444096
PINK1,0.29963797
PINK1-AS,0.0063384594
DDOST,0.87964207
KIF17,0.028738024
HP1BP3,1.1877259
EIF4G3,0.22284216
ECE1,0.6818202
RP5-1071N3.1,0.002480635
NBPF3,0.013457366
ALPL,0.01695022
RAP1GAP,0.0017989273
USP48,0.3423153
LDLRAD2,0.005796669
HSPG2,0.4032109
RP1-224A6.3,0.0005559042
LINC00339,0.08045265
CDC42,2.0695655
RP1-224A6.9,0.0019010073
WNT4,0.0007351867
ZBTB40,0.06249103
C1QA,0.08320401
C1QC,0.123798095
C1QB,0.1148056
EPHB2,0.0066666454
C1orf234,0.0
KDM1A,0.12031981
LUZP1,0.34969547
LINC01355,0.020271197
HNRNPR,1.2746357
ZNF436,0.02797688
ZNF436-AS1,0.029046306
RP5-1057J7.7,0.0010312635
TCEA3,0.27377903
ASAP3,0.021888679
E2F2,0.0008177259
ID3,12.909995
MDS2,0.012206606
RPL11,29.478197
TCEB3,0.17142247
TCEB3-AS1,0.04552051
PITHD1,0.5666197
LYPLA2,0.23655048
GALE,0.06977956
HMGCL,0.24962649
FUCA1,0.12594357
CNR2,0.0038753925
PNRC2,0.90706784
SRSF10,1.1234385
MYOM3,0.00010191595
IL22RA1,0.0010296948
IFNLR1,0.0005613375
GRHL3,0.00025862522
STPG1,0.02481728
NIPAL3,0.01752538
RCAN3,0.04665676
RP4-594I10.3,0.0031837604
NCMAP,0.00074274285
SRRM1,1.5520511
CLIC4,0.9391709
RUNX3,0.025286946
RP11-84D1.1,0.0024521246
RP11-84D1.2,0.0
RP4-799D16.1,0.0
SYF2,1.4649198
RSRP1,2.2480636
RP3-465N24.6,0.0034448074
RHD,0.0001176244
TMEM50A,2.8644834
RHCE,0.0046676295
TMEM57,0.19592296
LDLRAP1,0.10534061
RP11-70P17.1,0.006320619
MAN1C1,0.034399893
SEPN1,0.13504237
RP1-317E23.3,0.0060408735
MTFR1L,0.29185122
AUNIP,0.0014876162
RP1-125I3.2,0.0011622192
PAQR7,0.019212272
STMN1,0.51338804
PAFAH2,0.037805274
EXTL1,0.001278338
PDIK1L,0.030424144
FAM110D,0.009958324
RP11-96L14.7,0.0017305358
ZNF593,0.3283538
CNKSR1,0.0068662628
CEP85,0.011305848
SH3BGRL3,2.164845
UBXN11,0.09838925
CD52,0.11796502
AIM1L,6.8519534e-05
ZNF683,0.018556368
DHDDS,0.11331479
HMGN2,3.5546143
RPS6KA1,0.011956409
RP5-968P14.2,0.0046848683
ARID1A,0.3765283
PIGV,0.06742473
ZDHHC18,0.06165909
SFN,0.01572675
GPN2,0.101591535
GPATCH3,0.10223612
NUDC,1.4911038
KDF1,0.008990638
TRNP1,0.11101628
FAM46B,0.11697636
SLC9A1,0.14118469
WDTC1,0.08018322
