GeneID,Plasmablasts
RP11-34P13.7,0.0038049698
FO538757.3,0.0007764705
FO538757.2,0.07245699
AP006222.2,0.015166842
RP4-669L17.10,0.0014522127
RP5-857K21.4,0.0017622699
RP11-206L10.9,0.024146162
LINC00115,0.012728044
FAM41C,0.0033744574
RP11-54O7.3,0.0
SAMD11,0.010316541
NOC2L,0.17035083
KLHL17,0.0058372524
PLEKHN1,0.050363123
PERM1,0.0
RP11-54O7.17,0.0019183533
HES4,0.0432074
ISG15,1.8963122
AGRN,0.011944557
RP11-54O7.18,0.0
RNF223,0.0051605445
C1orf159,0.023171619
RP11-465B22.8,9.911577e-05
TTLL10,0.0
TNFRSF18,0.11030647
TNFRSF4,0.09836845
SDF4,1.0875171
B3GALT6,0.01309204
FAM132A,0.004729639
RP5-902P8.12,0.00023611603
UBE2J2,0.22104612
SCNN1D,0.0023265786
ACAP3,0.09689637
PUSL1,0.07201618
CPSF3L,0.21562454
CPTP,0.19429637
TAS1R3,0.05138307
DVL1,0.036611143
MXRA8,0.032686587
AURKAIP1,1.3380995
CCNL2,0.20191546
MRPL20,0.7820668
RP4-758J18.13,0.0011635631
ANKRD65,0.0010541937
RP4-758J18.7,0.0
RP4-758J18.10,0.00051547406
VWA1,0.025540566
ATAD3C,0.08461863
ATAD3B,0.028701132
ATAD3A,0.053820975
TMEM240,0.0
SSU72,0.5256747
RP5-832C2.5,0.016935058
C1orf233,6.560817e-05
RP11-345P4.9,0.012754488
MIB2,0.09735032
MMP23B,0.018597461
CDK11B,0.0962576
RP11-345P4.10,0.007504763
SLC35E2B,0.070676565
RP11-345P4.7,0.0005980055
CDK11A,0.092298634
SLC35E2,0.019696837
NADK,0.061691467
GNB1,0.1378346
RP1-140A9.1,0.00047371478
CALML6,0.0
TMEM52,0.042162117
GABRD,0.007222401
PRKCZ,0.046598982
RP11-181G12.2,0.0
FAAP20,0.4886046
SKI,0.046794895
MORN1,0.009344591
RER1,0.6643826
PEX10,0.088587336
PLCH2,0.0015536232
PANK4,0.0077786925
HES5,0.0011782758
RP3-395M20.12,0.06292285
RP3-395M20.8,0.02237916
TNFRSF14,0.4289964
RP3-395M20.9,0.0053889696
FAM213B,0.04389797
MMEL1,0.0027059293
TTC34,0.0010116757
LINC00982,0.00096476363
PRDM16,0.00031395978
ARHGEF16,0.00398352
MEGF6,0.0057408973
RP11-46F15.2,0.00017404839
TPRG1L,0.031286076
WRAP73,0.10430983
TP73,0.017966643
TP73-AS1,0.015765548
SMIM1,0.11496453
