GeneID,T-cells
RP11-34P13.7,0.0014722497
FO538757.3,0.0007832403
FO538757.2,0.20903404
AP006222.2,0.038801838
RP4-669L17.10,0.002172607
RP5-857K21.4,0.0015105586
RP11-206L10.9,0.043355893
LINC00115,0.034698736
FAM41C,0.012708616
RP11-54O7.3,0.0006528697
SAMD11,0.0024869964
NOC2L,0.30136463
KLHL17,0.0168208
PLEKHN1,0.03537589
PERM1,0.00067101687
RP11-54O7.17,0.0051081823
HES4,0.092323095
ISG15,3.8611512
AGRN,0.017546015
RP11-54O7.18,0.0010569377
RNF223,0.002052146
C1orf159,0.048350662
RP11-465B22.8,0.00058626087
TTLL10,0.011567732
TNFRSF18,1.6924773
TNFRSF4,1.7436154
SDF4,0.9844063
B3GALT6,0.03234905
FAM132A,0.0032271112
RP5-902P8.12,0.0018663177
UBE2J2,0.34988672
SCNN1D,0.004564087
ACAP3,0.058728203
PUSL1,0.10866629
CPSF3L,0.40129504
CPTP,0.10436567
TAS1R3,0.0018497588
DVL1,0.024489643
MXRA8,0.01625001
AURKAIP1,1.1456207
CCNL2,0.35160974
MRPL20,0.997373
RP4-758J18.13,0.0008525612
ANKRD65,0.002233732
RP4-758J18.7,0.0001815716
RP4-758J18.10,0.00012109935
VWA1,0.0052253543
ATAD3C,0.012904081
ATAD3B,0.07796753
ATAD3A,0.050602254
TMEM240,0.000387162
SSU72,1.0391779
RP5-832C2.5,0.069281325
C1orf233,0.004412627
RP11-345P4.9,0.03686692
MIB2,0.26036417
MMP23B,0.025497995
CDK11B,0.22076257
RP11-345P4.10,0.002776918
SLC35E2B,0.15135288
RP11-345P4.7,0.0039705555
CDK11A,0.2822457
SLC35E2,0.026370952
NADK,0.073541895
GNB1,0.40827614
RP1-140A9.1,0.0012589688
CALML6,0.0002175587
TMEM52,0.008004691
GABRD,0.0012845952
PRKCZ,0.11256782
RP11-181G12.2,0.0012023085
FAAP20,0.7573939
SKI,0.29346693
MORN1,0.016285704
RER1,0.7856141
PEX10,0.06393783
PLCH2,0.054845706
PANK4,0.05429103
HES5,0.00013963871
RP3-395M20.12,0.17469074
RP3-395M20.8,0.05169967
TNFRSF14,1.0591058
RP3-395M20.9,0.014660864
FAM213B,0.07570322
MMEL1,0.0062299203
TTC34,0.002719031
LINC00982,5.0665112e-05
PRDM16,0.0003817237
ARHGEF16,0.0013331093
MEGF6,0.023160424
RP11-46F15.2,0.00070624036
TPRG1L,0.054356474
WRAP73,0.20614044
TP73,0.011379071
TP73-AS1,0.05133819
SMIM1,0.027710002
LRRC47,0.21556178
CEP104,0.14926125
DFFB,0.041288845
C1orf174,0.24336986
LINC01134,0.001106728
AJAP1,7.619479e-05
RP11-154H17.1,0.00020083308
NPHP4,0.016190944
KCNAB2,0.44561598
RPL22,13.362699
RP1-120G22.11,0.0009677431
RNF207,0.030492293
ICMT,0.13539799
LINC00337,0.001512417
GPR153,0.0034064935
ACOT7,0.14533046
RP1-202O8.3,0.009681584
HES2,0.0031770575
ESPN,0.01271942
TNFRSF25,0.6146289
PLEKHG5,0.0054856157
NOL9,0.1212985
TAS1R1,0.000104673054
ZBTB48,0.09647603
KLHL21,0.12109793
PHF13,0.04978327
THAP3,0.09647135
DNAJC11,0.07708897
RP11-242F24.1,0.0003450074
RP11-312B8.1,0.0017477595
CAMTA1,0.52632374
RP4-549F15.1,0.0
VAMP3,0.19103298
PER3,0.033002388
RP3-467L1.4,0.002611258
UTS2,0.15122491
TNFRSF9,0.80117375
PARK7,2.9516706
ERRFI1,0.26739994
RP11-431K24.1,0.0014211015
SLC45A1,0.010233551
RERE,0.22924232
RP5-1115A15.1,0.0041084583
RP4-633I8.4,0.00020285104
ENO1,2.6252518
ENO1-AS1,0.007426073
CA6,0.0008095014
SLC2A5,0.0028505893
GPR157,0.019526355
MIR34AHG,0.0043223333
RP3-510D11.2,0.0029678158
H6PD,0.0649808
SPSB1,0.103762746
SLC25A33,0.2648633
TMEM201,0.020154376
PIK3CD,0.2743437
PIK3CD-AS1,0.0035418218
PIK3CD-AS2,0.013020077
CLSTN1,0.22506678
CTNNBIP1,0.19169278
LZIC,0.25564864
NMNAT1,0.033010177
RBP7,0.0110480925
UBE4B,0.15455309
KIF1B,0.11020129
PGD,0.28765982
RP4-736L20.3,0.0007130749
APITD1-CORT,0.01767168
APITD1,0.01396736
CORT,0.0006542902
DFFA,0.17582442
PEX14,0.104429945
CASZ1,0.043511473
RP4-734G22.3,0.0011241853
C1orf127,0.00022632127
TARDBP,0.18219697
RP4-635E18.8,0.0019083448
SRM,0.1362129
EXOSC10,0.23654515
RP4-635E18.6,0.0007231503
MTOR,0.11238332
UBIAD1,0.20568328
PTCHD2,0.0013286934
RP1-69M21.2,0.00018362798
FBXO2,0.062298305
FBXO44,0.22511135
FBXO6,0.15276136
MAD2L2,0.46603516
DRAXIN,0.0345313
AGTRAP,0.54518396
C1orf167,0.00054395944
MTHFR,0.064416096
CLCN6,0.030935986
NPPA-AS1,0.0012324391
KIAA2013,0.07205511
PLOD1,0.040576715
MFN2,0.08050549
MIIP,0.4026621
TNFRSF8,0.024115968
TNFRSF1B,1.9775335
VPS13D,0.16862449
DHRS3,0.19680904
RP11-474O21.5,0.0017333986
HNRNPCL1,0.00011825362
PDPN,0.002105339
PRDM2,0.67691433
KAZN,0.0045348434
TMEM51-AS1,0.00027542026
TMEM51,0.004756467
FHAD1,0.0033837676
RP3-467K16.4,0.005199379
EFHD2,0.4378031
CTRC,0.0018767389
CELA2B,0.00017826614
CASP9,0.05811332
DNAJC16,0.057706583
AGMAT,0.059031565
RP4-680D5.2,0.001871832
DDI2,0.11555966
PLEKHM2,0.06906611
SLC25A34,0.0017553606
FBLIM1,0.019943962
UQCRHL,0.48350862
FLJ37453,0.09312815
SPEN,0.3169182
ZBTB17,0.13590737
C1orf64,0.0123245055
HSPB7,5.9571634e-05
CLCNKA,0.0
CLCNKB,0.0
FAM131C,0.0011223791
EPHA2,0.0018779871
RP11-276H7.2,0.001275737
RP11-276H7.3,0.0
ARHGEF19,0.05240024
RSG1,0.0126867425
FBXO42,0.1545138
SZRD1,0.5832713
SPATA21,0.0019186033
NECAP2,0.62080014
RP4-798A10.2,0.005908647
RP4-798A10.7,0.008111621
NBPF1,0.04561224
RP5-1182A14.7,0.0011451812
CROCC,0.07481487
RP11-108M9.4,0.038900256
RP11-108M9.6,0.07000445
MFAP2,0.010957168
RP1-37C10.3,0.0
ATP13A2,0.05857897
SDHB,0.45559016
PADI2,0.0036245787
PADI4,0.016616896
RCC2,0.11200785
ARHGEF10L,0.0028906
IGSF21,0.0015048916
KLHDC7A,0.00032454627
ALDH4A1,0.0041995468
IFFO2,0.094934076
UBR4,0.31631753
RP1-43E13.2,0.08340484
EMC1,0.079094216
MRTO4,0.1679688
AKR7A3,0.0037331476
AKR7A2,0.38575315
PQLC2,0.04367555
CAPZB,2.5762749
MINOS1,0.89072686
NBL1,0.10813965
HTR6,0.0008377146
TMCO4,0.079284124
RNF186,0.00012417052
RP11-91K11.2,0.0
OTUD3,0.042189885
PLA2G2A,0.007135261
PLA2G5,0.00045953284
PLA2G2D,0.0031665955
UBXN10-AS1,0.029616764
UBXN10,0.003692525
RP4-745E8.2,0.0015771233
CAMK2N1,0.031379566
MUL1,0.10609173
FAM43B,0.0
CDA,0.009229845
PINK1,0.03766998
PINK1-AS,0.0047204862
DDOST,0.8140839
KIF17,0.0012816865
HP1BP3,1.1770369
EIF4G3,0.14832534
ECE1,0.20125617
RP5-1071N3.1,0.01213381
NBPF3,0.023767382
ALPL,0.0031298334
RAP1GAP,0.0005468182
USP48,0.40422612
LDLRAD2,3.9756123e-05
HSPG2,0.01547834
RP1-224A6.3,0.0015213692
LINC00339,0.100256406
CDC42,2.5752847
RP1-224A6.9,0.0012152732
WNT4,0.0006425269
ZBTB40,0.0951474
C1QA,0.099847965
C1QC,0.09089098
C1QB,0.11404761
EPHB2,0.0018448511
C1orf234,0.0003574151
KDM1A,0.06477645
LUZP1,0.40682796
LINC01355,0.006647898
HNRNPR,1.0880327
ZNF436,0.02232876
ZNF436-AS1,0.004328089
RP5-1057J7.7,0.00042471164
TCEA3,0.04056292
ASAP3,0.0022104583
E2F2,0.011058318
ID3,1.2423971
MDS2,0.03246161
RPL11,50.16437
TCEB3,0.18514915
TCEB3-AS1,0.05059798
PITHD1,1.0210803
LYPLA2,0.4196846
GALE,0.06981134
HMGCL,0.13162477
FUCA1,0.10130086
CNR2,0.0063760914
PNRC2,1.3292922
SRSF10,1.3360865
MYOM3,9.001008e-05
IL22RA1,0.0
IFNLR1,0.026276642
GRHL3,0.0
STPG1,0.031208921
NIPAL3,0.20945787
RCAN3,0.7362429
RP4-594I10.3,0.052164733
NCMAP,0.0010079825
SRRM1,2.2378597
CLIC4,0.03790817
RUNX3,1.3728758
RP11-84D1.1,0.006895436
RP11-84D1.2,0.0009447815
RP4-799D16.1,0.0006126605
SYF2,1.2428843
RSRP1,3.4035175
RP3-465N24.6,0.0021468496
RHD,0.0010428631
TMEM50A,2.0387995
RHCE,0.003699909
TMEM57,0.24559425
LDLRAP1,0.31538597
RP11-70P17.1,0.0028102328
MAN1C1,0.051900685
SEPN1,0.04389764
RP1-317E23.3,0.0062817056
MTFR1L,0.100781836
AUNIP,0.0027090006
RP1-125I3.2,0.009484323
PAQR7,0.004876651
STMN1,1.7846848
PAFAH2,0.05143284
EXTL1,0.0005881272
PDIK1L,0.037205596
FAM110D,0.0017287778
RP11-96L14.7,0.0013016787
ZNF593,0.31694713
CNKSR1,0.011804928
CEP85,0.038953952
SH3BGRL3,16.763128
UBXN11,0.29395667
CD52,10.73714
AIM1L,0.031736884
ZNF683,1.9290073
DHDDS,0.10227934
HMGN2,3.646872
RPS6KA1,0.28515217
RP5-968P14.2,0.0011611095
ARID1A,0.3464241
PIGV,0.05794395
ZDHHC18,0.13039057
SFN,0.019428037
GPN2,0.12160851
GPATCH3,0.14659221
NUDC,1.1499728
KDF1,0.013533525
TRNP1,0.0021485009
FAM46B,0.0044149095
SLC9A1,0.08946955
WDTC1,0.084074326
TMEM222,0.25025496
SYTL1,0.65833384
MAP3K6,0.07697451
FCN3,0.0015565372
CD164L2,0.0006267681
GPR3,0.00024836976
WASF2,0.9035939
RP1-159A19.4,0.0036491558
AHDC1,0.055398773
FGR,0.07701547
IFI6,2.1848872
FAM76A,0.12691715
STX12,0.31551766
PPP1R8,0.16258554
THEMIS2,0.101879954
RPA2,0.49918777
SMPDL3B,0.004198854
XKR8,0.081109166
EYA3,0.117041424
PTAFR,0.006264728
DNAJC8,1.1374971
ATPIF1,1.9132613
RP5-1092A3.4,0.024903636
RP5-1092A3.5,0.0009305267
SESN2,0.27246863
MED18,0.034557603
PHACTR4,0.19715302
RCC1,0.105962284
TRNAU1AP,0.36237895
SNHG12,1.4963084
TAF12,0.45966133
RAB42,0.0020058807
RP11-442N24--B.1,0.0124225505
RNU11,0.005649264
GMEB1,0.19391745
YTHDF2,0.61144924
EPB41,0.5673867
TMEM200B,0.0004567981
SRSF4,0.8561317
MECR,0.056393836
PTPRU,0.00072349724
MATN1,0.0028532376
MATN1-AS1,0.039306223
LAPTM5,5.845551
RP5-1125N11.2,8.118296e-05
SDC3,0.004686652
PUM1,0.41150272
NKAIN1,0.00032604233
SNRNP40,0.49735856
ZCCHC17,0.3518365
FABP3,0.0017950526
SERINC2,0.035133902
LINC01226,3.827712e-05
RP11-73M7.1,0.0
TINAGL1,0.015128942
HCRTR1,0.0
PEF1,0.47880572
RP11-73M7.6,0.0009583017
RP11-73M7.9,0.0071331533
COL16A1,0.0035148158
ADGRB2,0.0032083963
SPOCD1,0.00018788916
RP11-84A19.4,0.0020664756
PTP4A2,0.8399248
KHDRBS1,1.0080057
RP11-277A4.4,0.0057077156
TMEM39B,0.108396515
KPNA6,0.25337678
TXLNA,0.11824634
CCDC28B,0.09903041
RP4-622L5.7,0.00040419842
IQCC,0.007897714
TMEM234,0.08354291
EIF3I,1.2382889
FAM167B,0.01586299
LCK,3.008542
HDAC1,0.5963533
MARCKSL1,1.2074271
TSSK3,0.00093937595
FAM229A,0.008359475
BSDC1,0.42166615
ZBTB8A,0.007604273
ZBTB8OS,0.48698333
RBBP4,0.66079885
SYNC,0.055409208
KIAA1522,0.008930067
YARS,0.33892372
S100PBP,0.2198205
FNDC5,0.00013627853
HPCA,0.00027852855
TMEM54,0.0063824803
RNF19B,0.09844819
AK2,0.48066318
AZIN2,0.041620567
TRIM62,0.021012582
ZNF362,0.0870171
PHC2,0.0648979
ZSCAN20,0.004878071
SMIM12,0.47171643
GJB5,0.00023372672
GJB4,0.0
GJB3,0.00019318229
GJA4,0.0079208175
DLGAP3,0.013651243
RP11-244H3.4,0.011188714
ZMYM6NB,0.28896567
ZMYM6,0.05230119
ZMYM1,0.08341663
SFPQ,1.8742533
ZMYM4,0.08314072
ZMYM4-AS1,0.0032416468
KIAA0319L,0.19619274
NCDN,0.048564803
RP4-728D4.2,0.100402854
TFAP2E,0.0056563453
PSMB2,0.95067054
C1orf216,0.073943324
CLSPN,0.10837394
AGO4,0.0476479
AGO1,0.06742729
RP4-789D17.5,0.0007766053
AGO3,0.31826895
RP4-665N4.8,0.0003997491
TEKT2,0.0
ADPRHL2,0.21755919
COL8A2,0.00044684825
TRAPPC3,0.5539152
MAP7D1,0.3223303
THRAP3,1.1954632
SH3D21,0.0145654725
EVA1B,0.034622457
RP11-268J15.5,0.0005770331
STK40,0.09173894
LSM10,0.5250627
OSCP1,0.004428714
MRPS15,0.52065843
CSF3R,0.0061431956
GRIK3,0.0
LINC01137,0.056378704
ZC3H12A,1.0282406
MEAF6,1.1583499
SNIP1,0.19195786
DNALI1,0.002796247
GNL2,0.2646515
RSPO1,0.00091690605
