CID3586,CID3838,CID3921,CID3941,CID3946,CID3948,CID3963,CID4040,CID4066,CID4067,CID4290A,CID4398,CID44041,CID4461,CID4463,CID4465,CID4471,CID4495,CID44971,CID44991,CID4513,CID4515,CID45171,CID4523,CID4530N,CID4535
RP11-34P13.7,0.0005446203,0.0029752771,0.0011278058,0.0039722687,0.009260837,0,0.0020979247,0.0060615484,0.00070835144,0.0070070843,0.0026607458,0,0.0013098584,0.022993792,0.0010439337,0,0.002486588,0.0011143686,0.0013222405,0.0029480646,0.0010078065,0.0011229541,0.003990503,0.0015730661,0.0037252894,0.0019958385
FO538757.3,0.0010892407,0,0.00714277,0,0,0,0,0,0.0031875814,0.006306376,0.0023651072,0,0,0,0.0031318013,0,0.0044758585,0.0027859213,0.0020778063,0.0023953023,0.0012093678,0,0,0,0,0
FO538757.2,0.26359624,0.10463058,0.28495893,0.3455874,0.36117265,0.40564314,0.41399047,0.19570144,0.16008742,0.3510549,0.17767869,0.030053975,0.25935197,0.8162796,0.8247077,0.39949483,0.16825911,0.18145634,0.17283572,0.11626429,0.16507868,0.06831304,0.18698359,0.07550717,0.12647358,0.1369871
AP006222.2,0.025597157,0.19488066,0.05263094,0.0635563,0.30560762,0.05196255,0.061539125,0.22774103,0.038959328,0.07847934,0.034885332,0.07565311,0.14015485,0.2874224,0.035493746,0.36220863,0.039785407,0.025073292,0.023044761,0.027822359,0.038095083,0.11996893,0.15505955,0.11915976,0.09555367,0.18833458
RP4-669L17.10,0.0010892407,0.010661409,0.0011278058,0.011916807,0.027782513,0.0016762113,0.0027972327,0.0038967098,0.00247923,0.0070070843,0.0047302144,0.0031090318,0.017028159,0.022993792,0.0041757347,0.010653196,0.007957081,0.0024144652,0.00377783,0.014556068,0.0032249808,0.005801929,0.0034204312,0.0055057313,0.0031664958,0.002540158
RP5-857K21.4,0.0016338611,0.0017355784,0.002631547,0.019861342,0,0.0033524225,0.0062937737,0.0008659355,0.008146041,0.010510626,0.005912768,0,0,0.011496896,0.0062636025,0.005326598,0.006133584,0.005014658,0.0032111553,0.008291432,0.0038296646,0,0.0011401437,0,0.00018626449,0.0003628797
RP11-206L10.9,0.058274377,0.034959506,0.02932295,0.08341765,0.055565026,0.06537224,0.061539125,0.04589458,0.042146906,0.09879989,0.039319906,0.018654192,0.052394334,0.045987584,0.11483271,0.08522557,0.042106222,0.042160276,0.042689476,0.029112136,0.048979394,0.040426344,0.032494098,0.032247856,0.04321336,0.048263006
LINC00115,0.033221845,0.02082694,0.05488655,0.027805882,0.037043348,0.021790747,0.040559877,0.03290555,0.031167462,0.07147226,0.022172881,0.002072688,0.019647876,0.045987584,0.054284554,0.06391917,0.015416846,0.028787853,0.024555894,0.039983124,0.038296644,0.014785561,0.029643737,0.020056594,0.024586909,0.016873907
FAM41C,0.0065354444,0.030000713,0.0067668348,0.023833614,0.09260837,0.010057268,0.0090910075,0.0389671,0.009208568,0.024524795,0.002956384,0.009327096,0.02488731,0.12646586,0.014615073,0.15979792,0.002818133,0.00872922,0.0066112024,0.0035008267,0.003426542,0.05090725,0.07182905,0.022022925,0.020675357,0.012156471
RP11-54O7.3,0.0005446203,0.00049587956,0.0037593525,0.0039722687,0,0,0,0.0025978065,0.0067293383,0.0021021254,0.012712452,0,0,0.03449069,0.0031318013,0,0.0076255365,0.00037145618,0.00056667445,0.0027638106,0,0,0.0011401437,0,0.0016763802,0.00018143986
SAMD11,0.0038123426,0.014380506,0.02067644,0.027805882,0.046304185,0.011733479,0.0006993082,0.027709937,0.041438557,0.011211336,0.047302146,0.00518172,0.0039295754,0.12646586,0.027142277,0.037286185,0.03663573,0.0078005795,0.005855636,0.056197483,0.0012093678,0.00561477,0.013111653,0.00786533,0.020861622,0.0041731168
NOC2L,0.34474468,0.2905854,0.63194716,0.3575042,0.40747684,0.27154624,0.29231083,0.2697389,0.35346735,0.42182648,0.32638478,0.10259805,0.33008432,0.5633479,0.63784355,0.62853855,0.36619154,0.45986274,0.583108,0.6008524,0.31403252,0.42428946,0.9571507,0.5745624,0.35725528,0.5526658
KLHL17,0.01579399,0.02281046,0.02781921,0.019861342,0.018521674,0.028495593,0.025175095,0.03463742,0.015229555,0.033634007,0.01685139,0.0031090318,0.0052394336,0.03449069,0.010439337,0,0.010277897,0.015415432,0.010011249,0.016214354,0.013303045,0.013849766,0.011971509,0.007472064,0.014156099,0.01270079
PLEKHN1,0.023963297,0.02033106,0.08909666,0.047667228,0.018521674,0.033524226,0.027972328,0.020349484,0.04037603,0.037838258,0.05380619,0.01036344,0.022267593,0.022993792,0.029230146,0.015979793,0.029010193,0.043088917,0.027389266,0.078492224,0.009674942,0.076360874,0.047315966,0.026348857,0.030174844,0.0114307115
PERM1,0.004901584,0.002231458,0.008270576,0.007944537,0,0.046933915,0.0013986164,0.0025978065,0.012041974,0.07357439,0.038137354,0.001036344,0.0039295754,0.011496896,0.05219669,0.010653196,0.013924893,0.0005571843,0.0030222638,0.060619578,0.002015613,0.000187159,0.026223306,0,0.031851225,0.011067832
RP11-54O7.17,0.0076246853,0.07958866,0.018420829,0.007944537,0.11113005,0.02681938,0.037063338,0.055419873,0.023375597,0.012612752,0.0070953215,0.0062180636,0.006549292,0.045987584,0.0135711385,0.021306392,0.033320278,0.013186694,0.008311225,0.044589475,0.09352444,0.00935795,0.02109266,0.02162966,0.019185241,0.0074390345
HES4,0.6829539,1.1578788,0.99886,0.19861344,1.416908,0.33021364,0.501404,1.3837649,1.130883,0.23613875,0.3039163,0.029017631,0.03929575,0.8737641,0.27455458,0.9747674,0.6917688,0.13112403,0.81280005,1.2577181,0.42468965,0.78569347,0.75477517,1.4173325,1.8045301,0.5276271
ISG15,2.3179042,3.725543,1.265774,0.6713134,5.389807,9.428689,10.084024,4.9514194,2.41477,0.44354844,0.3042119,0.6197337,2.755942,11.266957,1.1942602,1.8749623,0.86450374,5.1441107,1.3762634,0.6590767,4.247098,4.4863887,0.89045227,2.034761,4.396214,2.8656611
AGRN,0.07896995,0.17107844,0.3860855,0.18669663,0.53712857,0.2531079,0.2209814,0.29961368,0.31025794,0.5913979,0.22143316,0.0145088155,0.12050697,0.19544722,0.204611,0.2503501,0.2377178,0.08636356,0.09104569,0.29093713,0.19108011,0.17686526,0.11629466,0.2288811,0.23990864,0.08400666
RP11-54O7.18,0.0010892407,0.00049587956,0,0,0,0,0.0020979247,0.0008659355,0.0010625272,0.0007007085,0.0002956384,0,0,0,0.0020878674,0,0.0004973176,0.00018572809,0.0015111319,0.00018425404,0,0,0,0,0,0.00018143986
RNF223,0.13343199,0.00049587956,0.079322346,0.1668353,0,0.2665176,0.006993082,0.0012989033,0.05418888,0.31391737,0.16940081,0,0.009169009,0.10347207,0.10543731,0.005326598,0.087362126,0,0.037211623,0.05748726,0,0.016657151,0.033064168,0.047978517,0.052712843,0.080740735
C1orf159,0.04629273,0.03446363,0.15864469,0.043694958,0.009260837,0.062019818,0.076224595,0.037235226,0.074022725,0.11071193,0.06504045,0.004145376,0.026197167,0.14945965,0.0866465,0.10120536,0.06862983,0.05256105,0.082545586,0.13155738,0.057243407,0.022271922,0.1094538,0.027921924,0.055693075,0.05896796
RP11-465B22.8,0.008713925,0.0007438193,0.019924568,0.015889075,0,0.006704845,0.0013986164,0.0008659355,0.010979447,0.029429754,0.020103412,0,0.0026197168,0.06898138,0.015659006,0.015979793,0.008951717,0.00037145618,0.0045333956,0.014003307,0,0.015721356,0.02736345,0.011011463,0.02961605,0.005261756
TTLL10,0.0043569626,0.002231458,0.004135288,0.011916807,0.009260837,0.0016762113,0.03216818,0.012123097,0.00495846,0.004904959,0.002956384,0.0031090318,0.007859151,0,0.0031318013,0,0.025197426,0.004271746,0.0068000937,0.0029480646,0.0016124904,0.020026013,0.0068408623,0,0.014528628,0.004898876
TNFRSF18,0.59254694,0.84150755,0.5135276,0.37339327,0.18521674,1.1934625,1.433582,0.6304011,0.51674235,0.33704075,0.46592614,0.103634395,0.028816884,0.48286963,0.04802095,0.111858554,0.10195011,0.3649557,0.7440436,0.17946342,0.23280329,0.057644974,0.27021405,0.24657811,0.14025715,0.046267163
TNFRSF4,1.0690898,0.8496896,0.55488044,0.20258571,0.11113005,0.75597125,1.0384727,0.6304011,0.5496807,0.17167357,0.07834418,0.11399784,0.32484487,0.5288572,0.05532849,0.38351503,0.18848337,0.9063531,0.7974999,0.12363446,0.26747185,0.047912706,0.1561997,0.037360318,0.20358706,0.09598169
SDF4,0.89862365,1.025231,1.452614,0.63556296,0.851997,0.856544,1.2370762,0.7992585,1.2360731,1.1050172,0.70095867,0.08394386,0.1951689,0.5748448,1.2579402,0.6871311,1.4995784,1.258865,1.2993846,2.038218,2.009163,0.80309933,0.8585282,0.69922787,1.1393797,0.75007236
B3GALT6,0.026141778,0.18025221,0.06992396,0.027805882,0.23152092,0.020114535,0.05035019,0.1316222,0.05064713,0.11071193,0.0331115,0.030053975,0.044535186,0.045987584,0.03862555,0.037286185,0.058186162,0.03584552,0.034567144,0.05435494,0.05905746,0.025640784,0.04902618,0.029101722,0.04805623,0.019776944
