CID3586,CID3838,CID3921,CID3941,CID3946,CID3948,CID3963,CID4040,CID4066,CID4067,CID4290A,CID4398,CID44041,CID4461,CID4463,CID4465,CID4471,CID4495,CID44971,CID44991,CID4513,CID4515,CID45171,CID4523,CID4530N,CID4535
Endothelial,0.0254127549368728,0.0420739481512962,0.0694444444444444,0.0697305863708399,0.142118863049096,0.0365277180919639,0.0289197618372555,0.0861319636507309,0.100772273497834,0.0494155154091392,0.0514769390222836,0.0226915299932599,0.0694509619896762,0.288431061806656,0.0694200351493849,0.187979539641944,0.322685561621559,0.0230432060112711,0.0271725519659404,0.0058379609853339,0.0288307528029899,0.0294046758255001,0.00612995504699632,0.00171037628278221,0.23043774098435,0.0552890684170664
CAFs,0.029944966008417,0.0862728431789205,0.0350529100529101,0.0126782884310618,0.215762273901809,0.00644606789858186,0.00652112276722427,0.050967996839194,0.173855716707478,0.0358660998937301,0.0483675937122128,0.0399910132554482,0.319568277803848,0.0649762282091918,0.0219683655536028,0.2423273657289,0.150075502381229,0.0290544771446462,0.072877535687453,0.0348853766196782,0.00231357892863499,0.0450711014702338,0.0130772374335922,0.023945267958951,0.0834656384667725,0.0257510729613734
PVL,0.00339915830365814,0.0671483212919677,0.0238095238095238,0.0396196513470681,0.320413436692506,0.0266437473141384,0.00793875815140346,0.175029632556302,0.118666415520814,0.0220510095642933,0.0241837968561064,0.0195461694001348,0.0600656968559362,0.0760697305863708,0.0272407732864675,0.202685421994885,0.149262399814148,0.0239198497182217,0.0113949411470073,0.00654990744695999,0.0145933440113899,0.029645697758496,0.00531262770739681,0.00570125427594071,0.106373327285099,0.149457207775814
B-cells,0.0519585626416316,0.0199745006374841,0.0535714285714286,0.0871632329635499,0,0.0365277180919639,0,0.0414855788225998,0.00715765680919194,0.0140807651434644,0.0202107445154604,0.0080880700966075,0.0825903331769123,0,0,0.0210997442455243,0.0114995934487165,0.0968065122103945,0.046205860255447,0.0125302577246191,0.00765260722548496,0.119064834899976,0.0228851655087863,0,0,0.0141378439787932
T-cells,0.743930074457753,0.57416064598385,0.487103174603175,0.421553090332805,0.118863049095607,0.629565964761496,0.757584349305359,0.597392335045437,0.408928235072518,0.183049946865037,0.0936258421143548,0.838687935295439,0.348193336461755,0.107765451664025,0.190685413005272,0.0741687979539642,0.0744569636426995,0.438822792736381,0.546706736789381,0.128435141677346,0.260900516106069,0.100988189925283,0.55006129955047,0.100912200684151,0.0662281696529825,0.0999747538500379
Myeloid,0.0323729362253156,0.188695282617935,0.127314814814815,0.0586370839936609,0.202842377260982,0.0524280189084658,0.135809469804366,0.0197550375345713,0.0416274251271426,0.0706695005313496,0.0589048194852306,0.0505504381037969,0.0492726419521351,0.0839936608557845,0.0887521968365554,0.115728900255754,0.0331048902311534,0.112335629304947,0.0856498873027799,0.0293321942189947,0.497419469656523,0.135695348276693,0.0702901512055578,0.202394526795895,0.0217736448174189,0.0643776824034335
Normal Epithelial,0.112981547426352,0,0,0,0,0,0.000283527076835838,0,0.0508570352232059,0,0.00310934531007082,0,0.0708587517597372,0,0.0228471001757469,0.00639386189258312,0.228365663840167,0,0.0920360631104433,0.00341734301580521,0,0.00867678958785249,0,0,0.0902699024722159,0.00555415299166877
Plasmablasts,0,0.0216744581385465,0.0578703703703704,0,0,0.0996991834980662,0,0.0292374555511655,0,0,0,0.0204448438553134,0,0.0507131537242472,0,0.0703324808184143,0.00592403298873272,0.12773951158422,0.00601051840721262,0.206891641748541,0,0.00867678958785249,0,0,0.0124744840099796,0.0242363039636455
1,0,0,0.0337301587301587,0.136291600633914,0,0.0614525139664804,0.00538701445988092,0,0.0197777359201356,0.123538788522848,0.327172223181897,0,0,0.0776545166402536,0.150263620386643,0.00191815856777494,0.00917644325705657,0,0.000250438266967193,0.0422896198205895,0,0,0.00531262770739681,0.00342075256556442,0.177591290542073,0.0381216864428175
2,0,0,0.0310846560846561,0.126782884310618,0,0.0146110872367856,0.00141763538417919,0,0.0205311734789979,0.00132837407013815,0.00708239765071688,0,0,0.01743264659271,0.149384885764499,0.00127877237851662,0.000580787547914973,0.0344395742016281,0.0419484097170048,0.100384451089278,0.000711870439579996,0.0151843817787419,0.163465467919902,0.146522234891676,0.0315264232252211,0.139863670790204
3,0,0,0.00992063492063492,0,0,0.00171895143962183,0.0476325489084208,0,0.00433226596345828,0.00239107332624867,0.00310934531007082,0,0,0.0491283676703645,0,0.00127877237851662,0.000929260076663956,0.0344395742016281,0.0133984472827448,0.0289050263420191,0.145933440113899,0.268739455290431,0.00122599100939926,0.0393386545039909,0.00317532320254026,0.013127997980308
4,0,0,0.0128968253968254,0.0126782884310618,0,0.00343790287924366,0.00481996030620924,0,0.0150687511772462,0.0087672688629118,0.00500950077733633,0,0,0.0380348652931854,0.015817223198594,0.0677749360613811,0.00197467766291091,0.073888541014402,0.0371900826446281,0.210451374056671,0.0412884854956398,0.130633887683779,0.0723334695545566,0.285632839224629,0.00113404400090724,0.0315576874526635
